 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.631949     Ave. chord Cave =    0.255127

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.07202     Clsurf  =  -0.01573
     CYsurf  =   0.00009     Cmsurf  =  -0.07047
     CDsurf  =   0.00018     Cnsurf  =   0.00034
     CDisurf =   0.00018     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.14644     CDsurf  =   0.00036

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0229   0.0000   0.2900   0.0133   0.0440   0.0036   0.1518   0.1518   0.0003   0.0000  -0.0628  -0.1007    0.664
     2   0.0000   0.0688   0.0000   0.2900   0.0133   0.0440   0.0036   0.1518   0.1518   0.0003   0.0000  -0.0628  -0.1007    0.664
     3   0.0000   0.1146   0.0000   0.2900   0.0133   0.0440   0.0036   0.1518   0.1518   0.0003   0.0000  -0.0628  -0.1007    0.664
     4   0.0000   0.1604   0.0000   0.2900   0.0133   0.0440   0.0036   0.1518   0.1518   0.0003   0.0000  -0.0628  -0.1007    0.664
     5   0.0000   0.2063   0.0000   0.2900   0.0133   0.0440   0.0036   0.1517   0.1517   0.0003   0.0000  -0.0628  -0.1007    0.664
     6   0.0000   0.2521   0.0000   0.2900   0.0133   0.0440   0.0036   0.1517   0.1517   0.0003   0.0000  -0.0628  -0.1007    0.664
     7   0.0000   0.3025   0.0000   0.2900   0.0160   0.0440   0.0036   0.1516   0.1516   0.0003   0.0000  -0.0628  -0.1007    0.664
     8   0.0000   0.3575   0.0000   0.2900   0.0159   0.0439   0.0037   0.1515   0.1515   0.0003   0.0000  -0.0628  -0.1007    0.664
     9   0.0000   0.4125   0.0000   0.2900   0.0159   0.0439   0.0037   0.1514   0.1514   0.0003   0.0000  -0.0628  -0.1006    0.665
    10   0.0000   0.4675   0.0000   0.2900   0.0160   0.0439   0.0037   0.1513   0.1513   0.0003   0.0000  -0.0628  -0.1006    0.665
    11   0.0000   0.5225   0.0000   0.2900   0.0159   0.0438   0.0038   0.1512   0.1512   0.0003   0.0000  -0.0628  -0.1006    0.665
    12   0.0000   0.5730   0.0000   0.2900   0.0133   0.0438   0.0038   0.1510   0.1510   0.0003   0.0000  -0.0628  -0.1005    0.666
    13   0.0000   0.6190   0.0000   0.2900   0.0133   0.0437   0.0039   0.1509   0.1509   0.0003   0.0000  -0.0628  -0.1005    0.666
    14   0.0000   0.6650   0.0000   0.2900   0.0133   0.0437   0.0039   0.1507   0.1507   0.0003   0.0000  -0.0628  -0.1004    0.667
    15   0.0000   0.7110   0.0000   0.2900   0.0133   0.0436   0.0040   0.1505   0.1505   0.0003   0.0000  -0.0628  -0.1004    0.667
    16   0.0000   0.7570   0.0000   0.2900   0.0133   0.0436   0.0041   0.1503   0.1503   0.0003   0.0000  -0.0628  -0.1003    0.668
    17   0.0000   0.8030   0.0000   0.2900   0.0133   0.0435   0.0041   0.1501   0.1501   0.0003   0.0000  -0.0628  -0.1003    0.668
    18   0.0000   0.8535   0.0000   0.2900   0.0159   0.0434   0.0042   0.1498   0.1498   0.0003   0.0000  -0.0628  -0.1002    0.669
    19   0.0000   0.9085   0.0000   0.2900   0.0160   0.0433   0.0043   0.1495   0.1495   0.0003   0.0000  -0.0627  -0.1001    0.670
    20   0.0000   0.9635   0.0000   0.2900   0.0160   0.0432   0.0044   0.1492   0.1492   0.0003   0.0000  -0.0627  -0.1000    0.671
    21   0.0000   1.0185   0.0000   0.2900   0.0159   0.0431   0.0046   0.1488   0.1488   0.0003   0.0000  -0.0627  -0.0999    0.671
    22   0.0000   1.0735   0.0000   0.2900   0.0160   0.0430   0.0048   0.1484   0.1484   0.0003   0.0000  -0.0627  -0.0998    0.673
    23   0.0000   1.1239   0.0000   0.2899   0.0133   0.0429   0.0049   0.1480   0.1480   0.0004   0.0000  -0.0627  -0.0997    0.674
    24   0.0000   1.1697   0.0000   0.2897   0.0133   0.0427   0.0050   0.1475   0.1475   0.0004   0.0000  -0.0627  -0.0995    0.675
    25   0.0000   1.2156   0.0000   0.2896   0.0133   0.0426   0.0052   0.1471   0.1471   0.0004   0.0000  -0.0626  -0.0994    0.676
    26   0.0000   1.2614   0.0000   0.2894   0.0133   0.0424   0.0054   0.1466   0.1466   0.0004   0.0000  -0.0626  -0.0992    0.677
    27   0.0000   1.3072   0.0000   0.2893   0.0133   0.0422   0.0057   0.1460   0.1460   0.0004   0.0000  -0.0625  -0.0990    0.678
    28   0.0000   1.3531   0.0000   0.2891   0.0132   0.0420   0.0062   0.1454   0.1454   0.0004   0.0000  -0.0624  -0.0988    0.679
    29   0.0004   1.4035   0.0000   0.2876   0.0158   0.0417   0.0063   0.1449   0.1449   0.0004   0.0000  -0.0624  -0.0986    0.681
    30   0.0012   1.4585   0.0000   0.2848   0.0157   0.0412   0.0061   0.1446   0.1446   0.0004   0.0000  -0.0625  -0.0986    0.682
