 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.99917     Clsurf  =  -0.21337
     CYsurf  =  -0.01002     Cmsurf  =  -0.54835
     CDsurf  =   0.03261     Cnsurf  =  -0.05899
     CDisurf =   0.03261     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   2.00065     CDsurf  =   0.06529

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.5815   0.0495   2.0893   2.0893   0.0496   0.0000  -0.0747  -0.5760    0.286
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.5815   0.0495   2.0891   2.0891   0.0496   0.0000  -0.0747  -0.5759    0.286
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.5814   0.0496   2.0887   2.0887   0.0497   0.0000  -0.0746  -0.5758    0.286
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.5812   0.0498   2.0881   2.0881   0.0499   0.0000  -0.0746  -0.5757    0.286
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.5810   0.0500   2.0873   2.0873   0.0501   0.0000  -0.0746  -0.5755    0.286
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.5807   0.0502   2.0862   2.0862   0.0503   0.0000  -0.0746  -0.5752    0.286
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.5804   0.0506   2.0849   2.0849   0.0506   0.0000  -0.0746  -0.5749    0.286
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.5800   0.0509   2.0834   2.0834   0.0510   0.0000  -0.0746  -0.5746    0.286
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.5796   0.0514   2.0817   2.0817   0.0514   0.0000  -0.0745  -0.5742    0.286
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.5790   0.0519   2.0797   2.0797   0.0518   0.0000  -0.0745  -0.5737    0.286
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.5785   0.0525   2.0774   2.0774   0.0523   0.0000  -0.0745  -0.5731    0.286
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.5778   0.0531   2.0748   2.0748   0.0529   0.0000  -0.0744  -0.5725    0.286
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.5771   0.0538   2.0719   2.0719   0.0536   0.0000  -0.0744  -0.5718    0.286
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.5762   0.0546   2.0687   2.0687   0.0543   0.0000  -0.0743  -0.5711    0.286
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.5753   0.0555   2.0652   2.0652   0.0551   0.0000  -0.0742  -0.5702    0.286
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.5743   0.0565   2.0612   2.0612   0.0559   0.0000  -0.0742  -0.5693    0.286
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.5732   0.0576   2.0568   2.0568   0.0569   0.0000  -0.0741  -0.5682    0.286
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.5719   0.0588   2.0519   2.0519   0.0579   0.0000  -0.0740  -0.5670    0.286
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.5705   0.0601   2.0465   2.0465   0.0591   0.0000  -0.0739  -0.5657    0.286
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.5690   0.0616   2.0405   2.0405   0.0604   0.0000  -0.0737  -0.5642    0.286
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.5673   0.0632   2.0338   2.0338   0.0617   0.0000  -0.0736  -0.5626    0.286
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.5654   0.0650   2.0264   2.0264   0.0632   0.0000  -0.0734  -0.5608    0.286
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.5632   0.0670   2.0182   2.0182   0.0649   0.0000  -0.0732  -0.5588    0.286
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.5609   0.0692   2.0092   2.0092   0.0667   0.0000  -0.0730  -0.5565    0.286
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.5589   0.0710   2.0013   2.0013   0.0682   0.0000  -0.0728  -0.5546    0.286
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.5571   0.0725   1.9945   1.9945   0.0694   0.0000  -0.0726  -0.5528    0.286
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.5547   0.0748   1.9854   1.9854   0.0713   0.0000  -0.0724  -0.5506    0.286
