 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  1.2850       Cref = 0.25900       Bref =  4.9540    
  Xref =-0.65000E-01   Yref =  0.0000       Zref =  0.0000    

  Surface # 1     Wing                                    
     # Chordwise = 12   # Spanwise = 50     First strip =  1
     Surface area Ssurf =    0.641762     Ave. chord Cave =    0.259089

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.19198     Clsurf  =  -0.04260
     CYsurf  =   0.00010     Cmsurf  =  -0.14504
     CDsurf  =   0.00124     Cnsurf  =  -0.00008
     CDisurf =   0.00124     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.38439     CDsurf  =   0.00249

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
     1   0.0000   0.0255   0.0000   0.2900   0.0148   0.1159   0.0093   0.3996   0.3996   0.0019   0.0000  -0.0831  -0.1830    0.458
     2   0.0000   0.0760   0.0000   0.2900   0.0145   0.1159   0.0093   0.3996   0.3996   0.0019   0.0000  -0.0831  -0.1830    0.458
     3   0.0000   0.1265   0.0000   0.2900   0.0148   0.1159   0.0094   0.3995   0.3995   0.0019   0.0000  -0.0831  -0.1829    0.458
     4   0.0000   0.1770   0.0000   0.2900   0.0145   0.1158   0.0094   0.3994   0.3994   0.0019   0.0000  -0.0831  -0.1829    0.458
     5   0.0000   0.2275   0.0000   0.2900   0.0148   0.1158   0.0094   0.3993   0.3993   0.0019   0.0000  -0.0831  -0.1829    0.458
     6   0.0000   0.2780   0.0000   0.2900   0.0145   0.1157   0.0095   0.3991   0.3991   0.0019   0.0000  -0.0831  -0.1828    0.458
     7   0.0000   0.3285   0.0000   0.2900   0.0148   0.1157   0.0095   0.3989   0.3989   0.0019   0.0000  -0.0830  -0.1828    0.458
     8   0.0000   0.3790   0.0000   0.2900   0.0145   0.1156   0.0096   0.3986   0.3986   0.0019   0.0000  -0.0830  -0.1827    0.458
     9   0.0000   0.4295   0.0000   0.2900   0.0148   0.1155   0.0097   0.3983   0.3983   0.0019   0.0000  -0.0830  -0.1826    0.458
    10   0.0000   0.4805   0.0000   0.2900   0.0148   0.1154   0.0098   0.3980   0.3980   0.0020   0.0000  -0.0830  -0.1825    0.459
    11   0.0000   0.5310   0.0000   0.2900   0.0145   0.1153   0.0099   0.3976   0.3976   0.0020   0.0000  -0.0830  -0.1824    0.459
    12   0.0000   0.5815   0.0000   0.2900   0.0148   0.1152   0.0100   0.3972   0.3972   0.0020   0.0000  -0.0830  -0.1823    0.459
    13   0.0000   0.6320   0.0000   0.2900   0.0145   0.1151   0.0102   0.3967   0.3967   0.0020   0.0000  -0.0830  -0.1822    0.459
    14   0.0000   0.6825   0.0000   0.2900   0.0148   0.1149   0.0103   0.3962   0.3962   0.0021   0.0000  -0.0830  -0.1821    0.459
    15   0.0000   0.7330   0.0000   0.2900   0.0145   0.1147   0.0105   0.3956   0.3956   0.0021   0.0000  -0.0830  -0.1819    0.460
    16   0.0000   0.7835   0.0000   0.2900   0.0148   0.1145   0.0107   0.3950   0.3950   0.0021   0.0000  -0.0830  -0.1817    0.460
    17   0.0000   0.8340   0.0000   0.2900   0.0145   0.1143   0.0109   0.3943   0.3943   0.0021   0.0000  -0.0830  -0.1815    0.460
    18   0.0000   0.8845   0.0000   0.2900   0.0148   0.1141   0.0111   0.3935   0.3935   0.0022   0.0000  -0.0829  -0.1813    0.461
    19   0.0000   0.9355   0.0000   0.2900   0.0148   0.1139   0.0113   0.3926   0.3926   0.0022   0.0000  -0.0829  -0.1811    0.461
    20   0.0000   0.9860   0.0000   0.2900   0.0145   0.1136   0.0116   0.3917   0.3917   0.0023   0.0000  -0.0829  -0.1808    0.462
    21   0.0000   1.0365   0.0000   0.2900   0.0148   0.1133   0.0119   0.3906   0.3906   0.0023   0.0000  -0.0829  -0.1805    0.462
    22   0.0000   1.0870   0.0000   0.2900   0.0145   0.1129   0.0123   0.3894   0.3894   0.0024   0.0000  -0.0828  -0.1802    0.463
    23   0.0000   1.1375   0.0000   0.2900   0.0148   0.1126   0.0127   0.3881   0.3881   0.0024   0.0000  -0.0828  -0.1798    0.463
    24   0.0000   1.1880   0.0000   0.2900   0.0145   0.1121   0.0131   0.3867   0.3867   0.0025   0.0000  -0.0827  -0.1794    0.464
    25   0.0000   1.2258   0.0000   0.2900   0.0074   0.1118   0.0135   0.3854   0.3854   0.0026   0.0000  -0.0826  -0.1790    0.464
    26   0.0000   1.2512   0.0000   0.2900   0.0074   0.1115   0.0139   0.3844   0.3844   0.0026   0.0000  -0.0826  -0.1787    0.465
    27   0.0000   1.2890   0.0000   0.2900   0.0145   0.1111   0.0144   0.3829   0.3829   0.0026   0.0000  -0.0825  -0.1782    0.465
    28   0.0000   1.3395   0.0000   0.2895   0.0148   0.1104   0.0148   0.3813   0.3813   0.0027   0.0000  -0.0825  -0.1778    0.466
    29   0.0005   1.3905   0.0000   0.2885   0.0147   0.1096   0.0155   0.3799   0.3798   0.0028   0.0000  -0.0823  -0.1772    0.467
    30   0.0010   1.4410   0.0000   0.2870   0.0144   0.1086   0.0160   0.3785   0.3784   0.0028   0.0000  -0.0821  -0.1768    0.467
    31   0.0015   1.4915   0.0000   0.2845   0.0145   0.1074   0.0160   0.3775   0.3775   0.0029   0.0000  -0.0822  -0.1766    0.468
    32   0.0020   1.5420   0.0000   0.2820   0.0141   0.1061   0.0164   0.3762   0.3761   0.0029   0.0000  -0.0821  -0.1762    0.468
    33   0.0025   1.5925   0.0000   0.2790   0.0142   0.1045   0.0166   0.3747   0.3747   0.0030   0.0000  -0.0821  -0.1758    0.469
    34   0.0035   1.6430   0.0000   0.2750   0.0137   0.1028   0.0166   0.3738   0.3738   0.0030   0.0000  -0.0821  -0.1755    0.470
