,flapped_0,flapped_18,flapped_36,flapped_54,flapped_72,flapped_90,flapped_108,flapped_126,flapped_144,flapped_162,flapped_180
roll_angle,0.0,0.3141592653589793,0.6283185307179586,0.9424777960769379,1.2566370614359172,1.5707963267948966,1.8849555921538759,2.199114857512855,2.5132741228718345,2.827433388230814,3.141592653589793
Surfaces,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Strips,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Sref,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
Cref,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
Bref,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Xref,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Yref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
pb/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
p'b/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Beta,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
qc/2V,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Mach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
r'b/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CXtot,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001
Cltot,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Cl'tot,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
CYtot,0.0,0.00647,0.0123,0.01693,0.01991,0.02093,0.01991,0.01693,0.0123,0.00647,0.0
Cmtot,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
CZtot,-0.02093,-0.01991,-0.01693,-0.0123,-0.00647,0.0,0.00647,0.0123,0.01693,0.01991,0.02093
Cntot,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
Cn'tot,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
CLtot,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0,-0.00647,-0.0123,-0.01693,-0.01991,-0.02093
CDtot,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
CDvis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDind,9.52e-05,9.6e-05,9.8e-05,0.0001005,0.0001025,0.0001033,0.0001025,0.0001005,9.8e-05,9.6e-05,9.52e-05
CLff,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0,-0.00647,-0.0123,-0.01693,-0.01991,-0.02093
CDff,0.0001044,0.0001031,9.98e-05,9.58e-05,9.25e-05,9.13e-05,9.25e-05,9.58e-05,9.98e-05,0.0001031,0.0001044
CYff,0.0,0.00647,0.0123,0.01693,0.01991,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0
e,0.3257,0.3296,0.3405,0.3549,0.3674,0.3725,0.3674,0.3549,0.3405,0.3296,0.3257
flap,1.49629,1.42306,1.21053,0.8795,0.46238,-0.0,-0.46238,-0.8795,-1.21053,-1.42306,-1.49629
aileron,0.0,0.00024,0.0004,0.0004,0.00024,0.0,-0.00024,-0.0004,-0.0004,-0.00024,-0.0
sflap,0.0,0.33252,0.63249,0.87055,1.0234,1.07606,1.0234,0.87055,0.63249,0.33252,0.0
elevator,0.81144,0.77173,0.65647,0.47695,0.25075,-0.0,-0.25075,-0.47695,-0.65647,-0.77173,-0.81144
rudder,0.0,0.20169,0.38364,0.52803,0.62074,0.65269,0.62074,0.52803,0.38364,0.20169,-0.0
