,unflapped_0,unflapped_18,unflapped_36,unflapped_54,unflapped_72,unflapped_90,unflapped_108,unflapped_126,unflapped_144,unflapped_162,unflapped_180
roll_angle,0.0,0.3141592653589793,0.6283185307179586,0.9424777960769379,1.2566370614359172,1.5707963267948966,1.8849555921538759,2.199114857512855,2.5132741228718345,2.827433388230814,3.141592653589793
Surfaces,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Strips,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
Sref,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
Cref,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
Bref,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Xref,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Yref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zref,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpha,0.28328,0.26942,0.22919,0.16652,0.08755,-0.0,-0.08755,-0.16652,-0.22919,-0.26942,-0.28328
pb/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
p'b/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Beta,-0.0,-0.23803,-0.45277,-0.6232,-0.73263,-0.77035,-0.73263,-0.6232,-0.45277,-0.23803,-0.0
qc/2V,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
Mach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rb/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
r'b/2V,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CXtot,8e-05,9e-05,0.00011,0.00015,0.00017,0.00018,0.00017,0.00015,0.00011,9e-05,8e-05
Cltot,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Cl'tot,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
CYtot,0.0,0.00647,0.0123,0.01693,0.01991,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0
Cmtot,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
CZtot,-0.02093,-0.01991,-0.01693,-0.0123,-0.00647,-0.0,0.00647,0.0123,0.01693,0.01991,0.02093
Cntot,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Cn'tot,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
CLtot,0.02093,0.01991,0.01693,0.0123,0.00647,0.0,-0.00647,-0.0123,-0.01693,-0.01991,-0.02093
CDtot,3e-05,1e-05,-5e-05,-0.00011,-0.00016,-0.00018,-0.00016,-0.00011,-5e-05,1e-05,3e-05
CDvis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDind,2.51e-05,5.4e-06,,,,,,,,5.4e-06,2.51e-05
CLff,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0,-0.00647,-0.0123,-0.01693,-0.01991,-0.02093
CDff,2.51e-05,3.15e-05,4.8e-05,6.85e-05,8.5e-05,9.14e-05,8.5e-05,6.85e-05,4.8e-05,3.15e-05,2.51e-05
CYff,-0.0,0.00647,0.0123,0.01693,0.01991,0.02093,0.01991,0.01693,0.0123,0.00647,-0.0
e,1.3527,1.0808,0.7081,0.4965,0.3999,0.3722,0.3999,0.4965,0.7081,1.0808,1.3527
flap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aileron,0.0,2e-05,4e-05,4e-05,2e-05,-0.0,-2e-05,-4e-05,-4e-05,-2e-05,-0.0
sflap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elevator,-0.16268,-0.15472,-0.13161,-0.09563,-0.05028,0.0,0.05028,0.09563,0.13161,0.15472,0.16268
rudder,-0.0,-0.12035,-0.22892,-0.3151,-0.37043,-0.3895,-0.37043,-0.3151,-0.22892,-0.12035,-0.0
