,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0444325,0.0454063,0.991,49.050000000000004,10.0,0.15057849718406893,0.19501099718406895,5.853952943433912,180.12162902873573,168
1,6.0,10.0,58.86,1.9607857126916248,0.0634086,0.0657908,0.9913,58.86,10.0,0.3533636232903779,0.4167722232903779,12.51090973587163,384.95106879605015,168
2,7.0,10.0,68.67,2.2875833314735625,0.0852377,0.090249,0.9914,68.67,10.0,0.7453638076287719,0.8306015076287718,24.933476627549446,767.1838962322906,168
3,8.0,10.0,78.48,2.6143809502554998,0.1094779,0.1190001,0.9915,78.48,10.0,1.422368248858764,1.5318461488587638,45.983843995913034,1414.8875075665549,168
4,9.0,10.0,88.29,2.9411785690374375,0.1354857,0.1523248,0.9916,88.29,10.0,2.500154840921555,2.6356405409215546,79.11818269304209,2434.4056213243716,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1623081,0.1905823,0.9917,98.10000000000001,10.0,4.114490173040032,4.276798273040032,128.38340504102118,3950.2586166468054,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.188488,0.2342362,0.9918,107.91000000000001,10.0,6.421129529718772,6.609617529718772,198.41132321654774,6104.963791278391,168
7,12.0,10.0,117.72,3.9215714253832497,0.2116777,0.2838952,0.9918,117.72,10.0,9.59581689074403,9.80749459074403,294.40704707030955,9058.67837139414,168
8,13.0,10.0,127.53,4.248369044165187,0.2277661,0.3403839,0.9919,127.53,10.0,13.834284931183767,14.062051031183767,422.12278391159856,12988.393351126108,168
9,14.0,10.0,137.34,4.575166662947125,0.2283927,0.4048881,0.9919,137.34,10.0,19.352255021387613,19.580647721387614,587.7832123219539,18085.637302213963,168
10,15.0,10.0,147.15,4.901964281729062,0.2283927,0.4048881,0.9919,147.15,10.0,26.385437226986895,26.613829926986895,798.9093450462184,24581.8260014221,168
11,16.0,10.0,156.96,5.2287619005109995,0.2283927,0.4048881,0.9919,156.96,10.0,35.189530308894625,35.417923008894626,1063.1957050736635,32713.714002266574,168
12,17.0,10.0,166.77,5.555559519292937,0.2283927,0.4048881,0.9919,166.77,10.0,46.04022172330551,46.26861442330551,1388.9180379722964,42735.93962991681,168
13,18.0,10.0,176.58,5.882357138074875,0.2283927,0.4048881,0.9919,176.58,10.0,59.23318762169592,59.46158032169592,1784.9521215302004,54921.60373939078,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2283927,0.4048881,0.9919,186.39000000000001,10.0,75.08409285082395,75.31248555082395,2260.7737657555363,69562.26971555497,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2283927,0.4048881,0.9919,196.20000000000002,10.0,93.92859095272932,94.15698365272932,2826.4588128765386,86967.96347312425,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0305164,0.0308861,0.9908,49.050000000000004,11.0,0.06871426860251821,0.09923066860251821,3.604303984126381,121.99182715504675,168
17,6.0,11.0,58.86,1.6204840600757229,0.0437146,0.0446489,0.991,58.86,11.0,0.1450900688838529,0.1888046688838529,6.8578538254700785,232.11197563129494,168
18,7.0,11.0,68.67,1.89056473675501,0.0590782,0.0610735,0.9912,68.67,11.0,0.2967232597927847,0.35580145979278466,12.923591437502132,437.41386403853375,168
19,8.0,11.0,78.48,2.160645413434297,0.0764443,0.080252,0.9913,78.48,11.0,0.5649558939212507,0.6414001939212507,23.297245770156284,788.5221645283666,168
20,9.0,11.0,88.29,2.4307260901135845,0.095591,0.1022991,0.9915,88.29,11.0,1.0004548977308585,1.0960458977308585,39.81110529246657,1347.452794514253,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1162165,0.1273552,0.9915,98.10000000000001,11.0,1.6632120715528864,1.7794285715528864,64.63325885273359,2187.587222707906,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1379079,0.1555928,0.9916,107.91000000000001,11.0,2.622544089588284,2.760451989588284,100.26646241714585,3393.634112580321,168
23,12.0,11.0,117.72,3.2409681201514458,0.1600914,0.1872231,0.9917,117.72,11.0,3.957092499907667,4.117183899907667,149.54633021027138,5061.5680994245695,168
