,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065431,0.006545,0.989,49.050000000000004,10.0,0.01945786988425384,0.02600096988425384,2.046859059324936,62.98027874845957,168
1,6.0,10.0,58.86,0.7476905067864906,0.009415,0.0094253,0.9895,58.86,10.0,0.020442002052382276,0.029857002052382276,2.3504152117114634,72.32046805266042,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128038,0.0128342,0.99,68.67,10.0,0.021845401362236675,0.034649201362236676,2.7276686993748784,83.92826767307318,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167057,0.0167752,0.9902,78.48,10.0,0.025233659705816865,0.041939359705816866,3.3015675468369916,101.58669374883048,168
4,9.0,10.0,88.29,1.121535760179736,0.0211157,0.021252,0.9905,88.29,10.0,0.03288808366357105,0.05400378366357105,4.251308098185452,130.80947994416772,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260274,0.0262694,0.9907,98.10000000000001,10.0,0.04780569450439577,0.07383309450439576,5.812319272591379,178.8405930028117,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0314331,0.0318327,0.9908,107.91000000000001,10.0,0.07369922818563591,0.10513232818563592,8.276270436550549,254.6544749707861,168
7,12.0,10.0,117.72,1.4953810135729813,0.0373238,0.0379478,0.9909,117.72,10.0,0.1149971353530847,0.1523209353530847,11.991071403883387,368.9560431964119,168
8,13.0,10.0,127.53,1.6199960980373964,0.0436888,0.0446217,0.991,127.53,10.0,0.17684358134098385,0.22053238134098385,17.360840946770256,534.1797214390847,168
9,14.0,10.0,137.34,1.7446111825018116,0.0505154,0.0518619,0.9911,137.34,10.0,0.2650984461720232,0.3156138461720232,24.845883179027865,764.4887132008573,168
10,15.0,10.0,147.15,1.8692262669662265,0.0577891,0.059677,0.9912,147.15,10.0,0.3863373245573411,0.4441264245573411,34.96270330059167,1075.7754861720512,168
11,16.0,10.0,156.96,1.9938413514306417,0.065493,0.0680763,0.9913,156.96,10.0,0.5478515258965243,0.6133445258965243,48.28396036406879,1485.6603188944239,168
12,17.0,10.0,166.77,2.118456435895057,0.0736078,0.0770703,0.9913,166.77,10.0,0.7576480742776077,0.8312558742776077,65.43846727473793,2013.4913007611667,168
13,18.0,10.0,176.58,2.243071520359472,0.0821111,0.0866705,0.9914,176.58,10.0,1.0244497084770745,1.1065608084770746,87.1111356848612,2680.3426364572674,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.090977,0.0968895,0.9914,186.39000000000001,10.0,1.357694881959857,1.4486718819598572,114.0429445047193,3509.013677068286,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1001761,0.1077411,0.9915,196.20000000000002,10.0,1.767537762879335,1.867713862879335,147.03093990261152,4524.028920080354,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044722,0.004472,0.9882,49.050000000000004,11.0,0.01820033461282264,0.022672534612822638,2.1596522946186103,73.09592381786067,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064356,0.0064373,0.9889,58.86,11.0,0.0192784801270803,0.025714080127080298,2.4493720309086378,82.90182258460003,168
18,7.0,11.0,68.67,0.720913711777608,0.0087542,0.0087619,0.9894,68.67,11.0,0.020023051410997396,0.028777251410997396,2.7411517108205614,92.77744252008054,168
