,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0444325,0.0454063,0.991,49.050000000000004,10.0,0.302265929218444,0.34669842921844396,10.407394041944956,320.2275089829217,168
1,6.0,10.0,58.86,1.9607857126916248,0.0634086,0.0657908,0.9913,58.86,10.0,0.9114725650132569,0.974881165013257,29.264546860610853,900.447595711103,168
2,7.0,10.0,68.67,2.2875833314735625,0.0852377,0.090249,0.9914,68.67,10.0,2.1768675151404415,2.2621052151404415,67.90518316271853,2089.3902511605697,168
3,8.0,10.0,78.48,2.6143809502554998,0.1094779,0.1190001,0.9915,78.48,10.0,4.448404231323402,4.557882131323402,136.8211429291905,4209.881320898169,168
4,9.0,10.0,88.29,2.9411785690374375,0.1354857,0.1523248,0.9916,88.29,10.0,8.150010330037896,8.285496030037896,248.71881367320492,7652.88657456015,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1623081,0.1905823,0.9917,98.10000000000001,10.0,13.779587592512028,13.941895692512029,418.5158914355665,12877.412044171277,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.188488,0.2342362,0.9918,107.91000000000001,10.0,21.90901196472626,22.09749996472626,663.3355391693145,20410.324282132755,168
7,12.0,10.0,117.72,3.9215714253832497,0.2116777,0.2838952,0.9918,117.72,10.0,33.18413355741339,33.39581125741339,1002.4947845591003,30845.99337104924,168
8,13.0,10.0,127.53,4.248369044165187,0.2277661,0.3403839,0.9919,127.53,10.0,48.3247766460586,48.5525427460586,1457.4783198058008,44845.48676325541,168
9,14.0,10.0,137.34,4.575166662947125,0.2283927,0.4048881,0.9919,137.34,10.0,68.1247396708994,68.3531323708994,2051.8638754401627,63134.27309046654,168
10,15.0,10.0,147.15,4.901964281729062,0.2283927,0.4048881,0.9919,147.15,10.0,93.45179523692565,93.68018793692565,2812.146083213857,86527.57179119557,168
11,16.0,10.0,156.96,5.2287619005109995,0.2283927,0.4048881,0.9919,156.96,10.0,125.24769011387956,125.47608281387956,3766.6136521806047,115895.80468248014,168
12,17.0,10.0,166.77,5.555559519292937,0.2283927,0.4048881,0.9919,166.77,10.0,164.52814523625577,164.75653793625577,4945.757081030488,152177.14095478423,168
13,18.0,10.0,176.58,5.882357138074875,0.2283927,0.4048881,0.9919,176.58,10.0,212.38285570330106,212.61124840330106,6382.287467731278,196378.0759301932,168
