,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065431,0.006545,0.989,49.050000000000004,10.0,0.011657282755281696,0.018200382755281696,1.432778026807009,44.085477747907966,168
1,6.0,10.0,58.86,0.7476905067864906,0.009415,0.0094253,0.9895,58.86,10.0,0.012079624999812527,0.02149462499981253,1.6921087214636075,52.06488373734175,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128038,0.0128342,0.99,68.67,10.0,0.013409279591047686,0.026213079591047687,2.0635568470172587,63.494056831300256,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167057,0.0167752,0.9902,78.48,10.0,0.01729477144352205,0.03400047144352205,2.6765991155444575,82.35689586290638,168
4,9.0,10.0,88.29,1.121535760179736,0.0211157,0.021252,0.9905,88.29,10.0,0.026105117216533965,0.04722081721653397,3.7173366200821323,114.37958831021945,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260274,0.0262694,0.9907,98.10000000000001,10.0,0.042929825314145284,0.06895722531414528,5.428479090145279,167.03012585062396,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0314331,0.0318327,0.9908,107.91000000000001,10.0,0.07157889588518133,0.10301199588518134,8.109352763968149,249.51854658363527,168
7,12.0,10.0,117.72,1.4953810135729813,0.0373238,0.0379478,0.9909,117.72,10.0,0.11658282082323085,0.15390662082323084,12.115900388504231,372.7969350308994,168
8,13.0,10.0,127.53,1.6199960980373964,0.0436888,0.0446217,0.991,127.53,10.0,0.18319258376664632,0.22688138376664632,17.860649730461564,549.5584532449711,168
9,14.0,10.0,137.34,1.7446111825018116,0.0505154,0.0518619,0.9911,137.34,10.0,0.2773796600985434,0.3278950600985434,25.812689959579114,794.2366141408958,168
10,15.0,10.0,147.15,1.8692262669662265,0.0577891,0.059677,0.9912,147.15,10.0,0.4058360169468015,0.4636251169468015,36.49768739310921,1123.0057659418217,168
11,16.0,10.0,156.96,1.9938413514306417,0.065493,0.0680763,0.9913,156.96,10.0,0.5759741131840631,0.6414671131840631,50.497838262370394,1553.779638842166,168
12,17.0,10.0,166.77,2.118456435895057,0.0736078,0.0770703,0.9913,166.77,10.0,0.7959268994277351,0.8695346994277351,68.45186871274748,2106.2113450076145,168
13,18.0,10.0,176.58,2.243071520359472,0.0821111,0.0866705,0.9914,176.58,10.0,1.0745478180399863,1.1566589180399864,91.05497969800317,2801.691683015482,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.090977,0.0968895,0.9914,186.39000000000001,10.0,1.421410803127751,1.5123878031277511,119.05881549131345,3663.34816896349,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1001761,0.1077411,0.9915,196.20000000000002,10.0,1.8468102805427253,1.9469863805427254,153.27146368526746,4716.045036469768,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044722,0.004472,0.9882,49.050000000000004,11.0,0.010795364636448555,0.015267564636448554,1.4542984083348196,49.22240766671697,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064356,0.0064373,0.9889,58.86,11.0,0.011163694082161007,0.01759929408216101,1.6764052408463768,56.739869690185046,168
18,7.0,11.0,68.67,0.720913711777608,0.0087542,0.0087619,0.9894,68.67,11.0,0.011495381099308501,0.0202495810993085,1.928855993959062,65.2843567186144,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114263,0.0114471,0.9898,78.48,11.0,0.012242534514740824,0.023668834514740826,2.254553963357888,76.30798029826698,168
20,9.0,11.0,88.29,0.9268890579997818,0.01445,0.0144947,0.9901,88.29,11.0,0.014175495573013555,0.028625495573013554,2.7266963422735344,92.28818389233501,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178228,0.0179068,0.9903,98.10000000000001,11.0,0.018382837936388067,0.03620563793638806,3.4487361198350177,116.72645328672368,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0215416,0.0216858,0.9905,107.91000000000001,11.0,0.026271367684831525,0.04781296768483152,4.554382081069695,154.14831659005125,168
23,12.0,11.0,117.72,1.2358520773330424,0.0256026,0.0258342,0.9906,117.72,11.0,0.03956612331601686,0.06516872331601686,6.207589281491425,210.10302183509438,168
24,13.0,11.0,127.53,1.3388397504441292,0.0300016,0.0303551,0.9908,127.53,11.0,0.06031037574532287,0.09031197574532288,8.602587623336076,291.16450417445174,168
25,14.0,11.0,137.34,1.441827423555216,0.0347335,0.0352518,0.9909,137.34,11.0,0.09086562830583408,0.12559912830583408,11.963834228502353,404.92977388777183,168
26,15.0,11.0,147.15,1.544815096666303,0.0397927,0.0405281,0.991,147.15,11.0,0.13391161674834084,0.17370431674834086,16.546051540199137,560.0202059759708,168
27,16.0,11.0,156.96,1.6478027697773898,0.0451725,0.0461879,0.9911,156.96,11.0,0.19244630924133926,0.23761880924133927,22.634170170474473,766.079605769905,168
28,17.0,11.0,166.77,1.7507904428884766,0.0508656,0.0522358,0.9911,166.77,11.0,0.26978590637103134,0.32065150637103135,30.543376527274773,1033.7758209231463,168
29,18.0,11.0,176.58,1.8537781159995637,0.0568636,0.0586766,0.9912,176.58,11.0,0.3695648411413246,0.4264284411413246,40.61906518738558,1374.799129419204,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0631571,0.0655157,0.9913,186.39000000000001,11.0,0.4957357789738328,0.5588928789738328,53.23684842184351,1801.862561970088,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0697353,0.0727587,0.9913,196.20000000000002,11.0,0.6525696177078751,0.7223049177078751,68.80251809428881,2328.7006124220825,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031599,0.0031597,0.9873,49.050000000000004,12.0,0.010081610610022045,0.013241510610022045,1.5010612582366023,55.423800304120704,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045469,0.0045468,0.9882,58.86,12.0,0.01054216033123813,0.015089060331238132,1.7104999990917658,63.15692304338827,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061853,0.0061867,0.9889,68.67,12.0,0.01086608071515633,0.01705138071515633,1.9329491736080169,71.37043102552678,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080746,0.0080801,0.9893,78.48,12.0,0.01112322861225118,0.01919782861225118,2.176271093292461,80.35462498310623,168
36,9.0,12.0,88.29,0.7788442779025945,0.0102138,0.0102278,0.9897,88.29,12.0,0.011541436221438751,0.021755236221438753,2.4661795181488735,91.05893605472762,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.012602,0.0126309,0.9899,98.10000000000001,12.0,0.012506511090076668,0.02510851109007667,2.846307672841522,105.09443715107157,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0152378,0.0152905,0.9902,107.91000000000001,12.0,0.014562236113964077,0.029800036113964076,3.378140230531344,124.73133158884963,168
39,12.0,12.0,117.72,1.0384590372034592,0.0181195,0.0182077,0.9903,117.72,12.0,0.018410369537341674,0.03652986953734168,4.1410359849305545,152.89979021282045,168
40,13.0,12.0,127.53,1.1249972903037475,0.0212454,0.0213841,0.9905,127.53,12.0,0.024910644952891702,0.0461560449528917,5.232261858384559,193.19120707881447,168
41,14.0,12.0,137.34,1.2115355434040358,0.0246131,0.0248212,0.9906,137.34,12.0,0.035080771301737944,0.05969387130173794,6.766913549680823,249.85526952667652,168
42,15.0,12.0,147.15,1.298073796504324,0.0282202,0.0285208,0.9907,147.15,12.0,0.05009643287344571,0.0783166328734457,8.877994886240003,327.8028881073232,168
43,16.0,12.0,156.96,1.3846120496046124,0.0320639,0.0324848,0.9908,156.96,12.0,0.07129128930602187,0.10335518930602186,11.71637248000673,432.60452233871,168
44,17.0,12.0,166.77,1.4711503027049007,0.0361409,0.0367152,0.9909,166.77,12.0,0.10015697558591481,0.1362978755859148,15.450764391422297,570.4897621448232,168
45,18.0,12.0,176.58,1.557688555805189,0.0404478,0.0412145,0.991,176.58,12.0,0.13834310204801448,0.17879090204801448,20.267785473533895,748.3490020997131,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0449804,0.0459849,0.9911,186.39000000000001,12.0,0.18765725437565237,0.23263765437565237,26.37186801980346,973.7305115004355,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0497345,0.0510292,0.9911,196.20000000000002,12.0,0.2500649936006015,0.29979949360060154,33.985352452326126,1254.8437828551187,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.002296,0.0022961,0.9863,49.050000000000004,13.0,0.009421627679246716,0.011717627679246716,1.5589234510926124,62.35693804370449,168
49,6.0,13.0,58.86,0.44242041821685835,0.0033033,0.003303,0.9874,58.86,13.0,0.009889624516389604,0.013192924516389605,1.7551982346666077,70.2079293866643,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044933,0.0044932,0.9882,68.67,13.0,0.010299839679910877,0.014793139679910878,1.9680922618104777,78.7236904724191,168
51,8.0,13.0,78.48,0.5898938909558111,0.005866,0.0058669,0.9888,78.48,13.0,0.010599289100685068,0.016465289100685065,2.190556485553708,87.62225942214832,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074208,0.0074245,0.9892,88.29,13.0,0.01081854690207765,0.018239346902077652,2.4265786895261843,97.06314758104736,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091574,0.0091666,0.9895,98.10000000000001,13.0,0.01107174539994506,0.02022914539994506,2.6913032247465907,107.65212898986363,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0110751,0.0110938,0.9898,107.91000000000001,13.0,0.01155657510263469,0.02263167510263469,3.0109378810092142,120.43751524036854,168
55,12.0,13.0,117.72,0.8848408364337167,0.0131732,0.0132065,0.99,117.72,13.0,0.012554284710984874,0.025727484710984874,3.4228071032343386,136.91228412937355,168
56,13.0,13.0,127.53,0.9585775728031931,0.0154508,0.0155057,0.9902,127.53,13.0,0.014429681118324909,0.02988048111832491,3.9753253832930504,159.01301533172202,168
57,14.0,13.0,137.34,1.0323143091726696,0.0179069,0.017992,0.9903,137.34,13.0,0.017631129410475045,0.03553802941047504,4.728010564094834,189.12042256379334,168
58,15.0,13.0,147.15,1.106051045542146,0.0205403,0.0206664,0.9905,147.15,13.0,0.022690552865746477,0.043230852865746475,5.751470535499975,230.058821419999,168
59,16.0,13.0,156.96,1.1797877819116223,0.0233497,0.0235299,0.9906,156.96,13.0,0.03022343295494136,0.05357313295494136,7.127416538407159,285.0966615362863,168
60,17.0,13.0,166.77,1.2535245182810988,0.0263336,0.0265834,0.9907,166.77,13.0,0.04092880934135281,0.0672624093413528,8.94864986066587,357.9459944266348,168
61,18.0,13.0,176.58,1.327261254650575,0.0294903,0.0298281,0.9908,176.58,13.0,0.055589279880764876,0.08507957988076488,11.319061837076397,452.7624734830558,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0328181,0.0332653,0.9908,186.39000000000001,13.0,0.0750710006214526,0.1078891006214526,14.353660457565024,574.146418302601,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0363148,0.0368963,0.9909,196.20000000000002,13.0,0.1003236858041819,0.1366384858041819,18.17850384674603,727.1401538698411,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0017086,0.0017089,0.9852,49.050000000000004,14.0,0.008852363870921831,0.01056096387092183,1.629513712543546,70.19443684802967,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024576,0.0024576,0.9865,58.86,14.0,0.009249435917679343,0.011707035917679343,1.806347961631002,77.81191219333547,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033426,0.0033424,0.9875,68.67,14.0,0.009678412339741453,0.013021012339741452,2.0090891719862856,86.54537971633229,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043635,0.0043633,0.9881,78.48,14.0,0.010055122273047922,0.014418622273047924,2.224734692503645,95.83472521554162,168
68,9.0,14.0,88.29,0.5722121225406815,0.0055202,0.0055207,0.9886,88.29,14.0,0.010341943902894129,0.01586214390289413,2.447464200807728,105.4292271117175,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0068124,0.0068148,0.989,98.10000000000001,14.0,0.010547804463931046,0.017360204463931043,2.67860884406814,115.3862271290891,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.0082399,0.0082459,0.9893,107.91000000000001,14.0,0.010728180240165258,0.018968080240165257,2.9266975277776086,126.07312427349696,168
71,12.0,14.0,117.72,0.7629494967209087,0.0098022,0.0098142,0.9896,117.72,14.0,0.010985096564958958,0.02078729656495896,3.207395197381098,138.16471619487808,168
72,13.0,14.0,127.53,0.8265286214476512,0.0114991,0.0115203,0.9898,127.53,14.0,0.011467127821029946,0.022966227821029944,3.543595415832133,152.64718714353802,168
73,14.0,14.0,137.34,0.8901077461743935,0.0133299,0.0133646,0.99,137.34,14.0,0.012369397440451629,0.02569929744045163,3.9652969268510385,170.81279069512163,168
