,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.04382,0.0455369,0.9919,49.050000000000004,10.0,0.4524757608211772,0.4962957608211772,14.898093296403314,458.40287065856353,168
1,6.0,10.0,58.86,1.9607857126916248,0.0622913,0.0660394,0.9919,58.86,10.0,1.2083519270994982,1.2706432270994983,38.142903563087515,1173.6278019411543,168
2,7.0,10.0,68.67,2.2875833314735625,0.0833646,0.0906667,0.992,68.67,10.0,2.659226199726003,2.742590799726003,82.32867744138885,2533.1900751196567,168
3,8.0,10.0,78.48,2.6143809502554998,0.1065207,0.1196472,0.992,78.48,10.0,5.131887390179644,5.238408090179644,157.2495649025905,4838.448150848937,168
4,9.0,10.0,88.29,2.9411785690374375,0.1310163,0.15327,0.992,88.29,10.0,9.015396699528988,9.14641299952899,274.56231737493516,8448.071303844157,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.155765,0.1919006,0.992,98.10000000000001,10.0,14.761087718432218,14.916852718432219,447.7827155327735,13777.929708700722,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1791227,0.236004,0.992,107.91000000000001,10.0,22.88256642713713,23.061689127137132,692.2791273096008,21300.89622491079,168
7,12.0,10.0,117.72,3.9215714253832497,0.1984641,0.286179,0.9921,117.72,10.0,33.9557111954811,34.1541752954811,1025.2597950300255,31546.45523169309,168
8,13.0,10.0,127.53,4.248369044165187,0.209225,0.3432128,0.9921,127.53,10.0,48.618672782891196,48.8278977828912,1465.7440866170648,45099.81804975583,168
9,14.0,10.0,137.34,4.575166662947125,0.209225,0.3432128,0.9921,137.34,10.0,67.57187433838405,67.78109933838405,2034.692256901779,62605.91559697781,168
10,15.0,10.0,147.15,4.901964281729062,0.209225,0.3432128,0.9921,147.15,10.0,91.57801140056588,91.78723640056589,2755.322368766658,84779.14980820486,168
11,16.0,10.0,156.96,5.2287619005109995,0.209225,0.3432128,0.9921,156.96,10.0,121.46205189763259,121.6712768976326,3652.398786792345,112381.50113207214,168
12,17.0,10.0,166.77,5.555559519292937,0.209225,0.3432128,0.9921,166.77,10.0,158.11123614736962,158.32046114736963,4752.5552041799,146232.46782092,168
13,18.0,10.0,176.58,5.882357138074875,0.209225,0.3432128,0.9921,176.58,10.0,202.47507685715212,202.68430185715212,6084.294642750806,187209.06593079402,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.209225,0.3432128,0.9921,186.39000000000001,10.0,255.56535912394472,255.77458412394472,7677.989452946961,236245.8293214449,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.209225,0.3432128,0.9921,196.20000000000002,10.0,318.4561404343018,318.6653654343018,9565.881313830689,294334.8096563289,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0301865,0.0309489,0.9918,49.050000000000004,11.0,0.15326432917902222,0.18345082917902222,6.663389089413615,225.53009225707618,168
17,6.0,11.0,58.86,1.6204840600757229,0.0431185,0.0447757,0.9919,58.86,11.0,0.43210312352744124,0.47522162352744124,17.261227956489815,584.2261769888861,168
