,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065107,0.0065382,0.9914,49.050000000000004,10.0,0.013650823539004047,0.020161523539004047,1.5871637592486547,48.83580797688169,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093617,0.0094224,0.9915,58.86,10.0,0.014452879418285358,0.02381457941828536,1.8747411286319182,57.684342419443624,168
2,7.0,10.0,68.67,0.8723055912509058,0.01272,0.0128381,0.9916,68.67,10.0,0.018785052835366804,0.0315050528353668,2.4801537441737587,76.31242289765412,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165796,0.0167888,0.9917,78.48,10.0,0.029821486567434205,0.046401086567434205,3.65280544633033,112.39401373324091,168
4,9.0,10.0,88.29,1.121535760179736,0.0209333,0.0212791,0.9917,88.29,10.0,0.051627697036165585,0.07256099703616559,5.712176691803725,175.75928282472998,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0257725,0.0263141,0.9918,98.10000000000001,10.0,0.0891605743077311,0.1149330743077311,9.047808809059608,278.3941172018341,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.031087,0.0318994,0.9918,107.91000000000001,10.0,0.1482683820927931,0.17935538209279311,14.119288253844854,434.4396385798416,168
7,12.0,10.0,117.72,1.4953810135729813,0.036865,0.0380417,0.9918,117.72,10.0,0.23569075774650597,0.272555757746506,21.456246609187527,660.1922033596162,168
8,13.0,10.0,127.53,1.6199960980373964,0.0430932,0.0447483,0.9919,127.53,10.0,0.35905871226851666,0.40215191226851665,31.65836845763811,974.1036448504035,168
9,14.0,10.0,137.34,1.7446111825018116,0.049756,0.0520273,0.9919,137.34,10.0,0.5268946303029637,0.5766506303029637,45.39532840333998,1396.779335487384,168
10,15.0,10.0,147.15,1.8692262669662265,0.0568356,0.0598877,0.9919,147.15,10.0,0.7486122701384785,0.8054478701384785,63.406798944270655,1950.9784290544817,168
11,16.0,10.0,156.96,1.9938413514306417,0.0643118,0.0683395,0.9919,156.96,10.0,1.034516763708184,1.098828563708184,86.50243472775935,2661.613376238749,168
12,17.0,10.0,166.77,2.118456435895057,0.0721615,0.0773936,0.9919,166.77,10.0,1.395804616589696,1.467966116589696,115.56183318928115,3555.748713516343,168
13,18.0,10.0,176.58,2.243071520359472,0.0803583,0.0870619,0.9919,176.58,10.0,1.8445637080051214,1.9249220080051215,151.53450306349214,4662.600094261296,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0888719,0.0973576,0.992,186.39000000000001,10.0,2.39377329082106,2.48264519082106,195.43981715078246,6013.5328354086905,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0976679,0.108295,0.992,196.20000000000002,10.0,3.0573039915486038,3.1549718915486036,248.36699657279385,7642.061433009042,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044517,0.0044636,0.9912,49.050000000000004,11.0,0.012990864883254237,0.017442564883254238,1.6614761391895505,56.23457701872324,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064039,0.0064304,0.9914,58.86,11.0,0.012662337532136319,0.019066237532136317,1.8161376457987186,61.46927416549507,168
18,7.0,11.0,68.67,0.720913711777608,0.0087061,0.008758,0.9915,68.67,11.0,0.013199950978986373,0.021906050978986374,2.086641571871013,70.62479166332659,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113556,0.011448,0.9916,78.48,11.0,0.015824672012314724,0.027180272012314724,2.5890328462242262,87.62880402605073,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143493,0.0145025,0.9916,88.29,11.0,0.022161203904707504,0.0365105039047075,3.4777758588529855,117.70933676117795,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0176833,0.0179237,0.9917,98.10000000000001,11.0,0.03423798641282666,0.05192128641282666,4.945716359281421,167.39347677567886,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0213533,0.0217143,0.9917,107.91000000000001,11.0,0.05448719577740992,0.07584049577740992,7.224119558210492,244.50866197020125,168
23,12.0,11.0,117.72,1.2358520773330424,0.0253544,0.0258772,0.9918,117.72,11.0,0.08574474472327077,0.11109914472327077,10.582651076694322,358.18203644196166,168
24,13.0,11.0,127.53,1.3388397504441292,0.0296807,0.0304157,0.9918,127.53,11.0,0.13125028245929865,0.16093098245929865,15.329338844492892,518.8391608905285,168
25,14.0,11.0,137.34,1.441827423555216,0.0343259,0.0353334,0.9918,137.34,11.0,0.1946471946784587,0.2289730946784587,21.810630252542996,738.2059470091475,168
26,15.0,11.0,147.15,1.544815096666303,0.0392827,0.0406342,0.9918,147.15,11.0,0.27998260355779186,0.31926530355779187,30.411335000487277,1029.3067230934155,168
27,16.0,11.0,156.96,1.6478027697773898,0.0445429,0.0463226,0.9919,156.96,11.0,0.39170736775841486,0.43625026775841486,41.55463462208604,1406.464556439835,168
28,17.0,11.0,166.77,1.7507904428884766,0.0500974,0.0524033,0.9919,166.77,11.0,0.5346760824255202,0.5847734824255202,55.70208248521727,1885.3012533458152,168
29,18.0,11.0,176.58,1.8537781159995637,0.055936,0.0588814,0.9919,176.58,11.0,0.7141470791883764,0.7700830791883764,73.35358474105297,2482.7367143125616,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0620474,0.0657625,0.9919,186.39000000000001,11.0,0.9357824261603276,0.9978298261603276,95.04740032405914,3216.988934045078,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0684188,0.0730527,0.9919,196.20000000000002,11.0,1.2056479279387937,1.2740667279387936,121.36010285034844,4107.572711857946,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031455,0.0031509,0.991,49.050000000000004,12.0,0.012781286273197561,0.01592678627319756,1.8054648406063978,66.66331719162083,168
33,6.0,12.0,58.86,0.5192295186017296,0.004526,0.0045383,0.9912,58.86,12.0,0.012392699799458808,0.016918699799458807,1.9179084287771233,70.81508044715531,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061552,0.0061795,0.9914,68.67,12.0,0.01206625854755633,0.01822145854755633,2.0655895161689153,76.26792059700611,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080316,0.0080752,0.9915,78.48,12.0,0.012292641590215116,0.020324241590215116,2.303961576032162,85.06935049964905,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101539,0.0102264,0.9915,88.29,12.0,0.013765129774698615,0.023919029774698616,2.711467746152271,100.1157321656223,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125202,0.0126343,0.9916,98.10000000000001,12.0,0.017379605722808715,0.029899805722808717,3.3894501406312356,125.148928269461,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0151285,0.0153002,0.9916,107.91000000000001,12.0,0.02423455383088577,0.03936305383088577,4.462206530024155,164.75839495473807,168
39,12.0,12.0,117.72,1.0384590372034592,0.0179764,0.0182254,0.9917,117.72,12.0,0.03563106026980854,0.053607460269808546,6.076956333257321,224.37992615103954,168
40,13.0,12.0,127.53,1.1249972903037475,0.0210612,0.0214116,0.9917,127.53,12.0,0.05307281298499432,0.07413401298499432,8.403851953655531,310.2960721349734,168
41,14.0,12.0,137.34,1.2115355434040358,0.0243801,0.0248605,0.9918,137.34,12.0,0.07826610169639879,0.10264620169639879,11.636001450996678,429.63697665218496,168
42,15.0,12.0,147.15,1.298073796504324,0.0279297,0.028574,0.9918,147.15,12.0,0.11311981789851608,0.14104951789851608,15.98941186137525,590.3782841123169,168
43,16.0,12.0,156.96,1.3846120496046124,0.0317063,0.0325543,0.9918,156.96,12.0,0.1597454548603788,0.1914517548603788,21.70302320528423,801.3423952720331,168
44,17.0,12.0,166.77,1.4711503027049007,0.0357058,0.0368034,0.9918,166.77,12.0,0.220457107625558,0.256162907625558,29.038697151587787,1072.1980486740104,168
45,18.0,12.0,176.58,1.557688555805189,0.0399238,0.041324,0.9918,176.58,12.0,0.2977714730121632,0.33769527301216323,38.28122835354861,1413.4607392079488,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0443552,0.0461186,0.9919,186.39000000000001,12.0,0.39440784961284225,0.43876304961284224,49.738299104718635,1836.4910438665343,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0489947,0.05119,0.9919,196.20000000000002,12.0,0.5132881377947817,0.5622828377947817,63.74053601907564,2353.4967145504847,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0022849,0.0022875,0.9908,49.050000000000004,13.0,0.012513643503399294,0.014798543503399294,1.9688111912211277,78.7524476488451,168
49,6.0,13.0,58.86,0.44242041821685835,0.0032883,0.0032943,0.991,58.86,13.0,0.012286894300519267,0.015575194300519266,2.0721374936163177,82.8854997446527,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044728,0.0044847,0.9912,68.67,13.0,0.011907595966664903,0.016380395966664903,2.1792622286372527,87.1704891454901,168
51,8.0,13.0,78.48,0.5898938909558111,0.0058378,0.0058594,0.9913,78.48,13.0,0.011567309292756251,0.017405109292756252,2.3155909871896503,92.623639487586,168
52,9.0,13.0,88.29,0.6636306273252875,0.0073825,0.0074187,0.9914,88.29,13.0,0.01156563829097257,0.01894813829097257,2.5208769168062495,100.83507667224998,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091061,0.0091634,0.9915,98.10000000000001,13.0,0.012310230194752334,0.021416330194752337,2.8492473298220142,113.96989319288058,168
