,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.044393,0.0454134,0.9912,49.050000000000004,10.0,0.09519905408999678,0.13959205408999678,4.19035504520193,128.93400139082857,168
1,6.0,10.0,58.86,1.9607857126916248,0.0633351,0.0658062,0.9913,58.86,10.0,0.22457835998364448,0.2879134599836445,8.64275282349659,265.9308561075874,168
2,7.0,10.0,68.67,2.2875833314735625,0.0851125,0.0902767,0.9915,68.67,10.0,0.4873804869032727,0.5724929869032727,17.185425715322,528.7823297022154,168
3,8.0,10.0,78.48,2.6143809502554998,0.1092773,0.1190447,0.9916,78.48,10.0,0.9573100543723845,1.0665873543723845,32.01743631239521,985.1518865352372,168
4,9.0,10.0,88.29,2.9411785690374375,0.1351784,0.1523917,0.9917,88.29,10.0,1.7245229858891344,1.8597013858891345,55.82559219241398,1717.710528997353,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1618527,0.1906776,0.9917,98.10000000000001,10.0,2.895626508926327,3.0574792089263267,91.78117989770696,2824.0363045448294,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1878283,0.2343663,0.9918,107.91000000000001,10.0,4.593679154931418,4.781507454931417,143.53405727896873,4416.4325316605755,168
7,12.0,10.0,117.72,3.9215714253832497,0.2107351,0.2840663,0.9918,117.72,10.0,6.95819075932651,7.16892585932651,215.2009642607596,6621.568131100295,168
8,13.0,10.0,127.53,4.248369044165187,0.2264239,0.3406006,0.9919,127.53,10.0,10.145122461508368,10.371546361508369,311.33907947563256,9579.663983865617,168
9,14.0,10.0,137.34,4.575166662947125,0.2264545,0.4051486,0.992,137.34,10.0,14.3268867048484,14.553341204848401,436.87061659659133,13442.172818356656,168
10,15.0,10.0,147.15,4.901964281729062,0.2264545,0.4051486,0.992,147.15,10.0,19.69234723669266,19.91880173669266,597.9341152033976,18397.972775489157,168
11,16.0,10.0,156.96,5.2287619005109995,0.2264545,0.4051486,0.992,156.96,10.0,26.44681910836186,26.67327360836186,800.6937598668096,24636.731072824907,168
12,17.0,10.0,166.77,5.555559519292937,0.2264545,0.4051486,0.992,166.77,10.0,34.812068675151366,35.03852317515137,1051.8066613502301,32363.28188769939,168
13,18.0,10.0,176.58,5.882357138074875,0.2264545,0.4051486,0.992,176.58,10.0,45.026313596331185,45.25276809633119,1358.4237751782098,41797.65462086799,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2264545,0.4051486,0.992,186.39000000000001,10.0,57.34422283514598,57.57067733514598,1728.1899016364484,53175.073896506095,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2264545,0.4051486,0.992,196.20000000000002,10.0,72.03691665881506,72.26337115881506,2169.2436857717944,66745.95956220906,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304954,0.0308885,0.9909,49.050000000000004,11.0,0.046172807918760245,0.07666820791876025,2.78477945527422,94.25407387081974,168
17,6.0,11.0,58.86,1.6204840600757229,0.0436762,0.0446558,0.9912,58.86,11.0,0.09188050848635115,0.13555670848635115,4.923755844370223,166.65019780945372,168
18,7.0,11.0,68.67,1.89056473675501,0.0590134,0.0610869,0.9913,68.67,11.0,0.18708615056104397,0.24609955056104396,8.938946024156612,302.5489423560699,168
19,8.0,11.0,78.48,2.160645413434297,0.0763417,0.0802745,0.9914,78.48,11.0,0.3619499882320013,0.4382916882320013,15.919841117184516,538.8253916585529,168
