,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065403,0.0065433,0.9893,49.050000000000004,10.0,0.011865433491230138,0.018405733491230137,1.448943732012862,44.58288406193421,168
1,6.0,10.0,58.86,0.7476905067864906,0.009411,0.0094237,0.9898,58.86,10.0,0.012706802313711251,0.02211780231371125,1.7411667426142667,53.57436131120821,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127981,0.012833,0.9902,68.67,10.0,0.01404599504070253,0.02684409504070253,2.113231905118926,65.0225201575054,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166975,0.0167745,0.9905,78.48,10.0,0.016992967623799315,0.03369046762379932,2.652194867177973,81.6059959131684,168
4,9.0,10.0,88.29,1.121535760179736,0.021104,0.0212522,0.9907,88.29,10.0,0.023209143619300973,0.04431314361930097,3.4884375416804234,107.33653974401302,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260111,0.0262707,0.9908,98.10000000000001,10.0,0.03490741418821091,0.06091851418821091,4.795652362270812,147.55853422371726,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.031411,0.0318354,0.991,107.91000000000001,10.0,0.05485213809623657,0.08626313809623656,6.790842283349189,208.94899333382122,168
7,12.0,10.0,117.72,1.4953810135729813,0.0372944,0.0379524,0.9911,117.72,10.0,0.08635914171378938,0.12365354171378937,9.734305035588752,299.5170780181154,168
8,13.0,10.0,127.53,1.6199960980373964,0.0436504,0.0446285,0.9912,127.53,10.0,0.1332957190159849,0.1769461190159849,13.929625253694677,428.6038539598362,168
9,14.0,10.0,137.34,1.7446111825018116,0.0504661,0.0518714,0.9912,137.34,10.0,0.20008063158264264,0.2505467315826426,19.72364298743936,606.8813226904418,168
10,15.0,10.0,147.15,1.8692262669662265,0.0577267,0.0596897,0.9913,147.15,10.0,0.2916841085982862,0.3494108085982862,27.506461573903618,846.352663812419,168
11,16.0,10.0,156.96,1.9938413514306417,0.0654153,0.0680928,0.9914,156.96,10.0,0.4136278468521432,0.4790431468521432,37.71143189299432,1160.3517505536713,168
12,17.0,10.0,166.77,2.118456435895057,0.073512,0.0770912,0.9914,166.77,10.0,0.5719850107381452,0.6454970107381452,50.81508151727373,1563.5409697622688,168
13,18.0,10.0,176.58,2.243071520359472,0.0819942,0.0866963,0.9915,176.58,10.0,0.7733802322549279,0.8553744322549279,67.33713832868305,2071.911948574863,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0908358,0.0969209,0.9915,186.39000000000001,10.0,1.024989611005831,1.115825411005831,87.840467540613,2702.7836166342463,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1000068,0.1077788,0.9915,196.20000000000002,10.0,1.3345407141988983,1.4345475141988984,112.93104020893901,3474.8012371981235,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044699,0.0044704,0.9886,49.050000000000004,11.0,0.010776939138278797,0.015246839138278796,1.4523242192799215,49.155588960243485,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064328,0.0064357,0.9893,58.86,11.0,0.011473379554215632,0.017906179554215633,1.7056373459120828,57.72926401548588,168
18,7.0,11.0,68.67,0.720913711777608,0.0087505,0.0087603,0.9897,68.67,11.0,0.012062379784137076,0.020812879784137074,1.9825125135330868,67.10042353496601,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114214,0.0114457,0.9901,78.48,11.0,0.01283607664116339,0.02425747664116339,2.310624550116137,78.20575400393079,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144433,0.0144937,0.9903,88.29,11.0,0.01435714993202707,0.02880044993202707,2.743361465487565,92.8522342165022,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178138,0.0179063,0.9905,98.10000000000001,11.0,0.01745882245707282,0.03527262245707282,3.359862552974158,113.71842486989456,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0215295,0.021686,0.9907,107.91000000000001,11.0,0.02324486001025759,0.044774360010257586,4.264942186108505,144.35188937598016,168
23,12.0,11.0,117.72,1.2358520773330424,0.0255868,0.0258353,0.9908,117.72,11.0,0.03308957137915052,0.05867637137915052,5.58916602192365,189.17177304972353,168
24,13.0,11.0,127.53,1.3388397504441292,0.0299811,0.0303574,0.9909,127.53,11.0,0.04863780834493304,0.07861890834493304,7.488774797658441,253.46622392074715,168
25,14.0,11.0,137.34,1.441827423555216,0.0347075,0.0352555,0.991,137.34,11.0,0.07180496568239873,0.10651246568239874,10.145751008640344,343.3946495232116,168
26,15.0,11.0,147.15,1.544815096666303,0.0397599,0.0405335,0.9911,147.15,11.0,0.10477698115995349,0.1445368811599535,13.767733179578974,465.9848153088268,168
27,16.0,11.0,156.96,1.6478027697773898,0.0451319,0.0461953,0.9912,156.96,11.0,0.15001033553961532,0.19514223553961532,18.58810159327255,629.13574623384,168
28,17.0,11.0,166.77,1.7507904428884766,0.0508157,0.0522455,0.9912,166.77,11.0,0.21023205257701452,0.2610477525770145,24.865873511077783,841.6141803749404,168
29,18.0,11.0,176.58,1.8537781159995637,0.056803,0.058689,0.9913,176.58,11.0,0.2884396990213937,0.3452426990213937,32.885788901616344,1113.0574705162455,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0630842,0.065531,0.9913,186.39000000000001,11.0,0.3879013846156075,0.45098558461560756,42.9582342374802,1453.9710049608682,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0696483,0.0727774,0.9914,196.20000000000002,11.0,0.512155762096123,0.581804062096123,55.41923296981978,1875.7278851323615,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031579,0.0031581,0.9879,49.050000000000004,12.0,0.009864354254687398,0.013022254254687398,1.47620629792974,54.50607869279038,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045446,0.0045451,0.9887,58.86,12.0,0.010565695055900479,0.015110295055900478,1.7129071732774546,63.24580332101371,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061826,0.006185,0.9892,68.67,12.0,0.011146085626731497,0.017328685626731496,1.9643845340999808,72.5311212590762,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080712,0.0080784,0.9896,78.48,12.0,0.011610133321570413,0.01968133332157041,2.231081319157835,82.37838716890467,168
36,9.0,12.0,88.29,0.7788442779025945,0.0102095,0.0102263,0.9899,88.29,12.0,0.012100890936188515,0.022310390936188515,2.529112008193291,93.38259722559843,168
