,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0447024,0.0453415,0.9904,49.050000000000004,10.0,0.11505922452005542,0.15976162452005543,4.79581688013318,147.56359631179015,168
1,6.0,10.0,58.86,1.9607857126916248,0.0639254,0.0656594,0.9907,58.86,10.0,0.2625286940780612,0.32645409407806114,9.799687876681636,301.52885774405036,168
2,7.0,10.0,68.67,2.2875833314735625,0.0861361,0.0900205,0.9909,68.67,10.0,0.5441495601180467,0.6302856601180467,18.92027961771607,582.1624497758789,168
3,8.0,10.0,78.48,2.6143809502554998,0.1109374,0.1186378,0.9911,78.48,10.0,1.0262956694160053,1.1372330694160053,34.138120260953485,1050.4037003370302,168
4,9.0,10.0,88.29,2.9411785690374375,0.1377447,0.1517859,0.9913,88.29,10.0,1.7894418748420426,1.9271865748420427,57.851401640155956,1780.0431273894137,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1656864,0.189818,0.9914,98.10000000000001,10.0,2.9281640353603793,3.0938504353603795,92.87299241656177,2857.630535894208,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1934218,0.2331928,0.9915,107.91000000000001,10.0,4.5511390160293494,4.74456081602935,142.42497169572545,4382.306821406936,168
7,12.0,10.0,117.72,3.9215714253832497,0.2187847,0.2825179,0.9916,117.72,10.0,6.781144688001393,6.999929388001393,210.12793040611072,6465.474781726483,168
8,13.0,10.0,127.53,4.248369044165187,0.237978,0.3386269,0.9917,127.53,10.0,9.75505992852308,9.99303792852308,299.97679433590093,9230.055210335411,168
9,14.0,10.0,137.34,4.575166662947125,0.2433138,0.4027432,0.9918,137.34,10.0,13.623864620935079,13.867178420935078,416.27298514725913,12808.399542992589,168
10,15.0,10.0,147.15,4.901964281729062,0.2433138,0.4027432,0.9918,147.15,10.0,18.55263965467218,18.79595345467218,564.22780581327,17360.85556348523,168
11,16.0,10.0,156.96,5.2287619005109995,0.2433138,0.4027432,0.9918,156.96,10.0,24.720566925263284,24.963880725263284,749.3802152770414,23057.85277775512,168
12,17.0,10.0,166.77,5.555559519292937,0.2433138,0.4027432,0.9918,166.77,10.0,32.320929334331396,32.5642431343314,977.5322915096092,30077.91666183413,168
13,18.0,10.0,176.58,5.882357138074875,0.2433138,0.4027432,0.9918,176.58,10.0,41.561110789593656,41.80442458959366,1254.9094046415391,38612.59706589351,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2433138,0.4027432,0.9918,186.39000000000001,10.0,52.6625962048613,52.905910004861305,1588.160216962926,48866.46821424387,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2433138,0.4027432,0.9918,196.20000000000002,10.0,65.86097150003968,66.10428530003968,1984.356682923394,61057.1287053352,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0306534,0.030859,0.9899,49.050000000000004,11.0,0.054949927368732804,0.0856033273687328,3.10932515355206,105.23869750483894,168
17,6.0,11.0,58.86,1.6204840600757229,0.0439766,0.0445864,0.9903,58.86,11.0,0.1110369709415635,0.1550135709415635,5.6304773434143325,190.57000239248507,168
18,7.0,11.0,68.67,1.89056473675501,0.059532,0.0609588,0.9906,68.67,11.0,0.2215256382880078,0.2810576382880078,10.208710469425478,345.52558511901617,168
19,8.0,11.0,78.48,2.160645413434297,0.0771759,0.0800653,0.9909,78.48,11.0,0.41490296059409176,0.4920788605940918,17.873524614129686,604.9500638628508,168
20,9.0,11.0,88.29,2.4307260901135845,0.0967099,0.1020169,0.991,88.29,11.0,0.7262341924571278,0.8229440924571279,29.891370409260972,1011.7079215442175,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1178614,0.1269507,0.9912,98.10000000000001,11.0,1.197162811885715,1.315024211885715,47.764940747381544,1616.6595329882982,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1402541,0.1550355,0.9913,107.91000000000001,11.0,1.8759105202997381,2.016164620299738,73.23209926871927,2478.624898325883,168
23,12.0,11.0,117.72,3.2409681201514458,0.1633625,0.1864794,0.9914,117.72,11.0,2.8172772425303676,2.9806397425303675,108.26422768832379,3664.327706374035,168
24,13.0,11.0,127.53,3.511048796830733,0.1864361,0.2215407,0.9915,127.53,11.0,4.0826411268200635,4.269077226820063,155.06347255207623,5248.302147916426,168
25,14.0,11.0,137.34,3.78112947351002,0.2083667,0.2605442,0.9916,137.34,11.0,5.739958544822568,5.948325244822568,216.05792524358174,7312.729777475073,168
26,15.0,11.0,147.15,4.051210150189307,0.2274367,0.3039074,0.9916,147.15,11.0,7.8637640916029135,8.091200791602914,293.89247961593225,9947.130079308474,168
27,16.0,11.0,156.96,4.321290826868594,0.240778,0.3521853,0.9917,156.96,11.0,10.535170585637415,10.775948585637416,391.4091778977324,13247.69525192325,168
28,17.0,11.0,166.77,4.591371503547882,0.2429603,0.4061618,0.9918,166.77,11.0,13.841869068813681,14.084829368813681,511.595934247964,17315.554697623396,168
29,18.0,11.0,176.58,4.861452180227169,0.2429603,0.4061618,0.9918,176.58,11.0,17.8781288064306,18.1210891064306,658.2028981850423,22277.636553955275,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2429603,0.4061618,0.9918,186.39000000000001,11.0,22.744797287198338,22.987757587198338,834.972367157544,28260.60319610149,168
