,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065539,0.0065541,0.9868,49.050000000000004,10.0,0.02245891054125746,0.029012810541257462,2.283958419905498,70.27564368939994,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094331,0.0094327,0.9878,58.86,10.0,0.021937739362058246,0.03137083936205824,2.4695881358542224,75.987327257053,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128337,0.0128385,0.9885,68.67,10.0,0.023174795592105286,0.03600849559210528,2.834675619542869,87.22078829362673,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167528,0.0167744,0.989,78.48,10.0,0.026626767734206785,0.043379567734206786,3.4149441963752714,105.07520604231604,168
4,9.0,10.0,88.29,1.121535760179736,0.0211867,0.0212442,0.9894,88.29,10.0,0.03294984718240472,0.05413654718240472,4.261759562591675,131.13106346435922,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0261304,0.0262522,0.9897,98.10000000000001,10.0,0.042999728221974856,0.06913012822197485,5.442090424062823,167.44893612500994,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0315776,0.0318034,0.99,107.91000000000001,10.0,0.05783160802942671,0.0894092080294267,7.038508496289954,216.56949219353703,168
7,12.0,10.0,117.72,1.4953810135729813,0.0375207,0.0379036,0.9902,117.72,10.0,0.07870018667250357,0.11622088667250358,9.149188504404801,281.51349244322466,168
8,13.0,10.0,127.53,1.6199960980373964,0.0439505,0.0445592,0.9903,127.53,10.0,0.10705966711018258,0.15101016711018259,11.887884566446049,365.78106358295526,168
9,14.0,10.0,137.34,1.7446111825018116,0.0508561,0.0517777,0.9905,137.34,10.0,0.14456375519267453,0.19541985519267452,15.383922321118133,473.35145603440407,168
10,15.0,10.0,147.15,1.8692262669662265,0.0582248,0.0595671,0.9906,147.15,10.0,0.19306565966142414,0.25129045966142416,19.782191055550086,608.6828017092334,168
11,16.0,10.0,156.96,1.9938413514306417,0.0660416,0.0679366,0.9907,156.96,10.0,0.25461809214910974,0.3206596921491097,25.243104344089577,776.7109028950639,168
12,17.0,10.0,166.77,2.118456435895057,0.0742894,0.0768963,0.9908,166.77,10.0,0.33147326717964354,0.40576266717964354,31.942615792785325,982.8497167010867,168
13,18.0,10.0,176.58,2.243071520359472,0.082948,0.0864573,0.9909,176.58,10.0,0.4260829021681716,0.5090309021681716,40.07214031697524,1232.9889328300073,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0919943,0.0966319,0.991,186.39000000000001,10.0,0.5410982174210734,0.6330925174210734,49.83856988576877,1533.4944580236547,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1014015,0.1074335,0.9911,196.20000000000002,10.0,0.6793699361359625,0.7807714361359626,61.46421054411748,1891.2064782805376,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044792,0.0044815,0.9854,49.050000000000004,11.0,0.023799036330646818,0.028278236330646817,2.693618469313504,91.16862511522628,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064462,0.0064465,0.9868,58.86,11.0,0.022102819160033697,0.028549019160033696,2.7194116489828803,92.04162504249749,168
18,7.0,11.0,68.67,0.720913711777608,0.0087704,0.0087698,0.9876,68.67,11.0,0.021469256016652744,0.030239656016652745,2.8804517721590144,97.49221382692048,168
19,8.0,11.0,78.48,0.8239013848886949,0.011451,0.0114528,0.9883,78.48,11.0,0.02202613738794718,0.03347713738794718,3.188835205758306,107.92980696412728,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144867,0.014497,0.9888,88.29,11.0,0.023983079798731207,0.03846977979873121,3.6644049566833687,124.02601391851401,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178755,0.0179044,0.9891,98.10000000000001,11.0,0.027631525811190057,0.04550702581119005,4.334731620999366,146.7139933261324,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0216151,0.0216772,0.9895,107.91000000000001,11.0,0.03334474402487993,0.054959844024879925,5.235151485581342,177.18974258890697,168
23,12.0,11.0,117.72,1.2358520773330424,0.0257026,0.0258178,0.9897,117.72,11.0,0.041577829076728,0.067280429076728,6.4087379518787175,216.91113067897197,168
24,13.0,11.0,127.53,1.3388397504441292,0.0301345,0.0303291,0.9899,127.53,11.0,0.052867701641032515,0.08300220164103252,7.9063015359153015,267.5978981386718,168
25,14.0,11.0,137.34,1.441827423555216,0.0349064,0.0352144,0.9901,137.34,11.0,0.06783310842946264,0.10273950842946264,9.786361292053781,331.2306898848972,168
26,15.0,11.0,147.15,1.544815096666303,0.0400137,0.040477,0.9902,147.15,11.0,0.08717462219105857,0.12718832219105858,12.115211490878563,410.05331199896676,168
27,16.0,11.0,156.96,1.6478027697773898,0.0454506,0.0461209,0.9904,156.96,11.0,0.11167464171223149,0.1571252417122315,14.966826365077432,506.56950774108225,168
28,17.0,11.0,166.77,1.7507904428884766,0.0512107,0.0521504,0.9905,166.77,11.0,0.14219739181676355,0.19340809181676355,18.422917261912563,623.5448919416559,168
29,18.0,11.0,176.58,1.8537781159995637,0.0572867,0.0585701,0.9906,176.58,11.0,0.17968892336580805,0.23697562336580805,22.572904066985025,764.0059838056469,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0636701,0.0653853,0.9907,186.39000000000001,11.0,0.22517711325788903,0.28884721325788904,27.51388662799926,931.2392397168979,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0703516,0.0726014,0.9908,196.20000000000002,11.0,0.27977166442890167,0.3501232644289017,33.35068285641042,1128.7923428323525,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031652,0.003169,0.9839,49.050000000000004,12.0,0.025879738819522234,0.029044938819522234,3.2925421950603715,121.57078874069065,168
33,6.0,12.0,58.86,0.5192295186017296,0.004554,0.0045563,0.9855,58.86,12.0,0.023568225581794368,0.028122225581794367,3.1879431704923538,117.70867091048692,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061954,0.0061959,0.9866,68.67,12.0,0.022004158634605416,0.028199558634605416,3.1967096664741623,118.03235691596906,168
35,8.0,12.0,78.48,0.6923060248023062,0.008089,0.0080884,0.9874,78.48,12.0,0.02121653352261935,0.029305533522619352,3.3220832817566803,122.66153655716974,168
36,9.0,12.0,88.29,0.7788442779025945,0.0102345,0.0102346,0.988,88.29,12.0,0.021269208716764642,0.03150370871676464,3.571269021958471,131.8622408107743,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0126311,0.0126354,0.9885,98.10000000000001,12.0,0.022260905614234296,0.03489200561423429,3.9553672834019595,146.04433046407235,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0152779,0.0152917,0.9889,107.91000000000001,12.0,0.024325208538485864,0.039603108538485865,4.489419197222646,165.76317035899,168
39,12.0,12.0,117.72,1.0384590372034592,0.0181738,0.0182048,0.9892,117.72,12.0,0.0276305647392414,0.045804364739241404,5.192395293341799,191.7192108310818,168
40,13.0,12.0,127.53,1.1249972903037475,0.0213171,0.021376,0.9894,127.53,12.0,0.03238028439248753,0.05369738439248753,6.087150156357246,224.7563134654983,168
41,14.0,12.0,137.34,1.2115355434040358,0.0247063,0.0248068,0.9896,137.34,12.0,0.03881254060047536,0.06351884060047536,7.200513113761798,265.86509958505104,168
42,15.0,12.0,147.15,1.298073796504324,0.0283393,0.0284989,0.9898,147.15,12.0,0.04720036939172056,0.07553966939172056,8.563197547724824,316.1796017621473,168
43,16.0,12.0,156.96,1.3846120496046124,0.0322136,0.032454,0.99,156.96,12.0,0.05785166972100332,0.09006526972100332,10.209823567146854,376.9781009408069,168
44,17.0,12.0,166.77,1.4711503027049007,0.0363267,0.0366741,0.9901,166.77,12.0,0.07110920346936836,0.10743590346936836,12.1789633517688,449.68480068069414,168
45,18.0,12.0,176.58,1.557688555805189,0.0406754,0.0411615,0.9903,176.58,12.0,0.08735059544412493,0.12802599544412493,14.513061799980822,535.8668972300611,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0452564,0.0459185,0.9904,186.39000000000001,12.0,0.10698833337884682,0.1522447333788468,17.258504544986152,637.2370908917964,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0500657,0.0509476,0.9905,196.20000000000002,12.0,0.1304697679333723,0.1805354679333723,20.465549938637285,755.6510746573766,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0023005,0.002305,0.982,49.050000000000004,13.0,0.028232473982102112,0.030532973982102113,4.062133605473929,162.48534421895712,168
49,6.0,13.0,58.86,0.44242041821685835,0.0033088,0.0033124,0.9841,58.86,13.0,0.0256039430107671,0.0289127430107671,3.846576657724665,153.86306630898656,168
50,7.0,13.0,68.67,0.5161571545863348,0.0045004,0.0045027,0.9855,68.67,13.0,0.023537213414962236,0.028037613414962234,3.730148649684977,149.20594598739908,168
51,8.0,13.0,78.48,0.5898938909558111,0.0058754,0.0058762,0.9864,78.48,13.0,0.022035128745320744,0.027910528745320743,3.7132411939096617,148.52964775638645,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074336,0.0074332,0.9872,88.29,13.0,0.021115753588452402,0.028549353588452404,3.7982310106506665,151.92924042602664,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091748,0.0091742,0.9878,98.10000000000001,13.0,0.020812373566943557,0.029987173566943557,3.989519840119895,159.5807936047958,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0110986,0.0110998,0.9882,107.91000000000001,13.0,0.0211734953393571,0.0322720953393571,4.293507834314003,171.74031337256008,168
55,12.0,13.0,117.72,0.8848408364337167,0.0132045,0.0132103,0.9886,117.72,13.0,0.022262846600232488,0.035467346600232486,4.718606861102,188.74427444407996,168
56,13.0,13.0,127.53,0.9585775728031931,0.0154919,0.0155067,0.9889,127.53,13.0,0.024159376080085747,0.03965127608008574,5.275240504225252,211.00962016901002,168
57,14.0,13.0,137.34,1.0323143091726696,0.01796,0.0179895,0.9892,137.34,13.0,0.02695725354540944,0.044917253545409444,5.9758307592098765,239.033230368395,168
58,15.0,13.0,147.15,1.106051045542146,0.0206079,0.0206596,0.9894,147.15,13.0,0.03076586979867272,0.05137376979867272,6.834811337454345,273.3924534981738,168
59,16.0,13.0,156.96,1.1797877819116223,0.0234345,0.023518,0.9896,156.96,13.0,0.035709836678321276,0.05914433667832128,7.8686143621418845,314.7445744856754,168
60,17.0,13.0,166.77,1.2535245182810988,0.0264388,0.0265655,0.9897,166.77,13.0,0.04192898705877735,0.06836778705877736,9.09571028050327,363.8284112201308,168
61,18.0,13.0,176.58,1.327261254650575,0.0296192,0.0298034,0.9899,176.58,13.0,0.04957837485043979,0.0791975748504398,10.536514735203642,421.4605894081457,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0329742,0.0332327,0.99,186.39000000000001,13.0,0.05882827499968393,0.09180247499968394,12.213481692955684,488.5392677182273,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0365022,0.0368547,0.9901,196.20000000000002,13.0,0.06986418348886173,0.10636638348886172,14.151076836344433,566.0430734537773,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0017126,0.0017174,0.98,49.050000000000004,14.0,0.030669619461574406,0.03238221946157441,4.9964445764763425,215.23145867898086,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024622,0.0024666,0.9825,58.86,14.0,0.027900114588325295,0.030362314588325296,4.6847814812113775,201.80597149833628,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033482,0.0033517,0.9841,68.67,14.0,0.025562752220811814,0.028910952220811813,4.460842179019025,192.15935540389646,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043704,0.0043728,0.9853,78.48,14.0,0.023656013062549403,0.028026413062549403,4.324361389454075,186.28018293032937,168
68,9.0,14.0,88.29,0.5722121225406815,0.005529,0.0055301,0.9862,88.29,14.0,0.022185038949665826,0.027714038949665825,4.276163336074787,184.20395909245232,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0068238,0.0068238,0.9869,98.10000000000001,14.0,0.021161632850901155,0.027985432850901153,4.318038309701135,186.00780411020273,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.0082547,0.0082541,0.9875,107.91000000000001,14.0,0.020604258867607746,0.028858958867607747,4.452819816378393,191.81377670553078,168
71,12.0,14.0,117.72,0.7629494967209087,0.0098216,0.0098213,0.9879,117.72,14.0,0.020538042233750296,0.030359642233750296,4.684369147784433,201.78820944302174,168
72,13.0,14.0,127.53,0.8265286214476512,0.0115241,0.0115259,0.9883,127.53,14.0,0.020994769315905795,0.03251886931590579,5.017529092451553,216.1397147517592,168
73,14.0,14.0,137.34,0.8901077461743935,0.0133619,0.0133682,0.9886,137.34,14.0,0.022012887613263553,0.035374787613263556,5.458185654137364,235.12184356284027,168
74,15.0,14.0,147.15,0.9536868709011359,0.0153345,0.0153486,0.9889,147.15,14.0,0.023637505757625177,0.038972005757625175,6.013221763046622,259.0310913312391,168
75,16.0,14.0,156.96,1.0172659956278782,0.0174416,0.0174676,0.9891,156.96,14.0,0.025920393513404593,0.0433619935134046,6.690578994202117,288.20955667332197,168
76,17.0,14.0,166.77,1.0808451203546208,0.0196825,0.0197257,0.9893,166.77,14.0,0.028919981777628036,0.048602481777628034,7.499164989888346,323.04095341057484,168
77,18.0,14.0,176.58,1.144424245081363,0.0220567,0.0221236,0.9895,176.58,14.0,0.03270136257993405,0.05475806257993405,8.448946037207838,363.9545985258761,168
78,19.0,14.0,186.39000000000001,1.2080033698081056,0.0245632,0.0246617,0.9896,186.39000000000001,14.0,0.037336289082573484,0.061899489082573485,9.55083906093211,411.4207595478448,168
79,20.0,14.0,196.20000000000002,1.271582494534848,0.0272014,0.0273408,0.9898,196.20000000000002,14.0,0.0429031755804095,0.0701045755804095,10.81685048983615,465.95663648524953,168
80,5.0,15.0,49.050000000000004,0.27692240992092243,0.0013016,0.0013064,0.9776,49.050000000000004,15.0,0.03308503738371217,0.03438663738371217,6.090747816880271,281.11143770216637,168
81,6.0,15.0,58.86,0.3323068919051069,0.0018705,0.0018753,0.9806,58.86,15.0,0.030285462552968503,0.0321559625529685,5.695638585817241,262.87562703771874,168
