,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0447024,0.0453415,0.9904,49.050000000000004,10.0,0.20907356635834426,0.25377596635834426,7.617993788493778,234.39980887673158,168
1,6.0,10.0,58.86,1.9607857126916248,0.0639254,0.0656594,0.9907,58.86,10.0,0.6445555881320153,0.7084809881320153,21.267592216492663,654.3874528151587,168
2,7.0,10.0,68.67,2.2875833314735625,0.0861361,0.0900205,0.9909,68.67,10.0,1.5564307940715068,1.6425668940715068,49.30752338680168,1517.1545657477438,168
3,8.0,10.0,78.48,2.6143809502554998,0.1109374,0.1186378,0.9911,78.48,10.0,3.1981190574838165,3.3090564574838166,99.33317130311492,3056.4052708650743,168
4,9.0,10.0,88.29,2.9411785690374375,0.1377447,0.1517859,0.9913,88.29,10.0,5.876582820370976,6.014327520370975,180.54156329152636,5555.125024354657,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1656864,0.189818,0.9914,98.10000000000001,10.0,9.952327093430052,10.118013493430052,303.72838315196105,9345.488712368031,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1934218,0.2331928,0.9915,107.91000000000001,10.0,15.839399456053147,16.032821256053147,481.28250477501507,14808.692454615848,168
7,12.0,10.0,117.72,3.9215714253832497,0.2187847,0.2825179,0.9916,117.72,10.0,24.00539005632738,24.22417475632738,727.1752935205482,22374.624416016864,168
8,13.0,10.0,127.53,4.248369044165187,0.237978,0.3386269,0.9917,127.53,10.0,34.97143161103493,35.20940961103493,1056.936429254495,32521.1209001383,168
9,14.0,10.0,137.34,4.575166662947125,0.2433138,0.4027432,0.9918,137.34,10.0,49.31219940565302,49.55551320565302,1487.5860673631253,45771.878995788466,168
10,15.0,10.0,147.15,4.901964281729062,0.2433138,0.4027432,0.9918,147.15,10.0,67.65591129435387,67.89922509435387,2038.2382241899834,62715.022282768725,168
11,16.0,10.0,156.96,5.2287619005109995,0.2433138,0.4027432,0.9918,156.96,10.0,90.68432770000474,90.92764150000474,2729.518551694993,83985.1862059998,168
12,17.0,10.0,166.77,5.555559519292937,0.2433138,0.4027432,0.9918,166.77,10.0,119.13275161416797,119.37606541416797,3583.4998005123616,110261.53232345729,168
13,18.0,10.0,176.58,5.882357138074875,0.2433138,0.4027432,0.9918,176.58,10.0,153.79002859710087,154.03334239710088,4623.86199308218,142272.67671022093,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2433138,0.4027432,0.9918,186.39000000000001,10.0,195.49854677775585,195.74186057775586,5875.892423650421,180796.68995847448,168
