,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0441503,0.0454744,0.9914,49.050000000000004,10.0,0.06248539287670293,0.10663569287670294,3.2010519263253423,98.49390542539514,168
1,6.0,10.0,58.86,1.9607857126916248,0.0628823,0.0659196,0.9916,58.86,10.0,0.13977636778791552,0.20265866778791553,6.083525144429037,187.18538905935495,168
2,7.0,10.0,68.67,2.2875833314735625,0.0843416,0.0904649,0.9917,68.67,10.0,0.3089545656288592,0.3932961656288592,11.806191854150557,363.26744166617095,168
3,8.0,10.0,78.48,2.6143809502554998,0.1080465,0.1193344,0.9917,78.48,10.0,0.6216523428908969,0.7296988428908969,21.904522056925558,673.9852940592478,168
4,9.0,10.0,88.29,2.9411785690374375,0.1333018,0.1528135,0.9918,88.29,10.0,1.1406069467594155,1.2739087467594155,38.240929821611644,1176.6439945111274,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1590851,0.1912654,0.9918,98.10000000000001,10.0,1.9396605151138258,2.0987456151138257,63.00136017210354,1938.503389910878,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1838401,0.2351553,0.9919,107.91000000000001,10.0,3.103760076527563,3.2876001765275626,98.68908424714006,3036.587207604309,168
7,12.0,10.0,117.72,3.9215714253832497,0.2050702,0.2850887,0.9919,117.72,10.0,4.728957550268083,4.934027750268083,148.11249974996812,4557.307684614404,168
8,13.0,10.0,127.53,4.248369044165187,0.218415,0.3418745,0.992,127.53,10.0,6.922409746296873,7.1408247462968735,214.35740879102195,6595.612578185291,168
9,14.0,10.0,137.34,4.575166662947125,0.2165964,0.3995854,0.992,137.34,10.0,9.80237836526944,10.01897476526944,300.7553813079547,9254.011732552452,168
10,15.0,10.0,147.15,4.901964281729062,0.2165964,0.3995854,0.992,147.15,10.0,13.498229998535319,13.714826398535319,411.6995939906396,12667.6798150966,168
11,16.0,10.0,156.96,5.2287619005109995,0.2165964,0.3995854,0.992,156.96,10.0,18.150436128138054,18.367032528138054,551.3522092743998,16964.683362289223,168
12,17.0,10.0,166.77,5.555559519292937,0.2165964,0.3995854,0.992,166.77,10.0,23.910573126815237,24.127169526815237,724.2633344155184,22285.02567432364,168
13,18.0,10.0,176.58,5.882357138074875,0.2165964,0.3995854,0.992,176.58,10.0,30.941322257998458,31.157918657998458,935.3164297042273,28778.967067822377,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2165964,0.3995854,0.992,186.39000000000001,10.0,39.41646967581335,39.63306607581335,1189.728308464708,36607.02487583717,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2165964,0.3995854,0.992,196.20000000000002,10.0,49.52090642507958,49.73750282507958,1493.0491370550922,45939.97344784899,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0303688,0.0309193,0.9913,49.050000000000004,11.0,0.0386896453005309,0.0690584453005309,2.5083740041227602,84.89881244723189,168
17,6.0,11.0,58.86,1.6204840600757229,0.0434403,0.0447151,0.9914,58.86,11.0,0.06815123577151219,0.11159153577151219,4.053281335704272,137.1879836699907,168
18,7.0,11.0,68.67,1.89056473675501,0.0586138,0.0611872,0.9915,68.67,11.0,0.13775107112972484,0.19636487112972484,7.132459120983587,241.4063087102137,168
19,8.0,11.0,78.48,2.160645413434297,0.0757091,0.0804307,0.9916,78.48,11.0,0.2719989902010863,0.3477080902010863,12.629620181687926,427.46406768789905,168
20,9.0,11.0,88.29,2.4307260901135845,0.0944835,0.1025627,0.9917,88.29,11.0,0.5009556969013896,0.5954391969013897,21.627828371220186,732.0188064105292,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1146097,0.1277267,0.9918,98.10000000000001,11.0,0.8602327602363037,0.9748424602363037,35.40869584784906,1198.448167157968,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1356427,0.1560975,0.9918,107.91000000000001,11.0,1.390992614301373,1.5266353143013731,55.45118080061824,1876.8091963286167,168
23,12.0,11.0,117.72,3.2409681201514458,0.1569673,0.1878885,0.9918,117.72,11.0,2.1399485582820175,2.2969158582820173,83.42968051914191,2823.7738021863415,168
24,13.0,11.0,127.53,3.511048796830733,0.1777119,0.223362,0.9919,127.53,11.0,3.159364756453535,3.337076656453535,121.21090039582161,4102.522782627809,168
25,14.0,11.0,137.34,3.78112947351002,0.196598,0.262843,0.9919,137.34,11.0,4.507056238181096,4.7036542381810955,170.84838739259314,5782.560804056999,168
26,15.0,11.0,147.15,4.051210150189307,0.2116519,0.3067413,0.9919,147.15,11.0,6.246388897919747,6.458040797919747,234.57205826991833,7939.361972212619,168
27,16.0,11.0,156.96,4.321290826868594,0.21958,0.3555865,0.992,156.96,11.0,8.446279495214416,8.665859495214416,314.7655089334761,10653.601840825344,168
28,17.0,11.0,166.77,4.591371503547882,0.21958,0.3555865,0.992,166.77,11.0,11.181195654699899,11.400775654699899,414.1044466702615,14015.84281037808,168
29,18.0,11.0,176.58,4.861452180227169,0.21958,0.3555865,0.992,176.58,11.0,14.53115586610087,14.75073586610087,535.7833097340841,18134.204329461307,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.21958,0.3555865,0.992,186.39000000000001,11.0,18.581729484231875,18.801309484231876,682.910189311073,23113.883330528628,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.21958,0.3555865,0.992,196.20000000000002,11.0,23.424036728997358,23.643616728997358,858.7947977740392,29066.90084773671,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215295,0.0217726,0.9911,49.050000000000004,12.0,0.029002573982844157,0.05053207398284416,2.1843374886631954,80.65246111987184,168
33,6.0,12.0,58.86,1.3616567449247396,0.0308696,0.0314417,0.9913,58.86,12.0,0.040050395801906856,0.07091999580190686,3.065641152558576,113.19290409447048,168
34,7.0,12.0,68.67,1.5885995357455296,0.0417847,0.0429487,0.9914,68.67,12.0,0.06948701819888635,0.11127171819888634,4.80991509614888,177.596865088574,168
35,8.0,12.0,78.48,1.8155423265663195,0.0541974,0.0563381,0.9915,78.48,12.0,0.12967489111399222,0.18387229111399223,7.948202140744191,293.47207904286245,168
36,9.0,12.0,88.29,2.0424851173871095,0.0680073,0.0716637,0.9916,88.29,12.0,0.23593182675251076,0.3039391267525108,13.138301607459505,485.1065208908125,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0830853,0.0889901,0.9917,98.10000000000001,12.0,0.40653099958480476,0.4896162995848048,21.164522924721723,781.4593079897252,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.0992656,0.108394,0.9917,107.91000000000001,12.0,0.6627009463463138,0.7619665463463138,32.93733981424438,1216.1479316028694,168
39,12.0,12.0,117.72,2.7233134898494793,0.116335,0.1299658,0.9918,117.72,12.0,1.0286255660375536,1.1449605660375537,49.492927764768844,1827.4311790068496,168
40,13.0,12.0,127.53,2.9502562806702692,0.1340166,0.1538126,0.9918,127.53,12.0,1.5314441199241182,1.6654607199241183,71.99245943598787,2658.1831176364744,168
41,14.0,12.0,137.34,3.177199071491059,0.1519469,0.1800609,0.9918,137.34,12.0,2.2012512315366766,2.3531981315366766,101.72111476589818,3755.8565452023945,168
42,15.0,12.0,147.15,3.404141862311849,0.16964,0.2088609,0.9919,147.15,12.0,3.071096886670976,3.240736886670976,140.08653345303748,5172.425850573691,168
43,16.0,12.0,156.96,3.631084653132639,0.1864317,0.2403922,0.9919,156.96,12.0,4.176986433387838,4.363418133387838,188.61639858098266,6964.2977937593605,168
44,17.0,12.0,166.77,3.858027443953429,0.2013853,0.2748715,0.9919,166.77,12.0,5.557880582013162,5.759265882013162,248.95436465820256,9192.161156610555,168
45,18.0,12.0,176.58,4.084970234774219,0.2131218,0.3125639,0.992,176.58,12.0,7.255695405137927,7.468817205137927,322.85271771537134,11920.715731029093,168
