,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065309,0.006542,0.9901,49.050000000000004,10.0,0.013540455001412679,0.020071355001412678,1.5800654744978715,48.61739921531911,168
1,6.0,10.0,58.86,0.7476905067864906,0.009394,0.0094244,0.9905,58.86,10.0,0.013588399921768267,0.022982399921768266,1.809229951586864,55.668613894980425,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127696,0.0128369,0.9907,68.67,10.0,0.014151439123671021,0.026921039123671022,2.1192891289066007,65.20889627404925,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166526,0.016783,0.9909,78.48,10.0,0.01580801141469004,0.03246061141469004,2.5553776201872425,78.62700369806899,168
4,9.0,10.0,88.29,1.121535760179736,0.0210369,0.0212668,0.9911,88.29,10.0,0.019363342987209965,0.04040024298720997,3.180404566653439,97.85860205087505,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259149,0.0262933,0.9912,98.10000000000001,10.0,0.025849447418430996,0.051764347418431,4.075014275818407,125.38505464056637,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312778,0.0318679,0.9913,107.91000000000001,10.0,0.03652512567036886,0.06780292567036886,5.337609838207483,164.23414886792253,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371151,0.0379971,0.9914,117.72,10.0,0.05287596608985483,0.08999106608985483,7.084313766152206,217.97888511237556,168
8,13.0,10.0,127.53,1.6199960980373964,0.0434147,0.0446878,0.9914,127.53,10.0,0.07661434440853578,0.12002904440853578,9.448975866031507,290.7377189548156,168
9,14.0,10.0,137.34,1.7446111825018116,0.0501625,0.0519479,0.9915,137.34,10.0,0.10967942374287404,0.15984192374287404,12.583141749306956,387.1735922863678,168
10,15.0,10.0,147.15,1.8692262669662265,0.0573423,0.0597863,0.9915,147.15,10.0,0.1542371545941476,0.21157945459414762,16.65604496028161,512.4936910855878,168
11,16.0,10.0,156.96,1.9938413514306417,0.0649356,0.0682126,0.9916,156.96,10.0,0.21268027484844987,0.27761587484844985,21.8545912316176,672.4489609728492,168
12,17.0,10.0,166.77,2.118456435895057,0.072921,0.0772376,0.9916,166.77,10.0,0.2876283097766899,0.3605493097766899,28.383311250889097,873.3326538735106,168
13,18.0,10.0,176.58,2.243071520359472,0.081274,0.0868728,0.9916,176.58,10.0,0.3819275720345924,0.4632015720345924,36.464344916099876,1121.979843572304,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0899667,0.0971314,0.9917,186.39000000000001,10.0,0.49865116166269724,0.5886178616626973,46.3374177189598,1425.7666990449168,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0989669,0.1080273,0.9917,196.20000000000002,10.0,0.6410989660863602,0.7400658660863602,58.25976989471416,1792.6083044527431,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044645,0.0044681,0.9896,49.050000000000004,11.0,0.012539090913400962,0.01700359091340096,1.6196620607258527,54.81933128610578,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064236,0.0064343,0.9901,58.86,11.0,0.01249439976975204,0.018917999769752038,1.8020173884411101,60.99135776262219,168
18,7.0,11.0,68.67,0.720913711777608,0.0087354,0.0087605,0.9904,68.67,11.0,0.012558446093274816,0.021293846093274817,2.0283265352515105,68.65105196235882,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113979,0.0114482,0.9906,78.48,11.0,0.01290617139157673,0.024304071391576733,2.315062891985089,78.35597480564918,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144083,0.0144995,0.9908,88.29,11.0,0.013819161434195594,0.028227461434195595,2.6887819513192657,91.00492758311361,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177636,0.0179163,0.991,98.10000000000001,11.0,0.01568564625259959,0.033449246252599596,3.186178460251835,107.83988634698517,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.02146,0.0217013,0.9911,107.91000000000001,11.0,0.019000500140187282,0.04046050014018728,3.854029267629974,130.44406751978372,168
23,12.0,11.0,117.72,1.2358520773330424,0.0254932,0.0258572,0.9912,117.72,11.0,0.024365241652287577,0.049858441652287575,4.749221900385738,160.74289508997882,168
