,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435141,0.0455901,0.9921,49.050000000000004,10.0,0.24271097887077692,0.2862250788707769,8.59207002238266,264.37138530408185,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617595,0.0661384,0.9921,58.86,10.0,0.6332894490691483,0.6950489490691483,20.864381496359936,641.9809691187672,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825041,0.0908307,0.9921,68.67,10.0,1.3890168404049468,1.4715209404049467,44.172966985432645,1359.168214936389,168
3,8.0,10.0,78.48,2.6143809502554998,0.1051995,0.1198985,0.9921,78.48,10.0,2.6817943539207953,2.7869938539207952,83.66159401304103,2574.2028927089546,168
4,9.0,10.0,88.29,2.9411785690374375,0.1290656,0.1536329,0.9921,88.29,10.0,4.71591358218173,4.84497918218173,145.43938831120323,4475.058101883176,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1529683,0.1924006,0.9921,98.10000000000001,10.0,7.728056509275198,7.881024809275198,236.57716254835475,7279.297309180147,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1751987,0.2366648,0.9921,107.91000000000001,10.0,11.987295510811057,12.162494210811056,365.10078822719714,11233.87040699068,168
7,12.0,10.0,117.72,3.9215714253832497,0.1930416,0.2870166,0.9921,117.72,10.0,17.79509335392157,17.98813495392157,539.9782426680398,16614.71515901661,168
8,13.0,10.0,127.53,4.248369044165187,0.2018005,0.3442214,0.9921,127.53,10.0,25.485303197261434,25.687103697261435,771.0903408946825,23725.856642913302,168
9,14.0,10.0,137.34,4.575166662947125,0.2018005,0.3442214,0.9921,137.34,10.0,35.42416859100774,35.62596909100774,1069.4409527383702,32905.87546887293,168
10,15.0,10.0,147.15,4.901964281729062,0.2018005,0.3442214,0.9921,147.15,10.0,48.010323476859995,48.21212397685999,1447.2594322316331,44531.059453281014,168
11,16.0,10.0,156.96,5.2287619005109995,0.2018005,0.3442214,0.9921,156.96,10.0,63.67479218804011,63.876592688040105,1917.48451719229,58999.523605916605,168
12,17.0,10.0,166.77,5.555559519292937,0.2018005,0.3442214,0.9921,166.77,10.0,82.88098944929243,83.08278994929243,2494.027258951396,76739.30027542757,168
13,18.0,10.0,176.58,5.882357138074875,0.2018005,0.3442214,0.9921,176.58,10.0,106.12472037688369,106.32652087688369,3191.7710223532404,98208.33914933048,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2018005,0.3442214,0.9921,186.39000000000001,10.0,133.93418047860303,134.13598097860302,4026.5714857553476,123894.5072540107,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2018005,0.3442214,0.9921,196.20000000000002,10.0,166.86995565376202,167.071756153762,5015.25664102848,154315.58895472245,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030012,0.0309754,0.9921,49.050000000000004,11.0,0.10218742678176479,0.1321994267817648,4.801811046515983,162.52283542054096,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428201,0.0448273,0.9921,58.86,11.0,0.26319098332831264,0.3060110833283126,11.115081479951623,376.2027577829779,168
18,7.0,11.0,68.67,1.89056473675501,0.0576128,0.0613804,0.9921,68.67,11.0,0.5890708347329978,0.6466836347329978,23.489153443820722,795.0175011754706,168
19,8.0,11.0,78.48,2.160645413434297,0.0741802,0.0807337,0.9921,78.48,11.0,1.1618378606805664,1.2360180606805664,44.89524139364786,1519.5312471696195,168
20,9.0,11.0,88.29,2.4307260901135845,0.0922445,0.1030087,0.9921,88.29,11.0,2.0794703430802937,2.1717148430802937,78.88206913786792,2669.8546477432214,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1114362,0.1283525,0.9921,98.10000000000001,11.0,3.4559139660659843,3.5673501660659843,129.57500536280008,4385.615566125542,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1312578,0.156943,0.9921,107.91000000000001,11.0,5.421081815995975,5.552339615995975,201.6747451266208,6825.914450439472,168
23,12.0,11.0,117.72,3.2409681201514458,0.1510279,0.1889953,0.9921,117.72,11.0,8.120854381453123,8.271882281453124,300.45527943272674,10169.255611569213,168
24,13.0,11.0,127.53,3.511048796830733,0.1697892,0.2247705,0.9921,127.53,11.0,11.71707955324483,11.88686875324483,431.7605535615676,14613.43412054536,168
25,14.0,11.0,137.34,3.78112947351002,0.1861486,0.2645875,0.9921,137.34,11.0,16.38757262440302,16.57372122440302,601.9986591060801,20375.33923128271,168
26,15.0,11.0,147.15,4.051210150189307,0.1979723,0.3088395,0.9921,147.15,11.0,22.326116290184146,22.524088590184146,818.13075924751,27690.579543761876,168
27,16.0,11.0,156.96,4.321290826868594,0.2017272,0.3580176,0.9921,156.96,11.0,29.742460648069187,29.944187848069188,1087.6471667700282,36812.67333683172,168
28,17.0,11.0,166.77,4.591371503547882,0.2017272,0.3580176,0.9921,166.77,11.0,38.862323197763665,39.064050397763666,1418.9031926083408,48024.415749820764,168
29,18.0,11.0,176.58,4.861452180227169,0.2017272,0.3580176,0.9921,176.58,11.0,49.927388841197605,50.129116041197605,1820.8138190800923,61627.54464578774,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2017272,0.3580176,0.9921,186.39000000000001,11.0,63.19530988252559,63.39703708252559,2302.7376168717674,77938.8116479675,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2017272,0.3580176,0.9921,196.20000000000002,11.0,78.93970602812672,79.14143322812671,2874.6131323191566,97294.59832464837,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.021316,0.0217987,0.9921,49.050000000000004,12.0,0.050506664856523366,0.07182266485652336,3.1046606049666527,114.63362233723022,168
