,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.012255742314750451,0.01874394231475045,1.4755683463040934,45.40210296320287,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.013626060994732823,0.022952660994732824,1.8068888315252634,55.59657943154655,168
2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.019276719121233434,0.031944719121233436,2.5147653345995016,77.37739491075389,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.03214742689210487,0.04865272689210487,3.8300600032722447,117.84800010068446,168
4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.055835194168761426,0.07666569416876143,6.035308349931869,185.70179538251904,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,0.09459433047617907,0.12022833047617908,9.464664145921402,291.22043525912005,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,0.15333644500289548,0.18424114500289548,14.50390729377971,446.2740705778372,168
7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,0.23763044660100996,0.27426044660100996,21.590443827241486,664.3213485305073,168
8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,0.35370254378618377,0.3964976437861838,31.213250805549013,960.4077170938157,168
9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,0.5084362447376395,0.5578198447376395,43.91292354689917,1351.1668783661285,168
10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,0.7093723572981618,0.7657487572981618,60.28158903379054,1854.8181241166317,168
11,16.0,10.0,156.96,1.9938413514306417,0.0637519,0.0684442,0.9921,156.96,10.0,0.9647089889740967,1.0284608889740967,80.96292165750565,2491.1668202309424,168
12,17.0,10.0,166.77,2.118456435895057,0.0714856,0.0775214,0.9921,166.77,10.0,1.2833015469353524,1.3547871469353523,106.65211172914633,3281.603437819887,168
13,18.0,10.0,176.58,2.243071520359472,0.0795495,0.0872158,0.9921,176.58,10.0,1.6746627380153982,1.7542122380153982,138.09581824618658,4249.102099882664,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0879119,0.0975408,0.9921,186.39000000000001,10.0,2.1489625687112657,2.2368744687112656,176.0921531479902,5418.220096861236,168
