,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435141,0.0455901,0.9921,49.050000000000004,10.0,0.0736912375604038,0.1172053375604038,3.518337635852784,108.25654264162411,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617595,0.0661384,0.9921,58.86,10.0,0.19087483447193926,0.2526343344719393,7.58372362199937,233.3453422153652,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825041,0.0908307,0.9921,68.67,10.0,0.4578729764529685,0.5403770764529685,16.221351733718997,499.1185148836613,168
3,8.0,10.0,78.48,2.6143809502554998,0.1051995,0.1198985,0.9921,78.48,10.0,0.9638706505099054,1.0690701505099054,32.091966323353866,987.4451176416574,168
4,9.0,10.0,88.29,2.9411785690374375,0.1290656,0.1536329,0.9921,88.29,10.0,1.8181549470015939,1.947220547001594,58.452793007748326,1798.5474771614865,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1529683,0.1924006,0.9921,98.10000000000001,10.0,3.1501150596393073,3.303083359639307,99.15386739608817,3050.8882275719434,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1751987,0.2366648,0.9921,107.91000000000001,10.0,5.109242285486751,5.284440985486751,158.63140698774978,4880.966368853839,168
7,12.0,10.0,117.72,3.9215714253832497,0.1930416,0.2870166,0.9921,117.72,10.0,7.865130024960053,8.058171624960053,241.89485815564134,7442.918712481272,168
8,13.0,10.0,127.53,4.248369044165187,0.2018005,0.3442214,0.9921,127.53,10.0,11.607473781827785,11.809274281827784,354.4976280320856,10907.619324064171,168
9,14.0,10.0,137.34,4.575166662947125,0.2018005,0.3442214,0.9921,137.34,10.0,16.546071163210936,16.747871663210937,502.7473016127747,15469.147741931527,168
10,15.0,10.0,147.15,4.901964281729062,0.2018005,0.3442214,0.9921,147.15,10.0,22.910821879582933,23.112622379582934,693.8080711506105,21347.940650788012,168
11,16.0,10.0,156.96,5.2287619005109995,0.2018005,0.3442214,0.9921,156.96,10.0,30.951727744769627,31.15352824476963,935.1846357397077,28774.91186891408,168
12,17.0,10.0,166.77,5.555559519292937,0.2018005,0.3442214,0.9921,166.77,10.0,40.938892675949305,41.1406931759493,1234.9851310433405,37999.54249364124,168
13,18.0,10.0,176.58,5.882357138074875,0.2018005,0.3442214,0.9921,176.58,10.0,53.162522693652676,53.36432319365267,1601.9211292939428,49289.88090135208,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2018005,0.3442214,0.9921,186.39000000000001,10.0,67.93292592176289,68.13472642176289,2045.307639293109,62932.54274748029,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2018005,0.3442214,0.9921,196.20000000000002,10.0,85.58051258751551,85.78231308751552,2575.0631064115923,79232.71096651054,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030012,0.0309754,0.9921,49.050000000000004,11.0,0.044002537499333326,0.07401453749933333,2.688391564312695,90.99171448442966,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428201,0.0448273,0.9921,58.86,11.0,0.0918177009497143,0.13463780094971428,4.890378843670865,165.52051470886002,168
18,7.0,11.0,68.67,1.89056473675501,0.0576128,0.0613804,0.9921,68.67,11.0,0.2084516532303053,0.2660644532303053,9.664120803757845,327.093319511804,168
19,8.0,11.0,78.48,2.160645413434297,0.0741802,0.0807337,0.9921,78.48,11.0,0.4386258505587542,0.5128060505587542,18.626387558837095,630.4315789144862,168
20,9.0,11.0,88.29,2.4307260901135845,0.0922445,0.1030087,0.9921,88.29,11.0,0.837749784176838,0.9299942841768379,33.77969886608498,1143.3128846982606,168
