,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.013468448093523728,0.019956648093523727,1.5710354700547742,48.33955292476228,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.013040088361439581,0.022366688361439582,1.7607596525634002,54.17722007887385,168
2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.013380858505240917,0.02604885850524092,2.050628967068468,63.09627590979901,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.01641301468294809,0.03291831468294809,2.5914091253690543,79.73566539597088,168
4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.02484264362893074,0.04567314362893074,3.5955000225334364,110.63076992410573,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,0.042159662653907734,0.06779366265390774,5.336880631210801,164.21171172956306,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,0.07263781964494727,0.10354251964494726,8.151116873872434,250.8035961191518,168
7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,0.12133469306546667,0.15796469306546668,12.435361622811717,382.62651147112973,168
8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,0.19409169195523282,0.23688679195523282,18.648299594455853,573.7938336755647,168
9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,0.2975340559303616,0.3469176559303616,27.310194582812947,840.3136794711676,168
10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,0.43907085518331823,0.4954472551833182,39.002802864819,1200.0862419944306,168
11,16.0,10.0,156.96,1.9938413514306417,0.0637519,0.0684442,0.9921,156.96,10.0,0.6268949904829173,0.6906468904829173,54.3693889448203,1672.9042752252399,168
12,17.0,10.0,166.77,2.118456435895057,0.0714856,0.0775214,0.9921,166.77,10.0,0.8699831931743226,0.9414687931743226,74.11469406560863,2280.45212509565,168
13,18.0,10.0,176.58,2.243071520359472,0.0795495,0.0872158,0.9921,176.58,10.0,1.1780960251790473,1.2576455251790473,99.00488897497424,3046.3042761530533,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0879119,0.0975408,0.9921,186.39000000000001,10.0,1.5617778789949535,1.6496897789949534,129.86755818122336,3995.9248671145647,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0965364,0.1085109,0.9921,196.20000000000002,10.0,2.032356977696253,2.128893377696253,167.5916212307666,5156.6652686389725,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044371,0.0044614,0.9921,49.050000000000004,11.0,0.01282719690947505,0.01726429690947505,1.6444953805225642,55.659843648456004,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063818,0.006429,0.9921,58.86,11.0,0.012686896620258164,0.019068696620258164,1.8163718840696357,61.47720223004921,168
18,7.0,11.0,68.67,0.720913711777608,0.0086741,0.0087578,0.9921,68.67,11.0,0.012247501724567218,0.020921601724567217,1.9928687261107731,67.45094149913386,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113108,0.0114498,0.9921,78.48,11.0,0.012122418929910159,0.023433218929910158,2.232110608562449,75.54835905903671,168
20,9.0,11.0,88.29,0.9268890579997818,0.0142882,0.0145071,0.9921,88.29,11.0,0.01330469267701039,0.02759289267701039,2.6283366638403245,88.95908708382636,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.017602,0.0179319,0.9921,98.10000000000001,11.0,0.01716700513980677,0.03476900513980677,3.311890929447419,112.09476991975879,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0212475,0.0217272,0.9921,107.91000000000001,11.0,0.025461676225453606,0.046709176225453605,4.449241398797772,150.58970888238613,168
23,12.0,11.0,117.72,1.2358520773330424,0.0252191,0.0258959,0.9921,117.72,11.0,0.040320663574320646,0.06553976357432065,6.242932394157287,211.29925026378507,168
24,13.0,11.0,127.53,1.3388397504441292,0.0295105,0.0304413,0.9921,127.53,11.0,0.06425556255999314,0.09376606255999313,8.931603617467392,302.30043012966553,168
25,14.0,11.0,137.34,1.441827423555216,0.0341147,0.0353673,0.9921,137.34,11.0,0.10015760628927171,0.13427230628927173,12.789990150345039,432.89197431937055,168
26,15.0,11.0,147.15,1.544815096666303,0.0390239,0.0406778,0.9921,147.15,11.0,0.1512976656021726,0.1903215656021726,18.128912928670882,613.593976047322,168
27,16.0,11.0,156.96,1.6478027697773898,0.0442292,0.0463774,0.9921,156.96,11.0,0.22132624907192724,0.26555544907192724,25.295250166353757,856.1469287073579,168
28,17.0,11.0,166.77,1.7507904428884766,0.049721,0.0524708,0.9921,166.77,11.0,0.31427350300498275,0.36399450300498276,34.67197545697804,1173.5130154669487,168
29,18.0,11.0,176.58,1.8537781159995637,0.0554882,0.0589634,0.9921,176.58,11.0,0.4345492114410016,0.4900374114410016,46.67808157050897,1579.8735300787653,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0615189,0.0658608,0.9921,186.39000000000001,11.0,0.5869427961528617,0.6484616961528618,61.768647131175484,2090.631133670555,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0677995,0.0731692,0.9921,196.20000000000002,11.0,0.7766233166466566,0.8444228166466566,80.43475088876373,2722.4069531581567,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031354,0.0031486,0.9921,49.050000000000004,12.0,0.011997114950972079,0.015132514950972079,1.715426026649729,63.33880713783615,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045112,0.0045362,0.9921,58.86,12.0,0.01227651494491859,0.01678771494491859,1.9030599499021177,70.26682891946281,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061341,0.0061779,0.9921,68.67,12.0,0.012167316736864166,0.018301416736864168,2.0746535983407717,76.60259440027463,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080027,0.0080746,0.9921,78.48,12.0,0.011798860199334706,0.019801560199334704,2.2447102708481457,82.88161000054691,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101151,0.0102273,0.9921,88.29,12.0,0.011493895904334297,0.021608995904334297,2.4496016758722083,90.4468311091277,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0124692,0.0126371,0.9921,98.10000000000001,12.0,0.011768585123345226,0.024237785123345228,2.747601939508352,101.4499177664622,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0150628,0.0153056,0.9921,107.91000000000001,12.0,0.01333249982732795,0.028395299827327948,3.2188989415266955,118.85165322560105,168
39,12.0,12.0,117.72,1.0384590372034592,0.0178932,0.018234,0.9921,117.72,12.0,0.01708862268672113,0.034981822686721134,3.9655489712628738,146.42026970816764,168
40,13.0,12.0,127.53,1.1249972903037475,0.0209575,0.0214241,0.9921,127.53,12.0,0.024133347071441623,0.04509084707144162,5.111510735699942,188.73270408738244,168
41,14.0,12.0,137.34,1.2115355434040358,0.0242523,0.0248777,0.9921,137.34,12.0,0.03575647705088445,0.06000877705088445,6.802611351386471,251.17334220503886,168
42,15.0,12.0,147.15,1.298073796504324,0.027774,0.0285968,0.9921,147.15,12.0,0.053441227393922874,0.08121522739392287,9.206580352518456,339.9352745545276,168
43,16.0,12.0,156.96,1.3846120496046124,0.0315186,0.0325834,0.9921,156.96,12.0,0.07886422356890826,0.11038282356890827,12.513027018884705,462.0194591588198,168
44,17.0,12.0,166.77,1.4711503027049007,0.0354818,0.0368399,0.9921,166.77,12.0,0.11389550174367026,0.14937730174367025,16.933451711894147,625.2351401314761,168
45,18.0,12.0,176.58,1.557688555805189,0.0396585,0.0413689,0.9921,176.58,12.0,0.16059850878551668,0.20025700878551667,22.701189194439316,838.1977548716055,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0440436,0.0461729,0.9921,186.39000000000001,12.0,0.22123010226123344,0.2652737022612334,30.071499319114764,1110.3322825519297,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0486312,0.0512549,0.9921,196.20000000000002,12.0,0.29824055043708475,0.34687175043708474,39.32147633999867,1451.86989563072,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0022775,0.0022852,0.9921,49.050000000000004,13.0,0.011042604483120973,0.013320104483120973,1.7721183688502409,70.88473475400961,168
49,6.0,13.0,58.86,0.44242041821685835,0.0032777,0.0032919,0.9921,58.86,13.0,0.011529078370031066,0.014806778370031066,1.9699067650915645,78.79627060366258,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044581,0.0044826,0.9921,68.67,13.0,0.011763756405325827,0.016221856405325828,2.1581699865159956,86.32679946063983,168
51,8.0,13.0,78.48,0.5898938909558111,0.005818,0.0058577,0.9921,78.48,13.0,0.011708137334471323,0.017526137334471323,2.331692663880027,93.26770655520107,168
52,9.0,13.0,88.29,0.6636306273252875,0.0073564,0.0074178,0.9921,88.29,13.0,0.011427655894421199,0.018784055894421198,2.499047251032823,99.96189004131291,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0090723,0.0091635,0.9921,98.10000000000001,13.0,0.011091682813616676,0.020163982813616678,2.682633937179016,107.30535748716063,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0109645,0.0110955,0.9921,107.91000000000001,13.0,0.010973524811986561,0.021938024811986562,2.9186540387035085,116.74616154814034,168
55,12.0,13.0,117.72,0.8848408364337167,0.0130316,0.0132146,0.9921,117.72,13.0,0.011450424600947225,0.024482024600947228,3.257109999171472,130.28439996685887,168
56,13.0,13.0,127.53,0.9585775728031931,0.0152722,0.0155216,0.9921,127.53,13.0,0.01300356088340263,0.02827576088340263,3.761831997503547,150.47327990014188,168
57,14.0,13.0,137.34,1.0323143091726696,0.0176845,0.0180175,0.9921,137.34,13.0,0.0162180483537443,0.0339025483537443,4.510424731625443,180.4169892650177,168
58,15.0,13.0,147.15,1.106051045542146,0.0202668,0.0207032,0.9921,147.15,13.0,0.021782937697851355,0.04204973769785136,5.59433393890594,223.77335755623758,168
59,16.0,13.0,156.96,1.1797877819116223,0.023017,0.02358,0.9921,156.96,13.0,0.030491215593090475,0.05350821559309048,7.1187798757188885,284.7511950287555,168
60,17.0,13.0,166.77,1.2535245182810988,0.0259329,0.026649,0.9921,166.77,13.0,0.043239804708315926,0.06917270470831592,9.202797229706002,368.11188918824,168
61,18.0,13.0,176.58,1.327261254650575,0.0290123,0.0299114,0.9921,176.58,13.0,0.06102956370386958,0.09004186370386959,11.979248423864478,479.1699369545791,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0322524,0.0333686,0.9921,186.39000000000001,13.0,0.08496528723158081,0.11721768723158081,15.594743792021362,623.7897516808544,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0356506,0.0370221,0.9921,196.20000000000002,13.0,0.11625570593476663,0.15190630593476662,20.209748011534383,808.3899204613753,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0016939,0.0016986,0.9921,49.050000000000004,14.0,0.010115465699746829,0.011809365699746829,1.8221370302348325,78.49205668703894,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024381,0.0024467,0.9921,58.86,14.0,0.010631503444971244,0.013069603444971245,2.016586581621177,86.86834505445071,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033167,0.0033313,0.9921,68.67,14.0,0.011043927139112605,0.014360627139112606,2.21578627954026,95.44925511865733,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043294,0.0043527,0.9921,78.48,14.0,0.011264921473630946,0.015594321473630945,2.4061402907607756,103.64912021738726,168
68,9.0,14.0,88.29,0.5722121225406815,0.0054756,0.0055111,0.9921,88.29,14.0,0.011265173155216857,0.016740773155216857,2.5830331159560753,111.26911884118476,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0067547,0.006807,0.9921,98.10000000000001,14.0,0.011073870905791483,0.017828570905791482,2.7508758784823195,118.49926861154606,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.008166,0.0082407,0.9921,107.91000000000001,14.0,0.01077870546250654,0.01894470546250654,2.923090894785765,125.91776162154062,168
71,12.0,14.0,117.72,0.7629494967209087,0.0097089,0.0098126,0.9921,117.72,14.0,0.010525869577744297,0.020234769577744297,3.1221425335881983,134.4922937545685,168
72,13.0,14.0,127.53,0.8265286214476512,0.0113825,0.0115233,0.9921,127.53,14.0,0.010520058019117593,0.021902558019117592,3.3794754975160632,145.5774060468458,168
73,14.0,14.0,137.34,0.8901077461743935,0.013186,0.0133731,0.9921,137.34,14.0,0.011024467569469816,0.024210467569469818,3.735576541471334,160.91714332491898,168
74,15.0,14.0,147.15,0.9536868709011359,0.0151183,0.0153627,0.9921,147.15,14.0,0.01236079702687492,0.02747909702687492,4.239912754260638,182.6423955681506,168
75,16.0,14.0,156.96,1.0172659956278782,0.0171783,0.0174927,0.9921,156.96,14.0,0.014909247204637426,0.032087547204637426,4.9509778473734185,213.27289188685495,168
76,17.0,14.0,166.77,1.0808451203546208,0.0193651,0.0197637,0.9921,166.77,14.0,0.019108520931292398,0.0384736209312924,5.9363230141673675,255.7185298410558,168
77,18.0,14.0,176.58,1.144424245081363,0.0216772,0.0221764,0.9921,176.58,14.0,0.025455823050605488,0.04713302305060549,7.272433493126677,313.27405816545684,168
78,19.0,14.0,186.39000000000001,1.2080033698081056,0.0241133,0.0247316,0.9921,186.39000000000001,14.0,0.03450686042157289,0.05862016042157289,9.044852004603786,389.6243940444708,168
79,20.0,14.0,196.20000000000002,1.271582494534848,0.0266721,0.02743,0.9921,196.20000000000002,14.0,0.046875841918421354,0.07354794191842136,11.348147891633948,488.8432937934623,168
80,5.0,15.0,49.050000000000004,0.27692240992092243,0.0012857,0.0012888,0.9921,49.050000000000004,15.0,0.00928703109384843,0.010572731093848431,1.8726995056173101,86.43228487464508,168
81,6.0,15.0,58.86,0.3323068919051069,0.0018508,0.0018563,0.9921,58.86,15.0,0.009730274059019205,0.011581074059019205,2.0513026835101718,94.67550846970023,168
82,7.0,15.0,68.67,0.3876913738892914,0.0025181,0.0025272,0.9921,68.67,15.0,0.010181281401707208,0.012699381401707208,2.2493833486846166,103.81769301621306,168
83,8.0,15.0,78.48,0.4430758558734759,0.0032874,0.0033017,0.9921,78.48,15.0,0.010546699286956856,0.013834099286956855,2.4503707382114834,113.09403407129923,168
84,9.0,15.0,88.29,0.4984603378576604,0.0041584,0.00418,0.9921,88.29,15.0,0.010767452361479244,0.014925852361479244,2.643747967308309,122.01913695269116,168
85,10.0,15.0,98.10000000000001,0.5538448198418449,0.0051308,0.0051623,0.9921,98.10000000000001,15.0,0.010818743753652134,0.015949543753652134,2.8250697418819835,130.38783424070692,168
86,11.0,15.0,107.91000000000001,0.6092293018260294,0.0062042,0.0062489,0.9921,107.91000000000001,15.0,0.01071005507351997,0.01691425507351997,2.9959446459860963,138.27436827628134,168
87,12.0,15.0,117.72,0.6646137838102139,0.0073781,0.0074398,0.9921,117.72,15.0,0.010485146412793864,0.017863246412793864,3.1640351418209285,146.03239116096591,168
88,13.0,15.0,127.53,0.7199982657943983,0.0086522,0.0087355,0.9921,127.53,15.0,0.01022205634485161,0.01887425634485161,3.343110707361447,154.29741726283598,168
89,14.0,15.0,137.34,0.7753827477785828,0.0100259,0.0101362,0.9921,137.34,15.0,0.010033101924737666,0.02005900192473767,3.5529592736439857,163.98273570664546,168
90,15.0,15.0,147.15,0.8307672297627673,0.0114987,0.0116422,0.9921,147.15,15.0,0.010064878689163177,0.021563578689163178,3.8194580749369016,176.2826803817031,168
91,16.0,15.0,156.96,0.8861517117469518,0.01307,0.0132539,0.9921,156.96,15.0,0.010498260656505951,0.02356826065650595,4.174538223655245,192.67099493793432,168
92,17.0,15.0,166.77,0.9415361937311363,0.0147391,0.0149717,0.9921,166.77,15.0,0.01154840032681048,0.02628750032681048,4.656184710360761,214.90083278588128,168
93,18.0,15.0,176.58,0.9969206757153208,0.0165053,0.0167958,0.9921,176.58,15.0,0.01346472868178792,0.02997002868178792,5.308454116304553,245.00557459867167,168
94,19.0,15.0,186.39000000000001,1.0523051576995053,0.0183679,0.0187268,0.9921,186.39000000000001,15.0,0.01653095518481611,0.03489885518481611,6.181474613427084,285.2988283120192,168
95,20.0,15.0,196.20000000000002,1.1076896396836897,0.0203261,0.0207651,0.9921,196.20000000000002,15.0,0.021065067780939556,0.041391167780939556,7.331428251815506,338.3736116222541,168
96,5.0,16.0,49.050000000000004,0.24338883684456075,0.0009933,0.0009955,0.9921,49.050000000000004,16.0,0.008792047989654274,0.009785347989654275,1.9720350576270427,97.08480283702364,168
97,6.0,16.0,58.86,0.29206660421347286,0.00143,0.0014337,0.9921,58.86,16.0,0.00911589152470228,0.010545891524702282,2.125306920370399,104.63049454131196,168
98,7.0,16.0,68.67,0.340744371582385,0.0019458,0.0019518,0.9921,68.67,16.0,0.009517571247383708,0.011463371247383707,2.310206034811973,113.73322017535865,168
99,8.0,16.0,78.48,0.3894221389512972,0.0025406,0.0025498,0.9921,78.48,16.0,0.00991417254916198,0.012454772549161981,2.510002518835932,123.56935477346127,168
100,9.0,16.0,88.29,0.43809990632020934,0.0032141,0.0032279,0.9921,88.29,16.0,0.010243419041505003,0.013457519041505002,2.7120853920156778,133.51805006846413,168
101,10.0,16.0,98.10000000000001,0.4867776736891215,0.0039662,0.0039861,0.9921,98.10000000000001,16.0,0.010463672555885158,0.014429872555885157,2.9080431873635644,143.16520307020622,168
102,11.0,16.0,107.91000000000001,0.5354554410580337,0.0047967,0.0048246,0.9921,107.91000000000001,16.0,0.010553933143779306,0.015350633143779307,3.0936034925186093,152.30047963168536,168
103,12.0,16.0,117.72,0.5841332084269457,0.0057053,0.0057436,0.9921,117.72,16.0,0.010513839076668793,0.016219139076668793,3.2686329497464923,160.91731444905807,168
104,13.0,16.0,127.53,0.6328109757958579,0.0066917,0.0067432,0.9921,127.53,16.0,0.010363666846039434,0.017055366846039435,3.437157408876988,169.21390320625167,168
105,14.0,16.0,137.34,0.68148874316477,0.0077557,0.0078235,0.9921,137.34,16.0,0.010144331163381528,0.017900031163381527,3.6073820802413907,177.59419471957617,168
106,15.0,16.0,147.15,0.7301665105336822,0.008897,0.0089848,0.9921,147.15,16.0,0.009917384960189856,0.018814384960189855,3.791651228797662,186.66590664850025,168
107,16.0,16.0,156.96,0.7788442779025944,0.0101151,0.0102273,0.9921,156.96,16.0,0.009765019387963671,0.01988011938796367,4.006428021192995,197.23953335103974,168
108,17.0,16.0,166.77,0.8275220452715065,0.0114097,0.0115511,0.9921,166.77,16.0,0.00979006381820671,0.02119976381820671,4.272375137513534,210.33231446220472,168
109,18.0,16.0,176.58,0.8761998126404187,0.0127804,0.0129565,0.9921,176.58,16.0,0.010115985842427186,0.02289638584242719,4.614294312472088,227.1652584601643,168
110,19.0,16.0,186.39000000000001,0.9248775800093308,0.0142268,0.0144438,0.9921,186.39000000000001,16.0,0.0108868912721378,0.0251136912721378,5.06114648834556,249.16413481085834,168
111,20.0,16.0,196.20000000000002,0.973555347378243,0.0157484,0.0160132,0.9921,196.20000000000002,16.0,0.01226752413885571,0.02801592413885571,5.646031662037514,277.9584818233853,168
112,5.0,17.0,49.050000000000004,0.21559703194535487,0.0007795,0.000781,0.9921,49.050000000000004,17.0,0.00857763155631706,0.009357131556317061,2.128820135861989,111.35366864508863,168
113,6.0,17.0,58.86,0.2587164383344258,0.0011223,0.0011248,0.9921,58.86,17.0,0.008774692451517862,0.009896992451517862,2.251642684348236,117.77823271975386,168
114,7.0,17.0,68.67,0.3018358447234968,0.0015272,0.0015313,0.9921,68.67,17.0,0.009087420153577028,0.010614620153577028,2.4149085626787117,126.31829404780953,168
115,8.0,17.0,78.48,0.3449552511125678,0.0019941,0.0020003,0.9921,78.48,17.0,0.00944724181250547,0.01144134181250547,2.6029941638790013,136.15661780290162,168
116,9.0,17.0,88.29,0.3880746575016388,0.002523,0.0025322,0.9921,88.29,17.0,0.009798329601966745,0.012321329601966746,2.8031982236640904,146.62883016089089,168
117,10.0,17.0,98.10000000000001,0.43119406389070974,0.0031138,0.0031268,0.9921,98.10000000000001,17.0,0.010097600719277056,0.013211400719277056,3.0056963188843264,157.22103821856476,168
118,11.0,17.0,107.91000000000001,0.4743134702797807,0.0037662,0.0037843,0.9921,107.91000000000001,17.0,0.010314717385405245,0.014080917385405244,3.2035181167483975,167.56863995299307,168
119,12.0,17.0,117.72,0.5174328766688516,0.0044801,0.0045048,0.9921,117.72,17.0,0.010432086844972812,0.014912186844972811,3.392638377931416,177.46108438410485,168
120,13.0,17.0,127.53,0.5605522830579226,0.0052554,0.0052884,0.9921,127.53,17.0,0.010444861366253895,0.015700261366253895,3.571931455020876,186.83949149339963,168
121,14.0,17.0,137.34,0.6036716894469936,0.0060919,0.0061351,0.9921,137.34,17.0,0.010360938241175273,0.01645283824117527,3.7431485417396284,195.79546218330364,168
122,15.0,17.0,147.15,0.6467910958360645,0.0069894,0.0070452,0.9921,147.15,17.0,0.010200959785316379,0.017190359785316377,3.910940423722912,204.57226831781384,168
123,16.0,17.0,156.96,0.6899105022251356,0.0079477,0.0080186,0.9921,156.96,17.0,0.00999831333790929,0.01794601333790929,4.082857478518346,213.56485272249807,168
124,17.0,17.0,166.77,0.7330299086142066,0.0089665,0.0090556,0.9921,166.77,17.0,0.009799131261838725,0.018765631261838726,4.269326924808907,223.31863914385053,168
125,18.0,17.0,176.58,0.7761493150032776,0.0100456,0.0101563,0.9921,176.58,17.0,0.00966229094364205,0.019707890943642052,4.483698323966978,234.53191233058038,168
126,19.0,17.0,186.39000000000001,0.8192687213923485,0.0111848,0.0113209,0.9921,186.39000000000001,17.0,0.00965941479350928,0.02084421479350928,4.742220829277323,248.05462799296768,168
127,20.0,17.0,196.20000000000002,0.8623881277814195,0.0123838,0.0125495,0.9921,196.20000000000002,17.0,0.009874870245283067,0.022258670245283066,5.0640204351600655,264.8872227622188,168
128,5.0,18.0,49.050000000000004,0.19230722911175172,0.0006203,0.0006214,0.9921,49.050000000000004,18.0,0.008473630089387405,0.009093930089387406,2.319503395398848,128.46480343747464,168
129,6.0,18.0,58.86,0.23076867493410202,0.000893,0.0008949,0.9921,58.86,18.0,0.008553472349690403,0.009446472349690403,2.4094230408938873,133.44496841873834,168
130,7.0,18.0,68.67,0.26923012075645236,0.0012153,0.0012182,0.9921,68.67,18.0,0.008766580091952064,0.009981880091952064,2.545984468559581,141.0083705663768,168
131,8.0,18.0,78.48,0.3076915665788027,0.001587,0.0015913,0.9921,78.48,18.0,0.009057781961020394,0.010644781961020394,2.715064626533812,150.37281008494958,168
132,9.0,18.0,88.29,0.3461530124011531,0.002008,0.0020143,0.9921,88.29,18.0,0.00937999122167309,0.01138799122167309,2.9046280371419004,160.8717066724745,168
133,10.0,18.0,98.10000000000001,0.38461445822350343,0.0024783,0.0024872,0.9921,98.10000000000001,18.0,0.00969420575861753,0.01217250575861753,3.1047267968966024,171.95409952042723,168
134,11.0,18.0,107.91000000000001,0.42307590404585377,0.0029978,0.00301,0.9921,107.91000000000001,18.0,0.009969508076490776,0.012967308076490776,3.3074495643752395,183.18182202693632,168
135,12.0,18.0,117.72,0.46153734986820405,0.0035664,0.0035829,0.9921,117.72,18.0,0.010183065299859574,0.013749465299859574,3.5069470662811373,194.23091444018604,168
