,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435141,0.0455901,0.9921,49.050000000000004,10.0,-0.009241797772280971,0.03427230222771903,1.0288057976281266,31.65556300394235,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617595,0.0661384,0.9921,58.86,10.0,0.002185701082882425,0.06394520108288243,1.9195440436842879,59.06289365182424,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825041,0.0908307,0.9921,68.67,10.0,0.13422727645667332,0.2167313764566733,6.505967855471655,200.1836263222048,168
3,8.0,10.0,78.48,2.6143809502554998,0.1051995,0.1198985,0.9921,78.48,10.0,0.4914823248111128,0.5966818248111128,17.911540246879376,551.1243152885962,168
4,9.0,10.0,88.29,2.9411785690374375,0.1290656,0.1536329,0.9921,88.29,10.0,1.2062083277664515,1.3352739277664516,40.08302532990455,1233.3238563047553,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1529683,0.1924006,0.9921,98.10000000000001,10.0,2.4383208521011697,2.5912891521011696,77.78681704249156,2393.4405243843553,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1751987,0.2366648,0.9921,107.91000000000001,10.0,4.375393549751977,4.550592249751977,136.6023110463811,4203.148032196342,168
7,12.0,10.0,117.72,3.9215714253832497,0.1930416,0.2870166,0.9921,117.72,10.0,7.232658157813809,7.425699757813809,222.9089517104516,6858.736975706202,168
8,13.0,10.0,127.53,4.248369044165187,0.2018005,0.3442214,0.9921,127.53,10.0,11.253004498539843,11.454804998539842,343.85696399660173,10580.214276818513,168
9,14.0,10.0,137.34,4.575166662947125,0.2018005,0.3442214,0.9921,137.34,10.0,16.706980479341475,16.908780979341476,507.57757056370576,15617.771401960175,168
10,15.0,10.0,147.15,4.901964281729062,0.2018005,0.3442214,0.9921,147.15,10.0,23.892792092788337,24.094592592788338,723.285421161453,22254.936035737013,168
11,16.0,10.0,156.96,5.2287619005109995,0.2018005,0.3442214,0.9921,156.96,10.0,33.136303416608285,33.33810391660828,1000.7624922143514,30792.69206813389,168
12,17.0,10.0,166.77,5.555559519292937,0.2018005,0.3442214,0.9921,166.77,10.0,44.7910366136874,44.9928371136874,1350.6210165496746,41557.56973998998,168
13,18.0,10.0,176.58,5.882357138074875,0.2018005,0.3442214,0.9921,176.58,10.0,59.23817193207001,59.43997243207001,1784.3034833974616,54901.64564299882,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2018005,0.3442214,0.9921,186.39000000000001,10.0,76.88654770495866,77.08834820495866,2314.082638390518,71202.54271970825,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2018005,0.3442214,0.9921,196.20000000000002,10.0,98.17266035071412,98.37446085071413,2953.0614835644124,90863.43026352038,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030012,0.0309754,0.9921,49.050000000000004,11.0,0.027908789431457116,0.05792078943145712,2.1038267206258467,71.20644285195173,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428201,0.0448273,0.9921,58.86,11.0,0.03603497123479586,0.07885507123479586,2.8642117545193244,96.94255169142328,168
18,7.0,11.0,68.67,1.89056473675501,0.0576128,0.0613804,0.9921,68.67,11.0,0.1045693616008527,0.1621821616008527,5.890858334873172,199.38289748801498,168
19,8.0,11.0,78.48,2.160645413434297,0.0741802,0.0807337,0.9921,78.48,11.0,0.2894236243621582,0.3636038243621582,13.206992669188342,447.0059057263746,168
20,9.0,11.0,88.29,2.4307260901135845,0.0922445,0.1030087,0.9921,88.29,11.0,0.6619636221259446,0.7542081221259446,27.39470949579022,927.2055521652075,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1114362,0.1283525,0.9921,98.10000000000001,11.0,1.309009416274145,1.420445616274145,51.594107608802595,1746.2621036825492,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1312578,0.156943,0.9921,107.91000000000001,11.0,2.3328352669633947,2.464093066963395,89.50197135212059,3029.297491917928,168
23,12.0,11.0,117.72,3.2409681201514458,0.1510279,0.1889953,0.9921,117.72,11.0,3.851169633125025,4.002197533125025,145.36974019277372,4920.206591140033,168
24,13.0,11.0,127.53,3.511048796830733,0.1697892,0.2247705,0.9921,127.53,11.0,5.997195172465078,6.166984372465079,224.00016705275866,7581.544115631831,168
25,14.0,11.0,137.34,3.78112947351002,0.1861486,0.2645875,0.9921,137.34,11.0,8.919548741464292,9.10569734146429,330.7415103444729,11194.328042428311,168
26,15.0,11.0,147.15,4.051210150189307,0.1979723,0.3088395,0.9921,147.15,11.0,12.782321395378103,12.980293695378103,471.47645924653744,15957.664774498186,168
27,16.0,11.0,156.96,4.321290826868594,0.2017272,0.3580176,0.9921,156.96,11.0,17.765058388236653,17.966785588236654,652.5982117184126,22087.939473546274,168
28,17.0,11.0,166.77,4.591371503547882,0.2017272,0.3580176,0.9921,166.77,11.0,24.062759172844785,24.264486372844786,881.346323048007,29830.18324162485,168
29,18.0,11.0,176.58,4.861452180227169,0.2017272,0.3580176,0.9921,176.58,11.0,31.885877400782046,32.08760460078204,1165.5013790840842,39447.738984384385,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2017272,0.3580176,0.9921,186.39000000000001,11.0,41.46032092240268,41.66204812240268,1513.2689132221594,51218.332447519235,168
