,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.015936293762039005,0.022424493762039005,1.7653102331156467,54.3172379420199,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.015608667230688216,0.024935267230688216,1.9629643761378124,60.39890388116344,168
2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.015050864168603541,0.027718864168603544,2.1820958406656654,67.14141048202048,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.016058764072769946,0.032564064072769947,2.5635216629419837,78.87758962898411,168
4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.02137553996807777,0.04220603996807777,3.3225612602708297,102.23265416217937,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,0.03469165840732266,0.060325658407322666,4.748981325329257,146.1225023178233,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,0.06064487947120566,0.09154957947120565,7.207003698408501,221.75395995103074,168
7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,0.10482025676833302,0.14145025676833303,11.135305367413972,342.62478053581447,168
8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,0.17375013743521667,0.21654523743521667,17.046963362176992,524.5219496054458,168
9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,0.2749141621362734,0.32429776213627337,25.529501987901845,785.5231380892875,168
10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,0.41673926506382586,0.47311566506382585,37.24480623051284,1145.9940378619333,168
11,16.0,10.0,156.96,1.9938413514306417,0.0637519,0.0684442,0.9921,156.96,10.0,0.6085996739381015,0.6723515739381015,52.92913750113658,1628.5888461888176,168
12,17.0,10.0,166.77,2.118456435895057,0.0714856,0.0775214,0.9921,166.77,10.0,0.8608169100072338,0.9323025100072339,73.39310214713733,2258.2492968349943,168
13,18.0,10.0,176.58,2.243071520359472,0.0795495,0.0872158,0.9921,176.58,10.0,1.1846597880472614,1.2642092880472613,99.52160421866985,3062.2032067283026,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0879119,0.0975408,0.9921,186.39000000000001,10.0,1.5923444163621274,1.6802563163621274,132.273829724197,4069.963991513753,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0965364,0.1085109,0.9921,196.20000000000002,10.0,2.0970341967836807,2.193570596783681,172.68316790807796,5313.328243325474,168
