,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435141,0.0455901,0.9921,49.050000000000004,10.0,0.096765947224735,0.140280047224735,4.2110076211813325,129.56946526711792,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617595,0.0661384,0.9921,58.86,10.0,0.2915392142804266,0.35329871428042664,10.605525217745399,326.3238528537045,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825041,0.0908307,0.9921,68.67,10.0,0.7458834503633008,0.8283875503633008,24.867016777397467,765.1389777660759,168
3,8.0,10.0,78.48,2.6143809502554998,0.1051995,0.1198985,0.9921,78.48,10.0,1.6139391133518615,1.7191386133518614,51.60609755922094,1587.8799248991058,168
4,9.0,10.0,88.29,2.9411785690374375,0.1290656,0.1536329,0.9921,88.29,10.0,3.0841545295639476,3.2132201295639478,96.45630096238807,2967.886183458094,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1529683,0.1924006,0.9921,98.10000000000001,10.0,5.379285893756733,5.532254193756733,166.07040725399926,5109.858684738439,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1751987,0.2366648,0.9921,107.91000000000001,10.0,8.756397269126724,8.931595969126723,268.11381546693195,8249.655860520983,168
7,12.0,10.0,117.72,3.9215714253832497,0.1930416,0.2870166,0.9921,117.72,10.0,13.506860587309752,13.699902187309753,411.2515903831822,12653.895088713296,168
8,13.0,10.0,127.53,4.248369044165187,0.2018005,0.3442214,0.9921,127.53,10.0,19.956355648381013,20.158156148381014,605.1191944197475,18619.05213599223,168
9,14.0,10.0,137.34,4.575166662947125,0.2018005,0.3442214,0.9921,137.34,10.0,28.464870120855007,28.666670620855008,860.5327047325812,26477.929376387114,168
10,15.0,10.0,147.15,4.901964281729062,0.2018005,0.3442214,0.9921,147.15,10.0,39.42669954168558,39.62850004168558,1189.5912426104328,36602.8074649364,168
11,16.0,10.0,156.96,5.2287619005109995,0.2018005,0.3442214,0.9921,156.96,10.0,53.27044731626591,53.472247816265906,1605.1608730588516,49389.56532488774,168
12,17.0,10.0,166.77,5.555559519292937,0.2018005,0.3442214,0.9921,166.77,10.0,70.4590247184285,70.6608252184285,2121.137534528133,65265.77029317333,168
13,18.0,10.0,176.58,5.882357138074875,0.2018005,0.3442214,0.9921,176.58,10.0,91.4896508904452,91.69145139044521,2752.4470389133194,84690.67812040982,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2018005,0.3442214,0.9921,186.39000000000001,10.0,116.89385284302723,117.09565334302724,3515.045071554199,108155.23297089842,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2018005,0.3442214,0.9921,196.20000000000002,10.0,147.23746545532507,147.43926595532506,4425.917191235306,136182.0674226248,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030012,0.0309754,0.9921,49.050000000000004,11.0,0.04439298738993136,0.07440498738993136,2.7025736726880933,91.47172430636623,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428201,0.0448273,0.9921,58.86,11.0,0.09242743475273624,0.13524753475273624,4.912525887588221,166.27010696452442,168
18,7.0,11.0,68.67,1.89056473675501,0.0576128,0.0613804,0.9921,68.67,11.0,0.23240812199989994,0.2900209219998999,10.534279163545998,356.5448332277107,168
19,8.0,11.0,78.48,2.160645413434297,0.0741802,0.0807337,0.9921,78.48,11.0,0.5294966663976082,0.6036768663976082,21.92704095744258,742.1460016365179,168
20,9.0,11.0,88.29,2.4307260901135845,0.0922445,0.1030087,0.9921,88.29,11.0,1.064859559038261,1.157104059038261,42.02888914057537,1422.5162478348586,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1114362,0.1283525,0.9921,98.10000000000001,11.0,1.9356681648404723,2.0471043648404725,74.35590752363203,2516.661485415238,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1312578,0.156943,0.9921,107.91000000000001,11.0,3.2550987225490706,3.386356522549071,123.00086735066331,4163.106279560912,168
23,12.0,11.0,117.72,3.2409681201514458,0.1510279,0.1889953,0.9921,117.72,11.0,5.152332344735093,5.303360244735093,192.63119687244625,6519.825124913566,168
24,13.0,11.0,127.53,3.511048796830733,0.1697892,0.2247705,0.9921,127.53,11.0,7.7725550177958045,7.942344217795805,288.48563967831694,9764.12934295842,168
25,14.0,11.0,137.34,3.78112947351002,0.1861486,0.2645875,0.9921,137.34,11.0,11.27695760195467,11.46310620195467,416.3684467316039,14092.470504761977,168
26,15.0,11.0,147.15,4.051210150189307,0.1979723,0.3088395,0.9921,147.15,11.0,15.842735831261377,16.040708131261376,582.6383016454512,19720.06559415373,168
27,16.0,11.0,156.96,4.321290826868594,0.2017272,0.3580176,0.9921,156.96,11.0,21.663090313591816,21.864817513591817,794.1843986974338,26880.087340528524,168
28,17.0,11.0,166.77,4.591371503547882,0.2017272,0.3580176,0.9921,166.77,11.0,28.947226530648113,29.148953730648113,1058.7622913771675,35835.03140045798,168
29,18.0,11.0,176.58,4.861452180227169,0.2017272,0.3580176,0.9921,176.58,11.0,37.920354837958584,38.122082037958585,1384.6885656187137,46866.38222094107,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2017272,0.3580176,0.9921,186.39000000000001,11.0,48.823690464877764,49.025417664877764,1780.7247567864774,60270.684075850004,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2017272,0.3580176,0.9921,196.20000000000002,11.0,61.91445351458642,62.11618071458642,2256.213736955678,76364.15725080756,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.021316,0.0217987,0.9921,49.050000000000004,12.0,0.03859344514519382,0.05990944514519382,2.5896907971773824,95.61935251116486,168
33,6.0,12.0,58.86,1.3616567449247396,0.0305039,0.0314997,0.9921,58.86,12.0,0.04525366513871946,0.07575756513871945,3.2747535681699915,120.91397790166123,168
34,7.0,12.0,68.67,1.5885995357455296,0.0412012,0.0430531,0.9921,68.67,12.0,0.08306987237245943,0.12427107237245943,5.371834970234917,198.34467582405847,168
35,8.0,12.0,78.48,1.8155423265663195,0.0533156,0.056506,0.9921,78.48,12.0,0.18084370113936507,0.23415930113936506,10.121946310209633,373.73340222312487,168
36,9.0,12.0,88.29,2.0424851173871095,0.0667296,0.0719148,0.9921,88.29,12.0,0.37535569942999203,0.44208529942999203,19.109912113634447,705.5967549649641,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0812945,0.0893465,0.9921,98.10000000000001,12.0,0.7113653289324996,0.7926598289324996,34.26411076423351,1265.1363974486217,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.096822,0.1088801,0.9921,107.91000000000001,12.0,1.241610965032652,1.3384329650326519,57.856111399188315,2136.225651662338,168
39,12.0,12.0,117.72,2.7233134898494793,0.1130719,0.1306084,0.9921,117.72,12.0,2.0268098968138144,2.1398817968138144,92.50014222007376,3415.3898665873385,168
40,13.0,12.0,127.53,2.9502562806702692,0.1297354,0.1546399,0.9921,127.53,12.0,3.1356583270569622,3.265393727056962,141.15236860608064,5211.779763916823,168
41,14.0,12.0,137.34,3.177199071491059,0.1464097,0.1811022,0.9921,137.34,12.0,4.64483137224067,4.791241072240671,207.10979515448517,7647.130898011759,168
42,15.0,12.0,147.15,3.404141862311849,0.1625603,0.2101454,0.9921,147.15,12.0,6.638983062541119,6.801543362541119,294.00863603205477,10855.703484260483,168
43,16.0,12.0,156.96,3.631084653132639,0.1774614,0.2419466,0.9921,156.96,12.0,9.210746341832088,9.388207741832089,405.8217386605602,14984.187273620682,168
44,17.0,12.0,166.77,3.858027443953429,0.1900964,0.2767161,0.9921,166.77,12.0,12.460733067684973,12.650829467684973,546.8542826548361,20191.54274417856,168
45,18.0,12.0,176.58,4.084970234774219,0.1989783,0.314706,0.9921,176.58,12.0,16.49753401136876,16.69651231136876,721.7360162979131,26648.714447922946,168
46,19.0,12.0,186.39000000000001,4.311913025595009,0.2017909,0.3562211,0.9921,186.39000000000001,12.0,21.437718857850054,21.639509757850053,935.4057467819858,34538.05834271947,168
47,20.0,12.0,196.20000000000002,4.538855816415799,0.2017909,0.3562211,0.9921,196.20000000000002,12.0,27.405836205793044,27.607627105793043,1193.3880822048095,44063.55995833142,168
48,5.0,13.0,49.050000000000004,0.9668568603015905,0.0155345,0.0157924,0.9921,49.050000000000004,13.0,0.041172746863884925,0.056707246863884925,2.8768378990514987,115.07351596205993,168
49,6.0,13.0,58.86,1.1602282323619084,0.0222712,0.0227982,0.9921,58.86,13.0,0.038511088988974804,0.06078228898897481,3.0835704821696557,123.34281928678621,168
50,7.0,13.0,68.67,1.3535996044222265,0.0301513,0.0311238,0.9921,68.67,13.0,0.04462999224333835,0.07478129224333835,3.793759485133699,151.75037940534796,168
51,8.0,13.0,78.48,1.5469709764825446,0.0391298,0.0407931,0.9921,78.48,13.0,0.07260075345560851,0.1117305534556085,5.6682471542769095,226.7298861710764,168
52,9.0,13.0,88.29,1.7403423485428626,0.0491511,0.0518346,0.9921,88.29,13.0,0.1397004529999094,0.1888515529999094,9.580703261241906,383.22813044967614,168
53,10.0,13.0,98.10000000000001,1.933713720603181,0.0601468,0.0642815,0.9921,98.10000000000001,13.0,0.26741195479585633,0.32755875479585633,16.61751349390547,664.7005397562187,168
54,11.0,13.0,107.91000000000001,2.1270850926634988,0.0720336,0.0781726,0.9921,107.91000000000001,13.0,0.48142390630855575,0.5534575063085557,28.07767292044316,1123.1069168177262,168
55,12.0,13.0,117.72,2.320456464723817,0.0847096,0.0935525,0.9921,117.72,13.0,0.8116307385486045,0.8963403385486044,45.472598283157396,1818.9039313262956,168
56,13.0,13.0,127.53,2.513827836784135,0.0980498,0.1104723,0.9921,127.53,13.0,1.292132666072092,1.390182466072092,70.52589970718746,2821.035988287498,168
57,14.0,13.0,137.34,2.707199208844453,0.1119003,0.1289909,0.9921,137.34,13.0,1.9612356869805987,2.0731359869805988,105.17308645840211,4206.923458336084,168
58,15.0,13.0,147.15,2.900570580904771,0.1260706,0.1491754,0.9921,147.15,13.0,2.861451582921195,2.987522182921195,151.56117631163647,6062.447052465458,168
59,16.0,13.0,156.96,3.093941952965089,0.1403216,0.1711029,0.9921,156.96,13.0,4.039497919086443,4.179819519086443,212.04808677391853,8481.92347095674,168
60,17.0,13.0,166.77,3.287313325025407,0.1543509,0.1948616,0.9921,166.77,13.0,5.546298044214397,5.700648944214397,289.20188933292116,11568.075573316844,168
61,18.0,13.0,176.58,3.4806846970857253,0.1677691,0.2205533,0.9921,176.58,13.0,7.4369810905886,7.6047501905886,385.7996071228345,15431.98428491338,168
62,19.0,13.0,186.39000000000001,3.6740560691460438,0.1800651,0.2482953,0.9921,186.39000000000001,13.0,9.770881974038089,9.950947074038089,504.82545454486177,20193.018181794472,168
63,20.0,13.0,196.20000000000002,3.867427441206362,0.1905513,0.2782238,0.9921,196.20000000000002,13.0,12.611541393937388,12.802092693937388,649.4680571866197,25978.722287464785,168
64,5.0,14.0,49.050000000000004,0.8336673948518815,0.0115785,0.011724,0.9921,49.050000000000004,14.0,0.043320953905033585,0.054899453905033584,3.230086999528551,139.14220921046063,168
65,6.0,14.0,58.86,1.0004008738222576,0.0166195,0.016914,0.9921,58.86,14.0,0.04052237170716721,0.05714187170716721,3.362022821744792,144.82559847516026,168
66,7.0,14.0,68.67,1.167134352792634,0.0225332,0.0230727,0.9921,68.67,14.0,0.03851299727504892,0.061046197275048925,3.59173933733267,154.7210791466381,168
67,8.0,14.0,78.48,1.3338678317630102,0.0292961,0.0302132,0.9921,78.48,14.0,0.04325805971933704,0.07255415971933704,4.268826580252397,183.88791422625707,168
68,9.0,14.0,88.29,1.5006013107333867,0.0368795,0.0383505,0.9921,88.29,14.0,0.06304750172000743,0.09992700172000743,5.87934644515779,253.26415456064322,168
69,10.0,14.0,98.10000000000001,1.667334789703763,0.0452491,0.0475026,0.9921,98.10000000000001,14.0,0.10849597952635338,0.15374507952635338,9.045809152830651,389.66562504501263,168
70,11.0,14.0,107.91000000000001,1.8340682686741392,0.0543637,0.0576897,0.9921,107.91000000000001,14.0,0.1925428629569857,0.2469065629569857,14.527096762842552,625.7826297839869,168
