,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.04256212569097339,0.04905032569097339,3.861359939661679,118.81107506651318,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.043787252577325034,0.05311385257732504,4.18125057670966,128.65386389875874,168
2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.042830744866983,0.055498744866983,4.368995049717062,134.43061691437117,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.04058944045702712,0.05709474045702712,4.494635671842579,138.29648221054086,168
4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.03868555247951937,0.05951605247951937,4.685247194057065,144.16145212483278,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,0.039466669301503894,0.06510066930150389,5.1248816994552655,157.6886676755466,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,0.046005754525007,0.076910454525007,6.054576475496995,186.2946607845229,168
7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,0.06210114698703715,0.09873114698703715,7.772354014007131,239.14935427714246,168
8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,0.09227656075958506,0.13507166075958504,10.633166905487348,327.1743663226876,168
9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,0.14178108514962343,0.19116468514962343,15.048945072563193,463.044463771175,168
10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,0.21658918469910735,0.27296558469910737,21.488509175331096,661.1848977024953,168
11,16.0,10.0,156.96,1.9938413514306417,0.0637519,0.0684442,0.9921,156.96,10.0,0.3234006991849738,0.3871525991849738,30.477586355840693,937.7718878720212,168
12,17.0,10.0,166.77,2.118456435895057,0.0714856,0.0775214,0.9921,166.77,10.0,0.46964084361914227,0.5411264436191423,42.59877874913016,1310.7316538193895,168
13,18.0,10.0,176.58,2.243071520359472,0.0795495,0.0872158,0.9921,176.58,10.0,0.6634602082485143,0.7430097082485143,58.49151624977905,1799.7389615316629,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0879119,0.0975408,0.9921,186.39000000000001,10.0,0.9137347585549732,1.0016466585549733,78.85204076742595,2426.216638997721,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0965364,0.1085109,0.9921,196.20000000000002,10.0,1.2300658352553848,1.3266022352553848,104.43332750435661,3213.3331539802034,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044371,0.0044614,0.9921,49.050000000000004,11.0,0.03957960812459738,0.04401670812459738,4.192772723746641,141.9092306498863,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063818,0.006429,0.9921,58.86,11.0,0.04245950765688992,0.04884130765688992,4.652335698441082,157.46366979339047,168
18,7.0,11.0,68.67,0.720913711777608,0.0086741,0.0087578,0.9921,68.67,11.0,0.043724942820447345,0.05239904282044734,4.991224624660943,168.93375652698577,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113108,0.0114498,0.9921,78.48,11.0,0.04342024891841764,0.05473104891841764,5.213357809439402,176.4521104733336,168
20,9.0,11.0,88.29,0.9268890579997818,0.0142882,0.0145071,0.9921,88.29,11.0,0.04192815415448929,0.05621635415448929,5.354839250137127,181.2407130815643,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.017602,0.0179319,0.9921,98.10000000000001,11.0,0.03996977963289137,0.05757177963289137,5.483949109030453,185.61058522872298,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0212475,0.0217272,0.9921,107.91000000000001,11.0,0.038604639358393485,0.05985213935839348,5.7011627641350415,192.9624320168783,168
23,12.0,11.0,117.72,1.2358520773330424,0.0252191,0.0258959,0.9921,117.72,11.0,0.03923064023630578,0.06444974023630579,6.139103182146722,207.7850307803506,168
24,13.0,11.0,127.53,1.3388397504441292,0.0295105,0.0304413,0.9921,127.53,11.0,0.04358408207247898,0.07309458207247897,6.962559969265155,235.65587588282062,168
25,14.0,11.0,137.34,1.441827423555216,0.0341147,0.0353673,0.9921,137.34,11.0,0.05373965757330432,0.08785435757330431,8.368489371193833,283.2411787173297,168
26,15.0,11.0,147.15,1.544815096666303,0.0390239,0.0406778,0.9921,147.15,11.0,0.07211045234571363,0.11113435234571363,10.586004747728252,358.2955453077254,168
27,16.0,11.0,156.96,1.6478027697773898,0.0442292,0.0463774,0.9921,156.96,11.0,0.10144794489717922,0.14567714489717923,13.876347996520403,469.6610091129982,168
28,17.0,11.0,166.77,1.7507904428884766,0.049721,0.0524708,0.9921,166.77,11.0,0.1448420066357141,0.19456300663571408,18.53292765472612,627.2683206214994,168
29,18.0,11.0,176.58,1.8537781159995637,0.0554882,0.0589634,0.9921,176.58,11.0,0.2057209018698716,0.2612091018698716,24.8812426957104,842.1343681625059,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0615189,0.0658608,0.9921,186.39000000000001,11.0,0.2878512878087458,0.3493701878087458,33.27894920693026,1126.3644346961007,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0677995,0.0731692,0.9921,196.20000000000002,11.0,0.39533821456197127,0.4631377145619713,44.1157746612282,1493.149296226185,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031354,0.0031486,0.9921,49.050000000000004,12.0,0.03630578651722767,0.03944118651722767,4.471063672681353,165.08542791438842,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045112,0.0045362,0.9921,58.86,12.0,0.03972915324711228,0.04424035324711228,5.015098523553693,185.17286856198248,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061341,0.0061779,0.9921,68.67,12.0,0.04220095098553937,0.04833505098553938,5.479274577205,202.31167669680002,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080027,0.0080746,0.9921,78.48,12.0,0.043539049514516134,0.051541749514516136,5.842786798012208,215.73366638814306,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101151,0.0102273,0.9921,88.29,12.0,0.04373001771225083,0.05384511771225083,6.10389724582297,225.37466753807888,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0124692,0.0126371,0.9921,98.10000000000001,12.0,0.04292912355315285,0.05539832355315285,6.279969084037578,231.8757815644644,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0150628,0.0153056,0.9921,107.91000000000001,12.0,0.041460334107832654,0.056523134107832655,6.407477915636262,236.5837999619542,168
39,12.0,12.0,117.72,1.0384590372034592,0.0178932,0.018234,0.9921,117.72,12.0,0.039816315543101825,0.05770951554310183,6.541966439069974,241.5495300579682,168
40,13.0,12.0,127.53,1.1249972903037475,0.0209575,0.0214241,0.9921,127.53,12.0,0.03865843312197304,0.05961593312197304,6.758078456342301,249.52905069571568,168
41,14.0,12.0,137.34,1.2115355434040358,0.0242523,0.0248777,0.9921,137.34,12.0,0.03881675120366007,0.06306905120366008,7.1495248649275585,263.98245655117137,168
42,15.0,12.0,147.15,1.298073796504324,0.027774,0.0285968,0.9921,147.15,12.0,0.04129003324357781,0.06906403324357781,7.829117665852691,289.07511381609936,168
43,16.0,12.0,156.96,1.3846120496046124,0.0315186,0.0325834,0.9921,156.96,12.0,0.047245741793342226,0.07876434179334223,8.928747291642676,329.6768230760372,168
44,17.0,12.0,166.77,1.4711503027049007,0.0354818,0.0368399,0.9921,166.77,12.0,0.058020038500770414,0.09350183850077042,10.599393942347819,391.36223787130405,168
45,18.0,12.0,176.58,1.557688555805189,0.0396585,0.0413689,0.9921,176.58,12.0,0.07511778410988054,0.11477628410988054,13.011070905407236,480.4087718919594,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0440436,0.0461729,0.9921,186.39000000000001,12.0,0.10021253846089191,0.14425613846089191,16.35291524386729,603.7999474658692,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0486312,0.0512549,0.9921,196.20000000000002,12.0,0.1351465604902249,0.18377776049022487,20.833097108163148,769.2220470706393,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0022775,0.0022852,0.9921,49.050000000000004,13.0,0.03336117928187062,0.035638679281870624,4.741401111154622,189.65604444618484,168
49,6.0,13.0,58.86,0.44242041821685835,0.0032777,0.0032919,0.9921,58.86,13.0,0.03672859834833476,0.04000629834833476,5.322472977792723,212.8989191117089,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044581,0.0044826,0.9921,68.67,13.0,0.0396223219851636,0.0440804219851636,5.8644979553700525,234.57991821480212,168
51,8.0,13.0,78.48,0.5898938909558111,0.005818,0.0058577,0.9921,78.48,13.0,0.04182933236207365,0.04764733236207365,6.339042836528807,253.5617134611522,168
52,9.0,13.0,88.29,0.6636306273252875,0.0073564,0.0074178,0.9921,88.29,13.0,0.043225535017278924,0.05058193501727892,6.72946494449019,269.1785977796076,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0090723,0.0091635,0.9921,98.10000000000001,13.0,0.04377575885749091,0.05284805885749091,7.030952045317208,281.2380818126883,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0109645,0.0110955,0.9921,107.91000000000001,13.0,0.043533756157918636,0.05449825615791864,7.250495739739481,290.0198295895792,168
55,12.0,13.0,117.72,0.8848408364337167,0.0130316,0.0132146,0.9921,117.72,13.0,0.04264220256226861,0.055673802562268615,7.406891463153231,296.27565852612923,168
56,13.0,13.0,127.53,0.9585775728031931,0.0152722,0.0155216,0.9921,127.53,13.0,0.041332697082744854,0.056604897082744854,7.530765093796491,301.23060375185963,168
57,14.0,13.0,137.34,1.0323143091726696,0.0176845,0.0180175,0.9921,137.34,13.0,0.03992576210004888,0.05761026210004888,7.664519736398699,306.580789455948,168
58,15.0,13.0,147.15,1.106051045542146,0.0202668,0.0207032,0.9921,147.15,13.0,0.038830843363379726,0.05909764336337973,7.862402242618701,314.49608970474804,168
59,16.0,13.0,156.96,1.1797877819116223,0.023017,0.02358,0.9921,156.96,13.0,0.0385463099904339,0.0615633099904339,8.190436690606749,327.6174676242699,168
60,17.0,13.0,166.77,1.2535245182810988,0.0259329,0.026649,0.9921,166.77,13.0,0.03965945446740544,0.06559235446740544,8.726464297267306,349.05857189069224,168
61,18.0,13.0,176.58,1.327261254650575,0.0290123,0.0299114,0.9921,176.58,13.0,0.04284649264898587,0.07185879264898587,9.560156722346635,382.4062688938654,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0322524,0.0333686,0.9921,186.39000000000001,13.0,0.04887256375836423,0.08112496375836423,10.792936243907215,431.7174497562886,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0356506,0.0370221,0.9921,196.20000000000002,13.0,0.05859173038722705,0.09424233038722704,12.538082191028524,501.5232876411409,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0016939,0.0016986,0.9921,49.050000000000004,14.0,0.03092006812112233,0.03261396812112233,5.0322024507776355,216.771797879652,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024381,0.0024467,0.9921,58.86,14.0,0.033967241815542726,0.036405341815542724,5.617195970303392,241.97151872076154,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033167,0.0033313,0.9921,68.67,14.0,0.036841628307733396,0.040158328307733394,6.196266500868666,266.9160954220348,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043294,0.0043527,0.9921,78.48,14.0,0.0393556303813607,0.0436850303813607,6.74042226726178,290.3566515128151,168
68,9.0,14.0,88.29,0.5722121225406815,0.0054756,0.0055111,0.9921,88.29,14.0,0.04137080250826984,0.04684640250826984,7.228209110793681,311.3690078495739,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0067547,0.006807,0.9921,98.10000000000001,14.0,0.042797850848484795,0.0495525508484848,7.645756778076091,329.355676594047,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.008166,0.0082407,0.9921,107.91000000000001,14.0,0.04359663325020842,0.05176263325020842,7.986763491428806,344.0451965538562,168
71,12.0,14.0,117.72,0.7629494967209087,0.0097089,0.0098126,0.9921,117.72,14.0,0.0437761592498223,0.053485059249822296,8.252526808065108,355.49346250126615,168
72,13.0,14.0,127.53,0.8265286214476512,0.0113825,0.0115233,0.9921,127.53,14.0,0.043394590071886896,0.0547770900718869,8.451881901720911,364.08106653567,168
73,14.0,14.0,137.34,0.8901077461743935,0.013186,0.0133731,0.9921,137.34,14.0,0.04255923862914145,0.05574523862914145,8.601263281025624,370.51595672110375,168
74,15.0,14.0,147.15,0.9536868709011359,0.0151183,0.0153627,0.9921,147.15,14.0,0.04142656952250404,0.056544869522504045,8.724643071131284,375.8307784487323,168
