,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435141,0.0455901,0.9921,49.050000000000004,10.0,0.1749679082700803,0.2184820082700803,6.558519334131547,201.8005948963553,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617595,0.0661384,0.9921,58.86,10.0,-0.5636148397088647,-0.5018553397088648,-15.06498395212932,-463.5379677578252,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825041,0.0908307,0.9921,68.67,10.0,-2.5029361320069103,-2.4204320320069104,-72.65792915655166,-2235.6285894323582,168
3,8.0,10.0,78.48,2.6143809502554998,0.1051995,0.1198985,0.9921,78.48,10.0,-6.389161400342215,-6.283961900342215,-188.6356041152536,-5804.1724343154965,168
4,9.0,10.0,88.29,2.9411785690374375,0.1290656,0.1536329,0.9921,88.29,10.0,-13.138652856768074,-13.009587256768073,-390.5293173940004,-12016.286689046165,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1529683,0.1924006,0.9921,98.10000000000001,10.0,-23.837969493672926,-23.685001193672925,-710.9900695603651,-21876.617524934307,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1751987,0.2366648,0.9921,107.91000000000001,10.0,-39.74386708378036,-39.568668383780356,-1187.7951812858798,-36547.54403956553,168
7,12.0,10.0,117.72,3.9215714253832497,0.1930416,0.2870166,0.9921,117.72,10.0,-62.28329818014903,-62.09025658014903,-1863.8612463626923,-57349.576811159764,168
8,13.0,10.0,127.53,4.248369044165187,0.2018005,0.3442214,0.9921,127.53,10.0,-93.05341211617288,-92.85161161617287,-2787.273399817689,-85762.25845592888,168
9,14.0,10.0,137.34,4.575166662947125,0.2018005,0.3442214,0.9921,137.34,10.0,-133.8215550055809,-133.61975450558091,-4011.075100808534,-123417.69540949335,168
10,15.0,10.0,147.15,4.901964281729062,0.2018005,0.3442214,0.9921,147.15,10.0,-186.5252697424372,-186.3234692424372,-5593.165703229829,-172097.4062532255,168
11,16.0,10.0,156.96,5.2287619005109995,0.2018005,0.3442214,0.9921,156.96,10.0,-253.27229600114103,-253.07049550114104,-7596.816556129115,-233748.20172704972,168
12,17.0,10.0,166.77,5.555559519292937,0.2018005,0.3442214,0.9921,166.77,10.0,-336.3405702364269,-336.1387697364269,-10090.408073978922,-310474.09458396677,168
13,18.0,10.0,176.58,5.882357138074875,0.2018005,0.3442214,0.9921,176.58,10.0,-438.17822568336436,-437.97642518336437,-13147.429736676773,-404536.2995900546,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2018005,0.3442214,0.9921,186.39000000000001,10.0,-561.4035923573581,-561.2017918573581,-16846.480089545174,-518353.23352446686,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2018005,0.3442214,0.9921,196.20000000000002,10.0,-708.8051970541478,-708.6033965541478,-21271.266743331616,-654500.5151794343,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030012,0.0309754,0.9921,49.050000000000004,11.0,0.18576808634663877,0.21578008634663878,7.837667889044011,265.27491316764343,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428201,0.0448273,0.9921,58.86,11.0,-0.20528896409813094,-0.16246886409813094,-5.901272080620852,-199.73536272870578,168
18,7.0,11.0,68.67,1.89056473675501,0.0576128,0.0613804,0.9921,68.67,11.0,-1.3846471750311933,-1.3270343750311933,-48.20117965904959,-1631.4245423062935,168
19,8.0,11.0,78.48,2.160645413434297,0.0741802,0.0807337,0.9921,78.48,11.0,-3.8956979256066724,-3.8215177256066726,-138.80700148244463,-4698.083127098126,168
20,9.0,11.0,88.29,2.4307260901135845,0.0922445,0.1030087,0.9921,88.29,11.0,-8.414710717831984,-8.322466217831984,-302.2926134544638,-10231.442301535697,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1114362,0.1283525,0.9921,98.10000000000001,11.0,-15.750833176567816,-15.639396976567816,-568.0616852212457,-19226.7031921037,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1312578,0.156943,0.9921,107.91000000000001,11.0,-26.846091049528162,-26.714833249528162,-970.3489986774383,-32842.58149369791,168
23,12.0,11.0,117.72,3.2409681201514458,0.1510279,0.1889953,0.9921,117.72,11.0,-42.77538820728026,-42.624360307280256,-1548.2224783928327,-52401.37619175741,168
24,13.0,11.0,127.53,3.511048796830733,0.1697892,0.2247705,0.9921,127.53,11.0,-64.7465066432447,-64.5767174432447,-2345.5865332805365,-79389.0826648797,168
25,14.0,11.0,137.34,3.78112947351002,0.1861486,0.2645875,0.9921,137.34,11.0,-94.10010647369535,-93.91395787369535,-3411.187864561533,-115455.58926208265,168
26,15.0,11.0,147.15,4.051210150189307,0.1979723,0.3088395,0.9921,147.15,11.0,-132.30972593775928,-132.11175363775928,-4798.626540488862,-162415.052139623,168
27,16.0,11.0,156.96,4.321290826868594,0.2017272,0.3580176,0.9921,156.96,11.0,-180.98178139741694,-180.78005419741694,-6566.379918333005,-222246.70492819403,168
28,17.0,11.0,166.77,4.591371503547882,0.2017272,0.3580176,0.9921,166.77,11.0,-241.85556733750204,-241.65384013750204,-8777.466795834274,-297083.4915513139,168
29,18.0,11.0,176.58,4.861452180227169,0.2017272,0.3580176,0.9921,176.58,11.0,-316.80325636570154,-316.60152916570155,-11499.752737970404,-389222.40036207513,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2017272,0.3580176,0.9921,186.39000000000001,11.0,-407.8298992125557,-407.6281720125557,-14806.066159970664,-501128.3931066994,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2017272,0.3580176,0.9921,196.20000000000002,11.0,-517.0734247314581,-516.871697531458,-18774.06194003537,-635429.7887396588,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.021316,0.0217987,0.9921,49.050000000000004,12.0,0.18074615528729077,0.20206215528729077,8.734490909357111,322.5042797301087,168
33,6.0,12.0,58.86,1.3616567449247396,0.0305039,0.0314997,0.9921,58.86,12.0,0.063295880323792,0.093799780323792,4.054659950414708,149.7105212460815,168
34,7.0,12.0,68.67,1.5885995357455296,0.0412012,0.0430531,0.9921,68.67,12.0,-0.47684478430975175,-0.43564358430975175,-18.831457684211927,-695.315360647825,168
35,8.0,12.0,78.48,1.8155423265663195,0.0533156,0.056506,0.9921,78.48,12.0,-1.7859244123053242,-1.7326088123053243,-74.89505345044064,-2765.3558197085777,168
36,9.0,12.0,88.29,2.0424851173871095,0.0667296,0.0719148,0.9921,88.29,12.0,-4.3035951188569195,-4.236865518856919,-183.14593995104244,-6762.311628961566,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0812945,0.0893465,0.9921,98.10000000000001,12.0,-8.56291256066054,-8.481618060660539,-366.6328102961604,-13537.211457088997,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.096822,0.1088801,0.9921,107.91000000000001,12.0,-15.190335935914202,-15.093513935914203,-652.4436012080365,-24090.225275373657,168
39,12.0,12.0,117.72,2.7233134898494793,0.1130719,0.1306084,0.9921,117.72,12.0,-24.9057279843179,-24.792656084317898,-1071.7060247100737,-39570.68398929503,168
40,13.0,12.0,127.53,2.9502562806702692,0.1297354,0.1546399,0.9921,127.53,12.0,-38.52235498707368,-38.39261958707368,-1659.5882900136173,-61277.10609281048,168
41,14.0,12.0,137.34,3.177199071491059,0.1464097,0.1811022,0.9921,137.34,12.0,-56.94688676688562,-56.80047706688562,-2455.3002014774834,-90657.23820839937,168
42,15.0,12.0,147.15,3.404141862311849,0.1625603,0.2101454,0.9921,147.15,12.0,-81.17939668795972,-81.01683638795973,-3502.09478825655,-129308.11525870336,168
43,16.0,12.0,156.96,3.631084653132639,0.1774614,0.2419466,0.9921,156.96,12.0,-112.31336165600403,-112.13590025600404,-4847.270880616249,-178976.1555919846,168
44,17.0,12.0,166.77,3.858027443953429,0.1900964,0.2767161,0.9921,166.77,12.0,-151.5356621182287,-151.3455657182287,-6542.177410994507,-241557.3197905664,168
45,18.0,12.0,176.58,4.084970234774219,0.1989783,0.314706,0.9921,176.58,12.0,-200.1265820633457,-199.9276037633457,-8642.221177526606,-319097.3973240593,168
46,19.0,12.0,186.39000000000001,4.311913025595009,0.2017909,0.3562211,0.9921,186.39000000000001,12.0,-259.4598090215692,-259.2580181215692,-11206.882353804223,-413792.5792173867,168
47,20.0,12.0,196.20000000000002,4.538855816415799,0.2017909,0.3562211,0.9921,196.20000000000002,12.0,-331.0024340646152,-330.8006431646152,-14299.43774687903,-527979.2398847641,168
48,5.0,13.0,49.050000000000004,0.9668568603015905,0.0155345,0.0157924,0.9921,49.050000000000004,13.0,0.13201612132615292,0.14755062132615293,7.485449266802805,299.4179706721122,168
49,6.0,13.0,58.86,1.1602282323619084,0.0222712,0.0227982,0.9921,58.86,13.0,0.1439307035411181,0.16620190354111808,8.43165488441478,337.26619537659116,168
50,7.0,13.0,68.67,1.3535996044222265,0.0301513,0.0311238,0.9921,68.67,13.0,-0.03910794146198479,-0.008956641461984792,-0.45438294100050813,-18.175317640020324,168
51,8.0,13.0,78.48,1.5469709764825446,0.0391298,0.0407931,0.9921,78.48,13.0,-0.6254924729950775,-0.5863626729950775,-29.746998021441502,-1189.8799208576597,168
52,9.0,13.0,88.29,1.7403423485428626,0.0491511,0.0518346,0.9921,88.29,13.0,-1.8873277807020208,-1.8381766807020208,-93.25327242370689,-3730.130896948275,168
53,10.0,13.0,98.10000000000001,1.933713720603181,0.0601468,0.0642815,0.9921,98.10000000000001,13.0,-4.160430984558615,-4.100284184558615,-208.0131480784708,-8320.525923138832,168
54,11.0,13.0,107.91000000000001,2.1270850926634988,0.0720336,0.0781726,0.9921,107.91000000000001,13.0,-7.844331434872603,-7.772297834872603,-394.29953331621834,-15771.981332648733,168
55,12.0,13.0,117.72,2.320456464723817,0.0847096,0.0935525,0.9921,117.72,13.0,-13.402270712283652,-13.317561112283652,-675.6184905734166,-27024.739622936664,168
56,13.0,13.0,127.53,2.513827836784135,0.0980498,0.1104723,0.9921,127.53,13.0,-21.361202627763397,-21.2631528277634,-1078.7094646838068,-43148.37858735227,168
57,14.0,13.0,137.34,2.707199208844453,0.1119003,0.1289909,0.9921,137.34,13.0,-32.31179322261539,-32.19989292261539,-1633.5455771205093,-65341.823084820375,168
58,15.0,13.0,147.15,2.900570580904771,0.1260706,0.1491754,0.9921,147.15,13.0,-46.908420768475146,-46.78235016847515,-2373.3340166277885,-94933.36066511154,168
59,16.0,13.0,156.96,3.093941952965089,0.1403216,0.1711029,0.9921,156.96,13.0,-65.86917576731007,-65.72885416731008,-3334.516647997824,-133380.66591991295,168
60,17.0,13.0,166.77,3.287313325025407,0.1543509,0.1948616,0.9921,166.77,13.0,-89.97586095141956,-89.82151005141957,-4556.770757822261,-182270.8303128904,168
61,18.0,13.0,176.58,3.4806846970857253,0.1677691,0.2205533,0.9921,176.58,13.0,-120.07399128343495,-119.90622218343495,-6083.010256826338,-243320.4102730535,168
62,19.0,13.0,186.39000000000001,3.6740560691460438,0.1800651,0.2482953,0.9921,186.39000000000001,13.0,-157.07279395631946,-156.89272885631945,-7959.387440248389,-318375.4976099356,168
63,20.0,13.0,196.20000000000002,3.867427441206362,0.1905513,0.2782238,0.9921,196.20000000000002,13.0,-201.9452083933683,-201.75465709336828,-10235.295767920443,-409411.8307168177,168
64,5.0,14.0,49.050000000000004,0.8336673948518815,0.0115785,0.011724,0.9921,49.050000000000004,14.0,0.0776992886547106,0.0892777886547106,5.252784936241378,226.27381263809013,168
65,6.0,14.0,58.86,1.0004008738222576,0.0166195,0.016914,0.9921,58.86,14.0,0.12811948368184947,0.14473898368184948,8.515922769003199,366.8397500493685,168
66,7.0,14.0,68.67,1.167134352792634,0.0225332,0.0230727,0.9921,68.67,14.0,0.11918915228684877,0.14172235228684876,8.338434995295707,359.19412287427656,168
67,8.0,14.0,78.48,1.3338678317630102,0.0292961,0.0302132,0.9921,78.48,14.0,-0.05549022225733201,-0.02619412225733201,-1.5411682220706386,-66.38878495073519,168
68,9.0,14.0,88.29,1.5006013107333867,0.0368795,0.0383505,0.9921,88.29,14.0,-0.5407266786616469,-0.503847178661647,-29.644561207464154,-1276.9964827830713,168
