,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.04652779763329432,0.05301599763329432,4.173547199505631,128.41683690786556,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.05548576573587455,0.06481236573587455,5.102185747428435,156.99033069010568,168
2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.057973588853758,0.070641588853758,5.561076250389705,171.11003847352939,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.04926260485375972,0.06576790485375972,5.177408091390576,159.30486435047922,168
4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.023737353073231566,0.044567853073231564,3.5084888842108906,107.95350412956586,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,-0.02510442567993767,0.0005295743200623322,0.04168936772092781,1.282749776028548,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,-0.10465178912732237,-0.07374708912732236,-5.805548721877424,-178.63226836545923,168
7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,-0.22318059351995984,-0.18655059351995984,-14.685712651050649,-451.8680815707891,168
8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,-0.38985349363835115,-0.3470583936383511,-27.321273794621945,-840.6545782960599,168
9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,-0.6147199427924598,-0.5653363427924598,-44.504640402324036,-1369.3735508407394,168
10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,-0.9087161928217128,-0.8523397928217128,-67.09824419345225,-2064.5613597985307,168
11,16.0,10.0,156.96,1.9938413514306417,0.0637519,0.0684442,0.9921,156.96,10.0,-1.2836652940950004,-1.2199133940950004,-96.03452461238216,-2954.908449611758,168
12,17.0,10.0,166.77,2.118456435895057,0.0714856,0.0775214,0.9921,166.77,10.0,-1.7522770955106752,-1.6807914955106753,-132.31596031753423,-4071.260317462592,168
13,18.0,10.0,176.58,2.243071520359472,0.0795495,0.0872158,0.9921,176.58,10.0,-2.3281482444965547,-2.2485987444965545,-177.01511641482108,-5446.618966609879,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0879119,0.0975408,0.9921,186.39000000000001,10.0,-3.025762187009917,-2.9378502870099172,-231.27466020212964,-7116.143390834758,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0965364,0.1085109,0.9921,196.20000000000002,10.0,-3.860489167537506,-3.7639527675375057,-296.30743989173317,-9117.15199666871,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044371,0.0044614,0.9921,49.050000000000004,11.0,0.03352372670030407,0.03796082670030407,3.6159250780265824,122.38515648705358,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063818,0.006429,0.9921,58.86,11.0,0.04105036665313303,0.04743216665313303,4.518109214540001,152.92061956904615,168
18,7.0,11.0,68.67,0.720913711777608,0.0086741,0.0087578,0.9921,68.67,11.0,0.046954750586577616,0.05562885058657761,5.298877115765989,179.3466100720796,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113108,0.0114498,0.9921,78.48,11.0,0.04965575484740424,0.060966554847404236,5.807315428982642,196.55529144248942,168
20,9.0,11.0,88.29,0.9268890579997818,0.0142882,0.0145071,0.9921,88.29,11.0,0.04730140382590294,0.06158960382590294,5.866663410099563,198.56399234183138,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.017602,0.0179319,0.9921,98.10000000000001,11.0,0.037768869955887394,0.05537086995588739,5.274303398246016,178.5148842483267,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0212475,0.0217272,0.9921,107.91000000000001,11.0,0.018664473714694867,0.03991197371469486,3.801779866594605,128.67562625397125,168
23,12.0,11.0,117.72,1.2358520773330424,0.0252191,0.0258959,0.9921,117.72,11.0,-0.01267631637681369,0.012542783623186312,1.1947517953021085,40.437753071763666,168
24,13.0,11.0,127.53,1.3388397504441292,0.0295105,0.0304413,0.9921,127.53,11.0,-0.05918888375425382,-0.02967838375425382,-2.826988277666869,-95.68268016718632,168
25,14.0,11.0,137.34,1.441827423555216,0.0341147,0.0353673,0.9921,137.34,11.0,-0.12407946380971734,-0.08996476380971734,-8.569514256539874,-290.0450979136573,168
26,15.0,11.0,147.15,1.544815096666303,0.0390239,0.0406778,0.9921,147.15,11.0,-0.2108251438917725,-0.1718012438917725,-16.364776013148454,-553.8847265988708,168
27,16.0,11.0,156.96,1.6478027697773898,0.0442292,0.0463774,0.9921,156.96,11.0,-0.3231738633054638,-0.2789446633054638,-26.570627963163634,-899.3135618301537,168
28,17.0,11.0,166.77,1.7507904428884766,0.049721,0.0524708,0.9921,166.77,11.0,-0.4651444133123125,-0.4154234133123125,-39.57079096444863,-1339.319078796723,168
29,18.0,11.0,176.58,1.8537781159995637,0.0554882,0.0589634,0.9921,176.58,11.0,-0.6410264371303157,-0.5855382371303157,-55.774928520353455,-1887.766811458117,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0615189,0.0658608,0.9921,186.39000000000001,11.0,-0.8553804299339473,-0.7938615299339472,-75.61858010183211,-2559.398095754317,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0677995,0.0731692,0.9921,196.20000000000002,11.0,-1.113037738854157,-1.045238238854157,-99.56324687614907,-3369.8329711927377,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031354,0.0031486,0.9921,49.050000000000004,12.0,0.024759096256282923,0.027894496256282923,3.1621277119727753,116.75548474976401,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045112,0.0045362,0.9921,58.86,12.0,0.03019846127009602,0.03470966127009602,3.934696678762836,145.28110813893545,168
