,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0437098,0.0455518,0.9921,49.050000000000004,10.0,0.0855526942539494,0.1292624942539494,3.880276341540256,119.39311820123864,168
1,6.0,10.0,58.86,1.9607857126916248,0.0621009,0.06607,0.9921,58.86,10.0,0.1661346936568383,0.22823559365683832,6.851308103525679,210.80948010848243,168
2,7.0,10.0,68.67,2.2875833314735625,0.0830574,0.09072,0.9921,68.67,10.0,0.30829481389905616,0.39135221389905617,11.747837186388754,361.4719134273463,168
3,8.0,10.0,78.48,2.6143809502554998,0.1060494,0.1197314,0.9921,78.48,10.0,0.5385595284787653,0.6446089284787653,19.350243774561438,595.3921161403518,168
4,9.0,10.0,88.29,2.9411785690374375,0.1303205,0.153394,0.9921,88.29,10.0,0.888288838534928,1.018609338534928,30.577204473743077,940.8370607305559,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1547666,0.192074,0.9921,98.10000000000001,10.0,1.3936762728473058,1.5484428728473059,46.48205405917619,1430.2170479746521,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1777198,0.2362358,0.9921,107.91000000000001,10.0,2.09574888783646,2.27346868783646,68.24629846081477,2099.886106486608,168
7,12.0,10.0,117.72,3.9215714253832497,0.1965211,0.2864759,0.9921,117.72,10.0,3.0403672675637496,3.2368883675637496,97.16678782469593,2989.7473176829512,168
8,13.0,10.0,127.53,4.248369044165187,0.2065557,0.343574,0.9921,127.53,10.0,4.278225523731337,4.484781223731337,134.62675759018143,4142.361772005583,168
9,14.0,10.0,137.34,4.575166662947125,0.2065557,0.343574,0.9921,137.34,10.0,5.864851295682183,6.0714069956821834,182.2550080066073,5607.8464002033015,168
10,15.0,10.0,147.15,4.901964281729062,0.2065557,0.343574,0.9921,147.15,10.0,7.860605750400046,8.067161450400047,242.1647199370553,7451.222151909393,168
11,16.0,10.0,156.96,5.2287619005109995,0.2065557,0.343574,0.9921,156.96,10.0,10.330683582509483,10.537239282509482,316.31294544527884,9732.706013700887,168
12,17.0,10.0,166.77,5.555559519292937,0.2065557,0.343574,0.9921,166.77,10.0,13.345113014275855,13.551668714275856,406.80183222434795,12516.97945305686,168
13,18.0,10.0,176.58,5.882357138074875,0.2065557,0.343574,0.9921,176.58,10.0,16.97875579560532,17.18531149560532,515.8786235966486,15873.188418358417,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2065557,0.343574,0.9921,186.39000000000001,10.0,21.311307204044837,21.517862904044836,645.9356585138835,19874.943338888723,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2065557,0.343574,0.9921,196.20000000000002,10.0,26.427296044782164,26.633851744782163,799.5103715570715,24600.319124832968,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030123,0.0309548,0.992,49.050000000000004,11.0,0.04860001850691836,0.07872301850691836,2.859415271940837,96.78020920415139,168
17,6.0,11.0,58.86,1.6204840600757229,0.043011,0.04479,0.9921,58.86,11.0,0.0832131721543735,0.1262241721543735,4.5847749793103505,155.17699929973494,168
18,7.0,11.0,68.67,1.89056473675501,0.0579179,0.0613194,0.9921,68.67,11.0,0.14444000312640065,0.20235790312640065,7.350140906331018,248.7739999065883,168
