,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065016,0.006536,0.9919,49.050000000000004,10.0,0.015580373210013643,0.022081973210013643,1.7383461891573224,53.48757505099453,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093479,0.0094205,0.9919,58.86,10.0,0.016845253908691436,0.026193153908691435,2.061988249244726,63.4457922844531,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127001,0.0128368,0.992,68.67,10.0,0.018466213300559576,0.03116631330055958,2.453487351010034,75.49191849261643,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165518,0.0167887,0.992,78.48,10.0,0.020766352091411252,0.03731815209141125,2.9377749378429763,90.3930750105531,168
4,9.0,10.0,88.29,1.121535760179736,0.0208953,0.0212806,0.992,88.29,10.0,0.024177943870014564,0.04507324387001456,3.548274466652613,109.17767589700348,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0257218,0.0263177,0.992,98.10000000000001,10.0,0.029242435108112544,0.05496423510811255,4.326917152349698,133.13591237999069,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0310207,0.0319059,0.992,107.91000000000001,10.0,0.03661044516042313,0.06763114516042312,5.324086862158392,163.81805729718127,168
7,12.0,10.0,117.72,1.4953810135729813,0.03678,0.0380517,0.992,117.72,10.0,0.04704176626463918,0.08382176626463918,6.598651604581006,203.03543398710784,168
8,13.0,10.0,127.53,1.6199960980373964,0.0429858,0.0447626,0.9921,127.53,10.0,0.061405363541428504,0.1043911635414285,8.217924168192074,252.8592051751407,168
9,14.0,10.0,137.34,1.7446111825018116,0.0496222,0.0520468,0.9921,137.34,10.0,0.0806793749944338,0.1303015749944338,10.257654249397175,315.6201307506823,168
10,15.0,10.0,147.15,1.8692262669662265,0.056671,0.0599133,0.9921,147.15,10.0,0.10595111151027266,0.16262211151027267,12.80200483570938,393.9078410987501,168
11,16.0,10.0,156.96,1.9938413514306417,0.0641114,0.0683721,0.9921,156.96,10.0,0.13841705685853767,0.20252845685853765,15.943528589025698,490.5701104315599,168
12,17.0,10.0,166.77,2.118456435895057,0.0719199,0.0774342,0.9921,166.77,10.0,0.17938286769179626,0.25130276769179627,19.78315997338591,608.7126145657202,168
13,18.0,10.0,176.58,2.243071520359472,0.0800695,0.0871117,0.9921,176.58,10.0,0.23026337354559087,0.31033287354559086,24.43015227704308,751.696993139787,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0885293,0.0974177,0.9921,186.39000000000001,10.0,0.2925825768384387,0.3811118768384387,30.002046123498825,923.1398807230407,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0972643,0.1083666,0.9921,196.20000000000002,10.0,0.3679736528718321,0.4652379528718321,36.62465372702096,1126.9124223698757,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044455,0.0044614,0.9919,49.050000000000004,11.0,0.01393550216653313,0.018381002166533128,1.7508661552066698,59.26008525314882,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063949,0.0064282,0.9919,58.86,11.0,0.01481928804276592,0.021214188042765918,2.0207387778832144,68.39423555912418,168
18,7.0,11.0,68.67,0.720913711777608,0.0086935,0.008756,0.9919,68.67,11.0,0.01578568721990055,0.02447918721990055,2.3317433958159084,78.92054570453843,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113383,0.0114464,0.992,78.48,11.0,0.016944627570269356,0.02828292757026936,2.6940653292075756,91.1837496039487,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143262,0.0145016,0.992,88.29,11.0,0.018456251449869444,0.032782451449869444,3.1226635092175776,105.69014954274877,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.017653,0.0179239,0.992,98.10000000000001,11.0,0.020530915698362677,0.03818391569836267,3.6371752238434927,123.1043921916259,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0213143,0.0217159,0.992,107.91000000000001,11.0,0.023429191639075687,0.04474349163907569,4.262001846627607,144.25237019354975,168
