,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0448473,0.0453043,0.9898,49.050000000000004,10.0,0.03232557705258516,0.07717287705258516,2.316620074245487,71.2806176690919,168
1,6.0,10.0,58.86,1.9607857126916248,0.0642156,0.0655781,0.9902,58.86,10.0,0.12102378821741945,0.18523938821741945,5.560623131790469,171.09609636278364,168
2,7.0,10.0,68.67,2.2875833314735625,0.0866576,0.0898743,0.9906,68.67,10.0,0.40988173107286385,0.49653933107286385,14.905404929143945,458.6278439736598,168
3,8.0,10.0,78.48,2.6143809502554998,0.1118062,0.1184014,0.9908,78.48,10.0,1.0468279728171244,1.1586341728171243,34.78055096515353,1070.170798927801,168
4,9.0,10.0,88.29,2.9411785690374375,0.1391168,0.1514291,0.991,88.29,10.0,2.217388771813259,2.3565055718132593,70.73894768772348,2176.583005776107,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1677728,0.1893058,0.9912,98.10000000000001,10.0,4.144688077589177,4.312460877589177,129.45394573813857,3983.1983304042637,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1965145,0.2324854,0.9913,107.91000000000001,10.0,7.089447530837643,7.285962030837643,218.71422377226884,6729.6684237621175,168
7,12.0,10.0,117.72,3.9215714253832497,0.2233027,0.2815721,0.9914,117.72,10.0,11.349986463416267,11.573289163416266,347.413690210734,10689.652006484122,168
8,13.0,10.0,127.53,4.248369044165187,0.2445651,0.3374005,0.9916,127.53,10.0,17.26222189834752,17.50678699834752,525.5288612380842,16170.118807325667,168
9,14.0,10.0,137.34,4.575166662947125,0.2531055,0.4012068,0.9917,137.34,10.0,25.19966854981872,25.45277404981872,764.0560979586992,23509.4183987292,168
10,15.0,10.0,147.15,4.901964281729062,0.2531055,0.4012068,0.9917,147.15,10.0,35.573438823182045,35.82654432318204,1075.4619361071102,33091.13649560338,168
