,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065633,0.0065637,0.9848,49.050000000000004,10.0,0.021357237272178906,0.027920537272178907,2.197972033781269,67.62990873173135,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094445,0.0094415,0.9863,58.86,10.0,0.023079283488997425,0.032523783488997426,2.560350678237309,78.78002086884028,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128495,0.0128454,0.9873,68.67,10.0,0.023955509018268685,0.036805009018268685,2.8973790775090214,89.15012546181605,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167764,0.0167784,0.988,78.48,10.0,0.023639273212245043,0.04041567321224504,3.181619271183349,97.89597757487228,168
4,9.0,10.0,88.29,1.121535760179736,0.021222,0.0212438,0.9885,88.29,10.0,0.022258798999232252,0.043480798999232254,3.4229133657111346,105.32041125265027,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0261822,0.0262458,0.9889,98.10000000000001,10.0,0.020417172883589504,0.04659937288358951,3.6684150233718555,112.8743084114417,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0316518,0.0317893,0.9892,107.91000000000001,10.0,0.019192344945729377,0.05084414494572938,4.002573717791255,123.15611439357706,168
7,12.0,10.0,117.72,1.4953810135729813,0.0376241,0.0378797,0.9895,117.72,10.0,0.0201371288421179,0.0577612288421179,4.547103244976613,139.91086907620345,168
8,13.0,10.0,127.53,1.6199960980373964,0.0440907,0.0445234,0.9898,127.53,10.0,0.02527920180527448,0.06936990180527447,5.460965978834372,168.029722425673,168
9,14.0,10.0,137.34,1.7446111825018116,0.0510421,0.0517276,0.99,137.34,10.0,0.03712110464377197,0.08816320464377198,6.940420104617248,213.55138783437684,168
10,15.0,10.0,147.15,1.8692262669662265,0.0584667,0.0595,0.9901,147.15,10.0,0.058640241742236615,0.11710694174223663,9.218940896512382,283.65971989268866,168
11,16.0,10.0,156.96,1.9938413514306417,0.0663509,0.0678498,0.9903,156.96,10.0,0.0932888810613481,0.1596397810613481,12.56722858988254,386.68395661177044,168
12,17.0,10.0,166.77,2.118456435895057,0.0746788,0.0767865,0.9904,166.77,10.0,0.14499415413783948,0.2196729541378395,17.293184764542545,532.0979927551552,168
13,18.0,10.0,176.58,2.243071520359472,0.0834319,0.0863213,0.9905,176.58,10.0,0.21815805608449731,0.30158995608449735,23.741888728035743,730.5196531703306,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0925889,0.0964661,0.9906,186.39000000000001,10.0,0.3176574455901614,0.4102463455901614,32.29558177115162,993.7102083431266,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1021247,0.1072341,0.9907,196.20000000000002,10.0,0.4488440449197252,0.5509687449197251,43.37358844551398,1334.5719521696608,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044881,0.0044911,0.9829,49.050000000000004,11.0,0.017017322040010698,0.0215054220400107,2.048480015515505,69.33316975590938,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064555,0.0064561,0.9848,58.86,11.0,0.018103694841750263,0.024559194841750263,2.3393644512940632,79.17848912072213,168
18,7.0,11.0,68.67,0.720913711777608,0.0087812,0.0087788,0.986,68.67,11.0,0.019359841154157134,0.028141041154157134,2.6805500637392554,90.72630984963634,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114648,0.0114606,0.9869,78.48,11.0,0.020311194232234278,0.031775994232234275,3.026794314325183,102.44534602331389,168
20,9.0,11.0,88.29,0.9268890579997818,0.0145055,0.0145028,0.9876,88.29,11.0,0.020683798307793478,0.03518929830779348,3.351925584599811,113.44978901722438,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0179017,0.0179074,0.9881,98.10000000000001,11.0,0.020404308589455362,0.03830600858945536,3.6488050745376372,123.49801790742772,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0216517,0.0216763,0.9885,107.91000000000001,11.0,0.019599991262649365,0.04125169126264937,3.9293934804225192,132.9948562604545,168
23,12.0,11.0,117.72,1.2358520773330424,0.0257529,0.025812,0.9889,117.72,11.0,0.018598723489613767,0.044351623489613766,4.224674791553016,142.9889929448713,168
24,13.0,11.0,127.53,1.3388397504441292,0.0302024,0.0303172,0.9892,127.53,11.0,0.01792899340939566,0.048131393409395665,4.584713442713382,155.17491652260676,168
25,14.0,11.0,137.34,1.441827423555216,0.0349964,0.0351949,0.9894,137.34,11.0,0.018319900137850963,0.053316300137850964,5.078597161702572,171.8909808576255,168
26,15.0,11.0,147.15,1.544815096666303,0.0401307,0.0404487,0.9896,147.15,11.0,0.02070115376764444,0.06083185376764444,5.794484596393404,196.1210171086998,168
27,16.0,11.0,156.96,1.6478027697773898,0.0456002,0.0460821,0.9898,156.96,11.0,0.02620307536824968,0.07180327536824968,6.839557687673401,231.4927217366382,168
28,17.0,11.0,166.77,1.7507904428884766,0.0513993,0.0520995,0.99,166.77,11.0,0.03615659698594907,0.08755589698594907,8.340059771092113,282.2789460985023,168
29,18.0,11.0,176.58,1.8537781159995637,0.0575211,0.0585054,0.9901,176.58,11.0,0.05209326164383384,0.10961436164383384,10.441219373566463,353.3951172591726,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.063958,0.0653047,0.9902,186.39000000000001,11.0,0.07574522334180409,0.13970322334180407,13.307307365851745,450.4011723826744,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0707015,0.0725028,0.9903,196.20000000000002,11.0,0.1090452470565687,0.1797467470565687,17.121617911717962,579.5009139350694,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031743,0.0031783,0.9806,49.050000000000004,12.0,0.015600204703221276,0.018774504703221277,2.1282829793797537,78.58275616171397,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045629,0.0045659,0.983,58.86,12.0,0.015721643916769393,0.02028454391676939,2.2994614369312347,84.90319151746097,168
34,7.0,12.0,68.67,0.6057677717020179,0.0062046,0.0062055,0.9846,68.67,12.0,0.016441711914362202,0.022646311914362203,2.567192101999493,94.78863145844282,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080992,0.0080977,0.9857,78.48,12.0,0.01737822525412892,0.02547742525412892,2.8881278832074337,106.63856799535141,168
36,9.0,12.0,88.29,0.7788442779025945,0.0102468,0.010243,0.9866,88.29,12.0,0.018241370142304765,0.028488170142304765,3.2294267457899357,119.24037215224376,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0126467,0.0126425,0.9872,98.10000000000001,12.0,0.018833702433230987,0.03148040243323098,3.568627015293509,131.76468979545263,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0152983,0.0152969,0.9877,107.91000000000001,12.0,0.019050147629354832,0.034348447629354836,3.893749401822031,143.76920868265958,168
39,12.0,12.0,117.72,1.0384590372034592,0.0182008,0.0182075,0.9882,117.72,12.0,0.018878000881229578,0.03707880088122958,4.203262991954832,155.1974027798707,168
40,13.0,12.0,127.53,1.1249972903037475,0.0213528,0.0213755,0.9885,127.53,12.0,0.018396926987514516,0.039749726987514514,4.5060399046374835,166.376858017384,168
41,14.0,12.0,137.34,1.2115355434040358,0.024753,0.0248023,0.9888,137.34,12.0,0.017778960394974945,0.04253196039497495,4.821434643372925,178.02220221684644,168
42,15.0,12.0,147.15,1.298073796504324,0.0283997,0.0284895,0.9891,147.15,12.0,0.01728850519848218,0.045688205198482185,5.179227416084936,191.23301228621304,168
43,16.0,12.0,156.96,1.3846120496046124,0.0322907,0.0324389,0.9893,156.96,12.0,0.017282335141013568,0.04957303514101356,5.619612799090846,207.49339565873893,168
44,17.0,12.0,166.77,1.4711503027049007,0.0364238,0.0366523,0.9895,166.77,12.0,0.018209593613652444,0.054633393613652444,6.193256417238045,228.67408309802008,168
45,18.0,12.0,176.58,1.557688555805189,0.0407962,0.041132,0.9896,176.58,12.0,0.020611793655588184,0.06140799365558818,6.96122692774016,257.0299173319444,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0454048,0.0458801,0.9898,186.39000000000001,12.0,0.02512281795411618,0.07052761795411619,7.995030028258973,295.2011087357159,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0502462,0.0508992,0.9899,196.20000000000002,12.0,0.03246891884463782,0.08271511884463781,9.376608456904407,346.21323533185495,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0023099,0.0023138,0.978,49.050000000000004,13.0,0.01538550663607436,0.01769540663607436,2.354212400045258,94.1684960018103,168
49,6.0,13.0,58.86,0.44242041821685835,0.0033178,0.0033217,0.981,58.86,13.0,0.014638451506151397,0.017956251506151398,2.3889154300604973,95.55661720241987,168
50,7.0,13.0,68.67,0.5161571545863348,0.0045093,0.0045123,0.9829,68.67,13.0,0.01462214078379866,0.01913144078379866,2.5452636410248757,101.81054564099502,168
51,8.0,13.0,78.48,0.5898938909558111,0.0058845,0.0058858,0.9843,78.48,13.0,0.015063305194747918,0.02094780519474792,2.7869143533933753,111.476574135735,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074434,0.0074426,0.9854,88.29,13.0,0.01573354674785686,0.02317694674785686,3.083481298347709,123.33925193390834,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091859,0.0091831,0.9862,98.10000000000001,13.0,0.016449338735109082,0.025635238735109082,3.4105346177963187,136.42138471185274,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0111119,0.0111078,0.9868,107.91000000000001,13.0,0.017072025731614107,0.028183925731614108,3.7496141684619793,149.98456673847917,168
55,12.0,13.0,117.72,0.8848408364337167,0.013221,0.0132171,0.9873,117.72,13.0,0.01750782359560737,0.03072882359560737,4.088189609618993,163.52758438475973,168
56,13.0,13.0,127.53,0.9585775728031931,0.0155127,0.0155117,0.9878,127.53,13.0,0.017707819468450226,0.03322051946845023,4.419687011268396,176.78748045073579,168
57,14.0,13.0,137.34,1.0323143091726696,0.0179864,0.0179924,0.9881,137.34,13.0,0.017667971774629927,0.03565437177462993,4.743488854137949,189.73955416551794,168
58,15.0,13.0,147.15,1.106051045542146,0.0206415,0.0206598,0.9884,147.15,13.0,0.01742911022175967,0.03807061022175967,5.06494733376975,202.59789335078992,168
59,16.0,13.0,156.96,1.1797877819116223,0.0234769,0.023515,0.9887,156.96,13.0,0.017076935800578542,0.040553835800578544,5.395317840082221,215.8127136032888,168
60,17.0,13.0,166.77,1.2535245182810988,0.0264918,0.0265587,0.9889,166.77,13.0,0.016742020784951565,0.04323382078495157,5.751865390070919,230.07461560283676,168
61,18.0,13.0,176.58,1.327261254650575,0.0296849,0.0297921,0.9891,176.58,13.0,0.016599808731869656,0.046284708731869656,6.1577581951077285,246.3103278043091,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0330548,0.0332164,0.9893,186.39000000000001,13.0,0.016870614481449695,0.0499254144814497,6.642120877291269,265.6848350916507,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0366002,0.0368326,0.9895,196.20000000000002,13.0,0.01781962415693441,0.05441982415693441,7.240061077622081,289.6024431048832,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0017224,0.0017257,0.9749,49.050000000000004,14.0,0.015791264383760786,0.017513664383760785,2.7022870846856386,116.40621287876596,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024716,0.0024756,0.9786,58.86,14.0,0.01452394323533292,0.01699554323533292,2.6223431016892915,112.96247207276944,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033572,0.0033611,0.981,68.67,14.0,0.013934627919583283,0.017291827919583284,2.6680586217595685,114.93175601425833,168
