,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0443383,0.0454257,0.9913,49.050000000000004,10.0,0.10376978765326746,0.14810808765326744,4.445994267932712,136.79982362869882,168
1,6.0,10.0,58.86,1.9607857126916248,0.0632301,0.0658315,0.9915,58.86,10.0,0.312712138561353,0.375942238561353,11.285251630758557,347.2385117156479,168
2,7.0,10.0,68.67,2.2875833314735625,0.0849298,0.0903208,0.9916,68.67,10.0,0.7539907184436931,0.8389205184436932,25.183201507426354,774.8677386900416,168
3,8.0,10.0,78.48,2.6143809502554998,0.1089808,0.1191146,0.9917,78.48,10.0,1.54891025708696,1.65789105708696,49.767532978493065,1531.308707030556,168
4,9.0,10.0,88.29,2.9411785690374375,0.1347205,0.1524955,0.9917,88.29,10.0,2.8438156281428917,2.9785361281428915,89.41142082365981,2751.1206407279938,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1611703,0.1908244,0.9918,98.10000000000001,10.0,4.810091849128291,4.971262149128291,149.23022347812778,4591.699183942393,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1868362,0.2345657,0.9918,107.91000000000001,10.0,7.644164081425025,7.831000281425025,235.07549732802875,7233.092225477807,168
7,12.0,10.0,117.72,3.9215714253832497,0.2093146,0.2843274,0.9919,117.72,10.0,11.56749763028002,11.77681223028002,353.5231633867478,10877.635796515317,168
8,13.0,10.0,127.53,4.248369044165187,0.2243996,0.3409294,0.9919,127.53,10.0,16.826597944805282,17.050997544805284,511.84670970982324,15749.129529533022,168
9,14.0,10.0,137.34,4.575166662947125,0.2235335,0.4055408,0.992,137.34,10.0,23.693010617977876,23.916544117977875,717.9406590288496,22090.4818162723,168
10,15.0,10.0,147.15,4.901964281729062,0.2235335,0.4055408,0.992,147.15,10.0,32.46332138663992,32.68685488663992,981.2129220314282,30191.166831736253,168
11,16.0,10.0,156.96,5.2287619005109995,0.2235335,0.4055408,0.992,156.96,10.0,43.45915613149861,43.68268963149861,1311.2922514008435,40347.45388925672,168
12,17.0,10.0,166.77,5.555559519292937,0.2235335,0.4055408,0.992,166.77,10.0,57.02718087712621,57.250714377126215,1718.5850684376228,52879.54056731147,168
13,18.0,10.0,176.58,5.882357138074875,0.2235335,0.4055408,0.992,176.58,10.0,73.53910179196002,73.76263529196002,2214.2494639686242,68130.75273749614,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2235335,0.4055408,0.992,186.39000000000001,10.0,93.39166518830245,93.61519868830246,2810.19519834704,86467.54456452429,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2235335,0.4055408,0.992,196.20000000000002,10.0,117.00665752232095,117.23019102232095,3519.0837014523927,108279.49850622744,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304676,0.0308936,0.9911,49.050000000000004,11.0,0.036721916349242704,0.06718951634924271,2.4404898695095,82.60119558339844,168
17,6.0,11.0,58.86,1.6204840600757229,0.043623,0.0446677,0.9913,58.86,11.0,0.10403900271106686,0.14766200271106686,5.363450152769327,181.53215901680798,168
18,7.0,11.0,68.67,1.89056473675501,0.0589212,0.0611089,0.9914,68.67,11.0,0.26411294275125674,0.32303414275125675,11.733401216825598,397.1305027233278,168
19,8.0,11.0,78.48,2.160645413434297,0.0761929,0.0803105,0.9915,78.48,11.0,0.5698412906871341,0.6460341906871341,23.465564025398578,794.2190900904134,168
20,9.0,11.0,88.29,2.4307260901135845,0.0952085,0.1023881,0.9916,88.29,11.0,1.0856936526433696,1.1809021526433696,42.893294921605545,1451.773058885111,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.115657,0.1274833,0.9917,98.10000000000001,11.0,1.8877116866519836,2.0033686866519838,72.767319223631,2462.8938814152034,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1371136,0.1557694,0.9917,107.91000000000001,11.0,3.0635091026523464,3.2006227026523466,116.25455437637196,3934.769532738743,168
23,12.0,11.0,117.72,3.2409681201514458,0.1589892,0.1874587,0.9918,117.72,11.0,4.712271662491173,4.871260862491173,176.9362756661934,5988.612407163468,168
24,13.0,11.0,127.53,3.511048796830733,0.180447,0.2228129,0.9918,127.53,11.0,6.944757179922537,7.125204179922537,258.80508692608987,8759.556788267657,168
25,14.0,11.0,137.34,3.78112947351002,0.2002567,0.2621579,0.9919,137.34,11.0,9.883295520607856,10.083552220607856,366.2596247180884,12396.479605842991,168
26,15.0,11.0,147.15,4.051210150189307,0.2165158,0.3059074,0.9919,147.15,11.0,13.661788602115891,13.87830440211589,504.09443525804863,17061.657808733955,168
27,16.0,11.0,156.96,4.321290826868594,0.2260455,0.3546014,0.9919,156.96,11.0,18.425710393922767,18.65175589392277,677.478032005445,22930.02569864583,168
28,17.0,11.0,166.77,4.591371503547882,0.2227859,0.4089818,0.992,166.77,11.0,24.33210691741194,24.554892817411943,891.8946053473245,30187.20202714021,168
29,18.0,11.0,176.58,4.861452180227169,0.2227859,0.4089818,0.992,176.58,11.0,31.54959624587423,31.772382145874232,1154.0517177433817,39060.21198516061,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2227859,0.4089818,0.992,186.39000000000001,11.0,40.25836850450781,40.481154404507805,1470.375924671538,49766.5697581136,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2227859,0.4089818,0.992,196.20000000000002,11.0,50.65018587041816,50.87297177041816,1847.8325039907456,62542.02321199447,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215841,0.0217587,0.9909,49.050000000000004,12.0,0.020880065820526372,0.04246416582052637,1.8355880140220868,67.7755574408155,168
33,6.0,12.0,58.86,1.3616567449247396,0.0309712,0.0314153,0.9911,58.86,12.0,0.03958772700249806,0.07055892700249806,3.050033320693155,112.61661491790112,168
34,7.0,12.0,68.67,1.5885995357455296,0.0419556,0.0429043,0.9913,68.67,12.0,0.09702063860517293,0.13897623860517294,6.007491561136875,221.81507302659224,168
35,8.0,12.0,78.48,1.8155423265663195,0.0544656,0.0562694,0.9914,78.48,12.0,0.2177273905180749,0.2721929905180749,11.766019212705036,434.437632469109,168
36,9.0,12.0,88.29,2.0424851173871095,0.0684068,0.0715633,0.9915,88.29,12.0,0.43197004915731924,0.5003768491573193,21.62966654494681,798.6338416595745,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0836576,0.0888496,0.9916,98.10000000000001,12.0,0.7757241574656126,0.8593817574656126,37.14828309921951,1371.6289144327206,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.1000608,0.108204,0.9916,107.91000000000001,12.0,1.2906787349122526,1.3907395349122527,60.117154583962076,2219.7103231001383,168
39,12.0,12.0,117.72,2.7233134898494793,0.1174134,0.1297159,0.9917,117.72,12.0,2.0242362774931273,2.1416496774931275,92.5765619618128,3418.2115185900107,168
40,13.0,12.0,127.53,2.9502562806702692,0.1354511,0.1534915,0.9917,127.53,12.0,3.02951275773072,3.16496385773072,136.81111143493555,5051.487191443774,168
41,14.0,12.0,137.34,3.177199071491059,0.1538256,0.1796567,0.9918,137.34,12.0,4.3653376246741,4.5191632246741005,195.3487531977228,7212.8770411466885,168
42,15.0,12.0,147.15,3.404141862311849,0.1720707,0.2083611,0.9918,147.15,12.0,6.096253803898931,6.268324503898931,270.9593160498637,10004.651669533427,168
43,16.0,12.0,156.96,3.631084653132639,0.1895478,0.2397846,0.9918,156.96,12.0,8.292517697507469,8.482065497507469,366.65215153829683,13537.925595260189,168
44,17.0,12.0,166.77,3.858027443953429,0.2053546,0.2741451,0.9919,166.77,12.0,11.03009918412856,11.235453784128559,485.67218735464706,17932.511533094657,168
45,18.0,12.0,176.58,4.084970234774219,0.2181612,0.3117109,0.9919,176.58,12.0,14.390681618917636,14.608842818917637,631.4928424703822,23316.65879890642,168
