,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065364,0.0065414,0.9898,49.050000000000004,10.0,0.021987617611541003,0.028524017611541004,2.245479461590562,69.09167574124805,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094061,0.0094221,0.9902,58.86,10.0,0.01770310655441849,0.02710920655441849,2.1341021228837445,65.66468070411521,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127912,0.012832,0.9905,68.67,10.0,0.014317839507640066,0.027109039507640067,2.1340889725584575,65.66427607872177,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166875,0.0167744,0.9907,78.48,10.0,0.013051818677236269,0.029739318677236268,2.341150892587144,72.03541207960443,168
4,9.0,10.0,88.29,1.121535760179736,0.0210893,0.0212535,0.9909,88.29,10.0,0.015544927982515794,0.036634227982515796,2.883934782478958,88.7364548455064,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259901,0.0262738,0.991,98.10000000000001,10.0,0.023856933056065514,0.04984703305606551,3.924078664968049,120.74088199901688,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0313817,0.0318409,0.9911,107.91000000000001,10.0,0.04046748124375046,0.07184918124375045,5.656140835842912,174.03510264132035,168
7,12.0,10.0,117.72,1.4953810135729813,0.0372545,0.0379608,0.9912,117.72,10.0,0.06827610160471376,0.10553060160471375,8.307623480669934,255.6191840206133,168
8,13.0,10.0,127.53,1.6199960980373964,0.0435973,0.0446404,0.9913,127.53,10.0,0.11060220491137689,0.15419950491137688,12.13895693031104,373.5063670864935,168
9,14.0,10.0,137.34,1.7446111825018116,0.0503969,0.0518876,0.9914,137.34,10.0,0.17118508364943932,0.22158198364943932,17.44346817195894,536.7220975987366,168
10,15.0,10.0,147.15,1.8692262669662265,0.0576382,0.0597108,0.9914,147.15,10.0,0.2541839120178787,0.3118221120178787,24.54738872137832,755.304268350102,168
11,16.0,10.0,156.96,1.9938413514306417,0.0653037,0.0681197,0.9915,156.96,10.0,0.3641777459289511,0.4294814459289511,33.80981526169995,1040.3020080523063,168
12,17.0,10.0,166.77,2.118456435895057,0.0733733,0.0771247,0.9915,166.77,10.0,0.5061655230081903,0.5795388230081903,45.62269389893826,1403.7751968904076,168
13,18.0,10.0,176.58,2.243071520359472,0.0818239,0.0867375,0.9916,176.58,10.0,0.6855660625944084,0.7673899625944085,60.41078867302665,1858.7934976315887,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0906289,0.0969707,0.9916,186.39000000000001,10.0,0.9082180657396961,0.9988469657396961,78.63164219661158,2419.435144511125,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0997577,0.1078382,0.9916,196.20000000000002,10.0,1.1803801152094218,1.2801378152094218,100.77553629384664,3100.785732118358,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044664,0.0044684,0.9892,49.050000000000004,11.0,0.024877709549149182,0.02934410954914918,2.795147282982589,94.60498496248762,168
17,6.0,11.0,58.86,0.6179260386665212,0.006429,0.0064338,0.9897,58.86,11.0,0.021281147259048817,0.027710147259048818,2.639505645671347,89.33711416118405,168
18,7.0,11.0,68.67,0.720913711777608,0.0087459,0.0087586,0.9901,68.67,11.0,0.017767654400083308,0.02651355440008331,2.525525247902869,85.47931608286632,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114154,0.0114444,0.9904,78.48,11.0,0.014740654527972746,0.026156054527972747,2.491471912785551,84.32674166351094,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144352,0.0144931,0.9906,88.29,11.0,0.012796298438115987,0.027231498438115988,2.5939123742485983,87.79395728226024,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178027,0.0179066,0.9908,98.10000000000001,11.0,0.01272346416559064,0.03052616416559064,2.9077428532775196,98.41591195708527,168
