,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.044144,0.0454749,0.9914,49.050000000000004,10.0,0.03632100734950795,0.08046500734950796,2.4154451462677002,74.32138911592924,168
1,6.0,10.0,58.86,1.9607857126916248,0.0628717,0.0659208,0.9916,58.86,10.0,0.05406994820654454,0.11694164820654454,3.5104220562625748,108.01298634654076,168
2,7.0,10.0,68.67,2.2875833314735625,0.0843249,0.0904673,0.9917,68.67,10.0,0.1125946683978526,0.19691956839785257,5.911245538395293,181.8844781044705,168
3,8.0,10.0,78.48,2.6143809502554998,0.1080211,0.1193385,0.9917,78.48,10.0,0.24488569425837756,0.35290679425837757,10.59376033576544,325.9618564850904,168
4,9.0,10.0,88.29,2.9411785690374375,0.1332645,0.1528198,0.9918,88.29,10.0,0.49271965690109587,0.6259841569010959,18.791154605374885,578.1893724730734,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1590315,0.1912744,0.9919,98.10000000000001,10.0,0.9066592922170155,1.0656907922170156,31.990522790880117,984.3237781809266,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1837646,0.2351677,0.9919,107.91000000000001,10.0,1.546053440875175,1.7298180408751749,51.926678793546316,1597.7439628783482,168
7,12.0,10.0,117.72,3.9215714253832497,0.2049649,0.285105,0.9919,117.72,10.0,2.4790370483226427,2.684001948322643,80.569923401475,2479.0745661992305,168
8,13.0,10.0,127.53,4.248369044165187,0.2182687,0.341895,0.992,127.53,10.0,3.782531164784524,4.000799864784524,120.09832513414096,3695.3330810504913,168
9,14.0,10.0,137.34,4.575166662947125,0.2163985,0.3996079,0.992,137.34,10.0,5.542242945263948,5.758641445263948,172.866230753459,5318.9609462602775,168
10,15.0,10.0,147.15,4.901964281729062,0.2163985,0.3996079,0.992,147.15,10.0,7.852665649542079,8.06906414954208,242.2218362607694,7452.979577254443,168
11,16.0,10.0,156.96,5.2287619005109995,0.2163985,0.3996079,0.992,156.96,10.0,10.817078642178112,11.033477142178112,331.2093006313844,10191.055404042596,168
12,17.0,10.0,166.77,5.555559519292937,0.2163985,0.3996079,0.992,166.77,10.0,14.547547392509273,14.763945892509273,443.1926699629953,13636.697537322932,168
13,18.0,10.0,176.58,5.882357138074875,0.2163985,0.3996079,0.992,176.58,10.0,19.16492347465082,19.38132197465082,581.7997367300075,17901.53036092331,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2163985,0.3996079,0.992,186.39000000000001,10.0,24.79884456749604,25.01524306749604,750.92203978354,23105.293531801224,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2163985,0.3996079,0.992,196.20000000000002,10.0,31.58773445471625,31.804132954716252,954.714864351426,29375.841980043875,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030365,0.0309193,0.9913,49.050000000000004,11.0,0.03852097850260382,0.06888597850260382,2.5021095822897474,84.68678586211453,168
17,6.0,11.0,58.86,1.6204840600757229,0.0434341,0.0447155,0.9914,58.86,11.0,0.057032008547546156,0.10046610854754616,3.64917822692575,123.5106476805638,168
18,7.0,11.0,68.67,1.89056473675501,0.0586043,0.0611882,0.9916,68.67,11.0,0.10418442041831373,0.16278872041831371,5.91289005544072,200.12858649183974,168
19,8.0,11.0,78.48,2.160645413434297,0.075695,0.0804326,0.9916,78.48,11.0,0.20156807859388806,0.27726307859388805,10.070882650504846,340.86064355554856,168
20,9.0,11.0,88.29,2.4307260901135845,0.0944633,0.1025658,0.9917,88.29,11.0,0.37647702922707504,0.47094032922707507,17.105720729527167,578.9628554609195,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1145815,0.1277313,0.9918,98.10000000000001,11.0,0.6619095001445046,0.7764910001445046,28.204078888853644,954.5995931612002,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.135604,0.156104,0.9918,107.91000000000001,11.0,1.0965679008466314,1.2321719008466314,44.75553932967641,1514.8028696198169,168
23,12.0,11.0,117.72,3.2409681201514458,0.1569152,0.1878974,0.9919,117.72,11.0,1.7248588225077333,1.8817740225077333,68.35069945682123,2313.4082893077953,168
24,13.0,11.0,127.53,3.511048796830733,0.1776426,0.2233735,0.9919,127.53,11.0,2.5968930379759154,2.7745356379759154,100.77801545522834,3410.948215407728,168
25,14.0,11.0,137.34,3.78112947351002,0.1965066,0.2628576,0.9919,137.34,11.0,3.7684855017731036,3.964992101773104,144.01834665344342,4874.467117501162,168
26,15.0,11.0,147.15,4.051210150189307,0.2115319,0.3067593,0.992,147.15,11.0,5.30115535009505,5.51268725009505,200.23447285586525,6777.1667735831315,168
27,16.0,11.0,156.96,4.321290826868594,0.2194224,0.3556079,0.992,156.96,11.0,7.262125900811332,7.481548300811332,271.74838916044473,9197.637786968897,168
28,17.0,11.0,166.77,4.591371503547882,0.2194224,0.3556079,0.992,166.77,11.0,9.72432465346535,9.94374705346535,361.1815543187884,12224.606453866683,168
29,18.0,11.0,176.58,4.861452180227169,0.2194224,0.3556079,0.992,176.58,11.0,12.766383289274328,12.985805689274327,471.6766685350612,15964.44108887899,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2194224,0.3556079,0.992,186.39000000000001,11.0,16.472637671129316,16.692060071129315,606.2970195095661,20520.822198785314,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2194224,0.3556079,0.992,196.20000000000002,11.0,20.933127843595187,21.152550243595186,768.3130849678545,26004.442875835073,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215271,0.0217725,0.9911,49.050000000000004,12.0,0.03125718035263571,0.05278428035263571,2.281693057473056,84.24712827592819,168
33,6.0,12.0,58.86,1.3616567449247396,0.0308657,0.0314418,0.9913,58.86,12.0,0.04295998544750642,0.07382568544750642,3.1912446816252524,117.83057286000931,168
34,7.0,12.0,68.67,1.5885995357455296,0.0417789,0.0429491,0.9914,68.67,12.0,0.07207455453321644,0.11385345453321644,4.921515175394306,181.71748339917437,168
35,8.0,12.0,78.48,1.8155423265663195,0.054189,0.0563389,0.9915,78.48,12.0,0.13206271435026376,0.18625171435026378,8.05105688163903,297.2697925528257,168
36,9.0,12.0,88.29,2.0424851173871095,0.0679954,0.0716652,0.9916,88.29,12.0,0.2400453217477423,0.3080407217477423,13.315600241876117,491.6529320077335,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0830689,0.0889925,0.9917,98.10000000000001,12.0,0.4168022636833417,0.4998711636833417,21.607807403787145,797.8267349090637,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.0992436,0.1083974,0.9917,107.91000000000001,12.0,0.6867724572233479,0.7860160572233479,33.97692208451798,1254.5325077360483,168
39,12.0,12.0,117.72,2.7233134898494793,0.116306,0.1299705,0.9918,117.72,12.0,1.0780538495426415,1.1943598495426415,51.62829839906932,1906.2756331964058,168
40,13.0,12.0,127.53,2.9502562806702692,0.1339789,0.1538189,0.9918,127.53,12.0,1.622403417924701,1.7563823179247011,75.92270490957094,2803.2998735841575,168
41,14.0,12.0,137.34,3.177199071491059,0.1518984,0.1800691,0.9918,137.34,12.0,2.3552371697615997,2.5071355697615996,108.37533040995888,4001.550661290788,168
42,15.0,12.0,147.15,3.404141862311849,0.1695781,0.2088713,0.9919,147.15,12.0,3.3156301425540056,3.4852082425540054,150.65423640821245,5562.617959687844,168
