,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065302,0.0065417,0.9902,49.050000000000004,10.0,0.01247080373922015,0.01900100373922015,1.495804841627963,46.024764357783475,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093931,0.0094241,0.9905,58.86,10.0,0.01205350177466308,0.02144660177466308,1.6883282173557712,51.948560534023734,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127683,0.0128366,0.9908,68.67,10.0,0.012438120034837323,0.02520642003483732,1.9843101788561206,61.05569781095755,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166508,0.0167827,0.991,78.48,10.0,0.01526612617213226,0.03191692617213226,2.512577406614263,77.31007404966961,168
4,9.0,10.0,88.29,1.121535760179736,0.0210345,0.0212666,0.9911,88.29,10.0,0.02282805198392412,0.04386255198392412,3.4529658813911013,106.2451040428031,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259118,0.0262932,0.9912,98.10000000000001,10.0,0.03806349341257597,0.06397529341257596,5.036289395258453,154.962750623337,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312739,0.031868,0.9913,107.91000000000001,10.0,0.0645611105454377,0.0958350105454377,7.544363168322605,232.13425133300325,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371102,0.0379973,0.9914,117.72,10.0,0.10655862761484602,0.14366882761484603,11.309956615277208,347.99866508545256,168
8,13.0,10.0,127.53,1.6199960980373964,0.0434086,0.0446882,0.9914,127.53,10.0,0.16894283299812465,0.21235143299812465,16.716816962126835,514.3635988346718,168
9,14.0,10.0,137.34,1.7446111825018116,0.050155,0.0519486,0.9915,137.34,10.0,0.25724957921758396,0.30740457921758396,24.19962988498106,744.6039964609556,168
10,15.0,10.0,147.15,1.8692262669662265,0.0573331,0.0597873,0.9915,147.15,10.0,0.3776637829405212,0.4349968829405212,34.244003765572074,1053.6616543252944,168
11,16.0,10.0,156.96,1.9938413514306417,0.0649245,0.068214,0.9916,156.96,10.0,0.5370194249792205,0.6019439249792204,47.3864775634959,1458.0454634921814,168
12,17.0,10.0,166.77,2.118456435895057,0.0729077,0.0772393,0.9916,166.77,10.0,0.7427995502909529,0.8157072502909529,64.21444209380056,1975.8289875015557,168
13,18.0,10.0,176.58,2.243071520359472,0.0812583,0.0868751,0.9917,176.58,10.0,1.003136267977976,1.084394567977976,85.36615577146836,2626.6509468144104,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0899481,0.0971342,0.9917,186.39000000000001,10.0,1.326810751287535,1.4167588512875349,111.53067376124537,3431.7130388075493,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0989451,0.1080307,0.9917,196.20000000000002,10.0,1.7232532376118608,1.8221983376118607,143.44784797764135,4413.77993777358,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044641,0.0044678,0.9897,49.050000000000004,11.0,0.012044376161460271,0.01650847616146027,1.5725003415626366,53.223088483658465,168
17,6.0,11.0,58.86,0.6179260386665212,0.006423,0.006434,0.9901,58.86,11.0,0.011690205867617105,0.018113205867617103,1.7253574548641297,58.396713856939776,168
18,7.0,11.0,68.67,0.720913711777608,0.0087346,0.0087602,0.9905,68.67,11.0,0.011172197659763461,0.019906797659763463,1.8962044596505854,64.17922786509673,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113967,0.011448,0.9907,78.48,11.0,0.01107139111840428,0.02246809111840428,2.140178209811579,72.43680094746881,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144068,0.0144992,0.9909,88.29,11.0,0.012297267984381497,0.026704067984381498,2.54367245140313,86.09352912441362,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177617,0.0179161,0.991,98.10000000000001,11.0,0.016087752158874046,0.03384945215887404,3.2242997210003668,109.13014440308933,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0214576,0.0217011,0.9911,107.91000000000001,11.0,0.024009209703397864,0.045466809703397865,4.330900871109369,146.5843371760094,168
23,12.0,11.0,117.72,1.2358520773330424,0.0254902,0.0258571,0.9912,117.72,11.0,0.037956448839805854,0.06344664883980586,6.043554595578987,204.5510786195965,168
24,13.0,11.0,127.53,1.3388397504441292,0.0298545,0.0303871,0.9913,127.53,11.0,0.060152719950287994,0.09000721995028799,8.573558378777191,290.18197589707415,168
25,14.0,11.0,137.34,1.441827423555216,0.0345446,0.0352948,0.9913,137.34,11.0,0.0931497155773712,0.1276943155773712,12.163409444767401,411.68462736135814,168
26,15.0,11.0,147.15,1.544815096666303,0.0395541,0.0405839,0.9914,147.15,11.0,0.13982757042391938,0.1793816704239194,17.086842858955805,578.3239121492733,168
27,16.0,11.0,156.96,1.6478027697773898,0.0448757,0.0462586,0.9915,156.96,11.0,0.20339486135313345,0.24827056135313344,23.648793426444044,800.4207005873368,168
28,17.0,11.0,166.77,1.7507904428884766,0.0505009,0.0523236,0.9915,166.77,11.0,0.28738860738855143,0.33788950738855145,32.18536711579374,1089.3508869960958,168
29,18.0,11.0,176.58,1.8537781159995637,0.0564205,0.0587838,0.9915,176.58,11.0,0.39567426971404807,0.45209476971404805,43.06388868608556,1457.5470016828958,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.062624,0.0656448,0.9916,186.39000000000001,11.0,0.5324457516738356,0.5950697516738356,56.682844534448385,1918.4962765505604,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0690997,0.0729124,0.9916,196.20000000000002,11.0,0.7022253987724625,0.7713250987724625,73.47189222147097,2486.7409674959404,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031541,0.0031552,0.9892,49.050000000000004,12.0,0.011698053018752739,0.014852153018752739,1.6836441214628473,62.165321407858976,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045387,0.0045426,0.9897,58.86,12.0,0.011625332970976905,0.016164032970976905,1.8323591910449049,67.65633936165801,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061733,0.0061832,0.9901,68.67,12.0,0.011213850211874465,0.017387150211874466,1.9710120954350572,72.77583121606365,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080572,0.0080778,0.9904,78.48,12.0,0.010632629945031438,0.01868982994503144,2.1186842256716143,78.22834064018268,168
36,9.0,12.0,88.29,0.7788442779025945,0.010189,0.0102274,0.9906,88.29,12.0,0.010229349689793095,0.020418349689793093,2.3146296958957566,85.46325030999715,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125674,0.0126331,0.9908,98.10000000000001,12.0,0.010530339281263986,0.023097739281263983,2.618366031569973,96.67813039642975,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0151906,0.015296,0.9909,107.91000000000001,12.0,0.012240580870307924,0.027431180870307922,3.109606153314231,114.81622719929467,168
39,12.0,12.0,117.72,1.0384590372034592,0.0180567,0.0182174,0.991,117.72,12.0,0.016243708923547984,0.03430040892354798,3.8883037210151956,143.5681373913303,168
40,13.0,12.0,127.53,1.1249972903037475,0.0211633,0.0213989,0.9911,127.53,12.0,0.02360201022336653,0.04476531022336653,5.074607789717017,187.3701337741668,168
41,14.0,12.0,137.34,1.2115355434040358,0.024508,0.0248422,0.9912,137.34,12.0,0.03555642386790516,0.060064423867905156,6.80891948975784,251.40625808336637,168
42,15.0,12.0,147.15,1.298073796504324,0.0280877,0.028549,0.9912,147.15,12.0,0.053526541271064765,0.08161424127106476,9.251812674578686,341.6053910613668,168
43,16.0,12.0,156.96,1.3846120496046124,0.0318991,0.0325215,0.9913,156.96,12.0,0.07911060616250548,0.11100970616250548,12.58409060085997,464.64334526252196,168
44,17.0,12.0,166.77,1.4711503027049007,0.0359387,0.0367617,0.9914,166.77,12.0,0.11408551458764675,0.15002421458764675,17.006785928521502,627.9428650531016,168
45,18.0,12.0,176.58,1.557688555805189,0.0402024,0.041272,0.9914,176.58,12.0,0.16040681490766726,0.20060921490766725,22.741115376613262,839.6719523672589,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0446857,0.0460551,0.9915,186.39000000000001,12.0,0.22020870779950497,0.26489440779950496,30.028502395370023,1108.744703829047,168
