,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0444749,0.0453917,0.9911,49.050000000000004,10.0,-0.19713965314077483,-0.15266475314077482,-4.5827788889439045,-141.00858119827396,168
1,6.0,10.0,58.86,1.9607857126916248,0.0634895,0.0657657,0.9913,58.86,10.0,-0.7365729017529553,-0.6730834017529553,-20.205006988139797,-621.6925227119938,168
2,7.0,10.0,68.67,2.2875833314735625,0.0853774,0.0902091,0.9914,68.67,10.0,-1.779275651176554,-1.693898251176554,-50.84841776380913,-1564.5667004248965,168
3,8.0,10.0,78.48,2.6143809502554998,0.1097028,0.1189401,0.9915,78.48,10.0,-3.549572694119307,-3.439869894119307,-103.26000473041249,-3177.230914781923,168
4,9.0,10.0,88.29,2.9411785690374375,0.1358311,0.1522387,0.9916,88.29,10.0,-6.311034895409046,-6.175203795409046,-185.37084039582666,-5703.7181660254355,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.162821,0.1904635,0.9917,98.10000000000001,10.0,-10.366479191993706,-10.203658191993707,-306.29931526597403,-9424.594315876124,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1892319,0.2340773,0.9918,107.91000000000001,10.0,-16.057968592941318,-15.868736692941319,-476.35691942305715,-14657.135982247908,168
7,12.0,10.0,117.72,3.9215714253832497,0.2127418,0.2836891,0.9918,117.72,10.0,-23.76681217944001,-23.55407037944001,-707.0597126244354,-21755.683465367245,168
8,13.0,10.0,127.53,4.248369044165187,0.2292836,0.3401256,0.9919,127.53,10.0,-33.91356510479802,-33.684281504798015,-1011.1542513489469,-31112.43850304452,168
9,14.0,10.0,137.34,4.575166662947125,0.2305889,0.4045795,0.9919,137.34,10.0,-46.95802859444368,-46.72743969444368,-1402.6913204296231,-43159.732936296095,168
10,15.0,10.0,147.15,4.901964281729062,0.2305889,0.4045795,0.9919,147.15,10.0,-63.39924994592544,-63.16866104592544,-1896.2334155623882,-58345.64355576578,168
11,16.0,10.0,156.96,5.2287619005109995,0.2305889,0.4045795,0.9919,156.96,10.0,-83.7755225289118,-83.54493362891179,-2507.9001553144844,-77166.15862506106,168
12,17.0,10.0,166.77,5.555559519292937,0.2305889,0.4045795,0.9919,166.77,10.0,-108.66438578519141,-108.43379688519141,-3255.028452803775,-100154.72162473154,168
13,18.0,10.0,176.58,5.882357138074875,0.2305889,0.4045795,0.9919,176.58,10.0,-138.682625228673,-138.45203632867302,-4156.133332448115,-127881.02561378815,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2305889,0.4045795,0.9919,186.39000000000001,10.0,-174.48627244538545,-174.25568354538547,-5230.907929965354,-160951.01322970318,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2305889,0.4045795,0.9919,196.20000000000002,10.0,-216.77060509347754,-216.54001619347756,-6500.223492373333,-200006.87668841024,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0305376,0.0308778,0.9908,49.050000000000004,11.0,0.011069830285552593,0.041607430285552596,1.5112850579308919,51.15118657612249,168
17,6.0,11.0,58.86,1.6204840600757229,0.0437558,0.0446348,0.991,58.86,11.0,-0.15886631097007003,-0.11511051097007004,-4.18109924227315,-141.51412820001426,168
18,7.0,11.0,68.67,1.89056473675501,0.0591494,0.0610511,0.9912,68.67,11.0,-0.5170455471902412,-0.4578961471902412,-16.631923687270444,-562.9266478768457,168
19,8.0,11.0,78.48,2.160645413434297,0.0765584,0.0802185,0.9914,78.48,11.0,-1.153105486432518,-1.0765470864325182,-39.10286010740336,-1323.481419019806,168
20,9.0,11.0,88.29,2.4307260901135845,0.0957642,0.1022511,0.9915,88.29,11.0,-2.1726699904157836,-2.0769057904157835,-75.43836921059291,-2553.2986502046824,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1164695,0.127289,0.9915,98.10000000000001,11.0,-3.6973491745202507,-3.5808796745202507,-130.06643066418866,-4402.248422480232,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1382664,0.1555041,0.9916,107.91000000000001,11.0,-5.864739407787455,-5.726473007787455,-207.9997017820831,-7039.989906470504,168
23,12.0,11.0,117.72,3.2409681201514458,0.1605883,0.1871073,0.9917,117.72,11.0,-8.82842331292026,-8.667835012920259,-314.8372646360039,-10656.030495372439,168
24,13.0,11.0,127.53,3.511048796830733,0.1826283,0.2223594,0.9917,127.53,11.0,-12.757969766282862,-12.575341466282863,-456.76758996988934,-15459.826122057792,168
25,14.0,11.0,137.34,3.78112947351002,0.2031984,0.2615865,0.9918,137.34,11.0,-17.838933897900787,-17.635735497900786,-640.5736514050833,-21680.954355248967,168
26,15.0,11.0,147.15,4.051210150189307,0.2204591,0.3052046,0.9918,147.15,11.0,-24.272857091460878,-24.05239799146088,-873.6427470389511,-29569.446822856808,168
27,16.0,11.0,156.96,4.321290826868594,0.2313361,0.3537603,0.9919,156.96,11.0,-32.277266984311304,-32.0459308843113,-1163.987686347512,-39396.50630714656,168
28,17.0,11.0,166.77,4.591371503547882,0.2299781,0.4080139,0.9919,166.77,11.0,-42.08567746746157,-41.855699367461575,-1520.3028067142275,-51456.40268878924,168
29,18.0,11.0,176.58,4.861452180227169,0.2299781,0.4080139,0.9919,176.58,11.0,-53.94758868558252,-53.71761058558252,-1951.1568407032894,-66039.15460841902,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2299781,0.4080139,0.9919,186.39000000000001,11.0,-68.12848703700628,-67.89850893700628,-2466.242238658885,-83472.81423153148,168
