,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435625,0.0455757,0.9922,49.050000000000004,10.0,0.7944315262250956,0.8379940262250956,25.155389527956245,774.0119854755768,168
1,6.0,10.0,58.86,1.9607857126916248,0.0618441,0.0661157,0.9922,58.86,10.0,1.8068703487885773,1.8687144487885774,56.09615152933049,1726.0354316717076,168
2,7.0,10.0,68.67,2.2875833314735625,0.0826413,0.0907969,0.9922,68.67,10.0,3.580277258303068,3.662918558303068,109.95560858394839,3383.2494948907192,168
3,8.0,10.0,78.48,2.6143809502554998,0.1054103,0.11985,0.9922,78.48,10.0,6.42345924069223,6.52886954069223,195.98738336257057,6030.381026540633,168
4,9.0,10.0,88.29,2.9411785690374375,0.1293766,0.1535662,0.9922,88.29,10.0,10.697747760664674,10.827124360664675,325.0148834437928,10000.457952116702,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1534136,0.192312,0.9922,98.10000000000001,10.0,16.81699876171396,16.97041236171396,509.4276570586062,15674.697140264805,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.175822,0.2365511,0.9922,107.91000000000001,10.0,25.247592666118603,25.423414666118603,763.1747709919616,23482.30064590651,168
7,12.0,10.0,117.72,3.9215714253832497,0.1939003,0.2868759,0.9922,117.72,10.0,36.50843437494204,36.702334674942044,1101.7519176032683,33900.059003177485,168
8,13.0,10.0,127.53,4.248369044165187,0.2029708,0.3440557,0.9922,127.53,10.0,51.17095326803271,51.373924068032714,1542.1721767308559,47451.451591718636,168
9,14.0,10.0,137.34,4.575166662947125,0.2029708,0.3440557,0.9922,137.34,10.0,69.85910320402395,70.06207400402396,2103.163874147125,64712.7345891423,168
10,15.0,10.0,147.15,4.901964281729062,0.2029708,0.3440557,0.9922,147.15,10.0,93.24936252033409,93.45233332033409,2805.3062115003036,86317.11420000934,168
11,16.0,10.0,156.96,5.2287619005109995,0.2029708,0.3440557,0.9922,156.96,10.0,122.07073403316636,122.27370483316636,3670.482817115497,112937.93283432296,168
12,17.0,10.0,166.77,5.555559519292937,0.2029708,0.3440557,0.9922,166.77,10.0,157.10474503750896,157.30771583750897,4722.154029511726,145297.04706189924,168
13,18.0,10.0,176.58,5.882357138074875,0.2029708,0.3440557,0.9922,176.58,10.0,199.18544730713506,199.38841810713507,5985.356897401927,184164.827612367,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2029708,0.3440557,0.9922,186.39000000000001,10.0,249.19941709460275,249.40238789460275,7486.705179692949,230360.15937516766,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2029708,0.3440557,0.9922,196.20000000000002,10.0,308.08575513125515,308.28872593125516,9254.389345485557,284750.44139955554,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0300394,0.0309662,0.9922,49.050000000000004,11.0,0.3175571937517493,0.3475965937517493,12.625570354127344,427.3269966012332,168
17,6.0,11.0,58.86,1.6204840600757229,0.0428673,0.0448132,0.9922,58.86,11.0,0.7297105167880104,0.7725778167880104,28.06194236431882,949.7888184846371,168
18,7.0,11.0,68.67,1.89056473675501,0.0576884,0.0613597,0.9922,68.67,11.0,1.4633424982717431,1.521030898271743,55.2476145109945,1869.9192603721215,168
19,8.0,11.0,78.48,2.160645413434297,0.0742948,0.0807046,0.9922,78.48,11.0,2.652809846215783,2.7271046462157833,99.05520420161385,3352.6376806700073,168
20,9.0,11.0,88.29,2.4307260901135845,0.0924111,0.1029689,0.9922,88.29,11.0,4.455872571860949,4.548283671860949,165.20494309164982,5591.551920025071,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1116706,0.1282996,0.9922,98.10000000000001,11.0,7.05369398967604,7.16536458967604,260.26381260956293,8808.92904216982,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1315795,0.1568745,0.9922,107.91000000000001,11.0,10.650840717357832,10.782420217357833,391.64424361201407,13255.651322252785,168
23,12.0,11.0,117.72,3.2409681201514458,0.1514605,0.1889087,0.9922,117.72,11.0,15.475282675831089,15.62674317583109,567.6020677959878,19211.146910018047,168
24,13.0,11.0,127.53,3.511048796830733,0.1703621,0.2246635,0.9922,127.53,11.0,21.77839308924856,21.94875518924856,797.2332232498487,26983.278325379495,168
25,14.0,11.0,137.34,3.78112947351002,0.1868981,0.2644584,0.9922,137.34,11.0,29.834948484990967,30.021846584990968,1090.4679246952883,36908.145143532834,168
26,15.0,11.0,147.15,4.051210150189307,0.1989442,0.3086882,0.9922,147.15,11.0,39.94312869366702,40.14207289366702,1458.0596432468656,49349.7110022016,168
27,16.0,11.0,156.96,4.321290826868594,0.2029801,0.3578473,0.9922,156.96,11.0,52.424516849113395,52.62749694911339,1911.5612098523607,64698.994795002975,168
28,17.0,11.0,166.77,4.591371503547882,0.2029801,0.3578473,0.9922,166.77,11.0,67.6240993883948,67.8270794883948,2463.647743934219,83385.0005639274,168
29,18.0,11.0,176.58,4.861452180227169,0.2029801,0.3578473,0.9922,176.58,11.0,85.91026605180384,86.11324615180385,3127.846668395075,105865.57954567946,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2029801,0.3578473,0.9922,186.39000000000001,11.0,107.67480988286115,107.87778998286116,3918.3888782556096,132622.39280249755,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2029801,0.3578473,0.9922,196.20000000000002,11.0,133.3329272283154,133.5359073283154,4850.355334551925,164165.87286175744,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0213324,0.0217925,0.9923,49.050000000000004,12.0,0.1373660211728603,0.1586984211728603,6.860017478744869,253.29295306134898,168
33,6.0,12.0,58.86,1.3616567449247396,0.0305319,0.0314903,0.9922,58.86,12.0,0.31384131208525096,0.34437321208525096,14.88613583334338,549.6419384619094,168
34,7.0,12.0,68.67,1.5885995357455296,0.0412457,0.0430397,0.9922,68.67,12.0,0.6338806294856165,0.6751263294856166,29.1835191957425,1077.5453241504922,168
35,8.0,12.0,78.48,1.8155423265663195,0.0533824,0.0564874,0.9922,78.48,12.0,1.1595373391951598,1.2129197391951598,52.430582167734975,1935.8984185009838,168
36,9.0,12.0,88.29,2.0424851173871095,0.0668257,0.0718896,0.9922,88.29,12.0,1.9639735400034155,2.0307992400034154,87.78485746289,3241.287044783631,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0814283,0.0893134,0.9922,98.10000000000001,12.0,3.1314600636682512,3.212888363668251,138.882732223359,5127.977805170179,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.0970035,0.1088374,0.9922,107.91000000000001,12.0,4.757376474915866,4.854379974915865,209.83908491514902,7747.904673790117,168
39,12.0,12.0,117.72,2.7233134898494793,0.1133128,0.1305543,0.9922,117.72,12.0,6.948211071440788,7.061523871440788,305.24674931638356,11270.649205528007,168
40,13.0,12.0,127.53,2.9502562806702692,0.1300497,0.1545727,0.9922,127.53,12.0,9.821560883905889,9.95161058390589,430.1758142439017,15883.414679774833,168
41,14.0,12.0,137.34,3.177199071491059,0.1468137,0.1810201,0.9922,137.34,12.0,13.506131675942356,13.652945375942355,590.1724996576752,21790.984602744928,168
