,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064923,0.006534,0.9924,49.050000000000004,10.0,0.011305574283822365,0.017797874283822367,1.4010915891499085,43.1105104353818,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093333,0.009419,0.9924,58.86,10.0,0.013594504998661511,0.02292780499866151,1.8049321075659805,55.53637254049169,168
2,7.0,10.0,68.67,0.8723055912509058,0.0126781,0.0128362,0.9924,68.67,10.0,0.02060600532767562,0.03328410532767562,2.620205047148506,80.62169375841557,168
3,8.0,10.0,78.48,0.9969206757153208,0.01652,0.0167895,0.9923,78.48,10.0,0.03558044806853417,0.05210044806853417,4.101472929613675,126.19916706503615,168
4,9.0,10.0,88.29,1.121535760179736,0.0208511,0.0212835,0.9923,88.29,10.0,0.06251800777222445,0.08336910777222445,6.5630172363207455,201.93899188679214,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0256621,0.0263233,0.9923,98.10000000000001,10.0,0.10617866074305155,0.13184076074305154,10.378822663789672,319.3483896550668,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309419,0.031915,0.9923,107.91000000000001,10.0,0.17208218503863837,0.20302408503863836,15.982545634736375,491.77063491496534,168
7,12.0,10.0,117.72,1.4953810135729813,0.0366782,0.0380653,0.9923,117.72,10.0,0.2665081604699255,0.3031863604699255,23.867561531519836,734.3865086621488,168
8,13.0,10.0,127.53,1.6199960980373964,0.0428566,0.0447815,0.9923,127.53,10.0,0.3964959686011715,0.4393525686011715,34.58689384597146,1064.2121183375834,168
9,14.0,10.0,137.34,1.7446111825018116,0.0494606,0.052072,0.9922,137.34,10.0,0.5698447927499527,0.6193053927499527,48.75321417939506,1500.0988978275402,168
10,15.0,10.0,147.15,1.8692262669662265,0.0564716,0.0599459,0.9922,147.15,10.0,0.7951136179871634,0.8515852179871634,67.03884224256689,2062.7336074635964,168
11,16.0,10.0,156.96,1.9938413514306417,0.0638682,0.0684132,0.9922,156.96,10.0,1.0816212311370155,1.1454894311370154,90.17569075004731,2774.636638462994,168
12,17.0,10.0,166.77,2.118456435895057,0.0716261,0.0774852,0.9922,166.77,10.0,1.4394462207770382,1.5110723207770382,118.9552575479396,3660.1617707058335,168
13,18.0,10.0,176.58,2.243071520359472,0.0797178,0.0871738,0.9922,176.58,10.0,1.87942697723808,1.9591447772380801,154.22860199716652,4745.495446066662,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0881118,0.0974923,0.9922,186.39000000000001,10.0,2.413161692604305,2.501273492604305,196.90628199554064,6058.654830632019,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.096772,0.1084552,0.9922,196.20000000000002,10.0,3.0530083607131973,3.1497803607131973,247.95830674431744,7629.4863613636135,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044396,0.0044593,0.9925,49.050000000000004,11.0,0.010593799727982925,0.015033399727982925,1.4319932364374994,48.46746338711536,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063858,0.0064262,0.9924,58.86,11.0,0.010684307156786279,0.01707010715678628,1.6259980068434636,55.033778693163384,168
18,7.0,11.0,68.67,0.720913711777608,0.0086801,0.0087543,0.9924,68.67,11.0,0.012249800760544993,0.020929900760544993,1.99365924346574,67.47769747114813,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113194,0.0114454,0.9924,78.48,11.0,0.01660271407187088,0.02792211407187088,2.659696357539761,90.02049210134577,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143001,0.0145016,0.9923,88.29,11.0,0.025397142091542042,0.039697242091542045,3.781325795155813,127.98333460527367,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0176182,0.0179252,0.9923,98.10000000000001,11.0,0.04062884128850288,0.05824704128850288,5.548270562670868,187.78761904424474,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0212688,0.021719,0.9923,107.91000000000001,11.0,0.06463522959986408,0.08590402959986408,8.182712599649424,276.9533495265959,168
23,12.0,11.0,117.72,1.2358520773330424,0.0252465,0.025886,0.9923,117.72,11.0,0.1000953864309026,0.1253418864309026,11.939330880510834,404.10042980190514,168
24,13.0,11.0,127.53,1.3388397504441292,0.0295452,0.0304295,0.9923,127.53,11.0,0.15003005265506175,0.17957525265506175,17.10528236370564,578.9480184638832,168
25,14.0,11.0,137.34,1.441827423555216,0.034158,0.0353533,0.9923,137.34,11.0,0.21780163061395114,0.25195963061395116,24.00019246630376,812.3142065518194,168
26,15.0,11.0,147.15,1.544815096666303,0.0390771,0.0406614,0.9923,147.15,11.0,0.3071141841173466,0.34619128411734656,32.9761455385826,1116.115695152026,168
27,16.0,11.0,156.96,1.6478027697773898,0.044294,0.0463582,0.9922,156.96,11.0,0.4220134384431903,0.4663074384431903,44.4177039148508,1503.36844019495,168
28,17.0,11.0,166.77,1.7507904428884766,0.0497989,0.0524486,0.9922,166.77,11.0,0.5668867803375907,0.6166856803375906,58.74185076097716,1988.1857180638424,168
29,18.0,11.0,176.58,1.8537781159995637,0.0555811,0.0589377,0.9922,176.58,11.0,0.7464632580148226,0.8020443580148227,76.39802817603805,2585.7794151889802,168
