,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0443729,0.0454206,0.9911,49.050000000000004,10.0,0.6589322522477628,0.7033051522477628,21.11222098027078,649.6067993929471,168
1,6.0,10.0,58.86,1.9607857126916248,0.0632968,0.0658184,0.9913,58.86,10.0,1.744185143914392,1.807481943914392,54.2580387699576,1669.4781159986953,168
2,7.0,10.0,68.67,2.2875833314735625,0.0850465,0.0902958,0.9915,68.67,10.0,3.813607564974973,3.898654064974973,117.03205341567923,3600.9862589439763,168
3,8.0,10.0,78.48,2.6143809502554998,0.109171,0.1190732,0.9916,78.48,10.0,7.328877807524476,7.438048807524476,223.2796526296112,6870.143157834191,168
4,9.0,10.0,88.29,2.9411785690374375,0.1350154,0.1524323,0.9917,88.29,10.0,12.839947393317932,12.974962793317932,389.4899402170432,11984.305852832098,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1616113,0.1907333,0.9917,98.10000000000001,10.0,20.985041073770454,21.146652373770454,634.7924460401672,19532.07526277437,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.187479,0.2344404,0.9918,107.91000000000001,10.0,32.49065682995721,32.67813582995721,980.9511883432326,30183.11348748408,168
7,12.0,10.0,117.72,3.9215714253832497,0.2102368,0.2841619,0.9918,117.72,10.0,48.17156587261341,48.381802672613404,1452.3529454938937,44687.782938273645,168
8,13.0,10.0,127.53,4.248369044165187,0.2257157,0.3407196,0.9919,127.53,10.0,68.93081264213441,69.15652834213441,2075.980680535595,63876.32863186446,168
9,14.0,10.0,137.34,4.575166662947125,0.2254345,0.4052894,0.992,137.34,10.0,95.75971480857557,95.98514930857557,2881.337747278502,88656.54607010774,168
10,15.0,10.0,147.15,4.901964281729062,0.2254345,0.4052894,0.992,147.15,10.0,129.73786327165234,129.96329777165235,3901.3134670073587,120040.41436945717,168
11,16.0,10.0,156.96,5.2287619005109995,0.2254345,0.4052894,0.992,156.96,10.0,172.0331221607402,172.2585566607402,5170.9570196392815,159106.36983505482,168
12,17.0,10.0,166.77,5.555559519292937,0.2254345,0.4052894,0.992,166.77,10.0,223.90162883487474,224.12706333487475,6727.9758631969735,207014.64194452224,168
13,18.0,10.0,176.58,5.882357138074875,0.2254345,0.4052894,0.992,176.58,10.0,286.6877938827517,286.9132283827517,8612.727292584428,265006.9936179824,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2254345,0.4052894,0.992,186.39000000000001,10.0,361.82430112272664,362.04973562272664,10868.218439586915,334406.72121805884,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2254345,0.4052894,0.992,196.20000000000002,10.0,450.83210760281554,451.05754210281555,13540.10627287101,416618.6545498772,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304854,0.0308928,0.9909,49.050000000000004,11.0,0.2076902275704581,0.2381756275704581,8.651129489136768,292.80745963232135,168
17,6.0,11.0,58.86,1.6204840600757229,0.0436567,0.0446628,0.9911,58.86,11.0,0.5737611296537523,0.6174178296537522,22.426146821661227,759.0388155023799,168
18,7.0,11.0,68.67,1.89056473675501,0.0589797,0.0610978,0.9913,68.67,11.0,1.2995148708112039,1.358494570811204,49.34389199373612,1670.1009597879915,168
19,8.0,11.0,78.48,2.160645413434297,0.0762877,0.0802907,0.9914,78.48,11.0,2.5638118111085877,2.6400995111085876,95.8949619143986,3245.675634025799,168
20,9.0,11.0,88.29,2.4307260901135845,0.0953541,0.1023565,0.9915,88.29,11.0,4.581266120110056,4.676620220110056,169.86644480959296,5749.3258243246855,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1158716,0.1274366,0.9916,98.10000000000001,11.0,7.60224577687814,7.718117376878141,280.3411647145848,9488.47019033979,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.13742,0.1557038,0.9917,107.91000000000001,11.0,11.912872569973747,12.050292569973747,437.6965118901022,14814.343479357305,168
23,12.0,11.0,117.72,3.2409681201514458,0.1594162,0.1873702,0.9917,117.72,11.0,17.83502209745615,17.99443829745615,653.6026266983313,22121.93505748198,168
24,13.0,11.0,127.53,3.511048796830733,0.1810317,0.222697,0.9918,127.53,11.0,25.726323766883027,25.907355466883025,941.0194029983104,31849.887486096657,168
25,14.0,11.0,137.34,3.78112947351002,0.2010474,0.2620103,0.9918,137.34,11.0,35.98016079531041,36.18120819531041,1314.1912141218202,44480.318016430836,168
26,15.0,11.0,147.15,4.051210150189307,0.2175776,0.3057246,0.9919,147.15,11.0,49.02567020929272,49.24324780929272,1788.6368878688806,60538.47928171595,168
27,16.0,11.0,156.96,4.321290826868594,0.2274714,0.3543817,0.9919,156.96,11.0,65.32774284488274,65.55521424488273,2381.127963871173,80592.02339256278,168
28,17.0,11.0,166.77,4.591371503547882,0.2247236,0.4087287,0.992,166.77,11.0,85.38702334763164,85.61174694763164,3109.6309735389364,105249.04833516399,168
29,18.0,11.0,176.58,4.861452180227169,0.2247236,0.4087287,0.992,176.58,11.0,109.73991017258895,109.96463377258895,3994.1882202482966,135187.90899301926,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2247236,0.4087287,0.992,186.39000000000001,11.0,138.95855558430262,139.18327918430262,5055.481886323051,171108.61769093404,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2247236,0.4087287,0.992,196.20000000000002,11.0,173.65086565681898,173.87558925681898,6315.592628031238,213758.5197179803,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215944,0.0217599,0.9907,49.050000000000004,12.0,0.07324037124992945,0.09483477124992945,4.099399247700543,151.3624337612508,168
33,6.0,12.0,58.86,1.3616567449247396,0.0309895,0.0314144,0.9909,58.86,12.0,0.20126744075668823,0.23225694075668823,10.03971344752841,370.69711190874125,168
34,7.0,12.0,68.67,1.5885995357455296,0.041987,0.0429001,0.9911,68.67,12.0,0.46655540111095517,0.5085424011109552,21.982636843652724,811.6665911502544,168
35,8.0,12.0,78.48,1.8155423265663195,0.0545161,0.0562603,0.9913,78.48,12.0,0.9417228693885424,0.9962389693885424,43.06417601702596,1590.061883705574,168
36,9.0,12.0,88.29,2.0424851173871095,0.0684841,0.0715476,0.9914,88.29,12.0,1.7145959901661423,1.7830800901661423,77.07676292014399,2845.911246282239,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0837709,0.0888254,0.9915,98.10000000000001,12.0,2.8882084355213284,2.9719793355213286,128.4690171299038,4743.471401719524,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.1002213,0.108169,0.9915,107.91000000000001,12.0,4.580801405032554,4.681022705032555,202.345413001604,7471.215249289991,168
39,12.0,12.0,117.72,2.7233134898494793,0.1176347,0.1296678,0.9916,117.72,12.0,6.925823625779151,7.0434583257791505,304.4658344333873,11241.815425232759,168
40,13.0,12.0,127.53,2.9502562806702692,0.1357495,0.1534276,0.9917,127.53,12.0,10.071931352341343,10.207680852341342,441.24490052889183,16292.1194041437,168
41,14.0,12.0,137.34,3.177199071491059,0.1542212,0.1795739,0.9917,137.34,12.0,14.182988366800219,14.337209566800219,619.751018931356,22883.114545157758,168
42,15.0,12.0,147.15,3.404141862311849,0.172588,0.2082565,0.9918,147.15,12.0,19.438065978737765,19.610653978737766,847.7048988233106,31299.87318732224,168
43,16.0,12.0,156.96,3.631084653132639,0.1902172,0.2396552,0.9918,156.96,12.0,26.031443025236825,26.221660225236825,1133.4772339726085,41851.46710052708,168
44,17.0,12.0,166.77,3.858027443953429,0.2062149,0.2739878,0.9918,166.77,12.0,34.17260587088115,34.37882077088115,1486.0847993566158,54870.82336085966,168
45,18.0,12.0,176.58,4.084970234774219,0.2192627,0.3115236,0.9919,176.58,12.0,44.086248407755335,44.305511107755336,1915.1833922334197,70714.46371323396,168
46,19.0,12.0,186.39000000000001,4.311913025595009,0.2272918,0.352602,0.9919,186.39000000000001,12.0,56.01227205544491,56.23956385544491,2431.0537445429754,89761.98441389448,168
47,20.0,12.0,196.20000000000002,4.538855816415799,0.2267207,0.3976699,0.9919,196.20000000000002,12.0,70.20578576103625,70.43250646103625,3044.5685711531723,112414.83955027096,168
48,5.0,13.0,49.050000000000004,0.9668568603015905,0.0157077,0.0157765,0.9904,49.050000000000004,13.0,0.032144998346806876,0.047852698346806874,2.427634275852091,97.10537103408363,168
49,6.0,13.0,58.86,1.1602282323619084,0.0225689,0.0227551,0.9907,58.86,13.0,0.07850402431324124,0.10107292431324125,5.127570730602312,205.10282922409252,168
50,7.0,13.0,68.67,1.3535996044222265,0.0306282,0.0310405,0.9909,68.67,13.0,0.17902481970751882,0.20965301970751882,10.635990743703351,425.43962974813405,168
51,8.0,13.0,78.48,1.5469709764825446,0.0398527,0.0406542,0.9911,78.48,13.0,0.36412002318673403,0.40397272318673405,20.49410092216596,819.7640368866382,168
52,9.0,13.0,88.29,1.7403423485428626,0.0502,0.0516225,0.9912,88.29,13.0,0.6708627641658438,0.7210627641658438,36.580521930932264,1463.2208772372906,168
53,10.0,13.0,98.10000000000001,1.933713720603181,0.0616167,0.0639763,0.9913,98.10000000000001,13.0,1.1429866628176681,1.2046033628176682,61.11121239577912,2444.4484958311646,168
54,11.0,13.0,107.91000000000001,2.1270850926634988,0.074036,0.077752,0.9914,107.91000000000001,13.0,1.8308858300728885,1.9049218300728885,96.63934714796324,3865.5738859185294,168
55,12.0,13.0,117.72,2.320456464723817,0.0873747,0.0929919,0.9915,117.72,13.0,2.7916148676200496,2.8789895676200494,146.05516503002792,5842.206601201117,168
56,13.0,13.0,127.53,2.513827836784135,0.1015295,0.109745,0.9915,127.53,13.0,4.088888867905561,4.19041836790556,212.58578118963123,8503.431247585248,168
57,14.0,13.0,137.34,2.707199208844453,0.1163716,0.128068,0.9916,137.34,13.0,5.79308341413369,5.90945501413369,299.7949131299976,11991.796525199905,168
58,15.0,13.0,147.15,2.900570580904771,0.1317395,0.1480264,0.9916,147.15,13.0,7.981234580266574,8.112974080266573,411.58251544385394,16463.300617754154,168
59,16.0,13.0,156.96,3.093941952965089,0.1474293,0.1696957,0.9917,156.96,13.0,10.737038931024205,10.884468231024206,552.1842877188707,22087.371508754826,168
60,17.0,13.0,166.77,3.287313325025407,0.1631803,0.1931639,0.9917,166.77,13.0,14.150853521884441,14.314033821884442,726.1709440055333,29046.83776022133,168
61,18.0,13.0,176.58,3.4806846970857253,0.1786543,0.2185331,0.9918,176.58,13.0,18.319695899083005,18.498350199083006,938.4471626772083,37537.88650708833,168
62,19.0,13.0,186.39000000000001,3.6740560691460438,0.1934045,0.2459234,0.9918,186.39000000000001,13.0,23.34724409961348,23.54064859961348,1194.250008683671,47770.00034734683,168
63,20.0,13.0,196.20000000000002,3.867427441206362,0.206825,0.2754769,0.9918,196.20000000000002,13.0,29.34383665122731,29.55066165122731,1499.1463716155165,59965.854864620655,168
64,5.0,14.0,49.050000000000004,0.8336673948518815,0.0116918,0.0117204,0.9901,49.050000000000004,14.0,0.018948502395479672,0.03064030239547967,1.8027655174943011,77.65759152283144,168
65,6.0,14.0,58.86,1.0004008738222576,0.0168108,0.0168942,0.9904,58.86,14.0,0.03689941556451266,0.05371021556451266,3.160116480155036,136.1280945297554,168
66,7.0,14.0,68.67,1.167134352792634,0.0228362,0.0230284,0.9907,68.67,14.0,0.07811874153513426,0.10095494153513426,5.939826737710109,255.86945947058928,168
67,8.0,14.0,78.48,1.3338678317630102,0.0297518,0.0301346,0.9909,78.48,14.0,0.1565686990453844,0.1863204990453844,10.962430022586938,472.2277548191296,168
68,9.0,14.0,88.29,1.5006013107333867,0.0375366,0.0382265,0.991,88.29,14.0,0.2894222923600662,0.32695889236006626,19.237088759013563,828.6745926959687,168
69,10.0,14.0,98.10000000000001,1.667334789703763,0.0461645,0.0473204,0.9912,98.10000000000001,14.0,0.49706331127074654,0.5432278112707465,31.96157641209444,1376.806368520991,168
70,11.0,14.0,107.91000000000001,1.8340682686741392,0.0556039,0.0574352,0.9913,107.91000000000001,14.0,0.8030863310957548,0.8586902310957548,50.52225395324482,2176.3432472166996,168
71,12.0,14.0,117.72,2.0008017476445152,0.0658157,0.0685926,0.9914,117.72,14.0,1.2342967126801838,1.3001124126801837,76.49395218736268,3295.124094224854,168
72,13.0,14.0,127.53,2.1675352266148917,0.0767533,0.0808173,0.9914,127.53,14.0,1.8207106023958912,1.8974639023958912,111.63997175282887,4809.106475506474,168
73,14.0,14.0,137.34,2.334268705585268,0.0883601,0.0941378,0.9915,137.34,14.0,2.5955549321414964,2.6839150321414964,157.91193603047185,6802.360321312633,168
74,15.0,14.0,147.15,2.5010021845556443,0.1005679,0.1085859,0.9915,147.15,14.0,3.595267419342383,3.695835319342383,217.44969700530538,9367.06387099777,168
75,16.0,14.0,156.96,2.6677356635260203,0.1132941,0.1241981,0.9916,156.96,14.0,4.859496566950696,4.972790666950696,292.5811705245692,12603.49657644298,168
76,17.0,14.0,166.77,2.834469142496397,0.1264387,0.1410154,0.9916,166.77,14.0,6.4311016634453475,6.557540363445347,385.822159788487,16620.031498580975,168
77,18.0,14.0,176.58,3.0012026214667733,0.1398794,0.1590845,0.9917,176.58,14.0,8.356152782832009,8.496032182832009,499.8760670518378,21533.122888386853,168
78,19.0,14.0,186.39000000000001,3.1679361004371493,0.1534657,0.1784582,0.9917,186.39000000000001,14.0,10.683930784643117,10.837396484643117,637.6335464891131,27467.291233377182,168
79,20.0,14.0,196.20000000000002,3.334669579407526,0.1670105,0.1991967,0.9917,196.20000000000002,14.0,13.466927313937875,13.633937813937875,802.172009968639,34555.10196787983,168
80,5.0,15.0,49.050000000000004,0.7262169306265278,0.0088792,0.0088907,0.9897,49.050000000000004,15.0,0.014316187033417114,0.023195387033417114,1.5666582339350785,72.30730310469593,168
81,6.0,15.0,58.86,0.8714603167518333,0.012772,0.0128095,0.9902,58.86,15.0,0.021401383287336567,0.034173383287336566,2.308131881196642,106.52916374753731,168
82,7.0,15.0,68.67,1.0167037028771388,0.0173602,0.0174515,0.9905,68.67,15.0,0.03926498586771935,0.05662518586771935,3.8245670813753083,176.51848067886036,168
83,8.0,15.0,78.48,1.1619470890024446,0.0226353,0.022823,0.9907,78.48,15.0,0.07499521693356542,0.09763051693356542,6.594141025409544,304.34497040351744,168
84,9.0,15.0,88.29,1.30719047512775,0.0285863,0.0289317,0.9909,88.29,15.0,0.1374175235117004,0.1660038235117004,11.212197347456705,517.4860314210787,168
