,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065406,0.006544,0.9893,49.050000000000004,10.0,0.010057480953233819,0.01659808095323382,1.3066409644630177,40.20433736809286,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094106,0.0094247,0.9898,58.86,10.0,0.012711942861477006,0.022122542861477006,1.7415399299678038,53.58584399900935,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127967,0.0128344,0.9902,68.67,10.0,0.019142183939481774,0.03193888393948177,2.5143059750185177,77.36326076980055,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166946,0.0167764,0.9904,78.48,10.0,0.031601083334945185,0.04829568333494519,3.8019526733226616,116.9831591791588,168
4,9.0,10.0,88.29,1.121535760179736,0.0210992,0.0212548,0.9906,88.29,10.0,0.052875765779878,0.073974965779878,5.823487721567379,179.18423758668857,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260038,0.0262741,0.9908,98.10000000000001,10.0,0.08628760159060463,0.11229140159060463,8.839849961489987,271.9953834304612,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0314005,0.0318399,0.9909,107.91000000000001,10.0,0.13569220666776313,0.16709270666776313,13.153940868842712,404.7366421182373,168
7,12.0,10.0,117.72,1.4953810135729813,0.0372799,0.037958,0.991,117.72,10.0,0.20547944249630512,0.24275934249630512,19.110600936669123,588.0184903590499,168
8,13.0,10.0,127.53,1.6199960980373964,0.0436309,0.0446356,0.9911,127.53,10.0,0.30057341614549626,0.3442043161454963,27.096593930821818,833.7413517175944,168
9,14.0,10.0,137.34,1.7446111825018116,0.0504407,0.0518802,0.9912,137.34,10.0,0.4264324802689156,0.4768731802689156,37.540606889962355,1155.0955966142262,168
10,15.0,10.0,147.15,1.8692262669662265,0.0576943,0.0597003,0.9913,147.15,10.0,0.5890492331044557,0.6467435331044556,50.91321076435535,1566.5603312109338,168
11,16.0,10.0,156.96,1.9938413514306417,0.0653746,0.0681056,0.9913,156.96,10.0,0.7949505184743231,0.860325118474323,67.72686828810971,2083.903639634145,168
12,17.0,10.0,166.77,2.118456435895057,0.0734616,0.0771065,0.9914,166.77,10.0,1.051197425785038,1.124659025785038,88.53587100124915,2724.180646192281,168
13,18.0,10.0,176.58,2.243071520359472,0.0819325,0.0867144,0.9915,176.58,10.0,1.3653852900274341,1.447317790027434,113.93634712195329,3505.7337575985625,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0907611,0.0969421,0.9915,186.39000000000001,10.0,1.7456436917766587,1.8364047917766586,144.56621431311066,4448.191209634174,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0999172,0.1078035,0.9915,196.20000000000002,10.0,2.2006364571921733,2.3005536571921734,181.10513244887161,5572.465613811434,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044706,0.0044709,0.9886,49.050000000000004,11.0,0.009307483054988642,0.013778083054988642,1.3124191535393372,44.420340581331416,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064331,0.0064363,0.9892,58.86,11.0,0.009737134663817528,0.016170234663817527,1.5402814459255227,52.13260278517154,168
18,7.0,11.0,68.67,0.720913711777608,0.0087503,0.0087612,0.9897,68.67,11.0,0.011448734300293395,0.020199034300293395,1.924041203184992,65.1213945693382,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114204,0.011447,0.99,78.48,11.0,0.015428295485311322,0.026848695485311325,2.55744881648899,86.55980609655043,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144413,0.0144953,0.9903,88.29,11.0,0.022936162427098453,0.037377462427098454,3.5603572285231353,120.50439850385996,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178105,0.0179085,0.9905,98.10000000000001,11.0,0.03550701002121398,0.05331751002121398,5.078712408075585,171.89488150409667,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0215245,0.0216887,0.9906,107.91000000000001,11.0,0.054949843850549185,0.07647434385054919,7.28449619756605,246.5521789945432,168
