,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0439894,0.0455055,0.9916,49.050000000000004,10.0,0.3457955248576496,0.3897849248576496,11.7007893971377,360.0242891426984,168
1,6.0,10.0,58.86,1.9607857126916248,0.0625937,0.0659793,0.9917,58.86,10.0,0.9440000192874298,1.00659371928743,30.216512663143902,929.7388511736585,168
2,7.0,10.0,68.67,2.2875833314735625,0.0838635,0.0905656,0.9918,68.67,10.0,2.1099509438922657,2.1938144438922658,65.85519127954134,2026.3135778320416,168
3,8.0,10.0,78.48,2.6143809502554998,0.1072982,0.1194907,0.9919,78.48,10.0,4.116649331126495,4.223947531126495,126.79690089174292,3901.4431043613195,168
4,9.0,10.0,88.29,2.9411785690374375,0.1321784,0.1530419,0.9919,88.29,10.0,7.289941261466098,7.422119661466098,222.8014823069047,6855.430224827836,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1574495,0.1915837,0.9919,98.10000000000001,10.0,12.008517863408706,12.165967363408706,365.2050473313789,11237.078379427043,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1815103,0.2355816,0.992,107.91000000000001,10.0,18.70391531347359,18.88542561347359,566.9136328432018,17443.49639517544,168
7,12.0,10.0,117.72,3.9215714253832497,0.2017982,0.2856381,0.992,117.72,10.0,27.860514836201652,28.06231303620165,842.3907490856965,25919.71535648297,168
8,13.0,10.0,127.53,4.248369044165187,0.2138466,0.342552,0.992,127.53,10.0,40.01554270415547,40.22938930415547,1207.6290841553034,37157.81797400933,168
9,14.0,10.0,137.34,4.575166662947125,0.2138466,0.342552,0.992,137.34,10.0,55.759070237919246,55.97291683791924,1680.227402594333,51699.30469521024,168
10,15.0,10.0,147.15,4.901964281729062,0.2138466,0.342552,0.992,147.15,10.0,75.73401380609884,75.94786040609884,2279.84681577799,70149.13279316892,168
11,16.0,10.0,156.96,5.2287619005109995,0.2138466,0.342552,0.992,156.96,10.0,100.63613482532175,100.84998142532174,3027.373092466022,93149.94130664684,168
12,17.0,10.0,166.77,5.555559519292937,0.2138466,0.342552,0.992,166.77,10.0,131.21403976023709,131.4278863602371,3945.2783346449146,121393.17952753583,168
13,18.0,10.0,176.58,5.882357138074875,0.2138466,0.342552,0.992,176.58,10.0,168.26918012351564,168.48302672351565,5057.620977527888,155619.1070008581,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2138466,0.342552,0.992,186.39000000000001,10.0,212.65585247584985,212.86969907584987,6390.045789554901,196616.79352476617,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2138466,0.342552,0.992,196.20000000000002,10.0,265.28119842595385,265.49504502595386,7969.7838723926525,245224.11915054315,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0302801,0.030934,0.9915,49.050000000000004,11.0,0.11411263508807357,0.14439273508807357,5.2447022446409415,177.51299904938568,168
17,6.0,11.0,58.86,1.6204840600757229,0.0432835,0.0447452,0.9916,58.86,11.0,0.325471885245818,0.36875538524581797,13.394110136791229,453.3391123221647,168
18,7.0,11.0,68.67,1.89056473675501,0.0583573,0.0612398,0.9917,68.67,11.0,0.7612327000172152,0.8195900000172152,29.769541453409328,1007.5844799615463,168
19,8.0,11.0,78.48,2.160645413434297,0.0753131,0.0805138,0.9918,78.48,11.0,1.5374034894248658,1.6127165894248658,58.57786620197419,1982.6354714514341,168
20,9.0,11.0,88.29,2.4307260901135845,0.0938982,0.1026858,0.9918,88.29,11.0,2.793591958992273,2.887490158992273,104.88080379534452,3549.8118207655066,168
