,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064942,0.0065344,0.9923,49.050000000000004,10.0,0.012914879831179681,0.019409079831179683,1.527929575799019,47.01321771689289,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093364,0.0094192,0.9923,58.86,10.0,0.0140754742605714,0.0234118742605714,1.8430392073584783,56.70889868795318,168
2,7.0,10.0,68.67,0.8723055912509058,0.0126831,0.0128361,0.9923,68.67,10.0,0.016992871063061507,0.029675971063061506,2.336164015615345,71.8819697112414,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165275,0.016789,0.9923,78.48,10.0,0.02284532777546413,0.03937282777546413,3.099523963229342,95.36996809936436,168
4,9.0,10.0,88.29,1.121535760179736,0.0208619,0.0212824,0.9922,88.29,10.0,0.03308636784405446,0.05394826784405446,4.246937758978136,130.67500796855802,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0256769,0.0263215,0.9922,98.10000000000001,10.0,0.049444780624568724,0.07512168062456873,5.913759879827869,181.96184245624212,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309618,0.0319122,0.9922,107.91000000000001,10.0,0.07392462138220424,0.10488642138220423,8.256912059897893,254.05883261224284,168
7,12.0,10.0,117.72,1.4953810135729813,0.0367042,0.0380612,0.9922,117.72,10.0,0.10880521129161927,0.14550941129161926,11.454851801496027,352.45697850757006,168
8,13.0,10.0,127.53,1.6199960980373964,0.0428899,0.044776,0.9922,127.53,10.0,0.15664113743693334,0.19953103743693335,15.707564502877403,483.3096770116124,168
9,14.0,10.0,137.34,1.7446111825018116,0.0495026,0.0520647,0.9922,137.34,10.0,0.22026225281172682,0.2697648528117268,21.23653984152087,653.431995123719,168
10,15.0,10.0,147.15,1.8692262669662265,0.0565237,0.0599366,0.9922,147.15,10.0,0.3027736763190412,0.3592973763190412,28.28475602964667,870.3001855275897,168
11,16.0,10.0,156.96,1.9938413514306417,0.063932,0.0684016,0.9922,156.96,10.0,0.4075557927713791,0.4714877927713791,37.11665619749286,1142.0509599228571,168
12,17.0,10.0,166.77,2.118456435895057,0.0717036,0.0774709,0.9922,166.77,10.0,0.5382642528907041,0.6099678528907041,48.01814052107414,1477.4812468022812,168
13,18.0,10.0,176.58,2.243071520359472,0.0798109,0.0871564,0.9922,176.58,10.0,0.6988299733084408,0.7786408733084408,61.29648749977001,1886.0457692236926,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0882226,0.0974715,0.9922,186.39000000000001,10.0,0.893459136565475,0.9816817365654751,77.2803539563248,2377.857044809994,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.096903,0.1084307,0.9922,196.20000000000002,10.0,1.1266331911121537,1.2235361911121536,96.31971993115933,2963.6836901895176,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044407,0.0044597,0.9924,49.050000000000004,11.0,0.011901045387767479,0.01634174538776748,1.5566185487177588,52.68555087967798,168
17,6.0,11.0,58.86,0.6179260386665212,0.0063877,0.0064266,0.9923,58.86,11.0,0.012231619497767646,0.018619319497767645,1.7735668624737315,60.028416883726294,168
