,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0445654,0.0453783,0.9907,49.050000000000004,10.0,0.3708441476038457,0.4154095476038457,12.470004148692915,383.6924353443974,168
1,6.0,10.0,58.86,1.9607857126916248,0.063657,0.0657333,0.991,58.86,10.0,0.9850875082377065,1.0487445082377065,31.4818194335648,968.671367186609,168
2,7.0,10.0,68.67,2.2875833314735625,0.0856626,0.0901485,0.9912,68.67,10.0,2.2086559494282896,2.2943185494282896,68.87218166944467,2119.144051367529,168
3,8.0,10.0,78.48,2.6143809502554998,0.1101603,0.1188404,0.9913,78.48,10.0,4.3556890215211475,4.465849321521148,134.05844879596748,4124.87534756823,168
4,9.0,10.0,88.29,2.9411785690374375,0.1365327,0.152087,0.9915,88.29,10.0,7.8062999493457355,7.9428326493457355,238.43254605253065,7336.386032385557,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.163863,0.1902452,0.9916,98.10000000000001,10.0,13.006575632215423,13.170438632215422,395.35784704797993,12164.856832245534,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1907453,0.2337765,0.9916,107.91000000000001,10.0,20.468576643927463,20.659321943927463,620.1634792362512,19081.953207269264,168
7,12.0,10.0,117.72,3.9215714253832497,0.2149113,0.2832899,0.9917,117.72,10.0,30.770337232763012,30.985248532763013,930.1331179809861,28619.480553261106,168
8,13.0,10.0,127.53,4.248369044165187,0.2323863,0.3396151,0.9918,127.53,10.0,44.55586532148718,44.788251621487184,1344.47965087521,41368.604642314145,168
9,14.0,10.0,137.34,4.575166662947125,0.2350991,0.4039571,0.9919,137.34,10.0,62.535142507348944,62.77024160734894,1884.273430336659,57977.64401035872,168
10,15.0,10.0,147.15,4.901964281729062,0.2350991,0.4039571,0.9919,147.15,10.0,85.48412406208115,85.71922316208115,2573.169236527173,79174.43804698993,168
11,16.0,10.0,156.96,5.2287619005109995,0.2350991,0.4039571,0.9919,156.96,10.0,114.24473893190061,114.47983803190061,3436.522014079673,105739.13889475915,168
12,17.0,10.0,166.77,5.555559519292937,0.2350991,0.4039571,0.9919,166.77,10.0,149.724889737508,149.959988837508,4501.585709158979,138510.32951258394,168
13,18.0,10.0,176.58,5.882357138074875,0.2350991,0.4039571,0.9919,176.58,10.0,192.8984527740879,193.1335518740879,5797.594703861782,178387.52934959327,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2350991,0.4039571,0.9919,186.39000000000001,10.0,244.80527801130884,245.04037711130886,7355.763816216655,226331.19434512785,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2350991,0.4039571,0.9919,196.20000000000002,10.0,306.5511890933232,306.78628819332323,9209.28830018404,283362.7169287397,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0305861,0.0308747,0.9904,49.050000000000004,11.0,0.10980887128617571,0.1403949712861757,5.099493548562368,172.5982431821109,168
17,6.0,11.0,58.86,1.6204840600757229,0.0438438,0.0446219,0.9907,58.86,11.0,0.2756346074730505,0.3194784074730505,11.604248092995771,392.7591662244722,168
18,7.0,11.0,68.67,1.89056473675501,0.0592973,0.0610234,0.9909,68.67,11.0,0.6266297804024454,0.6859270804024454,24.914572717612128,843.2624612114874,168
19,8.0,11.0,78.48,2.160645413434297,0.0767923,0.08017,0.9911,78.48,11.0,1.269487029346958,1.346279329346958,48.90020412891879,1655.0838320557127,168
20,9.0,11.0,88.29,2.4307260901135845,0.0961173,0.1021748,0.9913,88.29,11.0,2.3357497521936654,2.4318670521936654,88.33144257243137,2989.6795947592154,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1169836,0.1271768,0.9914,98.10000000000001,11.0,3.981812105444126,4.098795705444126,148.8784253830721,5038.962089888594,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1389946,0.1553469,0.9915,107.91000000000001,11.0,6.388919004214374,6.527913604214374,237.11001188503107,8025.261940724127,168
23,12.0,11.0,117.72,3.2409681201514458,0.1615978,0.1868951,0.9915,117.72,11.0,9.76316612223492,9.92476392223492,360.4920399127221,12201.269043199822,168
24,13.0,11.0,127.53,3.511048796830733,0.184006,0.2220813,0.9916,127.53,11.0,14.335499891850773,14.519505891850773,527.3844635993528,17849.935691055016,168
25,14.0,11.0,137.34,3.78112947351002,0.2050586,0.2612315,0.9917,137.34,11.0,20.3617175040214,20.5667761040214,747.0363154489356,25284.306061348587,168
26,15.0,11.0,147.15,4.051210150189307,0.2229583,0.3047624,0.9917,147.15,11.0,28.122466908320753,28.34542520832075,1029.576142627282,34847.192519692624,168
27,16.0,11.0,156.96,4.321290826868594,0.2347009,0.3532242,0.9918,156.96,11.0,37.92324681293728,38.15794771293728,1385.9912958838588,46910.47462991522,168
