,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065493,0.0065494,0.9879,49.050000000000004,10.0,0.014441529089067403,0.020990829089067402,1.6524486922973873,50.84457514761192,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094254,0.009429,0.9887,58.86,10.0,0.014428635311980019,0.02385403531198002,1.877847191744648,57.779913592143004,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128205,0.0128366,0.9893,68.67,10.0,0.014634146742559013,0.027454646742559013,2.1612960076387333,66.50141561965333,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167313,0.0167754,0.9897,78.48,10.0,0.014976539764979768,0.03170783976497977,2.4961176203614066,76.80361908804328,168
4,9.0,10.0,88.29,1.121535760179736,0.0211532,0.0212492,0.99,88.29,10.0,0.015761068608051976,0.03691426860805198,2.9059802559328114,89.41477710562496,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260806,0.0262625,0.9902,98.10000000000001,10.0,0.01767976534521968,0.04376036534521968,3.444921502735026,105.99758469953927,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0315064,0.0318204,0.9904,107.91000000000001,10.0,0.02181143989456122,0.053317839894561216,4.197308950306144,129.1479677017275,168
7,12.0,10.0,117.72,1.4953810135729813,0.0374222,0.0379289,0.9906,117.72,10.0,0.029621680018789287,0.06704388001878929,5.277855933822642,162.39556719454282,168
8,13.0,10.0,127.53,1.6199960980373964,0.0438178,0.0445947,0.9907,127.53,10.0,0.04296285132525091,0.08678065132525091,6.831582172893464,210.20252839672196,168
9,14.0,10.0,137.34,1.7446111825018116,0.0506816,0.0518253,0.9908,137.34,10.0,0.06407409726592743,0.11475569726592744,9.033845260524753,277.96446955460783,168
10,15.0,10.0,147.15,1.8692262669662265,0.0579997,0.059629,0.9909,147.15,10.0,0.09558133913743448,0.15358103913743448,12.090269812949197,372.00830193689836,168
11,16.0,10.0,156.96,1.9938413514306417,0.0657562,0.0680151,0.991,156.96,10.0,0.1404972760810221,0.20625347608102212,16.236771086349588,499.5929565030643,168
12,17.0,10.0,166.77,2.118456435895057,0.0739326,0.076994,0.9911,166.77,10.0,0.20222138508257462,0.2761539850825746,21.739507743411714,668.9079305665142,168
13,18.0,10.0,176.58,2.243071520359472,0.0825077,0.0865768,0.9912,176.58,10.0,0.28453992097261055,0.36704762097261057,28.894873981083173,889.0730455717897,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0914567,0.0967761,0.9912,186.39000000000001,10.0,0.3916259164262832,0.4830826164262832,38.029428680402745,1170.1362670893152,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.1007513,0.1076056,0.9913,196.20000000000002,10.0,0.5280391819633795,0.6287904819633795,49.49990327874152,1523.0739470382005,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044759,0.0044765,0.9869,49.050000000000004,11.0,0.014373312130851294,0.018849212130851292,1.7954650825463219,60.769587409260126,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064417,0.0064417,0.9879,58.86,11.0,0.013901324563965096,0.020343024563965098,1.9377568687976694,65.58561709776727,168
18,7.0,11.0,68.67,0.720913711777608,0.0087635,0.0087658,0.9886,68.67,11.0,0.01386558104961916,0.02262908104961916,2.155513163767811,72.95583015829513,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114403,0.0114501,0.9891,78.48,11.0,0.013983274632966686,0.025423574632966687,2.4217001861998,81.96523707137784,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144703,0.0144963,0.9895,88.29,11.0,0.014154699108918357,0.02862499910891836,2.7266490520238693,92.28658329926941,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0178512,0.0179063,0.9898,98.10000000000001,11.0,0.014463249022142298,0.0323144490221423,3.078084350592922,104.18131648160659,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0215804,0.0216826,0.99,107.91000000000001,11.0,0.0151754196670641,0.0367558196670641,3.5011431955062022,118.5002312325176,168
23,12.0,11.0,117.72,1.2358520773330424,0.0256544,0.0258276,0.9902,117.72,11.0,0.01674080708786683,0.04239520708786683,4.038318072138299,136.68153474929628,168
24,13.0,11.0,127.53,1.3388397504441292,0.0300693,0.0303442,0.9904,127.53,11.0,0.019792108078491022,0.04986140807849102,4.749504464698308,160.75245880517352,168
25,14.0,11.0,137.34,1.441827423555216,0.0348204,0.0352359,0.9905,137.34,11.0,0.02514512018263466,0.059965520182634666,5.711962754582503,193.32797015510008,168
26,15.0,11.0,147.15,1.544815096666303,0.0399025,0.0405061,0.9906,147.15,11.0,0.033798741693753215,0.07370124169375322,7.020346796609831,237.61173773140968,168
27,16.0,11.0,156.96,1.6478027697773898,0.0453093,0.0461589,0.9907,156.96,11.0,0.046934971655059575,0.09224427165505958,8.78664676655092,297.3941982524927,168
28,17.0,11.0,166.77,1.7507904428884766,0.0510339,0.0521987,0.9908,166.77,11.0,0.06591890985952414,0.11695280985952414,11.140236788187242,377.05416821556815,168
29,18.0,11.0,176.58,1.8537781159995637,0.0570684,0.0586302,0.9909,176.58,11.0,0.09229875684987476,0.14936715684987475,14.227836831663781,481.5575543024664,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0634037,0.0654586,0.991,186.39000000000001,11.0,0.1278058139185968,0.1912095139185968,18.213493662665385,616.4567085825207,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0700299,0.0726897,0.9911,196.20000000000002,11.0,0.17435448310793286,0.24438438310793287,23.278618944064043,787.891718106783,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031624,0.003164,0.9857,49.050000000000004,12.0,0.015121262670464953,0.018283662670464954,2.072640992526156,76.52828280096575,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045507,0.0045512,0.987,58.86,12.0,0.014116074437925601,0.018666774437925603,2.116070647090982,78.13183927720547,168
34,7.0,12.0,68.67,0.6057677717020179,0.006191,0.0061911,0.9878,68.67,12.0,0.013718672627668795,0.019909672627668795,2.256965925243299,83.3341264705218,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080829,0.0080841,0.9884,78.48,12.0,0.01364935126377577,0.021732251263775773,2.463573937072346,90.96272998420969,168
36,9.0,12.0,88.29,0.7788442779025945,0.0102256,0.0102313,0.9889,88.29,12.0,0.013719699259593718,0.023945299259593718,2.7144456621326447,100.2256859864361,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0126183,0.0126334,0.9893,98.10000000000001,12.0,0.013832600417735794,0.026450900417735797,2.998481293553218,110.71315545427264,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0152598,0.0152915,0.9895,107.91000000000001,12.0,0.01398223343008111,0.02924203343008111,3.314884893928372,122.39574992966295,168
39,12.0,12.0,117.72,1.0384590372034592,0.0181487,0.018207,0.9898,117.72,12.0,0.01425407187777473,0.03240277187777473,3.6731870673723046,135.62536864143894,168
40,13.0,12.0,127.53,1.1249972903037475,0.0212833,0.0213811,0.99,127.53,12.0,0.014824884231227693,0.03610818423122769,4.093233623491803,151.13477994431275,168
41,14.0,12.0,137.34,1.2115355434040358,0.0246616,0.0248155,0.9902,137.34,12.0,0.015962733850116987,0.04062433385011699,4.605185577386241,170.03762131887655,168
42,15.0,12.0,147.15,1.298073796504324,0.0282812,0.0285117,0.9903,147.15,12.0,0.018026978983385563,0.04630817898338556,5.249507813620276,193.82798081059482,168
43,16.0,12.0,156.96,1.3846120496046124,0.0321397,0.0324718,0.9904,156.96,12.0,0.021468272769242333,0.05360797276924233,6.07701443033307,224.38207127383643,168
44,17.0,12.0,166.77,1.4711503027049007,0.036234,0.0366977,0.9905,166.77,12.0,0.026828563235162143,0.06306256323516214,7.148789387047147,263.95530044481774,168
45,18.0,12.0,176.58,1.557688555805189,0.0405607,0.0411917,0.9906,176.58,12.0,0.03474109329788584,0.07530179329788583,8.536231848777629,315.1839451856355,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0451162,0.0459562,0.9907,186.39000000000001,12.0,0.04593040076342022,0.09104660076342022,10.321067522059527,381.0855700452749,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0498962,0.0509938,0.9908,196.20000000000002,12.0,0.061212318327038,0.111108518327038,12.595291974811218,465.05693445456797,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0022977,0.0023002,0.9843,49.050000000000004,13.0,0.016295825737188994,0.018593525737188994,2.4736989520101713,98.94795808040685,168
49,6.0,13.0,58.86,0.44242041821685835,0.0033059,0.0033074,0.9859,58.86,13.0,0.014812538025163738,0.018118438025163736,2.410492866625342,96.41971466501366,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044971,0.0044977,0.9869,68.67,13.0,0.01399968800878194,0.01849678800878194,2.4608288798806157,98.43315519522463,168
51,8.0,13.0,78.48,0.5898938909558111,0.0058713,0.0058713,0.9877,78.48,13.0,0.013630239453365145,0.019501539453365146,2.594501892230555,103.78007568922219,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074282,0.0074287,0.9882,88.29,13.0,0.013525337048137312,0.02095353704813731,2.7876769241894057,111.50707696757623,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091674,0.0091704,0.9887,98.10000000000001,13.0,0.013554306406224832,0.022721706406224833,3.022915724506298,120.91662898025191,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0110884,0.0110969,0.989,107.91000000000001,13.0,0.013634654064656516,0.024723054064656518,3.289176770165244,131.56707080660973,168
55,12.0,13.0,117.72,0.8848408364337167,0.0131906,0.0132087,0.9893,117.72,13.0,0.013732067484363602,0.026922667484363602,3.58181526638514,143.2726106554056,168
56,13.0,13.0,127.53,0.9585775728031931,0.0154733,0.0155067,0.9896,127.53,13.0,0.013860415050179757,0.02933371505017976,3.9025831466197674,156.1033258647907,168
57,14.0,13.0,137.34,1.0323143091726696,0.0179355,0.0179915,0.9898,137.34,13.0,0.014081746070841075,0.032017246070841075,4.259602464382589,170.38409857530357,168
58,15.0,13.0,147.15,1.106051045542146,0.0205761,0.020664,0.9899,147.15,13.0,0.014506290778986053,0.035082390778986054,4.667392001421951,186.69568005687802,168
59,16.0,13.0,156.96,1.1797877819116223,0.023394,0.0235252,0.9901,156.96,13.0,0.015292460331155656,0.03868646033115566,5.146880571808686,205.8752228723474,168
60,17.0,13.0,166.77,1.2535245182810988,0.0263879,0.0265761,0.9902,166.77,13.0,0.016646846807793225,0.04303474680779322,5.725380413760904,229.01521655043612,168
61,18.0,13.0,176.58,1.327261254650575,0.0295561,0.0298178,0.9903,176.58,13.0,0.018824223213244565,0.048380323213244564,6.436560581468808,257.4624232587523,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0328969,0.0332515,0.9905,186.39000000000001,13.0,0.022127543475757884,0.055024443475757884,7.320500161445074,292.82000645780295,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0364086,0.0368785,0.9905,196.20000000000002,13.0,0.026907942447483842,0.06331654244748385,8.423688272524872,336.94753090099493,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.0017098,0.0017128,0.9828,49.050000000000004,14.0,0.017719702889601324,0.019429502889601324,2.9978931633014154,129.14001318836864,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024595,0.0024618,0.9847,58.86,14.0,0.015862211317952384,0.018321711317952384,2.8269654356143263,121.77697261107866,168
66,7.0,14.0,68.67,0.44505387308719674,0.0033453,0.0033467,0.9859,68.67,14.0,0.014666515368692628,0.01801181536869263,2.779149752789119,119.71722012014665,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043672,0.0043678,0.9868,78.48,14.0,0.01395956712783339,0.01832676712783339,2.827745526487641,121.81057652562147,168
68,9.0,14.0,88.29,0.5722121225406815,0.0055251,0.0055252,0.9875,88.29,14.0,0.013594946108365081,0.019120046108365082,2.950145242313591,127.08317966889314,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0068189,0.0068191,0.988,98.10000000000001,14.0,0.01345285925025718,0.02027175925025718,3.1278498894052364,134.7381490820717,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.0082484,0.0082499,0.9885,107.91000000000001,14.0,0.013440140920458253,0.02168854092045825,3.346453530842699,144.15492132860857,168
71,12.0,14.0,117.72,0.7629494967209087,0.0098133,0.0098178,0.9888,117.72,14.0,0.013490252912895927,0.023303552912895927,3.5956433036479494,154.8892500032963,168
72,13.0,14.0,127.53,0.8265286214476512,0.0115132,0.0115233,0.9891,127.53,14.0,0.013563284448476908,0.025076484448476908,3.8691994187848078,166.6732057322686,168
73,14.0,14.0,137.34,0.8901077461743935,0.0133477,0.0133667,0.9893,137.34,14.0,0.013645952175086986,0.026993652175086986,4.165010590751669,179.41584083237956,168
74,15.0,14.0,147.15,0.9536868709011359,0.0153163,0.0153485,0.9895,147.15,14.0,0.01375160016759101,0.02906790016759101,4.4850586079887735,193.20252465182406,168
75,16.0,14.0,156.96,1.0172659956278782,0.0174185,0.0174691,0.9897,156.96,14.0,0.013920199927832912,0.03133869992783291,4.835433762470935,208.29560822951723,168
76,17.0,14.0,166.77,1.0808451203546208,0.0196534,0.0197293,0.9899,166.77,14.0,0.014218350384635703,0.033871750384635704,5.226273131336663,225.13176565757934,168
77,18.0,14.0,176.58,1.144424245081363,0.0220206,0.0221294,0.99,176.58,14.0,0.014739277893801467,0.03675987789380147,5.671899443222631,244.32797601574407,168
78,19.0,14.0,186.39000000000001,1.2080033698081056,0.0245189,0.0246702,0.9901,186.39000000000001,14.0,0.015602836238111335,0.040121736238111334,6.190620493558323,266.67288279943546,168
79,20.0,14.0,196.20000000000002,1.271582494534848,0.0271477,0.0273523,0.9903,196.20000000000002,14.0,0.016955506627325576,0.04410320662732557,6.804945158864123,293.13609915106986,168
80,5.0,15.0,49.050000000000004,0.27692240992092243,0.0012988,0.0013021,0.981,49.050000000000004,15.0,0.01925834234252265,0.02055714234252265,3.641192607664626,168.05504343067503,168
81,6.0,15.0,58.86,0.3323068919051069,0.0018678,0.0018707,0.9833,58.86,15.0,0.017137828980527677,0.019005628980527677,3.3663801415027685,155.37139114628164,168
82,7.0,15.0,68.67,0.3876913738892914,0.0025401,0.0025423,0.9848,68.67,15.0,0.015633152306699417,0.018173252306699417,3.2189450680360348,148.56669544781695,168
83,8.0,15.0,78.48,0.4430758558734759,0.0033156,0.0033172,0.9859,78.48,15.0,0.0146152715012443,0.0179308715012443,3.1760132644634442,146.5852275906205,168
84,9.0,15.0,88.29,0.4984603378576604,0.0041945,0.0041953,0.9867,88.29,15.0,0.013970469235332126,0.018164969235332125,3.217477925486316,148.49898117629152,168
85,10.0,15.0,98.10000000000001,0.5538448198418449,0.0051766,0.0051768,0.9873,98.10000000000001,15.0,0.01360035167109607,0.018776951671096068,3.325875575509632,153.50194963890604,168
