,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0439317,0.0455179,0.9917,49.050000000000004,10.0,0.20941513482503765,0.25334683482503767,7.605111869838958,234.00344214889103,168
1,6.0,10.0,58.86,1.9607857126916248,0.0624904,0.0660018,0.9918,58.86,10.0,0.5477170375762104,0.6102074375762103,18.317559916545772,563.6172282014084,168
2,7.0,10.0,68.67,2.2875833314735625,0.0836928,0.0906026,0.9918,68.67,10.0,1.2063713488422811,1.290064148842281,38.72589202856904,1191.5659085713548,168
3,8.0,10.0,78.48,2.6143809502554998,0.1070316,0.1195472,0.9919,78.48,10.0,2.3352354433553884,2.4422670433553884,73.31338516056711,2255.796466478988,168
4,9.0,10.0,88.29,2.9411785690374375,0.1317792,0.1531235,0.9919,88.29,10.0,4.112006678840106,4.243785878840106,127.39241989153219,3919.766765893297,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1568699,0.1916964,0.992,98.10000000000001,10.0,6.742222396013442,6.899092296013443,207.10094423623335,6372.3367457302575,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1806874,0.2357313,0.992,107.91000000000001,10.0,10.459259918584834,10.639947318584834,319.3960946972675,9827.572144531305,168
7,12.0,10.0,117.72,3.9215714253832497,0.2006469,0.2858295,0.992,117.72,10.0,15.52433655325615,15.72498345325615,472.04165150106996,14524.35850772523,168
8,13.0,10.0,127.53,4.248369044165187,0.2122468,0.3427859,0.992,127.53,10.0,22.22650958972172,22.438756389721718,673.5795719798451,20725.525291687543,168
9,14.0,10.0,137.34,4.575166662947125,0.2122468,0.3427859,0.992,137.34,10.0,30.882676300668262,31.09492310066826,933.4253926161584,28720.78131126641,168
10,15.0,10.0,147.15,4.901964281729062,0.2122468,0.3427859,0.992,147.15,10.0,41.83757394177497,42.04982074177497,1262.2758483196524,38839.25687137391,168
11,16.0,10.0,156.96,5.2287619005109995,0.2122468,0.3427859,0.992,156.96,10.0,55.46377975171345,55.676026551713456,1671.315178207465,51425.082406383524,168
12,17.0,10.0,166.77,5.555559519292937,0.2122468,0.3427859,0.992,166.77,10.0,72.16171095214776,72.37395775214776,2172.5633381139296,66848.10271119783,168
13,18.0,10.0,176.58,5.882357138074875,0.2122468,0.3427859,0.992,176.58,10.0,92.35962474773433,92.57187154773433,2778.876000590575,85503.87694124845,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2122468,0.3427859,0.992,186.39000000000001,10.0,116.5136183261221,116.7258651261221,3503.944554906126,107813.67861249618,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2122468,0.3427859,0.992,196.20000000000002,10.0,145.10762885795245,145.31987565795245,4362.296107046504,134224.49560143088,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0302484,0.0309403,0.9916,49.050000000000004,11.0,0.08684263431598899,0.117091034315989,4.2530367620629725,143.94893656213134,168
17,6.0,11.0,58.86,1.6204840600757229,0.0432273,0.0447572,0.9917,58.86,11.0,0.2195825949971013,0.26280989499710133,9.545907177147143,323.09224291882634,168
18,7.0,11.0,68.67,1.89056473675501,0.0582655,0.0612598,0.9918,68.67,11.0,0.491719931803302,0.549985431803302,19.976834893661124,676.1390271700687,168
19,8.0,11.0,78.48,2.160645413434297,0.0751715,0.0805447,0.9918,78.48,11.0,0.9720809991668125,1.0472524991668124,38.03880804484937,1287.4673492102863,168
20,9.0,11.0,88.29,2.4307260901135845,0.0936894,0.1027308,0.9919,88.29,11.0,1.7426441700821198,1.8363335700821197,66.70018952854299,2257.544876350685,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1134758,0.127963,0.9919,98.10000000000001,11.0,2.8985398361059764,3.0120156361059762,109.40387795786981,3702.9004847279007,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1340655,0.1564175,0.9919,107.91000000000001,11.0,4.548050407357401,4.682115907357401,170.0660618001875,5756.082091698653,168
