,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440839,0.0454911,0.9915,49.050000000000004,10.0,0.1581186694141757,0.20220256941417572,6.0698337195555485,186.76411444786302,168
1,6.0,10.0,58.86,1.9607857126916248,0.0627598,0.0659498,0.9916,58.86,10.0,0.3533882201586919,0.4161480201586919,12.492172045111632,384.37452446497326,168
2,7.0,10.0,68.67,2.2875833314735625,0.0841351,0.0905142,0.9917,68.67,10.0,0.7088046527739127,0.7929397527739127,23.80292427988164,732.3976701502042,168
3,8.0,10.0,78.48,2.6143809502554998,0.1077193,0.1194094,0.9918,78.48,10.0,1.2976418651587414,1.4053611651587414,42.18694457319974,1298.0598330215305,168
4,9.0,10.0,88.29,2.9411785690374375,0.1328064,0.1529218,0.9918,88.29,10.0,2.2076293602528176,2.3404357602528174,70.25655478658938,2161.7401472796732,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.158359,0.191415,0.9919,98.10000000000001,10.0,3.5409522460365173,3.699311246036517,111.0480653405056,3416.863548938634,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1828004,0.2353546,0.9919,107.91000000000001,10.0,5.414251235530952,5.597051635530952,168.0155343518477,5169.708749287621,168
7,12.0,10.0,117.72,3.9215714253832497,0.2036033,0.2853447,0.9919,117.72,10.0,7.958622646797962,8.162225946797962,245.0184209925879,7539.028338233473,168
8,13.0,10.0,127.53,4.248369044165187,0.2163581,0.3421898,0.992,127.53,10.0,11.319618402940142,11.535976502940143,346.293617180107,10655.18822092637,168
9,14.0,10.0,137.34,4.575166662947125,0.2163581,0.3421898,0.992,137.34,10.0,15.657246032100804,15.873604132100805,476.50303302796203,14661.63178547575,168
10,15.0,10.0,147.15,4.901964281729062,0.2163581,0.3421898,0.992,147.15,10.0,21.145968667464007,21.36232676746401,641.2666847755037,19731.28260847703,168
11,16.0,10.0,156.96,5.2287619005109995,0.2163581,0.3421898,0.992,156.96,10.0,27.974705047254535,28.191063147254535,846.2556444118512,26038.635212672347,168
12,17.0,10.0,166.77,5.555559519292937,0.2163581,0.3421898,0.992,166.77,10.0,36.34682951473792,36.56318761473792,1097.5749206419982,33771.536019753796,168
13,18.0,10.0,176.58,5.882357138074875,0.2163581,0.3421898,0.992,176.58,10.0,46.480172018220436,46.69653011822044,1401.763458886812,43131.18335036344,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2163581,0.3421898,0.992,186.39000000000001,10.0,58.607018111049065,58.823376211049066,1765.7941412830332,54332.12742409333,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2163581,0.3421898,0.992,196.20000000000002,10.0,72.97410895161156,73.19046705161155,2197.073786683277,67602.27035948542,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0303337,0.0309281,0.9913,49.050000000000004,11.0,0.07251690367556879,0.1028506036755688,3.7357890037258956,126.44208935687647,168
17,6.0,11.0,58.86,1.6204840600757229,0.0433757,0.0447314,0.9915,58.86,11.0,0.15258342957928636,0.19595912957928635,7.117721581598167,240.907499684861,168
18,7.0,11.0,68.67,1.89056473675501,0.0585055,0.0612141,0.9916,68.67,11.0,0.3001502898821039,0.3586557898821039,13.027267785327165,440.9229096572271,168
19,8.0,11.0,78.48,2.160645413434297,0.0755391,0.0804718,0.9917,78.48,11.0,0.5473736123150057,0.6229127123150057,22.625734587693476,765.7940937373176,168
20,9.0,11.0,88.29,2.4307260901135845,0.0942292,0.1026224,0.9917,88.29,11.0,0.9331531710458766,1.0273823710458765,37.317075711892244,1263.0394856332757,168
