,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065281,0.0065422,0.9902,49.050000000000004,10.0,0.014781605690196048,0.021309705690196048,1.6775514274158256,51.61696699741001,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093891,0.0094253,0.9906,58.86,10.0,0.01582155747950329,0.02521065747950329,1.984643760720241,61.06596186831511,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127615,0.0128386,0.9908,68.67,10.0,0.01770139854129315,0.03046289854129315,2.3981128446405893,73.78808752740274,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166399,0.016786,0.991,78.48,10.0,0.021036417015367653,0.03767631701536765,2.965970544491349,91.26063213819535,168
4,9.0,10.0,88.29,1.121535760179736,0.021018,0.0212714,0.9911,88.29,10.0,0.026812391712072278,0.047830391712072276,3.7653237945637126,115.85611675580651,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0258881,0.0263,0.9912,98.10000000000001,10.0,0.03638559211229597,0.06227369211229597,4.902335236919673,150.84108421291302,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312409,0.0318773,0.9913,107.91000000000001,10.0,0.05148277836747113,0.08272367836747113,6.512207476909651,200.37561467414307,168
7,12.0,10.0,117.72,1.4953810135729813,0.0370658,0.0380096,0.9914,117.72,10.0,0.07420120129957358,0.11126700129957359,8.75920669989605,269.51405230449376,168
8,13.0,10.0,127.53,1.6199960980373964,0.0433502,0.044704,0.9915,127.53,10.0,0.10700860240112268,0.15035880240112268,11.83660756556497,364.2033097096914,168
9,14.0,10.0,137.34,1.7446111825018116,0.0500799,0.0519686,0.9915,137.34,10.0,0.1527432138351812,0.2028231138351812,15.966724696890944,491.28383682741367,168
10,15.0,10.0,147.15,1.8692262669662265,0.0572381,0.0598122,0.9916,147.15,10.0,0.21461375843535532,0.2718518584353553,21.400833957725094,658.4871986992335,168
11,16.0,10.0,156.96,1.9938413514306417,0.0648061,0.0682445,0.9916,156.96,10.0,0.29619944970579476,0.3610055497057948,28.41922755848344,874.4377710302596,168
12,17.0,10.0,166.77,2.118456435895057,0.072762,0.0772762,0.9916,166.77,10.0,0.40144999182119273,0.4742119918211927,37.33111171701147,1148.6495912926605,168
13,18.0,10.0,176.58,2.243071520359472,0.0810809,0.0869192,0.9917,176.58,10.0,0.5346855796267858,0.6157664796267858,48.47462240306656,1491.5268431712789,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0897344,0.0971863,0.9917,186.39000000000001,10.0,0.7005968986383538,0.7903312986383538,62.21678597711202,1914.3626454496007,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0986898,0.1080918,0.9917,196.20000000000002,10.0,0.9042451250422208,1.0029349250422208,78.95345621238765,2429.3371142273118,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.004463,0.0044679,0.9898,49.050000000000004,11.0,0.014113921111520438,0.01857692111152044,1.7695282415735734,59.89172509941325,168
17,6.0,11.0,58.86,0.6179260386665212,0.006421,0.0064345,0.9902,58.86,11.0,0.014548338309709337,0.02096933830970934,1.9974158324400821,67.60484355951047,168
18,7.0,11.0,68.67,0.720913711777608,0.0087311,0.0087611,0.9905,68.67,11.0,0.015292074865976097,0.024023174865976098,2.2883063410999176,77.45036846799721,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113911,0.0114496,0.9907,78.48,11.0,0.01644839586520433,0.02783949586520433,2.6518266331065794,89.75413219745344,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143984,0.0145017,0.9909,88.29,11.0,0.018304396566941727,0.03270279656694173,3.1150760535744344,105.4333433517501,168
