,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435376,0.0455868,0.9921,49.050000000000004,10.0,0.8829458970808629,0.9264834970808629,27.8117176625695,855.745158848292,168
1,6.0,10.0,58.86,1.9607857126916248,0.0617991,0.066132,0.9921,58.86,10.0,1.9311327184923324,1.9929318184923324,59.82498040310192,1840.7686277877513,168
2,7.0,10.0,68.67,2.2875833314735625,0.0825669,0.09082,0.9921,68.67,10.0,3.709393387933547,3.791960287933547,113.82925788529074,3502.438704162791,168
3,8.0,10.0,78.48,2.6143809502554998,0.1052946,0.1198819,0.9921,78.48,10.0,6.49264939666618,6.59794399666618,198.06090034727237,6094.181549146841,168
4,9.0,10.0,88.29,2.9411785690374375,0.1292045,0.1536089,0.9921,88.29,10.0,10.599364144652755,10.728568644652755,322.0563809379283,9909.427105782408,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1531656,0.1923674,0.9921,98.10000000000001,10.0,16.391542940556644,16.544708540556645,496.648633450298,15281.496413855319,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1754733,0.236621,0.9921,107.91000000000001,10.0,24.274733001742064,24.450206301742064,733.9604392287171,22583.39813011437,168
7,12.0,10.0,117.72,3.9215714253832497,0.1934181,0.2869613,0.9921,117.72,10.0,34.69802345427408,34.89144155427408,1047.3914801558747,32227.4301586423,168
8,13.0,10.0,127.53,4.248369044165187,0.2023116,0.3441551,0.9921,127.53,10.0,48.154045332918614,48.356356932918615,1451.5891005572742,44664.28001714689,168
9,14.0,10.0,137.34,4.575166662947125,0.2023116,0.3441551,0.9921,137.34,10.0,65.17897158114243,65.38128318114244,1962.6531870019176,60389.32883082823,168
10,15.0,10.0,147.15,4.901964281729062,0.2023116,0.3441551,0.9921,147.15,10.0,86.35251705111317,86.55482865111317,2598.2529255637014,79946.2438634985,168
11,16.0,10.0,156.96,5.2287619005109995,0.2023116,0.3441551,0.9921,156.96,10.0,112.29793850369929,112.50025010369929,3377.097598295869,103910.69533218058,168
12,17.0,10.0,166.77,5.555559519292937,0.2023116,0.3441551,0.9921,166.77,10.0,143.68203460847005,143.88434620847005,4319.203553459634,132898.57087568106,168
13,18.0,10.0,176.58,5.882357138074875,0.2023116,0.3441551,0.9921,176.58,10.0,181.21514594369572,181.41745754369572,5445.894205524185,167565.9755545903,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2023116,0.3441551,0.9921,186.39000000000001,10.0,225.6511549963472,225.8534665963472,6779.800035166677,208609.23185128235,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2023116,0.3441551,0.9921,196.20000000000002,10.0,277.78748616209646,277.98979776209643,8344.85858927224,256764.87966991507,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0300259,0.0309738,0.9921,49.050000000000004,11.0,0.38465165121339445,0.41467755121339445,15.062117095604044,509.7947324665984,168
17,6.0,11.0,58.86,1.6204840600757229,0.042843,0.0448241,0.9921,58.86,11.0,0.8517997892329747,0.8946427892329747,32.495644895015026,1099.8525964466623,168
18,7.0,11.0,68.67,1.89056473675501,0.0576484,0.0613748,0.9921,68.67,11.0,1.6528866905050044,1.7105350905050043,62.130876759392386,2102.8912133948193,168
19,8.0,11.0,78.48,2.160645413434297,0.0742331,0.0807249,0.9921,78.48,11.0,2.9153716409594015,2.9896047409594013,108.58985866522353,3675.349062515258,168
