,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0439011,0.0455232,0.9917,49.050000000000004,10.0,0.35943823351011667,0.40333933351011664,12.107673478411952,372.54379933575234,168
1,6.0,10.0,58.86,1.9607857126916248,0.0624364,0.0660121,0.9918,58.86,10.0,0.8673878715542717,0.9298242715542717,27.912002963626144,858.830860419266,168
2,7.0,10.0,68.67,2.2875833314735625,0.0836043,0.09062,0.9919,68.67,10.0,1.794480915418645,1.878085215418645,56.37744862379403,1734.6907268859702,168
3,8.0,10.0,78.48,2.6143809502554998,0.1068943,0.1195743,0.9919,78.48,10.0,3.3233422060438205,3.4302365060438205,102.97082411345218,3168.3330496446824,168
4,9.0,10.0,88.29,2.9411785690374375,0.1315746,0.1531631,0.9919,88.29,10.0,5.66942632505318,5.80100092505318,174.13780212622854,5358.08621926857,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1565741,0.1917515,0.992,98.10000000000001,10.0,9.081017594752907,9.237591694752908,277.2993722025699,8532.288375463688,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1802687,0.2358048,0.992,107.91000000000001,10.0,13.839230078131983,14.019498778131982,420.8454257594985,12949.090023369183,168
7,12.0,10.0,117.72,3.9215714253832497,0.2000628,0.2859237,0.992,117.72,10.0,20.25800757886218,20.458070378862182,614.1221933154753,18896.067486630007,168
8,13.0,10.0,127.53,4.248369044165187,0.2114376,0.3429012,0.992,127.53,10.0,28.6841236412981,28.8955612412981,867.4036758091637,26689.34387105119,168
9,14.0,10.0,137.34,4.575166662947125,0.2114376,0.3429012,0.992,137.34,10.0,39.49718155047711,39.708619150477105,1191.9963043736561,36676.809365343266,168
10,15.0,10.0,147.15,4.901964281729062,0.2114376,0.3429012,0.992,147.15,10.0,53.109614332119406,53.3210519321194,1600.62218752924,49249.91346243814,168
11,16.0,10.0,156.96,5.2287619005109995,0.2114376,0.3429012,0.992,156.96,10.0,69.96668475262796,70.17812235262795,2106.6474806190713,64819.92248058679,168
12,17.0,10.0,166.77,5.555559519292937,0.2114376,0.3429012,0.992,166.77,10.0,90.54648531908855,90.75792291908854,2724.423841136839,83828.4258811335,168
13,18.0,10.0,176.58,5.882357138074875,0.2114376,0.3429012,0.992,176.58,10.0,115.35993827926976,115.57137587926975,3469.2884287267652,106747.33626851585,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2114376,0.3429012,0.992,186.39000000000001,10.0,144.95079562162297,145.16223322162298,4357.5639051836015,134078.88939026464,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2114376,0.3429012,0.992,196.20000000000002,10.0,179.8956390752824,180.1070766752824,5406.558434452633,166355.6441370041,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0302312,0.0309428,0.9916,49.050000000000004,11.0,0.14308812758571027,0.17331932758571028,6.2953878245603985,213.07466483127502,168
17,6.0,11.0,58.86,1.6204840600757229,0.0431975,0.0447624,0.9917,58.86,11.0,0.35055798406464617,0.39375548406464617,14.302175728258673,484.07364003337034,168
18,7.0,11.0,68.67,1.89056473675501,0.0582173,0.0612689,0.9918,68.67,11.0,0.7409470026311997,0.7991643026311998,29.027629466885568,982.4736127253576,168
19,8.0,11.0,78.48,2.160645413434297,0.0750979,0.0805591,0.9918,78.48,11.0,1.3978925548203203,1.4729904548203203,53.50266646046038,1810.8594802001971,168
20,9.0,11.0,88.29,2.4307260901135845,0.0935815,0.1027521,0.9919,88.29,11.0,2.420610748753564,2.514192248753564,91.32169788496385,3090.888236106469,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1133227,0.1279931,0.9919,98.10000000000001,11.0,3.923896429139094,4.037219129139094,146.6418114165362,4963.261309482763,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1338537,0.1564583,0.9919,107.91000000000001,11.0,6.038123177271683,6.171976877271684,224.18150720917035,7587.681782464225,168
23,12.0,11.0,117.72,3.2409681201514458,0.1545304,0.1883623,0.992,117.72,11.0,8.909243311032702,9.063773711032702,329.21874011303476,11142.788126902713,168
24,13.0,11.0,127.53,3.511048796830733,0.1744433,0.2239672,0.992,127.53,11.0,12.698787884890146,12.873231184890146,467.58768334149914,15826.044666943048,168
25,14.0,11.0,137.34,3.78112947351002,0.192262,0.2635962,0.992,137.34,11.0,17.583866689898603,17.776128689898602,645.6730803254796,21853.550411016233,168
