,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440267,0.0455023,0.9915,49.050000000000004,10.0,0.5072308185545917,0.5512575185545917,16.547967139959596,509.16821969106445,168
1,6.0,10.0,58.86,1.9607857126916248,0.0626591,0.0659705,0.9916,58.86,10.0,1.2109261593254064,1.2735852593254064,38.23121918865337,1176.345205804719,168
2,7.0,10.0,68.67,2.2875833314735625,0.0839703,0.0905486,0.9917,68.67,10.0,2.4794157268507284,2.5633860268507282,76.94920488446209,2367.667842598834,168
3,8.0,10.0,78.48,2.6143809502554998,0.1074639,0.1194623,0.9918,78.48,10.0,4.552744390440527,4.660208290440527,139.89282877769972,4304.394731621529,168
4,9.0,10.0,88.29,2.9411785690374375,0.1324256,0.1529985,0.9918,88.29,10.0,7.713178431586438,7.845604031586438,235.51388114984923,7246.580958456898,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1578076,0.1915214,0.9919,98.10000000000001,10.0,12.285205543961773,12.443013143961773,373.52156786587864,11492.97131895011,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1820185,0.2354965,0.9919,107.91000000000001,10.0,18.635534833421506,18.817553333421507,564.8762034708806,17380.80626064248,168
7,12.0,10.0,117.72,3.9215714253832497,0.2025092,0.285527,0.992,117.72,10.0,27.173096818002268,27.37560601800227,821.776780496681,25285.439399897878,168
8,13.0,10.0,127.53,4.248369044165187,0.2148354,0.3424139,0.992,127.53,10.0,38.34904342792241,38.56387882792241,1157.6328270444196,35619.47160136676,168
9,14.0,10.0,137.34,4.575166662947125,0.2148354,0.3424139,0.992,137.34,10.0,52.6567480055819,52.8715834055819,1587.129781244985,48834.76249984568,168
10,15.0,10.0,147.15,4.901964281729062,0.2148354,0.3424139,0.992,147.15,10.0,70.63180530556241,70.84664070556241,2126.7154513305195,65437.39850247752,168
11,16.0,10.0,156.96,5.2287619005109995,0.2148354,0.3424139,0.992,156.96,10.0,92.85203149462724,93.06686689462724,2793.7350573092826,85961.07868643945,168
12,17.0,10.0,166.77,5.555559519292937,0.2148354,0.3424139,0.992,166.77,10.0,119.93746415172141,120.15229955172141,3606.8012459689776,110978.49987596853,168
13,18.0,10.0,176.58,5.882357138074875,0.2148354,0.3424139,0.992,176.58,10.0,152.55036226797156,152.76519766797156,4585.794090876748,141101.3566423615,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2148354,0.3424139,0.992,186.39000000000001,10.0,191.39520624668603,191.61004164668603,5751.86109237918,176980.34130397477,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2148354,0.3424139,0.992,196.20000000000002,10.0,237.21869790335484,237.43353330335484,7127.417177602305,219305.14392622476,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0303014,0.0309338,0.9914,49.050000000000004,11.0,0.20735953744308783,0.23766093744308783,8.632434667235465,292.17471181412344,168
17,6.0,11.0,58.86,1.6204840600757229,0.0433199,0.0447422,0.9915,58.86,11.0,0.4999999006289487,0.5433198006289487,19.734722638077383,667.9444585195422,168
18,7.0,11.0,68.67,1.89056473675501,0.0584156,0.0612325,0.9916,68.67,11.0,1.0373729413058337,1.0957885413058337,39.80175746884389,1347.136406637793,168
19,8.0,11.0,78.48,2.160645413434297,0.075402,0.0805004,0.9917,78.48,11.0,1.9263533335905916,2.0017553335905918,72.70871823918867,2460.9104634802316,168
20,9.0,11.0,88.29,2.4307260901135845,0.0940284,0.1026643,0.9918,88.29,11.0,3.292958795374326,3.386987195374326,123.02377495179873,4163.881613753188,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1139583,0.1278684,0.9918,98.10000000000001,11.0,5.2823500883223975,5.396308388322398,196.00730396682462,6634.093365030986,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1347349,0.1562883,0.9918,107.91000000000001,11.0,8.058831017874418,8.193565917874418,297.6106348763173,10072.975334275356,168
23,12.0,11.0,117.72,3.2409681201514458,0.1557278,0.1881382,0.9919,117.72,11.0,11.805848433244249,11.961576233244248,434.4741145160396,14705.277722081339,168
24,13.0,11.0,127.53,3.511048796830733,0.1760458,0.2236802,0.9919,127.53,11.0,16.72599222742003,16.90203802742003,613.9239396452039,20778.964111068442,168
25,14.0,11.0,137.34,3.78112947351002,0.194383,0.2632385,0.9919,137.34,11.0,23.040995337164127,23.235378337164125,843.9665669167846,28565.022264875784,168
26,15.0,11.0,147.15,4.051210150189307,0.2087267,0.30722,0.992,147.15,11.0,30.991733743013178,31.200460443013178,1133.2781030810884,38357.10502735992,168
27,16.0,11.0,156.96,4.321290826868594,0.2157213,0.3561473,0.992,156.96,11.0,40.83822646927807,41.05394776927807,1491.1812002561694,50470.74831636265,168
28,17.0,11.0,166.77,4.591371503547882,0.2157213,0.3561473,0.992,166.77,11.0,52.85963558404394,53.07535688404394,1927.8285934197006,65249.58316189755,168
29,18.0,11.0,176.58,4.861452180227169,0.2157213,0.3561473,0.992,176.58,11.0,67.3542661991702,67.5699874991702,2454.3095252756207,83068.93777855947,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2157213,0.3561473,0.992,186.39000000000001,11.0,84.6395664702905,84.8552877702905,3082.1545001349223,104319.07538918196,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2157213,0.3561473,0.992,196.20000000000002,11.0,105.05212759681271,105.26784889681271,3823.5893451348497,129413.79321994875,168
