,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065246,0.006542,0.9904,49.050000000000004,10.0,0.010299538218337909,0.01682413821833791,1.324436737584725,40.75189961799155,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093832,0.0094254,0.9907,58.86,10.0,0.012006131673037044,0.021389331673037044,1.6838197768297622,51.80983928706961,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127523,0.0128394,0.9909,68.67,10.0,0.017353870339895272,0.030106170339895273,2.3700303402571614,72.92401046945112,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166266,0.0167875,0.9911,78.48,10.0,0.028897631098886767,0.045524231098886765,3.5837772690159957,110.27006981587677,168
4,9.0,10.0,88.29,1.121535760179736,0.0209993,0.0212741,0.9912,88.29,10.0,0.04981087308470412,0.07081017308470411,5.5743476076470495,171.51838792760148,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0258626,0.0263041,0.9913,98.10000000000001,10.0,0.08388563768675823,0.10974823768675823,8.63964596528873,265.83526047042244,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312072,0.0318832,0.9914,107.91000000000001,10.0,0.13553254854917854,0.16673974854917853,13.12615515447116,403.8816970606511,168
7,12.0,10.0,117.72,1.4953810135729813,0.037022,0.0380177,0.9915,117.72,10.0,0.2097808115708126,0.2468028115708126,19.42891257439261,597.8126945966956,168
8,13.0,10.0,127.53,1.6199960980373964,0.0432944,0.0447149,0.9915,127.53,10.0,0.3122782149052267,0.35557261490522674,27.991533827643075,861.2779639274793,168
9,14.0,10.0,137.34,1.7446111825018116,0.0500098,0.0519827,0.9916,137.34,10.0,0.44929112896070544,0.49930092896070544,39.306173358998336,1209.4207187384102,168
10,15.0,10.0,147.15,1.8692262669662265,0.0571514,0.0598299,0.9916,147.15,10.0,0.6277045064002515,0.6848559064002515,53.91350871093759,1658.877191105772,168
11,16.0,10.0,156.96,1.9938413514306417,0.0646999,0.0682664,0.9916,156.96,10.0,0.8550218821415864,0.9197217821415864,72.40271690691993,2227.7759048283056,168
12,17.0,10.0,166.77,2.118456435895057,0.0726332,0.077303,0.9917,166.77,10.0,1.1393653733571498,1.2119985733571499,95.41145083466077,2935.736948758792,168
13,18.0,10.0,176.58,2.243071520359472,0.0809263,0.0869515,0.9917,176.58,10.0,1.4894756794740998,1.5704019794740998,123.62583137389062,3803.87173458125,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0895502,0.0972248,0.9917,186.39000000000001,10.0,1.9147120821743124,2.0042622821743126,157.7803608017022,4854.780332360067,168
