,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440267,0.0455023,0.9915,49.050000000000004,10.0,0.5083965890865267,0.5524232890865267,16.582961914281725,510.2449819778992,168
1,6.0,10.0,58.86,1.9607857126916248,0.0626591,0.0659705,0.9916,58.86,10.0,1.2920962369253097,1.3547553369253098,40.667829541638795,1251.3178320504246,168
2,7.0,10.0,68.67,2.2875833314735625,0.0839703,0.0905486,0.9917,68.67,10.0,2.7524530932035223,2.836423393203522,85.14539852229943,2619.8584160707514,168
3,8.0,10.0,78.48,2.6143809502554998,0.1074639,0.1194623,0.9918,78.48,10.0,5.192276979325032,5.299740879325032,159.0906880532391,4895.098093945818,168
4,9.0,10.0,88.29,2.9411785690374375,0.1324256,0.1529985,0.9918,88.29,10.0,8.969704209182474,9.102129809182474,273.23299894563166,8407.169198327127,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1578076,0.1915214,0.9919,98.10000000000001,10.0,14.498197589157241,14.656005189157241,439.9524434771652,13536.998260835853,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1820185,0.2354965,0.9919,107.91000000000001,10.0,22.246546418119493,22.428564918119495,673.2736384886819,20716.111953497904,168
7,12.0,10.0,117.72,3.9215714253832497,0.2025092,0.285527,0.992,117.72,10.0,32.73886648742812,32.94137568742812,988.8532746907856,30426.254605870326,168
8,13.0,10.0,127.53,4.248369044165187,0.2148354,0.3424139,0.992,127.53,10.0,46.55460008093085,46.769435480930845,1403.9519742464247,43198.522284505365,168
9,14.0,10.0,137.34,4.575166662947125,0.2148354,0.3424139,0.992,137.34,10.0,64.32851597496413,64.54335137496413,1937.4996652313253,59615.37431481,168
10,15.0,10.0,147.15,4.901964281729062,0.2148354,0.3424139,0.992,147.15,10.0,86.75070943835313,86.96554483835313,2610.5820417054942,80325.60128324597,168
11,16.0,10.0,156.96,5.2287619005109995,0.2148354,0.3424139,0.992,156.96,10.0,114.56660223241182,114.78143763241182,3445.5756053880887,106017.71093501813,168
12,17.0,10.0,166.77,5.555559519292937,0.2148354,0.3424139,0.992,166.77,10.0,148.57694261094298,148.79177801094298,4466.517680660736,137431.31325109955,168
13,18.0,10.0,176.58,5.882357138074875,0.2148354,0.3424139,0.992,176.58,10.0,189.63780532023807,189.85264072023807,5699.106414567534,175357.1204482318,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2148354,0.3424139,0.992,186.39000000000001,10.0,238.66059159907735,238.87542699907735,7170.700776815053,220636.9469789247,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2148354,0.3424139,0.992,196.20000000000002,10.0,296.61202917872987,296.8268645787299,8910.320559772339,274163.7095314566,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0303014,0.0309338,0.9914,49.050000000000004,11.0,0.1717090236266402,0.2020104236266402,7.337519589121058,248.34681686255888,168
17,6.0,11.0,58.86,1.6204840600757229,0.0433199,0.0447422,0.9915,58.86,11.0,0.45129943596145294,0.49461933596145297,17.965800980066845,608.073263940724,168
18,7.0,11.0,68.67,1.89056473675501,0.0584156,0.0612325,0.9916,68.67,11.0,0.9930257185903035,1.0514413185903035,38.19095635493837,1292.6169843209907,168
19,8.0,11.0,78.48,2.160645413434297,0.075402,0.0805004,0.9917,78.48,11.0,1.9209485096221814,1.9963505096221814,72.51240162823369,2454.2659012632935,168
20,9.0,11.0,88.29,2.4307260901135845,0.0940284,0.1026643,0.9918,88.29,11.0,3.382700532953618,3.476728932953618,126.28341742780698,4274.207974479621,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1139583,0.1278684,0.9918,98.10000000000001,11.0,5.549486598268683,5.663444898268684,205.71036452929857,6962.504645607029,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1347349,0.1562883,0.9918,107.91000000000001,11.0,8.616083601038993,8.750818501038992,317.85143073057225,10758.04842472706,168
23,12.0,11.0,117.72,3.2409681201514458,0.1557278,0.1881382,0.9919,117.72,11.0,12.800840522523687,12.956568322523687,470.6146948635261,15928.49736461165,168
24,13.0,11.0,127.53,3.511048796830733,0.1760458,0.2236802,0.9919,127.53,11.0,18.345678429769478,18.52172422976948,672.7549594738307,22770.16785911427,168
25,14.0,11.0,137.34,3.78112947351002,0.194383,0.2632385,0.9919,137.34,11.0,25.516090475610596,25.710473475610595,933.8681607912418,31607.845442165108,168
26,15.0,11.0,147.15,4.051210150189307,0.2087267,0.30722,0.992,147.15,11.0,34.60114189866881,34.80986859866881,1264.3807589331693,42794.4256869688,168
27,16.0,11.0,156.96,4.321290826868594,0.2157213,0.3561473,0.992,156.96,11.0,45.91347002335344,46.12919132335344,1675.5266331750943,56710.13219977242,168
28,17.0,11.0,166.77,4.591371503547882,0.2157213,0.3561473,0.992,166.77,11.0,59.789284259861354,60.00500555986135,2179.5306194424393,73768.72865805177,168
29,18.0,11.0,176.58,4.861452180227169,0.2157213,0.3561473,0.992,176.58,11.0,76.58836610417693,76.80408740417693,2789.714935177214,94421.1208829211,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2157213,0.3561473,0.992,186.39000000000001,11.0,96.6940691380721,96.9097904380721,3520.0039332188053,119138.59466279033,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2157213,0.3561473,0.992,196.20000000000002,11.0,120.51331902910637,120.72904032910637,4385.178163023179,148421.41474847682,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0214906,0.0217803,0.9912,49.050000000000004,12.0,0.06478918870458154,0.08627978870458154,3.7295951289341724,137.70812783756946,168
33,6.0,12.0,58.86,1.3616567449247396,0.0308004,0.0314567,0.9914,58.86,12.0,0.16683898972114686,0.19763938972114686,8.54330911394977,315.44525959199143,168
34,7.0,12.0,68.67,1.5885995357455296,0.0416718,0.0429741,0.9915,68.67,12.0,0.3746643468041297,0.41633614680412967,17.996859849025697,664.4994405794104,168
35,8.0,12.0,78.48,1.8155423265663195,0.0540237,0.0563777,0.9916,78.48,12.0,0.7417238059968777,0.7957475059968777,34.39758101852974,1270.064529914944,168
36,9.0,12.0,88.29,2.0424851173871095,0.0677522,0.0717219,0.9917,88.29,12.0,1.3320906593728543,1.3998428593728542,60.51066174334579,2234.2398182158445,168
