,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065246,0.006542,0.9904,49.050000000000004,10.0,0.011186138498401292,0.017710738498401293,1.3942320499644671,42.89944769121436,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093832,0.0094254,0.9907,58.86,10.0,0.012897259820338038,0.022280459820338036,1.7539715338389152,53.96835488735123,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127523,0.0128394,0.9909,68.67,10.0,0.017344444600031414,0.030096744600031415,2.369288323281754,72.90117917790012,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166266,0.0167875,0.9911,78.48,10.0,0.026581649578934018,0.043208249578934016,3.4014576180011598,104.66023440003568,168
4,9.0,10.0,88.29,1.121535760179736,0.0209993,0.0212741,0.9912,88.29,10.0,0.0431991851370427,0.0641984851370427,5.0538595861099775,155.50337188030701,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0258626,0.0263041,0.9913,98.10000000000001,10.0,0.07032371529289849,0.09618631529289849,7.572018725331633,232.98519154866557,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312072,0.0318832,0.9914,107.91000000000001,10.0,0.11161825770358674,0.14282545770358673,11.243564501794218,345.9558308244375,168
7,12.0,10.0,117.72,1.4953810135729813,0.037022,0.0380177,0.9915,117.72,10.0,0.17128218366473688,0.20830418366473688,16.398207733306936,504.5602379479056,168
8,13.0,10.0,127.53,1.6199960980373964,0.0432944,0.0447149,0.9915,127.53,10.0,0.2540512181105227,0.29734561811052274,23.407764206083662,720.2388986487281,168
9,14.0,10.0,137.34,1.7446111825018116,0.0500098,0.0519827,0.9916,137.34,10.0,0.36519743961366236,0.41520723961366235,32.68611531353702,1005.7266250319083,168
10,15.0,10.0,147.15,1.8692262669662265,0.0571514,0.0598299,0.9916,147.15,10.0,0.510529280385418,0.567680680385418,44.68919231179601,1375.0520711321847,168
11,16.0,10.0,156.96,1.9938413514306417,0.0646999,0.0682664,0.9916,156.96,10.0,0.6963915262755959,0.7610914262755959,59.91495270298246,1843.5370062456143,168
12,17.0,10.0,166.77,2.118456435895057,0.0726332,0.077303,0.9917,166.77,10.0,0.929665316772547,1.002298516772547,78.9033566184875,2427.7955882611536,168
13,18.0,10.0,176.58,2.243071520359472,0.0809263,0.0869515,0.9917,176.58,10.0,1.217768145003166,1.298694445003166,102.23635894673032,3145.7341214378557,168
