,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0442415,0.0454542,0.9913,49.050000000000004,10.0,0.09595200524550351,0.1401935052455035,4.208409753977081,129.48953089160247,168
1,6.0,10.0,58.86,1.9607857126916248,0.0630499,0.0658811,0.9915,58.86,10.0,0.24852010310717365,0.31157000310717364,9.352888622242036,287.781188376678,168
2,7.0,10.0,68.67,2.2875833314735625,0.0846242,0.0904003,0.9916,68.67,10.0,0.5850170904712839,0.669641290471284,20.10167970014102,618.5132215428006,168
3,8.0,10.0,78.48,2.6143809502554998,0.1084944,0.1192344,0.9917,78.48,10.0,1.2150732370210557,1.3235676370210558,39.73161912125356,1222.5113575770326,168
4,9.0,10.0,88.29,2.9411785690374375,0.1339808,0.1526675,0.9917,88.29,10.0,2.273553488588307,2.407534288588307,72.27075723220258,2223.715607144695,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1600817,0.1910616,0.9918,98.10000000000001,10.0,3.9205574671534498,4.08063916715345,122.49498750627957,3769.0765386547555,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.18527,0.2348818,0.9918,107.91000000000001,10.0,6.341419470845495,6.526689470845495,195.9219407645609,6028.367408140335,168
7,12.0,10.0,117.72,3.9215714253832497,0.2070925,0.2847348,0.9919,117.72,10.0,9.74670847394204,9.95380097394204,298.7989567314695,9193.814053275984,168
8,13.0,10.0,127.53,4.248369044165187,0.2212605,0.3414352,0.9919,127.53,10.0,14.372228126869295,14.593488626869295,438.07578513941286,13479.25492736655,168
9,14.0,10.0,137.34,4.575166662947125,0.2204854,0.399107,0.992,137.34,10.0,20.479016756202054,20.699502156202055,621.3696320958801,19119.065602950155,168
10,15.0,10.0,147.15,4.901964281729062,0.2204854,0.399107,0.992,147.15,10.0,28.353347364663705,28.573832764663706,857.7458442510659,26392.179823109716,168
11,16.0,10.0,156.96,5.2287619005109995,0.2204854,0.399107,0.992,156.96,10.0,38.30672763112624,38.527213031126244,1156.5321719420017,35585.60529052312,168
12,17.0,10.0,166.77,5.555559519292937,0.2204854,0.399107,0.992,166.77,10.0,50.67589991061024,50.89638531061024,1527.83714201495,47010.373600459985,168
13,18.0,10.0,176.58,5.882357138074875,0.2204854,0.399107,0.992,176.58,10.0,65.8228412342849,66.0433266342849,1982.5267904251457,61000.82432077371,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2204854,0.399107,0.992,186.39000000000001,10.0,84.13476330946796,84.35524870946796,2532.2246622367957,77914.6049919014,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2204854,0.399107,0.992,196.20000000000002,10.0,106.02411251962583,106.24459791962583,3189.3118116230794,98132.67112686398,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304174,0.0309095,0.9911,49.050000000000004,11.0,0.0445538740885176,0.0749712740885176,2.7231426100198366,92.16790372374832,168
17,6.0,11.0,58.86,1.6204840600757229,0.043529,0.0446954,0.9913,58.86,11.0,0.09045357818696279,0.1339825781869628,4.866579527919651,164.71499940651125,168
18,7.0,11.0,68.67,1.89056473675501,0.0587622,0.0611533,0.9914,68.67,11.0,0.20060314842821703,0.259365348428217,9.420792702997327,318.857599178371,168
19,8.0,11.0,78.48,2.160645413434297,0.0759418,0.0803773,0.9915,78.48,11.0,0.4191696407972071,0.4951114407972071,17.983675448163208,608.6782459378317,168
20,9.0,11.0,88.29,2.4307260901135845,0.0948314,0.1024839,0.9916,88.29,11.0,0.8015805582973755,0.8964119582973755,32.55990550312355,1102.027570874951,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1151115,0.1276156,0.9917,98.10000000000001,11.0,1.4145238509506806,1.5296353509506806,55.560149572066685,1880.4973701314873,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1363466,0.1559467,0.9917,107.91000000000001,11.0,2.335947915797595,2.472294515797595,89.79986831406816,3039.3801583223067,168
23,12.0,11.0,117.72,3.2409681201514458,0.1579337,0.18769,0.9918,117.72,11.0,3.6550615968971054,3.8129952968971055,138.49744573536637,4687.605855658553,168
24,13.0,11.0,127.53,3.511048796830733,0.1790176,0.2231075,0.9918,127.53,11.0,5.472334185326723,5.651351785326723,205.27111267529975,6947.637659779376,168
25,14.0,11.0,137.34,3.78112947351002,0.1983425,0.2625247,0.9919,137.34,11.0,7.899495419182463,8.097837919182464,294.1335565502614,9955.289606316537,168
26,15.0,11.0,147.15,4.051210150189307,0.2139676,0.3063536,0.9919,147.15,11.0,11.059535483578863,11.273503083578863,409.4815912403635,13859.376934289225,168
27,16.0,11.0,156.96,4.321290826868594,0.2226523,0.3551288,0.992,156.96,11.0,15.08670501064897,15.30935731064897,556.0738260286811,18820.960265586124,168
28,17.0,11.0,166.77,4.591371503547882,0.2194638,0.4042625,0.992,166.77,11.0,20.126515079544355,20.345978879544354,739.0164126600666,25012.86319772533,168
29,18.0,11.0,176.58,4.861452180227169,0.2194638,0.4042625,0.992,176.58,11.0,26.335737216435106,26.555201016435106,964.5507600700075,32646.3334177541,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2194638,0.4042625,0.992,186.39000000000001,11.0,33.88240339450981,34.10186719450981,1238.664392030522,41924.02557641766,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2194638,0.4042625,0.992,196.20000000000002,11.0,42.94580603397559,43.16526983397559,1567.8696539039574,53066.35751674932,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215571,0.0217681,0.9909,49.050000000000004,12.0,0.029225658411409502,0.0507827584114095,2.195173762577567,81.05256969517168,168
33,6.0,12.0,58.86,1.3616567449247396,0.0309196,0.0314316,0.9911,58.86,12.0,0.04358079238919725,0.07450039238919726,3.220410072048312,118.9074488140915,168
34,7.0,12.0,68.67,1.5885995357455296,0.0418678,0.0429305,0.9913,68.67,12.0,0.08057334117912456,0.12244114117912455,5.292732986242876,195.42398718435234,168
