,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065354,0.0065431,0.9897,49.050000000000004,10.0,0.012105688580744007,0.01864108858074401,1.4674714522969212,45.15296776298219,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094015,0.0094248,0.9902,58.86,10.0,0.013373109901954141,0.02277460990195414,1.7928722200719553,55.16529907913709,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127816,0.0128363,0.9905,68.67,10.0,0.014386734403652547,0.027168334403652548,2.138756809782037,65.8079018394473,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166708,0.0167808,0.9907,78.48,10.0,0.015604281718058497,0.0322750817180585,2.5407722750014825,78.17760846158409,168
4,9.0,10.0,88.29,1.121535760179736,0.0210634,0.0212626,0.9909,88.29,10.0,0.017954638216458273,0.03901803821645827,3.0715940734506986,94.5105868754061,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259523,0.0262863,0.991,98.10000000000001,10.0,0.022837857009205206,0.04879015700920521,3.8408788335490827,118.18088718612562,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0313289,0.0318576,0.9911,107.91000000000001,10.0,0.03212515794571966,0.06345405794571965,4.995256482173837,153.70019945150267,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371832,0.0379825,0.9912,117.72,10.0,0.04815892761448893,0.08534212761448892,6.71833811690115,206.71809590465077,168
8,13.0,10.0,127.53,1.6199960980373964,0.0435034,0.0446682,0.9913,127.53,10.0,0.07375271934306751,0.11725611934306751,9.230684517041476,284.0210620628146,168
9,14.0,10.0,137.34,1.7446111825018116,0.050276,0.0519223,0.9914,137.34,10.0,0.11219125319807681,0.1624672531980768,12.7898140158807,393.5327389501753,168
10,15.0,10.0,147.15,1.8692262669662265,0.0574852,0.0597537,0.9914,147.15,10.0,0.16723041598520524,0.22471561598520523,17.69015526723304,544.3124697610166,168
11,16.0,10.0,156.96,1.9938413514306417,0.065113,0.0681719,0.9915,156.96,10.0,0.24309726124920833,0.30821026124920836,24.26305511768226,746.5555420825309,168
12,17.0,10.0,166.77,2.118456435895057,0.0731386,0.0771876,0.9915,166.77,10.0,0.34449000927390855,0.41762860927390855,32.87673137313451,1011.5917345579849,168
13,18.0,10.0,176.58,2.243071520359472,0.0815383,0.0868124,0.9916,176.58,10.0,0.4765780470821954,0.5581163470821954,43.9362649265772,1351.8850746639137,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0902847,0.0970591,0.9916,186.39000000000001,10.0,0.6450019284360254,0.7352866284360254,57.88353678014951,1781.031900927677,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0993463,0.1079417,0.9916,196.20000000000002,10.0,0.8558733738364224,0.9552196738364224,75.19719655617766,2313.759894036236,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044674,0.0044694,0.9892,49.050000000000004,11.0,0.010304053465703327,0.014771453465703327,1.4070417761769003,47.622952424448926,168
17,6.0,11.0,58.86,0.6179260386665212,0.006428,0.0064353,0.9897,58.86,11.0,0.011527846848370587,0.017955846848370587,1.7103683602261408,57.889390653807844,168
18,7.0,11.0,68.67,0.720913711777608,0.0087422,0.008761,0.9901,68.67,11.0,0.012578498822231771,0.02132069882223177,2.0308843682727846,68.73762477230963,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114079,0.0114481,0.9904,78.48,11.0,0.013411545744106038,0.024819445744106036,2.364154421539884,80.01753426750376,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144228,0.0144982,0.9906,88.29,11.0,0.014204482751508691,0.028627282751508693,2.7268665783853687,92.29394572996631,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177838,0.0179137,0.9908,98.10000000000001,11.0,0.015356763762651193,0.03314056376265119,3.156775181831052,106.84469846197406,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0214875,0.0216968,0.9909,107.91000000000001,11.0,0.017489801476441132,0.03897730147644113,3.7127484866217912,125.662256470276,168
23,12.0,11.0,117.72,1.2358520773330424,0.0255296,0.0258505,0.991,117.72,11.0,0.021446967372482258,0.04697656737248226,4.474711506754495,151.4517740747675,168
24,13.0,11.0,127.53,1.3388397504441292,0.0299055,0.0303777,0.9911,127.53,11.0,0.028293591711074463,0.058199091711074465,5.543703167949118,187.63303029981628,168
25,14.0,11.0,137.34,1.441827423555216,0.0346095,0.035282,0.9912,137.34,11.0,0.03931696353321378,0.07392646353321378,7.041800104354,238.33784968582768,168
26,15.0,11.0,147.15,1.544815096666303,0.0396353,0.0405671,0.9913,147.15,11.0,0.0560263306605924,0.0956616306605924,9.112164285605033,308.41171428201653,168
27,16.0,11.0,156.96,1.6478027697773898,0.0449759,0.0462373,0.9913,156.96,11.0,0.08015289969559865,0.12512879969559865,11.919033491413819,403.41344124785223,168
28,17.0,11.0,166.77,1.7507904428884766,0.0506233,0.052297,0.9914,166.77,11.0,0.113649836021317,0.164273136021317,15.647692735332186,529.614215657397,168
29,18.0,11.0,176.58,1.8537781159995637,0.0565684,0.0587512,0.9914,176.58,11.0,0.1586922638015281,0.21526066380152808,20.504464739340346,693.9972681007501,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.062801,0.0656054,0.9915,186.39000000000001,11.0,0.2176772659807087,0.2804782659807087,26.716709933846907,904.2578746840492,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0693098,0.0728654,0.9915,196.20000000000002,11.0,0.2932238842840317,0.36253368428403165,34.53282645768885,1168.8033570294688,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031564,0.0031568,0.9885,49.050000000000004,12.0,0.009081353573271708,0.012237753573271708,1.3872750864830614,51.222464731682265,168
33,6.0,12.0,58.86,0.5192295186017296,0.004542,0.0045441,0.9892,58.86,12.0,0.01004238825558233,0.01458438825558233,1.653290234798905,61.04456251565187,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061781,0.0061845,0.9897,68.67,12.0,0.011049729875181212,0.017227829875181212,1.9529514985664151,72.1089784086061,168
35,8.0,12.0,78.48,0.6923060248023062,0.008064,0.0080788,0.99,78.48,12.0,0.011940161532539564,0.020004161532539564,2.26767721329886,83.72962018334252,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101985,0.0102279,0.9903,88.29,12.0,0.012661960163736656,0.022860460163736655,2.591468006019982,95.68497252996858,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125804,0.0126328,0.9905,98.10000000000001,12.0,0.013274896540459815,0.025855296540459816,2.930963475400521,108.22018986094231,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.015208,0.0152947,0.9906,107.91000000000001,12.0,0.01395023527000441,0.02915823527000441,3.3053855116216857,122.04500350603146,168
39,12.0,12.0,117.72,1.0384590372034592,0.0180794,0.0182148,0.9908,117.72,12.0,0.014970734795273881,0.03305013479527388,3.746572304457077,138.33497739533823,168
40,13.0,12.0,127.53,1.1249972903037475,0.0211926,0.0213948,0.9909,127.53,12.0,0.01673064739477971,0.03792324739477971,4.298989679299982,158.73192662030704,168
41,14.0,12.0,137.34,1.2115355434040358,0.024545,0.0248362,0.991,137.34,12.0,0.019735719182641432,0.04428071918264143,5.019674417026861,185.3418246286841,168
42,15.0,12.0,147.15,1.298073796504324,0.0281338,0.0285408,0.9911,147.15,12.0,0.024603190108586644,0.052736990108586644,5.978279598106559,220.73647746854982,168
43,16.0,12.0,156.96,1.3846120496046124,0.031956,0.0325107,0.9911,156.96,12.0,0.032061793957950994,0.06401779395795099,7.257074602600306,267.95352378831893,168
44,17.0,12.0,166.77,1.4711503027049007,0.0360079,0.0367479,0.9912,166.77,12.0,0.042951758351678186,0.07895965835167819,8.950888430025204,330.4943420316998,168
45,18.0,12.0,176.58,1.557688555805189,0.0402858,0.0412548,0.9913,176.58,12.0,0.05822480474631996,0.09851060474631995,11.167189051545341,412.326980364751,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0447853,0.0460339,0.9913,186.39000000000001,12.0,0.07894414843403616,0.12372944843403616,14.02600405778068,517.8832267488251,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0495016,0.051088,0.9914,196.20000000000002,12.0,0.10628449854259461,0.15578609854259462,17.659954666888954,652.0598646235921,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.0022931,0.0022933,0.9878,49.050000000000004,13.0,0.008314508691889403,0.010607608691889404,1.4112455526376044,56.44982210550417,168
49,6.0,13.0,58.86,0.44242041821685835,0.0032997,0.0033002,0.9886,58.86,13.0,0.008923115791781275,0.012222815791781274,1.6261341201291597,65.04536480516639,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044885,0.0044905,0.9892,68.67,13.0,0.009733011973444889,0.01422151197344489,1.8920424109961873,75.68169643984747,168
51,8.0,13.0,78.48,0.5898938909558111,0.0058593,0.0058646,0.9896,78.48,13.0,0.01057652434454121,0.01643582434454121,2.1866364685851933,87.46545874340772,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074115,0.007423,0.9899,88.29,13.0,0.011345189807293298,0.018756689807293298,2.495406442828626,99.81625771314502,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091445,0.009166,0.9901,98.10000000000001,13.0,0.011989755058486307,0.021134255058486307,2.811719806595271,112.46879226381084,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0110576,0.0110945,0.9903,107.91000000000001,13.0,0.012520176589467486,0.023577776589467487,3.1368080516026575,125.47232206410631,168
55,12.0,13.0,117.72,0.8848408364337167,0.0131498,0.0132089,0.9905,117.72,13.0,0.01300562068614618,0.02615542068614618,3.4797400802418514,139.18960320967406,168
56,13.0,13.0,127.53,0.9585775728031931,0.0154202,0.0155101,0.9906,127.53,13.0,0.013574463428993823,0.028994663428993823,3.857475421927861,154.29901687711444,168
57,14.0,13.0,137.34,1.0323143091726696,0.0178675,0.0179989,0.9908,137.34,13.0,0.014414290693043952,0.03228179069304395,4.294797712661635,171.79190850646538,168
58,15.0,13.0,147.15,1.106051045542146,0.0204905,0.0206763,0.9909,147.15,13.0,0.015771898147892194,0.03626239814789219,4.82438121546806,192.97524861872242,168
59,16.0,13.0,156.96,1.1797877819116223,0.0232875,0.0235432,0.9909,156.96,13.0,0.017953291257696263,0.041240791257696266,5.486710995870364,219.46843983481455,168
60,17.0,13.0,166.77,1.2535245182810988,0.026257,0.0266007,0.991,166.77,13.0,0.02132368528117599,0.04758068528117599,6.330176050503318,253.20704202013275,168
61,18.0,13.0,176.58,1.327261254650575,0.029397,0.02985,0.9911,176.58,13.0,0.026307505271613275,0.055704505271613275,7.410976178500029,296.4390471400011,168
62,19.0,13.0,186.39000000000001,1.4009979910200516,0.0327057,0.0332924,0.9912,186.39000000000001,13.0,0.03338838607685212,0.06609408607685212,8.793215110105143,351.72860440420567,168
63,20.0,13.0,196.20000000000002,1.474734727389528,0.0361807,0.0369292,0.9912,196.20000000000002,13.0,0.043109172339298646,0.07928987233929866,10.548794073974056,421.9517629589622,168
64,5.0,14.0,49.050000000000004,0.317895623633712,0.001706,0.0017062,0.987,49.050000000000004,14.0,0.007911573820153901,0.0096175738201539,1.4839524699531657,63.9241063979825,168
65,6.0,14.0,58.86,0.38147474836045436,0.0024546,0.0024548,0.988,58.86,14.0,0.00817061248575799,0.01062521248575799,1.6394270121407266,70.6214712922159,168
66,7.0,14.0,68.67,0.44505387308719674,0.003339,0.0033395,0.9887,68.67,14.0,0.008712086047028438,0.012051086047028437,1.8594334953407006,80.09867364544556,168
67,8.0,14.0,78.48,0.5086329978139391,0.0043588,0.0043607,0.9891,78.48,14.0,0.009394145076011544,0.013752945076011543,2.1220234121739217,91.41023929364584,168
68,9.0,14.0,88.29,0.5722121225406815,0.005514,0.0055184,0.9895,88.29,14.0,0.010107904980525691,0.01562190498052569,2.410396313532408,103.83245658293447,168
69,10.0,14.0,98.10000000000001,0.635791247267424,0.0068042,0.0068129,0.9898,98.10000000000001,14.0,0.010777446004161322,0.017581646004161323,2.712776371837602,116.85805909454284,168
70,11.0,14.0,107.91000000000001,0.6993703719941664,0.0082289,0.0082447,0.99,107.91000000000001,14.0,0.011359813226280959,0.01958871322628096,3.02245866981853,130.19821962295205,168
71,12.0,14.0,117.72,0.7629494967209087,0.0097879,0.0098141,0.9902,117.72,14.0,0.01184501656201919,0.02163291656201919,3.3378709188826816,143.78520881340782,168
72,13.0,14.0,127.53,0.8265286214476512,0.0114805,0.0115214,0.9904,127.53,14.0,0.012256030762282684,0.023736530762282684,3.6624500223742533,157.7670778868909,168
73,14.0,14.0,137.34,0.8901077461743935,0.0133061,0.0133671,0.9905,137.34,14.0,0.012648795413750162,0.02595489541375016,4.004734653130462,172.51164659638908,168
74,15.0,14.0,147.15,0.9536868709011359,0.0152641,0.0153517,0.9906,147.15,14.0,0.01311221493887244,0.028376314938872438,4.378349823888832,188.60583856751887,168
75,16.0,14.0,156.96,1.0172659956278782,0.0173538,0.0174757,0.9907,156.96,14.0,0.013768158595872389,0.031121958595872388,4.801991457694468,206.8550166391463,168
76,17.0,14.0,166.77,1.0808451203546208,0.0195742,0.0197398,0.9908,166.77,14.0,0.014771460478744957,0.03434566047874496,5.299395528714625,228.28165354462996,168
77,18.0,14.0,176.58,1.144424245081363,0.0219244,0.0221445,0.9909,176.58,14.0,0.016309919517257163,0.03823431951725716,5.899399780609573,254.12799054933544,168
78,19.0,14.0,186.39000000000001,1.2080033698081056,0.0244035,0.0246906,0.991,186.39000000000001,14.0,0.018604299476948097,0.0430077994769481,6.635928296939896,285.855372791257,168
79,20.0,14.0,196.20000000000002,1.271582494534848,0.0270103,0.0273787,0.991,196.20000000000002,14.0,0.021908328959128927,0.04891862895912893,7.547945212388315,325.14225530288127,168
80,5.0,15.0,49.050000000000004,0.27692240992092243,0.0012955,0.0012959,0.9861,49.050000000000004,15.0,0.007772766656706893,0.009068266656706894,1.6062206003424901,74.1332584773457,168
81,6.0,15.0,58.86,0.3323068919051069,0.0018638,0.001864,0.9873,58.86,15.0,0.007728945760912898,0.009592745760912898,1.6991191854322656,78.42088548148918,168
82,7.0,15.0,68.67,0.3876913738892914,0.0025351,0.0025353,0.9881,68.67,15.0,0.00799754935813678,0.01053264935813678,1.8656000110794073,86.10461589597264,168
83,8.0,15.0,78.48,0.4430758558734759,0.0033094,0.00331,0.9886,78.48,15.0,0.008466214643190412,0.011775614643190413,2.085760767477889,96.26588157590255,168
84,9.0,15.0,88.29,0.4984603378576604,0.0041866,0.0041881,0.9891,88.29,15.0,0.009041696024991793,0.013228296024991794,2.343067576983501,108.14158047616156,168
85,10.0,15.0,98.10000000000001,0.5538448198418449,0.0051664,0.0051699,0.9894,98.10000000000001,15.0,0.009649865126565042,0.014816265126565042,2.6243372815711865,121.12325914943938,168
86,11.0,15.0,107.91000000000001,0.6092293018260294,0.0062488,0.0062554,0.9897,107.91000000000001,15.0,0.010235710785040408,0.01648451078504041,2.9198260055483582,134.76120025607807,168
87,12.0,15.0,117.72,0.6646137838102139,0.0074334,0.007445,0.9899,117.72,15.0,0.010763339051654257,0.018196739051654257,3.223105167756256,148.75870005028872,168
88,13.0,15.0,127.53,0.7199982657943983,0.0087201,0.0087388,0.9901,127.53,15.0,0.011215973191749091,0.01993607319174909,3.531185469368588,162.97779089393478,168
89,14.0,15.0,137.34,0.7753827477785828,0.0101084,0.0101371,0.9903,137.34,15.0,0.011595953684773529,0.02170435368477353,3.84439290609289,177.43351874274876,168
90,15.0,15.0,147.15,0.8307672297627673,0.0115981,0.0116401,0.9904,147.15,15.0,0.01192473822428231,0.023522838224282312,4.166492755969167,192.29966566011538,168
91,16.0,15.0,156.96,0.8861517117469518,0.0131887,0.0132482,0.9905,156.96,15.0,0.012242901717936308,0.025431601717936306,4.504583304113911,207.9038448052574,168
92,17.0,15.0,166.77,0.9415361937311363,0.0148797,0.0149616,0.9906,166.77,15.0,0.012610136287502521,0.02748983628750252,4.869148980348102,224.72995293914317,168
93,18.0,15.0,176.58,0.9969206757153208,0.0166708,0.0167808,0.9907,176.58,15.0,0.013105251268854059,0.02977605126885406,5.274095784282515,243.41980542842379,168
94,19.0,15.0,186.39000000000001,1.0523051576995053,0.0185613,0.0187061,0.9908,186.39000000000001,15.0,0.013826173211970176,0.03238747321197018,5.736645010061761,264.7682312336197,168
95,20.0,15.0,196.20000000000002,1.1076896396836897,0.0205507,0.0207379,0.9909,196.20000000000002,15.0,0.014889945880936234,0.03544064588093623,6.27743952162025,289.72797792093456,168
96,5.0,16.0,49.050000000000004,0.24338883684456075,0.0010015,0.001002,0.9851,49.050000000000004,16.0,0.007891738091575588,0.008893238091575589,1.792248708063667,88.23378255082667,168
97,6.0,16.0,58.86,0.29206660421347286,0.0014407,0.0014409,0.9865,58.86,16.0,0.007605951803402516,0.009046651803402516,1.8231660774166278,89.75586842666475,168
98,7.0,16.0,68.67,0.340744371582385,0.0019594,0.0019596,0.9874,68.67,16.0,0.007633106678187641,0.009592506678187642,1.9331718687886852,95.17153815575065,168
99,8.0,16.0,78.48,0.3894221389512972,0.0025578,0.0025579,0.9881,78.48,16.0,0.007886508319780145,0.010444308319780146,2.1048349206434236,103.62264224706085,168
100,9.0,16.0,88.29,0.43809990632020934,0.0032356,0.0032361,0.9886,88.29,16.0,0.00829091335278859,0.01152651335278859,2.322931023805973,114.35968117198635,168
101,10.0,16.0,98.10000000000001,0.4867776736891215,0.003993,0.0039943,0.989,98.10000000000001,16.0,0.008782529422580915,0.012775529422580915,2.5746444508373028,126.75172681045183,168
102,11.0,16.0,107.91000000000001,0.5354554410580337,0.0048297,0.0048324,0.9893,107.91000000000001,16.0,0.009309015195284437,0.014138715195284438,2.849366426659926,140.27650100479636,168
103,12.0,16.0,117.72,0.5841332084269457,0.0057456,0.0057507,0.9896,117.72,16.0,0.00982948035778585,0.01557508035778585,3.138836199119906,154.5273205720569,168
104,13.0,16.0,127.53,0.6328109757958579,0.0067407,0.0067492,0.9898,127.53,16.0,0.010314485617731224,0.017055185617731224,3.437120886049429,169.21210515935647,168
105,14.0,16.0,137.34,0.68148874316477,0.0078146,0.0078281,0.99,137.34,16.0,0.010746042703526006,0.018560642703526004,3.740514710579653,184.14841652084445,168
106,15.0,16.0,147.15,0.7301665105336822,0.0089673,0.0089877,0.9901,147.15,16.0,0.011117614364335034,0.020084914364335033,4.047700224640151,199.27139567459204,168
107,16.0,16.0,156.96,0.7788442779025944,0.0101985,0.0102279,0.9903,156.96,16.0,0.0114341143700825,0.0216326143700825,4.35960723839689,214.62681789030844,168
108,17.0,16.0,166.77,0.8275220452715065,0.011508,0.0115491,0.9904,166.77,16.0,0.01171190751145199,0.02321990751145199,4.6794934320019665,230.37506126778908,168
109,18.0,16.0,176.58,0.8761998126404187,0.0128954,0.0129515,0.9905,176.58,16.0,0.01197880959988647,0.024874209599886468,5.0128838967813065,246.7881303030797,168
110,19.0,16.0,186.39000000000001,0.9248775800093308,0.0143606,0.0144352,0.9906,186.39000000000001,16.0,0.012274087467588273,0.02663468746758827,5.3676718999218185,264.25461661153565,168
111,20.0,16.0,196.20000000000002,0.973555347378243,0.0159031,0.0160004,0.9907,196.20000000000002,16.0,0.012648458967519111,0.02855155896751911,5.753977813909381,283.2727539155387,168
112,5.0,17.0,49.050000000000004,0.21559703194535487,0.0007865,0.0007871,0.984,49.050000000000004,17.0,0.008186539117057134,0.008973039117057135,2.0414361214546175,106.78281250685691,168
113,6.0,17.0,58.86,0.2587164383344258,0.0011312,0.0011316,0.9856,58.86,17.0,0.007715081334317589,0.008846281334317588,2.012597740947827,105.27434337265557,168
114,7.0,17.0,68.67,0.3018358447234968,0.0015384,0.0015386,0.9867,68.67,17.0,0.007540853452575427,0.009079253452575427,2.0656007080918433,108.04680626941949,168
115,8.0,17.0,78.48,0.3449552511125678,0.002008,0.0020082,0.9875,78.48,17.0,0.007597627867092894,0.009605627867092894,2.185354977429956,114.31087574248997,168
116,9.0,17.0,88.29,0.3880746575016388,0.0025401,0.0025403,0.9881,88.29,17.0,0.007826235363049725,0.010366335363049725,2.35842184361084,123.36360412733626,168
117,10.0,17.0,98.10000000000001,0.43119406389070974,0.0031346,0.0031351,0.9885,98.10000000000001,17.0,0.00817456511554314,0.011309165115543139,2.572922938280471,134.5836613869785,168
118,11.0,17.0,107.91000000000001,0.4743134702797807,0.0037915,0.0037925,0.9889,107.91000000000001,17.0,0.008597564689587844,0.012389064689587843,2.8186084824131856,147.43490523392046,168
119,12.0,17.0,117.72,0.5174328766688516,0.0045107,0.0045127,0.9892,117.72,17.0,0.009057240040116035,0.013567940040116036,3.0868117847576437,161.46400104886135,168
120,13.0,17.0,127.53,0.5605522830579226,0.005292,0.0052958,0.9894,127.53,17.0,0.009522655511977392,0.014814655511977392,3.3704492418368255,176.30042188069547,168
121,14.0,17.0,137.34,0.6036716894469936,0.0061355,0.0061418,0.9897,137.34,17.0,0.009969933839939084,0.016105433839939086,3.6641113410561146,191.66120860908907,168
122,15.0,17.0,147.15,0.6467910958360645,0.0070411,0.0070508,0.9898,147.15,17.0,0.010382256148685766,0.017423356148685766,3.963948906818195,207.3450197412594,168
123,16.0,17.0,156.96,0.6899105022251356,0.0080084,0.008023,0.99,156.96,17.0,0.010749861952819581,0.018758261952819582,4.267650349746034,223.230941371331,168
124,17.0,17.0,166.77,0.7330299086142066,0.0090376,0.0090584,0.9901,166.77,17.0,0.011070049156860154,0.020107649156860155,4.574646423676059,239.2891975461323,168
125,18.0,17.0,176.58,0.7761493150032776,0.0101283,0.0101571,0.9903,176.58,17.0,0.011347174055244607,0.02147547405524461,4.885837216333921,255.56686977746665,168
126,19.0,17.0,186.39000000000001,0.8192687213923485,0.0112805,0.0113194,0.9904,186.39000000000001,17.0,0.01159265133232754,0.022873151332327542,5.203819657104693,272.1997974485531,168
