,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065256,0.0065395,0.9906,49.050000000000004,10.0,0.013608861466800157,0.020134461466800157,1.5850333676555248,48.77025746632384,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093864,0.009422,0.9909,58.86,10.0,0.013372170301474648,0.02275857030147465,1.7916095440373476,55.12644750884146,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127586,0.0128349,0.9911,68.67,10.0,0.013520965859359137,0.026279565859359137,2.0687908064126126,63.655101735772696,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166371,0.0167816,0.9912,78.48,10.0,0.0151226316302304,0.031759731630230395,2.5002026731485274,76.92931301995469,168
4,9.0,10.0,88.29,1.121535760179736,0.0210155,0.0212664,0.9913,88.29,10.0,0.019722237285249244,0.040737737285249244,3.2069729317754856,98.67609020847648,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025886,0.0262943,0.9914,98.10000000000001,10.0,0.029342538676960513,0.05522853867696051,4.347723766745879,133.7761158998732,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312396,0.0318708,0.9915,107.91000000000001,10.0,0.04648397783929308,0.07772357783929308,6.118587503916466,188.26423088973743,168
7,12.0,10.0,117.72,1.4953810135729813,0.0370655,0.0380022,0.9915,117.72,10.0,0.0741246829875598,0.1111901829875598,8.753159377101268,269.32798083388514,168
8,13.0,10.0,127.53,1.6199960980373964,0.0433513,0.0446958,0.9916,127.53,10.0,0.11572046851845771,0.15907176851845772,12.522513272553955,385.30810069396773,168
9,14.0,10.0,137.34,1.7446111825018116,0.0500827,0.0519595,0.9916,137.34,10.0,0.17520483501006773,0.22528753501006774,17.73517811224426,545.6977880690541,168
10,15.0,10.0,147.15,1.8692262669662265,0.0572431,0.059802,0.9917,147.15,10.0,0.2569889692218548,0.3142320692218548,24.737106364893275,761.1417343044085,168
11,16.0,10.0,156.96,1.9938413514306417,0.0648138,0.0682331,0.9917,156.96,10.0,0.36596174409466803,0.430775544094668,33.9116897904558,1043.4366089371015,168
12,17.0,10.0,166.77,2.118456435895057,0.0727728,0.0772636,0.9917,166.77,10.0,0.5074897187507406,0.5802625187507405,45.67966497322618,1405.528153022344,168
13,18.0,10.0,176.58,2.243071520359472,0.0810956,0.0869052,0.9918,176.58,10.0,0.6874171384936894,0.7685127384936894,60.499176299767704,1861.5131169159292,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0897535,0.0971709,0.9918,186.39000000000001,10.0,0.9120659348085156,1.0018194348085157,78.86564213081253,2426.6351424865393,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0987139,0.1080749,0.9918,196.20000000000002,10.0,1.1882357253616045,1.2869496253616044,101.31177841798525,3117.285489784161,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044608,0.0044657,0.9903,49.050000000000004,11.0,0.012849581420609948,0.01731038142060995,1.648885119998916,55.80841944611714,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064185,0.0064318,0.9906,58.86,11.0,0.012725282934861477,0.019143782934861478,1.8235241647650542,61.71927942281723,168
18,7.0,11.0,68.67,0.720913711777608,0.0087284,0.008758,0.9908,68.67,11.0,0.012464524951692488,0.02119292495169249,2.0187133808902624,68.32568366090118,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113883,0.011446,0.991,78.48,11.0,0.01240273462626099,0.02379103462626099,2.2661940272393175,76.70195169117689,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143955,0.0144976,0.9911,88.29,11.0,0.013106442729992753,0.027501942729992755,2.619673306825931,88.66586576949304,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177467,0.0179151,0.9913,98.10000000000001,11.0,0.01537328365058132,0.03311998365058132,3.1548148414009147,106.7783484781848,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.021438,0.021701,0.9913,107.91000000000001,11.0,0.020231995391987993,0.04166999539198799,3.969238671452184,134.3434627260739,168
23,12.0,11.0,117.72,1.2358520773330424,0.025465,0.025858,0.9914,117.72,11.0,0.02894241957444183,0.05440741957444183,5.1825307816165855,175.40873414702287,168
24,13.0,11.0,127.53,1.3388397504441292,0.0298225,0.0303895,0.9915,127.53,11.0,0.042995501434439705,0.0728180014344397,6.936214524444408,234.76418390427227,168
25,14.0,11.0,137.34,1.441827423555216,0.0345046,0.0352988,0.9915,137.34,11.0,0.0641132898247462,0.0986178898247462,9.393760145811207,317.9426510889947,168
26,15.0,11.0,147.15,1.544815096666303,0.0395047,0.0405899,0.9916,147.15,11.0,0.09424893721439367,0.13375363721439368,12.740584784917807,431.219792720295,168
27,16.0,11.0,156.96,1.6478027697773898,0.0448153,0.0462669,0.9916,156.96,11.0,0.1355866996886823,0.1804019996886823,17.184033423466644,581.6134389481017,168
28,17.0,11.0,166.77,1.7507904428884766,0.0504278,0.0523346,0.9916,166.77,11.0,0.19054193694917998,0.24096973694917997,22.953359834838086,776.8829482560583,168
29,18.0,11.0,176.58,1.8537781159995637,0.0563328,0.058798,0.9917,176.58,11.0,0.26176111231372234,0.31809391231372236,30.29975516032595,1025.530174657186,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0625197,0.0656625,0.9917,186.39000000000001,11.0,0.3521217927164129,0.41464149271641293,39.496309807490164,1336.798178099667,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0689766,0.0729342,0.9917,196.20000000000002,11.0,0.46473264870762276,0.5337092487076227,50.8380039247449,1720.670902068289,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031515,0.0031533,0.9899,49.050000000000004,12.0,0.012273508106168904,0.015425008106168904,1.748583130585668,64.56306943700926,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045353,0.0045404,0.9903,58.86,12.0,0.012302193017179055,0.016837493017179055,1.9087028057650532,70.47518052055581,168
34,7.0,12.0,68.67,0.6057677717020179,0.006169,0.006181,0.9906,68.67,12.0,0.012141348633659541,0.018310348633659542,2.0756661206002756,76.63997983754864,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080515,0.0080756,0.9908,78.48,12.0,0.011867118325975727,0.019918618325975725,2.257980012045921,83.37156967554168,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101817,0.0102254,0.9909,88.29,12.0,0.01167768735933707,0.021859387359337068,2.4779861195786297,91.49487210751863,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125579,0.0126313,0.9911,98.10000000000001,12.0,0.01189328289379711,0.02445118289379711,2.7717927690332664,102.34311762584368,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0151785,0.0152945,0.9912,107.91000000000001,12.0,0.01295617398425347,0.02813467398425347,3.1893543247940506,117.76077506931878,168
39,12.0,12.0,117.72,1.0384590372034592,0.0180414,0.0182165,0.9913,117.72,12.0,0.015430671580447855,0.033472071580447856,3.7944031736307333,140.10104025713474,168
40,13.0,12.0,127.53,1.1249972903037475,0.0211441,0.0213987,0.9913,127.53,12.0,0.020003128526966077,0.041147228526966076,4.664461060725902,172.22625454987943,168
41,14.0,12.0,137.34,1.2115355434040358,0.0244842,0.0248429,0.9914,137.34,12.0,0.02748193956323801,0.051966139563238006,5.890895769811498,217.50999765457837,168
42,15.0,12.0,147.15,1.298073796504324,0.0280585,0.0285508,0.9914,147.15,12.0,0.03879754132353762,0.06685604132353762,7.578819098923079,279.83332057562137,168
