,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0435603,0.0455798,0.9921,49.050000000000004,10.0,0.08911730102831852,0.13267760102831852,3.982792992614498,122.54747669583071,168
1,6.0,10.0,58.86,1.9607857126916248,0.0618405,0.0661207,0.9921,58.86,10.0,0.14508724270913279,0.20692774270913278,6.211676705426445,191.12851401312136,168
2,7.0,10.0,68.67,2.2875833314735625,0.0826358,0.0908028,0.9921,68.67,10.0,0.24363713743570778,0.3262729374357078,9.7942498117774,301.3615326700738,168
3,8.0,10.0,78.48,2.6143809502554998,0.1054022,0.119857,0.9921,78.48,10.0,0.40684508503189404,0.512247285031894,15.37693537943437,473.1364732133651,168
4,9.0,10.0,88.29,2.9411785690374375,0.1293652,0.1535742,0.9921,88.29,10.0,0.6615890755122087,0.7909542755122088,23.74332307467729,730.5637869131473,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1533975,0.1923211,0.9921,98.10000000000001,10.0,1.0395469890818338,1.192944489081834,35.81049789013829,1101.8614735427168,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1758,0.2365612,0.9921,107.91000000000001,10.0,1.5771965961366192,1.7529965961366192,52.62246607609226,1619.1528023413002,168
7,12.0,10.0,117.72,3.9215714253832497,0.1938704,0.2868869,0.9921,117.72,10.0,2.3158155572630776,2.509685957263078,75.33720512565611,2318.067850020188,168
8,13.0,10.0,127.53,4.248369044165187,0.2029304,0.3440673,0.9921,127.53,10.0,3.301481423238393,3.504411823238393,105.19746170154399,3236.8449754321227,168
9,14.0,10.0,137.34,4.575166662947125,0.2029304,0.3440673,0.9921,137.34,10.0,4.5850716350304115,4.788002035030411,143.72901534203115,4422.431241293266,168
10,15.0,10.0,147.15,4.901964281729062,0.2029304,0.3440673,0.9921,147.15,10.0,6.222263523797644,6.425193923797644,192.87518870972477,5934.621191068454,168
11,16.0,10.0,156.96,5.2287619005109995,0.2029304,0.3440673,0.9921,156.96,10.0,8.273534310889271,8.476464710889271,254.45142202615028,7829.274523881547,168
12,17.0,10.0,166.77,5.555559519292937,0.2029304,0.3440673,0.9921,166.77,10.0,10.80416110784514,11.00709150784514,330.4172413937093,10166.684350575668,168
