,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440772,0.0454883,0.9915,49.050000000000004,10.0,0.25208441574654583,0.2961616157465458,8.890350735426463,273.54925339773735,168
1,6.0,10.0,58.86,1.9607857126916248,0.0627514,0.0659465,0.9916,58.86,10.0,0.6983831212069334,0.7611345212069334,22.84817643675166,703.0208134385126,168
2,7.0,10.0,68.67,2.2875833314735625,0.0841247,0.0905105,0.9917,68.67,10.0,1.5753395220207067,1.6594642220207068,49.81475715368008,1532.7617585747716,168
3,8.0,10.0,78.48,2.6143809502554998,0.1077069,0.1194054,0.9918,78.48,10.0,3.0920628838637456,3.1997697838637458,96.05254070302392,2955.4627908622742,168
4,9.0,10.0,88.29,2.9411785690374375,0.1327917,0.1529175,0.9918,88.29,10.0,5.4983941999285015,5.631185899928502,169.0401964500235,5201.236813846876,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1583417,0.1914106,0.9919,98.10000000000001,10.0,9.084906190923993,9.243247890923993,277.46916317181,8537.51271297877,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1827802,0.2353502,0.9919,107.91000000000001,10.0,14.182903305075815,14.365683505075815,431.23739918934496,13268.843051979846,168
7,12.0,10.0,117.72,3.9215714253832497,0.2035797,0.2853405,0.992,117.72,10.0,21.164421718126114,21.368001418126113,641.4370297223327,19736.523991456386,168
8,13.0,10.0,127.53,4.248369044165187,0.2163303,0.3421859,0.992,127.53,10.0,30.44222933333365,30.65855963333365,920.3263815814147,28317.734817889683,168
9,14.0,10.0,137.34,4.575166662947125,0.2163303,0.3421859,0.992,137.34,10.0,42.46982578147371,42.68615608147371,1281.3777307192609,39427.00709905418,168
10,15.0,10.0,147.15,4.901964281729062,0.2163303,0.3421859,0.992,147.15,10.0,57.741442420838155,57.95777272083816,1739.8099548907965,53532.61399663989,168
11,16.0,10.0,156.96,5.2287619005109995,0.2163303,0.3421859,0.992,156.96,10.0,76.79204233723546,77.00837263723545,2311.6818855261336,71128.67340080411,168
12,17.0,10.0,166.77,5.555559519292937,0.2163303,0.3421859,0.992,166.77,10.0,100.19732034399061,100.41365064399061,3014.2750626186426,92746.92500365053,168
13,18.0,10.0,176.58,5.882357138074875,0.2163303,0.3421859,0.992,176.58,10.0,128.57370298194522,128.79003328194523,3866.0937347249546,118956.73029922938,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2163303,0.3421859,0.992,186.39000000000001,10.0,162.57834851945745,162.79467881945746,4886.86485896496,150365.07258353723,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2163303,0.3421859,0.992,196.20000000000002,10.0,202.90914695240198,203.125477252402,6097.538101021807,187616.55695451715,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0303284,0.0309257,0.9914,49.050000000000004,11.0,0.08232239233413831,0.1126507923341383,4.091756161105059,138.4902085297097,168
17,6.0,11.0,58.86,1.6204840600757229,0.0433691,0.0447285,0.9915,58.86,11.0,0.24029998863616384,0.28366908863616386,10.303564822689085,348.7360401525536,168
18,7.0,11.0,68.67,1.89056473675501,0.0584974,0.0612109,0.9916,68.67,11.0,0.5725298879926536,0.6310272879926536,22.920476101142263,775.7699603463535,168
19,8.0,11.0,78.48,2.160645413434297,0.0755295,0.0804683,0.9917,78.48,11.0,1.1711115651194208,1.2466410651194209,45.28109526081997,1532.5909165200603,168
20,9.0,11.0,88.29,2.4307260901135845,0.0942179,0.1026186,0.9918,88.29,11.0,2.1471461462274513,2.241364046227451,81.41190093210977,2755.4797238560227,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1142301,0.1278057,0.9918,98.10000000000001,11.0,3.630736409022902,3.744966509022902,136.02647144260567,4603.9728795958845,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1351142,0.1562049,0.9919,107.91000000000001,11.0,5.770986782707105,5.906100982707105,214.5242353237932,7260.8202724976145,168
23,12.0,11.0,117.72,3.2409681201514458,0.156246,0.1880301,0.9919,117.72,11.0,8.736003347976554,8.892249347976554,322.9885498518525,10931.92014883193,168
24,13.0,11.0,127.53,3.511048796830733,0.1767425,0.2235435,0.9919,127.53,11.0,12.71289383702293,12.88963633702293,468.18355915313197,15846.212771336772,168
25,14.0,11.0,137.34,3.78112947351002,0.195309,0.2630696,0.9919,137.34,11.0,17.90776763353308,18.10307663353308,657.5486404969424,22255.492447588822,168
26,15.0,11.0,147.15,4.051210150189307,0.2099491,0.3070169,0.992,147.15,11.0,24.545735772689014,24.755684872689013,899.1878707763323,30434.051010891235,168
27,16.0,11.0,156.96,4.321290826868594,0.2173323,0.3559107,0.992,156.96,11.0,32.870910941167935,33.08824324116794,1201.8470561716833,40677.9003627339,168
28,17.0,11.0,166.77,4.591371503547882,0.2173323,0.3559107,0.992,166.77,11.0,43.14640747714219,43.36373977714219,1575.0785744620778,53310.351751024165,168
29,18.0,11.0,176.58,4.861452180227169,0.2173323,0.3559107,0.992,176.58,11.0,55.65434137027933,55.871673670279336,2029.39775419881,68687.30860365203,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2173323,0.3559107,0.992,186.39000000000001,11.0,70.69583026174205,70.91316256174204,2575.7419349062243,87178.95779682604,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2173323,0.3559107,0.992,196.20000000000002,11.0,88.5909934441882,88.8083257441882,3225.7386432166786,109178.84638579526,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215058,0.0217754,0.9912,49.050000000000004,12.0,0.03169165811341116,0.05319745811341116,2.299553390548839,84.90658672795713,168
33,6.0,12.0,58.86,1.3616567449247396,0.0308282,0.0314484,0.9914,58.86,12.0,0.08644296366772343,0.11727116366772343,5.0692516445205245,187.17236841306553,168
34,7.0,12.0,68.67,1.5885995357455296,0.0417179,0.0429612,0.9915,68.67,12.0,0.2141700901546823,0.25588799015468233,11.061206986741047,408.41379643351553,168
35,8.0,12.0,78.48,1.8155423265663195,0.0540953,0.0563585,0.9916,78.48,12.0,0.45781081925043504,0.511906119250435,22.128039457364103,817.0353030411359,168
36,9.0,12.0,88.29,2.0424851173871095,0.0678579,0.0716947,0.9917,88.29,12.0,0.8697758306394594,0.9376337306394594,40.53086182780151,1496.5241290265171,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.082874,0.0890345,0.9917,98.10000000000001,12.0,1.5119487020145643,1.5948227020145644,68.9390072721783,2545.440268511199,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.0989752,0.1084549,0.9918,107.91000000000001,12.0,2.4556859090768888,2.5546611090768887,110.42970516668403,4077.4044984621796,168
39,12.0,12.0,117.72,2.7233134898494793,0.1159445,0.1300469,0.9918,117.72,12.0,3.781816825535901,3.897761325535901,168.4875666912101,6221.079385521604,168
40,13.0,12.0,127.53,2.9502562806702692,0.1335009,0.1539176,0.9918,127.53,12.0,5.580643723109407,5.714144623109407,247.00391913735155,9120.1447066099,168
41,14.0,12.0,137.34,3.177199071491059,0.1512757,0.1801939,0.9919,137.34,12.0,7.951941771523534,8.103217471523534,350.27578143435636,12933.25962219162,168
42,15.0,12.0,147.15,3.404141862311849,0.1687764,0.2090259,0.9919,147.15,12.0,11.004959038512743,11.173735438512743,483.0043036633371,17834.0050583386,168
43,16.0,12.0,156.96,3.631084653132639,0.1853303,0.2405932,0.9919,156.96,12.0,14.858416489819833,15.043746789819833,650.2923290683927,24010.793688679118,168
44,17.0,12.0,166.77,3.858027443953429,0.1999894,0.2751119,0.992,166.77,12.0,19.640507989195918,19.840497389195917,857.6402831923826,31666.718148641823,168
45,18.0,12.0,176.58,4.084970234774219,0.211359,0.3128457,0.992,176.58,12.0,25.488900298400463,25.700259298400464,1110.9387648114364,41019.27746996073,168
46,19.0,12.0,186.39000000000001,4.311913025595009,0.2172532,0.354123,0.992,186.39000000000001,12.0,32.55073307720125,32.76798627720125,1416.4536543184888,52299.827236374964,168
47,20.0,12.0,196.20000000000002,4.538855816415799,0.214615,0.3957001,0.992,196.20000000000002,12.0,40.982618883374386,41.19723388337439,1780.8226599057032,65753.45205805672,168
48,5.0,13.0,49.050000000000004,0.9668568603015905,0.0156549,0.0157827,0.9911,49.050000000000004,13.0,0.01812110182848823,0.03377600182848823,1.7135037850076085,68.54015140030434,168
49,6.0,13.0,58.86,1.1602282323619084,0.0224736,0.0227723,0.9913,58.86,13.0,0.03533937690761238,0.057812976907612376,2.932933129764258,117.3173251905703,168
50,7.0,13.0,68.67,1.3535996044222265,0.03047,0.0310737,0.9914,68.67,13.0,0.08347495470286721,0.11394495470286721,5.780586824850441,231.22347299401764,168
51,8.0,13.0,78.48,1.5469709764825446,0.0396063,0.0407097,0.9915,78.48,13.0,0.18345543505640918,0.2230617350564092,11.31623361611563,452.64934464462516,168
52,9.0,13.0,88.29,1.7403423485428626,0.0498349,0.0517073,0.9916,88.29,13.0,0.36120169886111175,0.41103659886111177,20.852461209044566,834.0984483617827,168
53,10.0,13.0,98.10000000000001,1.933713720603181,0.0610963,0.0640984,0.9916,98.10000000000001,13.0,0.6476279080605656,0.7087242080605656,35.95456973282187,1438.1827893128745,168
54,11.0,13.0,107.91000000000001,2.1270850926634988,0.0733172,0.0779206,0.9917,107.91000000000001,13.0,1.0786415056490788,1.1519587056490788,58.440475350676245,2337.6190140270496,168
55,12.0,13.0,117.72,2.320456464723817,0.0864067,0.0932169,0.9917,117.72,13.0,1.695143215671674,1.7815499156716739,90.38051748056864,3615.2206992227457,168
56,13.0,13.0,127.53,2.513827836784135,0.1002528,0.1100375,0.9918,127.53,13.0,2.543027043224095,2.6432798432240947,134.09728123530033,5363.891249412012,168
57,14.0,13.0,137.34,2.707199208844453,0.1147164,0.12844,0.9918,137.34,13.0,3.6731802744528013,3.787896674452801,192.16529303412577,7686.6117213650305,168
58,15.0,13.0,147.15,2.900570580904771,0.1296241,0.1484905,0.9918,147.15,13.0,5.141483476554966,5.271107576554966,267.41065533668825,10696.426213467526,168
59,16.0,13.0,156.96,3.093941952965089,0.1447573,0.1702657,0.9919,156.96,13.0,7.008810497778486,7.153567797778487,362.9104936707844,14516.419746831374,168
60,17.0,13.0,166.77,3.287313325025407,0.1598379,0.1938538,0.9919,166.77,13.0,9.341028467421967,9.500866367421967,481.9922311733748,19279.68924693499,168
