,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440772,0.0454883,0.9915,49.050000000000004,10.0,0.18044777162248785,0.22452497162248786,6.7399205043973405,207.38216936607202,168
1,6.0,10.0,58.86,1.9607857126916248,0.0627514,0.0659465,0.9916,58.86,10.0,0.49667107818903306,0.559422478189033,16.793067622369527,516.7097729959855,168
2,7.0,10.0,68.67,2.2875833314735625,0.0841247,0.0905105,0.9917,68.67,10.0,1.129635313025614,1.213760013025614,36.435350331381876,1121.0877025040577,168
3,8.0,10.0,78.48,2.6143809502554998,0.1077069,0.1194054,0.9918,78.48,10.0,2.2393771621854013,2.3470840621854014,70.45612736059326,2167.880841864408,168
4,9.0,10.0,88.29,2.9411785690374375,0.1327917,0.1529175,0.9918,88.29,10.0,4.018308300559925,4.151100000559925,124.61012157088471,3834.1575867964525,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1583417,0.1914106,0.9919,98.10000000000001,10.0,6.691215391879077,6.849557091879078,205.6139678183226,6326.583625179156,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1827802,0.2353502,0.9919,107.91000000000001,10.0,10.515260088711111,10.69804028871111,321.1399630860976,9881.229633418388,168
7,12.0,10.0,117.72,3.9215714253832497,0.2035797,0.2853405,0.992,117.72,10.0,15.779979032462634,15.983558732462635,479.80371383943793,14763.191195059628,168
8,13.0,10.0,127.53,4.248369044165187,0.2163303,0.3421859,0.992,127.53,10.0,22.80728385337863,23.02361415337863,691.1361707178022,21265.728329778525,168
9,14.0,10.0,137.34,4.575166662947125,0.2163303,0.3421859,0.992,137.34,10.0,31.95146117054243,32.16779147054243,965.6313760859723,29711.734648799138,168
10,15.0,10.0,147.15,4.901964281729062,0.2163303,0.3421859,0.992,147.15,10.0,43.59917259187573,43.81550289187573,1315.2791166942804,40470.12666751631,168
