,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065264,0.006541,0.9904,49.050000000000004,10.0,0.011357664785791284,0.017884064785791284,1.4078767133421288,43.319283487450114,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093868,0.0094238,0.9907,58.86,10.0,0.011917727554765611,0.021304527554765612,1.677143792105936,51.604424372490335,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127585,0.012837,0.9909,68.67,10.0,0.013279624417501362,0.026038124417501363,2.0497839537927667,63.0702755013159,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166364,0.0167841,0.9911,78.48,10.0,0.016124067071611427,0.03276046707161143,2.5789829807023157,79.35332248314818,168
4,9.0,10.0,88.29,1.121535760179736,0.0210139,0.0212694,0.9912,88.29,10.0,0.021399968361927736,0.04241386836192773,3.3389220126823913,102.73606192868897,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0258834,0.0262977,0.9913,98.10000000000001,10.0,0.03032444228050122,0.05620784228050122,4.42481690833483,136.14821256414862,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312356,0.0318748,0.9914,107.91000000000001,10.0,0.04438280396660184,0.07561840396660184,5.9528631393272144,183.16501967160656,168
7,12.0,10.0,117.72,1.4953810135729813,0.0370598,0.0380069,0.9915,117.72,10.0,0.06532856970671853,0.10238836970671852,8.060259407116417,248.00798175742824,168
8,13.0,10.0,127.53,1.6199960980373964,0.0433436,0.0447012,0.9915,127.53,10.0,0.09518345693455937,0.13852705693455938,10.90518402622507,335.5441238838483,168
9,14.0,10.0,137.34,1.7446111825018116,0.0500726,0.0519656,0.9916,137.34,10.0,0.13623738423105133,0.18630998423105133,14.666771307517985,451.28527100055334,168
10,15.0,10.0,147.15,1.8692262669662265,0.0572302,0.059809,0.9916,147.15,10.0,0.19104847132434055,0.24827867132434056,19.545095813719815,601.3875634990711,168
11,16.0,10.0,156.96,1.9938413514306417,0.0647974,0.0682411,0.9917,156.96,10.0,0.26244303908979194,0.32724043908979195,25.76115661493266,792.6509727671585,168
12,17.0,10.0,166.77,2.118456435895057,0.0727526,0.0772727,0.9917,166.77,10.0,0.35351560954998973,0.42626820954998973,33.556861544153726,1032.5188167431916,168
13,18.0,10.0,176.58,2.243071520359472,0.0810708,0.0869155,0.9917,176.58,10.0,0.46762890587473693,0.5486997058747369,43.194964219345835,1329.0758221337178,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0897236,0.0971825,0.9917,186.39000000000001,10.0,0.6084138523810556,0.6981374523810556,54.959064043437444,1691.0481244134598,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0986781,0.1080879,0.9918,196.20000000000002,10.0,0.7797695745331872,0.8784476745331872,69.15351960966963,2127.80060337445,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044617,0.0044669,0.99,49.050000000000004,11.0,0.010619078262466363,0.015080778262466364,1.4365062369670016,48.620211097344665,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064192,0.0064332,0.9904,58.86,11.0,0.01078392742044713,0.01720312742044713,1.6386687347771396,55.46263410014933,168
18,7.0,11.0,68.67,0.720913711777608,0.0087289,0.0087597,0.9907,68.67,11.0,0.01122067898513036,0.019949578985130362,1.90027955707896,64.31715423959557,168
