,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065315,0.0065422,0.9901,49.050000000000004,10.0,0.0118258003164672,0.0183573003164672,1.4451309556827212,44.46556786716066,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093951,0.0094245,0.9904,58.86,10.0,0.012173878851458297,0.021568978851458295,1.6979620359943477,52.24498572290301,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127713,0.0128368,0.9907,68.67,10.0,0.012807799653778372,0.025579099653778373,2.0136484173007267,61.95841284002236,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166552,0.0167826,0.9909,78.48,10.0,0.014671842437907883,0.03132704243790788,2.4661403363541727,75.88124111858991,168
4,9.0,10.0,88.29,1.121535760179736,0.0210408,0.0212661,0.991,88.29,10.0,0.019204878979158336,0.04024567897915833,3.1682369151568053,97.48421277405554,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259205,0.0262921,0.9912,98.10000000000001,10.0,0.02834037311367229,0.05426087311367229,4.2715467997546295,131.4322092232194,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312857,0.0318661,0.9913,107.91000000000001,10.0,0.04450638073842335,0.07579208073842335,5.9665353936846355,183.5857044210657,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371258,0.0379945,0.9913,117.72,10.0,0.07062554981121612,0.10775134981121612,8.482446135562963,260.99834263270657,168
8,13.0,10.0,127.53,1.6199960980373964,0.0434287,0.0446844,0.9914,127.53,10.0,0.11011512035068638,0.15354382035068637,12.08733986029083,371.91814954741017,168
9,14.0,10.0,137.34,1.7446111825018116,0.0501807,0.0519435,0.9915,137.34,10.0,0.1668869244363008,0.2170676244363008,17.088086926813332,525.7872900557949,168
10,15.0,10.0,147.15,1.8692262669662265,0.0573654,0.0597807,0.9915,147.15,10.0,0.24534738620835722,0.30271278620835723,23.830280623466436,733.2394037989671,168
11,16.0,10.0,156.96,1.9938413514306417,0.0649644,0.0682057,0.9916,156.96,10.0,0.3503975218679845,0.4153619218679845,32.69829227366526,1006.1013007281618,168
12,17.0,10.0,166.77,2.118456435895057,0.0729566,0.077229,0.9916,166.77,10.0,0.4874329396771426,0.5603895396771426,44.11521613021579,1357.391265545101,168
13,18.0,10.0,176.58,2.243071520359472,0.0813175,0.0868625,0.9916,176.58,10.0,0.6623438399586223,0.7436613399586224,58.54281426962661,1801.3173621423573,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0900192,0.097119,0.9917,186.39000000000001,10.0,0.8815150150960456,0.9715342150960455,76.48151659210883,2353.2774336033485,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0990297,0.1080126,0.9917,196.20000000000002,10.0,1.1518258495338656,1.2508555495338656,98.47036571588795,3029.8574066427063,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.004465,0.0044683,0.9896,49.050000000000004,11.0,0.011090914429792362,0.015555914429792362,1.4817649136674684,50.15204323182201,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064243,0.0064344,0.99,58.86,11.0,0.011529586521687151,0.01795388652168715,1.7101816310362916,57.88307058892064,168
18,7.0,11.0,68.67,0.720913711777608,0.0087364,0.0087605,0.9904,68.67,11.0,0.011789311364079213,0.020525711364079213,1.9551585388711974,66.17459670025592,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113992,0.0114482,0.9906,78.48,11.0,0.012087886865574094,0.023487086865574096,2.237241751279823,75.72202850485553,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144103,0.0144992,0.9908,88.29,11.0,0.012885744719339044,0.027296044719339045,2.6000606733573197,88.00205355978619,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177665,0.0179158,0.9909,98.10000000000001,11.0,0.014885950403102999,0.032652450403103,3.1102803741271945,105.27102804738198,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0214641,0.0217005,0.991,107.91000000000001,11.0,0.019034203179156595,0.04049830317915659,3.857630162776803,130.56594397090717,168
23,12.0,11.0,117.72,1.2358520773330424,0.0254987,0.025856,0.9911,117.72,11.0,0.026518836094352155,0.052017536094352154,4.9548845378336885,167.70378435744792,168
24,13.0,11.0,127.53,1.3388397504441292,0.0298654,0.0303855,0.9912,127.53,11.0,0.038770815980103714,0.06863621598010372,6.537882237989247,221.28216805502066,168
25,14.0,11.0,137.34,1.441827423555216,0.0345585,0.0352925,0.9913,137.34,11.0,0.057463743452386994,0.09202224345238699,8.765497665863222,296.67838253690906,168
26,15.0,11.0,147.15,1.544815096666303,0.0395715,0.0405807,0.9914,147.15,11.0,0.0845138529117394,0.12408535291173942,11.819640888003722,400.04938390166444,168
27,16.0,11.0,156.96,1.6478027697773898,0.044897,0.0462545,0.9914,156.96,11.0,0.12208001254326006,0.16697701254326006,15.905248109475366,538.3314744745509,168
28,17.0,11.0,166.77,1.7507904428884766,0.0505269,0.0523184,0.9915,166.77,11.0,0.17256372431660977,0.22309062431660975,21.25030072468297,719.2409476046544,168
29,18.0,11.0,176.58,1.8537781159995637,0.0564518,0.0587775,0.9915,176.58,11.0,0.23860912398601106,0.2950609239860111,28.105768164900542,951.2721532735566,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0626615,0.065637,0.9915,186.39000000000001,11.0,0.32310298109024804,0.385764481090248,36.745655525330434,1243.699110088107,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0691442,0.0729031,0.9916,196.20000000000002,11.0,0.4291746989526667,0.4983188989526667,47.466927361808715,1606.5729260919868,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031548,0.0031557,0.989,49.050000000000004,12.0,0.010307682894399473,0.013462482894399472,1.5261107367282747,56.348704125351674,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045396,0.004543,0.9896,58.86,12.0,0.010864947501623702,0.015404547501623702,1.7462637108678258,64.4774293243505,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061746,0.0061836,0.99,68.67,12.0,0.011280602830034087,0.017455202830034086,1.978726558810834,73.0606729407077,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080588,0.0080782,0.9903,78.48,12.0,0.011524198963807304,0.019582998963807302,2.219934109512429,81.96679788968969,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101912,0.0102277,0.9905,88.29,12.0,0.011690380171635574,0.02188158017163557,2.480501902840351,91.58776256641295,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125703,0.0126332,0.9907,98.10000000000001,12.0,0.011998884906726681,0.02456918490672668,2.785169509438432,102.83702804080362,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0151945,0.0152959,0.9908,107.91000000000001,12.0,0.012794545806803953,0.027989045806803954,3.172845874835809,117.15123230162988,168
39,12.0,12.0,117.72,1.0384590372034592,0.0180617,0.0182171,0.9909,117.72,12.0,0.014547289694106267,0.03260898969410626,3.696563975337709,136.48851601246923,168
40,13.0,12.0,127.53,1.1249972903037475,0.0211697,0.0213983,0.991,127.53,12.0,0.017852137575388064,0.03902183757538806,4.42352616213467,163.33019675574164,168
41,14.0,12.0,137.34,1.2115355434040358,0.024516,0.0248412,0.9911,137.34,12.0,0.02342920464191933,0.04794520464191933,5.435081489247925,200.67993191069257,168
42,15.0,12.0,147.15,1.298073796504324,0.0280976,0.0285476,0.9912,147.15,12.0,0.03212370026948559,0.06022130026948559,6.826703041474796,252.06288153137706,168
43,16.0,12.0,156.96,1.3846120496046124,0.0319113,0.0325196,0.9913,156.96,12.0,0.04490592801838795,0.07681722801838795,8.708021942470612,321.5269640296841,168
44,17.0,12.0,166.77,1.4711503027049007,0.0359535,0.0367592,0.9913,166.77,12.0,0.06287128563344303,0.09882478563344303,11.202804682694094,413.6420190533204,168
45,18.0,12.0,176.58,1.557688555805189,0.0402202,0.0412688,0.9914,176.58,12.0,0.08724026504398305,0.12746046504398306,14.44895311940736,533.4998074858102,168
46,19.0,12.0,186.39000000000001,1.6442268089054772,0.0447069,0.046051,0.9914,186.39000000000001,12.0,0.11935845236385571,0.16406535236385572,18.59849314064861,686.7135928854871,168
47,20.0,12.0,196.20000000000002,1.7307650620057655,0.0494088,0.0511086,0.9915,196.20000000000002,12.0,0.16069652789142436,0.21010532789142436,23.817597337286752,879.4189786075107,168
48,5.0,13.0,49.050000000000004,0.368683681847382,0.002292,0.0022921,0.9884,49.050000000000004,13.0,0.009530765090487798,0.011822765090487799,1.5729110243845321,62.91644097538127,168
49,6.0,13.0,58.86,0.44242041821685835,0.003298,0.0032991,0.9891,58.86,13.0,0.01007890913064352,0.013376909130643521,1.7796757089175304,71.1870283567012,168
50,7.0,13.0,68.67,0.5161571545863348,0.0044861,0.0044894,0.9896,68.67,13.0,0.010609435884788814,0.015095535884788814,2.0083233178066116,80.33293271226445,168
51,8.0,13.0,78.48,0.5898938909558111,0.005856,0.0058637,0.9899,78.48,13.0,0.011020186117994569,0.016876186117994567,2.245222584682484,89.80890338729935,168
52,9.0,13.0,88.29,0.6636306273252875,0.0074069,0.0074222,0.9902,88.29,13.0,0.011277044895396866,0.018683944895396865,2.4857283960253582,99.42913584101433,168
53,10.0,13.0,98.10000000000001,0.737367363694764,0.0091383,0.0091656,0.9904,98.10000000000001,13.0,0.01141394158219698,0.02055224158219698,2.734288223865746,109.37152895462982,168
54,11.0,13.0,107.91000000000001,0.8111041000642404,0.0110494,0.0110945,0.9906,107.91000000000001,13.0,0.01153284984366138,0.02258224984366138,3.0043623012588623,120.17449205035447,168
55,12.0,13.0,117.72,0.8848408364337167,0.0131391,0.0132095,0.9907,117.72,13.0,0.011803787645121711,0.02494288764512171,3.3184236222846204,132.7369448913848,168
56,13.0,13.0,127.53,0.9585775728031931,0.0154064,0.0155114,0.9908,127.53,13.0,0.012464817251974826,0.027871217251974827,3.70801115839804,148.3204463359216,168
