,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0438082,0.0455366,0.9919,49.050000000000004,10.0,0.28934157978536734,0.33314977978536736,10.000682844250552,307.71331828463235,168
1,6.0,10.0,58.86,1.9607857126916248,0.0622732,0.0660399,0.9919,58.86,10.0,0.743651421665303,0.805924621665303,24.192711587082115,744.3911257563727,168
2,7.0,10.0,68.67,2.2875833314735625,0.0833378,0.0906685,0.992,68.67,10.0,1.6033000264044608,1.6866378264044608,50.63047013224527,1557.8606194537006,168
3,8.0,10.0,78.48,2.6143809502554998,0.1064819,0.1196509,0.992,78.48,10.0,3.0529176963631035,3.1593995963631034,94.8406850571431,2918.1749248351725,168
4,9.0,10.0,88.29,2.9411785690374375,0.1309616,0.1532762,0.992,88.29,10.0,5.311128010218275,5.442089610218275,163.363794617686,5026.578295928801,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1556891,0.1919099,0.992,98.10000000000001,10.0,8.630547822963806,8.786236922963806,263.750343517004,8115.395185138585,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1790188,0.2360172,0.9921,107.91000000000001,10.0,13.297787265910301,13.476806065910301,404.55456193148774,12447.832674815007,168
7,12.0,10.0,117.72,3.9215714253832497,0.1983229,0.2861966,0.9921,117.72,10.0,19.633449746685148,19.83177264668515,595.3216256260381,18317.588480801172,168
8,13.0,10.0,127.53,4.248369044165187,0.209034,0.3432348,0.9921,127.53,10.0,27.99213194923254,28.20116594923254,846.558916166932,26047.96665129021,168
9,14.0,10.0,137.34,4.575166662947125,0.209034,0.3432348,0.9921,137.34,10.0,38.76242383381343,38.97145783381343,1169.8677694613623,35995.931368041915,168
10,15.0,10.0,147.15,4.901964281729062,0.209034,0.3432348,0.9921,147.15,10.0,52.366908637005544,52.57594263700555,1578.2550656012666,48561.69432619281,168
11,16.0,10.0,156.96,5.2287619005109995,0.209034,0.3432348,0.9921,156.96,10.0,69.26216287170342,69.47119687170343,2085.4265825179223,64166.97176978221,168
12,17.0,10.0,166.77,5.555559519292937,0.209034,0.3432348,0.9921,166.77,10.0,89.93875632711837,90.14779032711837,2706.108527979,83264.87778396923,168
13,18.0,10.0,176.58,5.882357138074875,0.209034,0.3432348,0.9921,176.58,10.0,114.92125206877844,115.13028606877845,3456.047539588564,106339.92429503275,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.209034,0.3432348,0.9921,186.39000000000001,10.0,144.76820643852855,144.97724043852855,4352.010684787075,133908.0210703715,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.209034,0.3432348,0.9921,196.20000000000002,10.0,180.07216905453035,180.28120305453035,5411.785460851385,166516.47571850414,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0301788,0.0309481,0.9919,49.050000000000004,11.0,0.11178838347276536,0.14196718347276535,5.156600194399009,174.5310835027357,168
17,6.0,11.0,58.86,1.6204840600757229,0.043107,0.0447753,0.9919,58.86,11.0,0.2901568405517033,0.3332638405517033,12.104969211456874,409.7066502339249,168
18,7.0,11.0,68.67,1.89056473675501,0.0580718,0.061293,0.9919,68.67,11.0,0.6414016349211228,0.6994734349211228,25.406609909839794,859.9160277176546,168
19,8.0,11.0,78.48,2.160645413434297,0.0748761,0.0805987,0.992,78.48,11.0,1.24833354077457,1.32320964077457,48.06225582518336,1626.7225048523592,168
20,9.0,11.0,88.29,2.4307260901135845,0.0932571,0.1028119,0.992,88.29,11.0,2.2094883489617967,2.302745448961797,83.64142571051133,2830.9405625096138,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1128632,0.1280785,0.992,98.10000000000001,11.0,3.639126866988759,3.751990066988759,136.28158448694566,4612.607474942776,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1332191,0.1565752,0.992,107.91000000000001,11.0,5.667234919017622,5.8004540190176215,210.68687558915167,7130.940404555901,168
23,12.0,11.0,117.72,3.2409681201514458,0.1536711,0.1885167,0.992,117.72,11.0,8.439523345866741,8.593194445866741,312.1261341256768,10564.269155022906,168
24,13.0,11.0,127.53,3.511048796830733,0.1732973,0.224165,0.9921,127.53,11.0,12.117428005010701,12.290725305010701,446.42962512024025,15109.925773300438,168
25,14.0,11.0,137.34,3.78112947351002,0.1907506,0.2638425,0.9921,137.34,11.0,16.87810977058028,17.068860370580282,619.9833408823586,20984.05153755675,168
26,15.0,11.0,147.15,4.051210150189307,0.2039601,0.3079507,0.9921,147.15,11.0,22.914454533362456,23.118414633362455,839.7181551147922,28421.22986542374,168
27,16.0,11.0,156.96,4.321290826868594,0.2094819,0.3569991,0.9921,156.96,11.0,30.435073200800417,30.644555100800417,1113.0862423594751,37673.688202936086,168
28,17.0,11.0,166.77,4.591371503547882,0.2094819,0.3569991,0.9921,166.77,11.0,39.664301696993554,39.873783596993555,1448.3147106114516,49019.882513002965,168
29,18.0,11.0,176.58,4.861452180227169,0.2094819,0.3569991,0.9921,176.58,11.0,50.84220096269747,51.05168286269747,1854.3237340810117,62761.72638428039,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2094819,0.3569991,0.9921,186.39000000000001,11.0,64.22455695532398,64.43403885532398,2340.404093112244,79213.67699764518,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2094819,0.3569991,0.9921,196.20000000000002,11.0,80.08288064894104,80.29236254894104,2916.417739653564,98709.52349596676,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0214168,0.0217849,0.9918,49.050000000000004,12.0,0.049987838203438696,0.0714046382034387,3.086590670019925,113.96642473919722,168
33,6.0,12.0,58.86,1.3616567449247396,0.0306747,0.0314716,0.9919,58.86,12.0,0.12281074430679575,0.15348544430679575,6.63467741453249,244.97270453658425,168
34,7.0,12.0,68.67,1.5885995357455296,0.0414714,0.0430046,0.9919,68.67,12.0,0.27391778302929737,0.31538918302929736,13.633250363791564,503.3815518938423,168
35,8.0,12.0,78.48,1.8155423265663195,0.0537209,0.0564297,0.9919,78.48,12.0,0.5429823972362358,0.5967032972362357,25.79354613872681,952.3770881991437,168
36,9.0,12.0,88.29,2.0424851173871095,0.0673129,0.0718023,0.992,88.29,12.0,0.9774498313791768,1.0447627313791767,45.16170069893586,1667.5089488837855,168
37,10.0,12.0,98.10000000000001,2.2694279082078994,0.0821074,0.0891884,0.992,98.10000000000001,12.0,1.6325371314959585,1.7146445314959584,74.11851591821718,2736.683664672634,168
38,11.0,12.0,107.91000000000001,2.4963706990286894,0.0979255,0.108666,0.992,107.91000000000001,12.0,2.5712331452106927,2.669158645210693,115.37906189844111,4260.149977788595,168
39,12.0,12.0,117.72,2.7233134898494793,0.1145385,0.1303271,0.992,117.72,12.0,3.864298521733762,3.9788370217337623,171.99220579794024,6350.481444847023,168
40,13.0,12.0,127.53,2.9502562806702692,0.1316512,0.1542798,0.992,127.53,12.0,5.590265711861828,5.721916911861828,247.33988994473205,9132.54978257472,168
