,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065087,0.0065375,0.9915,49.050000000000004,10.0,0.010403704403469806,0.016912404403469805,1.3313852645617392,40.96570044805351,168
1,6.0,10.0,58.86,0.7476905067864906,0.009359,0.0094217,0.9916,58.86,10.0,0.012007146812033652,0.02136614681203365,1.6819946086535271,51.75368026626237,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127165,0.0128373,0.9917,68.67,10.0,0.017680338129901326,0.030396838129901328,2.392912409729045,73.62807414550907,168
3,8.0,10.0,78.48,0.9969206757153208,0.0165753,0.016788,0.9917,78.48,10.0,0.03004829805923743,0.04662359805923743,3.6703220876259746,112.93298731156845,168
4,9.0,10.0,88.29,1.121535760179736,0.0209279,0.0212783,0.9918,88.29,10.0,0.05230985932933516,0.07323775932933516,5.765453051760687,177.39855543879037,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0257659,0.0263133,0.9918,98.10000000000001,10.0,0.08823766769661637,0.11400356769661638,8.974635806816535,276.1426402097395,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0310789,0.0318987,0.9919,107.91000000000001,10.0,0.14217818194463155,0.17325708194463155,13.639215358090823,419.668164864333,168
7,12.0,10.0,117.72,1.4953810135729813,0.0368554,0.0380412,0.9919,117.72,10.0,0.21905167388405974,0.25590707388405975,20.145622061665463,619.8652942050911,168
8,13.0,10.0,127.53,1.6199960980373964,0.0430817,0.044748,0.9919,127.53,10.0,0.3243522283527088,0.3674339283527088,28.925285029753976,890.0087701462761,168
9,14.0,10.0,137.34,1.7446111825018116,0.0497423,0.0520272,0.9919,137.34,10.0,0.4641477432155152,0.5138900432155152,40.4546636196662,1244.758880605114,168
10,15.0,10.0,147.15,1.8692262669662265,0.0568196,0.059888,0.9919,147.15,10.0,0.6450799293645437,0.7018995293645437,55.25522381708472,1700.160732833376,168
11,16.0,10.0,156.96,1.9938413514306417,0.064293,0.0683401,0.992,156.96,10.0,0.8743643107189883,0.9386573107189884,73.89336738589431,2273.6420734121325,168
12,17.0,10.0,166.77,2.118456435895057,0.0721396,0.0773946,0.992,166.77,10.0,1.1597902242251712,1.2319298242251713,96.98048697387009,2984.014983811387,168
13,18.0,10.0,176.58,2.243071520359472,0.0803328,0.0870635,0.992,176.58,10.0,1.5097208198565428,1.590053619856543,125.172855901301,3851.472489270799,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0888425,0.0973598,0.992,186.39000000000001,10.0,1.9330930606136834,2.0219355606136835,159.1716439054723,4897.589043245302,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0976341,0.1082979,0.992,196.20000000000002,10.0,2.4394177225243006,2.5370518225243006,199.7228384182535,6145.318105177031,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044502,0.004463,0.9914,49.050000000000004,11.0,0.010045443747862702,0.014495643747862701,1.3807697646799701,46.73374588147591,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064019,0.0064297,0.9915,58.86,11.0,0.009864008058874834,0.016265908058874835,1.5493947308183644,52.44105242769848,168
